Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2006-09-21;9.55687;10.0957;9.52462;9.6888;1019821.2980993
2006-09-22;9.68143;9.68143;9.31793;9.60766;64032.170096444
2006-09-25;9.5163;9.7977;9.5163;9.7977;151656.10953556
2006-09-26;9.85581;9.98036;9.85581;9.97202;126725.68477648
2006-09-27;10.0135;10.0135;9.6888;9.89733;83385.767230073
2006-09-28;9.6888;9.93885;9.64823;9.93885;45236.797691116
2006-09-29;9.96281;9.96281;9.77277;9.93885;43200.09038145
2006-10-02;9.93885;9.93885;9.69808;9.93885;79019.691102699
2006-10-03;9.86405;9.93885;9.86405;9.93147;25602.462296069
2006-10-04;9.85581;9.95543;9.85581;9.95543;80140.476285347
2006-10-05;9.93885;10.0053;9.93885;9.98036;129604.60687039
2006-10-06;10.0135;10.3107;9.98036;10.3107;84787.290674138
2006-10-09;10.3107;10.377;10.2692;10.377;24415.557291235
2006-10-10;10.3945;10.3945;10.2692;10.3945;79112.909212668
2006-10-11;10.436;10.5183;10.4112;10.436;48216.525415582
2006-10-12;10.4775;10.7258;10.4775;10.6935;19872.800327525
2006-10-13;10.7673;10.8088;10.6094;10.7008;136955.83037979
2006-10-16;10.7507;10.7507;10.6013;10.6843;28196.310402525
2006-10-17;10.3522;10.436;10.2119;10.2783;32279.480405459
2006-10-18;10.2294;10.6013;10.2294;10.3107;30500.748795474
2006-10-19;10.2692;10.4434;10.2692;10.3107;16178.761737135
2006-10-20;10.2783;10.3854;10.1463;10.1463;19662.517614339
2006-10-23;10.187;10.2692;10.187;10.2692;7927.8750733891
2006-10-24;10.3522;10.3522;10.2692;10.3522;18673.972076066
2006-10-25;10.2692;10.3374;10.1547;10.2294;13135.082053504
2006-10-26;10.163;10.2692;10.1039;10.1039;18233.895882493
2006-10-27;10.1039;10.1039;9.95543;10.0633;9683.8441216378
2006-10-30;10.1039;10.1039;9.85581;9.98036;15424.345405295
2006-10-31;10.1039;10.2359;9.93147;9.98036;2423.6708591876
2006-11-02;10.2294;10.2294;9.93885;9.98036;29338.774215398
2006-11-03;10.2203;10.2203;9.94709;9.94709;14741.468553198
2006-11-06;9.98036;10.1039;9.98036;10.1039;5354.621665647
2006-11-07;10.4434;11.1815;10.4434;11.1815;250957.24314553
2006-11-08;11.521;12.0099;11.4712;11.5118;137289.68128526
2006-11-09;11.9269;11.9269;11.2645;11.3882;29107.896803499
2006-11-10;11.4296;11.4296;11.1557;11.2221;30269.871383575
2006-11-13;11.247;11.2553;10.891;11.0155;12048.982679217
2006-11-14;10.7673;11.2221;10.6843;11.2221;35124.800622529
2006-11-15;11.2645;11.2645;10.8836;10.8836;26533.559464246
2006-11-16;11.0155;11.0155;10.7765;10.9988;2554.8265720506
2006-11-17;10.9315;10.9315;10.7765;10.7765;9276.2858734023
2006-11-20;10.9988;10.9988;10.8577;10.973;1452.4682250945
2006-11-21;10.9241;11.4952;10.9241;11.4296;55928.69811823
2006-11-22;11.5118;11.6364;11.2802;11.5948;51301.394496641
2006-11-23;11.5948;11.7765;11.5948;11.7608;27989.279483874
2006-11-24;11.8438;12.0099;11.8438;12.0099;53144.078065791
2006-11-27;12.0099;12.1743;12.0099;12.1336;29849.305957204
2006-11-28;12.333;12.333;12.0099;12.093;33573.694629909
2006-11-29;12.2158;12.5073;12.2158;12.4648;26142.260188679
2006-11-30;12.4648;12.7139;12.3568;12.4242;70540.094890076
2006-12-01;12.6309;12.6309;12.3071;12.6309;42299.343295589
2006-12-04;12.6632;12.6632;12.3818;12.6059;13332.357588554
2006-12-05;13.0027;13.6659;13.0027;13.416;98216.118167195
