Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1999-04-20;33.6015;33.6015;31.0434;31.7149;318285.17645518
1999-04-21;31.6505;31.786;31.3114;31.4469;238490.18299499
1999-04-22;31.6505;33.6015;31.6505;33.0646;231119.39214567
1999-04-23;33.2682;34.3422;33.0646;33.467;244179.12417119
1999-04-26;33.3326;33.5382;33.0002;33.0002;134126.22875168
1999-04-27;32.6611;32.6611;31.9916;32.1885;125959.1503207
1999-04-28;31.9916;31.9916;30.9791;31.1145;75819.71241463
1999-04-29;30.9089;31.517;30.6409;30.9791;93285.705877837
1999-04-30;30.9089;31.4469;30.9089;31.2471;76170.653591084
1999-05-04;31.786;31.9916;31.2471;31.5794;25984.013070638
1999-05-05;31.3825;31.3825;30.7744;30.9791;75092.176466953
1999-05-06;30.9791;30.9791;30.6409;30.6409;96765.35947244
1999-05-07;30.6409;30.9791;30.3008;30.5708;103999.67319758
1999-05-10;30.372;30.372;29.6294;29.9695;32090.594769688
1999-05-11;29.4959;29.4959;28.8878;29.2269;140002.95424159
1999-05-12;29.2912;29.3614;28.7533;28.9589;89880.960779963
1999-05-13;29.0232;29.6294;29.0232;29.6294;44420.738559941
1999-05-14;30.3008;30.3008;29.2269;29.3614;39923.150324865
1999-05-17;29.1558;29.2269;28.8878;29.0934;100429.71894939
1999-05-18;29.4959;29.6294;29.0934;29.4257;25161.045750416
1999-05-19;29.4257;29.4257;29.1558;29.3614;53136.803918996
1999-05-20;29.3614;29.567;29.2912;29.2912;100626.73855722
1999-05-21;29.7005;30.372;29.7005;30.1673;84562.457512246
1999-05-24;30.372;30.372;29.8983;30.103;40852.83659933
1999-05-25;29.567;29.7639;29.2912;29.6294;52108.607840615
1999-05-26;29.6294;29.835;29.4959;29.6294;33202.934638916
1999-05-27;29.567;29.567;29.2912;29.2912;27796.18300519
1999-05-28;29.0232;29.2912;29.0232;29.2269;27446.267972528
1999-05-31;29.0232;29.0934;28.8878;29.0232;16631.738561286
1999-06-01;29.2912;29.8983;29.2912;29.4257;32010.555554006
1999-06-02;29.6294;30.103;29.6294;29.7639;20984.64052186
1999-06-07;30.1673;30.6409;30.1673;30.6409;34551.287580027
1999-06-08;30.7111;30.7111;30.4353;30.5064;55002.333330671
1999-06-09;30.5064;31.786;30.5064;31.5794;80676.450976487
1999-06-10;31.3825;31.8562;31.1769;31.1769;44289.392154719
1999-06-11;31.6505;31.8562;31.3114;31.786;50111.732023718
1999-06-14;31.6505;31.6505;31.1145;31.3114;19110.901959859
1999-06-15;31.1145;31.3825;31.1145;31.2471;21321.215685242
1999-06-16;31.1145;31.1145;30.9791;30.9791;17520.379084119
1999-06-17;31.4469;31.9205;31.1769;31.1769;23757.281044602
1999-06-18;31.6505;31.6505;31.1145;31.1145;24577.169933451
1999-06-21;31.5794;31.5794;31.1769;31.3114;26459.117645778
1999-06-22;31.5794;32.6611;31.5794;32.322;155266.84312974
1999-06-23;31.9916;32.322;31.9205;32.1242;51875.673200103
1999-06-24;32.322;32.322;31.9916;32.1885;44803.49019391
1999-06-25;31.9916;31.9916;31.2471;31.517;23332.45751521
1999-06-28;31.517;31.517;30.5708;31.4469;28080.424835242
1999-06-29;31.3114;31.3114;30.3008;30.7744;7873.6013068084
1999-06-30;31.0434;31.0434;30.372;30.5064;11479.47058768
1999-07-01;30.9089;31.6505;30.7111;31.2471;9657.0392152188
1999-07-02;32.5266;32.6611;31.7149;31.786;75202.99999636
1999-07-05;31.6505;31.6505;31.4469;31.517;12174.169934051
1999-07-06;31.6505;31.7149;31.517;31.5794;22913.790848564
1999-07-07;31.3114;31.6505;31.3114;31.6505;4184.6143788824
1999-07-08;31.3825;31.6505;31.3114;31.3114;7250.7320257928
1999-07-09;31.6505;31.6505;31.1769;31.3114;19083.196077508
1999-07-12;31.5794;31.5794;31.1145;31.517;19140.660129792
