Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2012-12-14;42.178;43.808;42.178;43.1699;4282336.0151015
2012-12-17;42.5675;43.5958;42.5675;43.4185;291841.18723509
2012-12-18;43.808;44.2339;43.5958;44.127;550312.00449376
2012-12-19;44.2339;44.3399;44.127;44.2687;221925.38450183
2012-12-20;43.9505;44.3756;43.8792;44.127;106939.7956773
2012-12-21;44.1626;44.2339;43.9505;44.127;175704.06296011
2012-12-27;44.0922;45.0493;43.9853;44.8363;124140.35317479
2012-12-28;44.8007;45.0136;44.127;44.4112;34657.650864565
2013-01-02;44.4112;45.3674;44.4112;45.3674;68135.006652055
2013-01-03;45.0136;46.0767;44.8719;46.0055;130052.18202576
2013-01-04;46.0055;46.5018;46.0055;46.4662;44313.983103326
2013-01-07;46.4662;46.7852;46.4662;46.7148;108489.36436036
2013-01-08;46.7148;46.8208;43.2412;45.3674;112990.82112117
2013-01-09;45.3674;45.7221;44.4112;45.7221;51658.041360683
2013-01-10;45.7934;46.0767;44.8719;45.6864;88128.699088279
2013-01-11;45.3674;45.4387;44.6946;45.4387;31771.334735538
2013-01-14;45.616;45.616;44.6946;44.7303;227184.94502073
2013-01-15;44.6589;44.6589;43.9505;44.3043;212599.21277683
2013-01-16;43.9505;45.0136;43.3829;44.6589;219602.75705484
2013-01-17;44.3756;45.6864;44.3756;45.51;148481.35077307
2013-01-18;45.51;46.6087;45.51;46.3601;100828.95021002
2013-01-21;47.2112;49.267;47.2112;49.267;309858.518129
2013-01-22;49.9755;54.9373;49.9051;51.6062;575218.99154421
2013-01-23;53.1657;53.8742;52.1016;53.0587;1050317.6700787
2013-01-24;53.024;53.024;51.8896;52.4564;185694.00686783
2013-01-25;52.4564;53.5194;52.1016;52.811;117465.81902548
2013-01-28;52.811;53.8037;52.811;53.5194;329467.98195339
2013-01-29;53.662;53.7324;53.2361;53.4491;138751.39389012
2013-01-30;53.2005;53.5908;52.1016;52.2086;195167.4278812
2013-01-31;52.1016;52.3503;49.9755;50.8264;386746.80474349
2013-02-01;50.9682;51.6062;50.4718;51.2159;274334.6273102
2013-02-04;52.6337;52.6337;51.4289;51.8183;155963.45523827
2013-02-05;52.4564;52.6337;51.9956;52.1016;277115.10801322
2013-02-06;52.3146;52.4207;51.3933;51.5705;258714.69889254
2013-02-07;51.5705;51.7123;50.6492;51.3219;119804.55186339
2013-02-08;51.0385;51.7479;51.0385;51.7123;40858.226366938
2013-02-11;51.6766;51.96;51.4645;51.7479;37381.762699374
2013-02-12;52.1016;52.1016;51.4645;51.6062;48647.483644595
2013-02-13;51.641;52.0312;51.3933;51.5349;68914.967726379
2013-02-14;51.3933;52.1016;51.3219;52.1016;10457.000244262
2013-02-15;51.7479;51.8539;49.6921;51.7479;21454.681469251
2013-02-18;51.6062;51.6062;50.1171;50.1884;175802.99607573
2013-02-19;49.9755;50.5422;48.6994;49.6207;363563.09452098
2013-02-20;49.6921;50.6135;49.6921;50.4362;35916.172126086
2013-02-21;50.1884;50.1884;49.3017;49.6207;19216.032132031
2013-02-22;49.6207;49.9755;48.9827;49.6207;22042.528237658
2013-02-25;49.6921;50.6848;49.6207;50.3301;35151.166057611
2013-02-26;49.6207;50.2944;49.373;49.9755;73190.949014379
2013-02-27;50.0467;50.6848;49.6207;49.6207;106723.52328501
2013-02-28;50.5778;50.5778;49.6921;50.1171;46368.570830086
2013-03-01;49.9755;50.1171;49.5147;49.6207;99028.597582711
2013-03-04;50.3301;50.3658;49.3017;49.7625;62525.729073284
2013-03-05;49.7625;50.3301;49.7625;50.3301;21552.464199808
2013-03-06;49.9755;50.2232;49.4087;50.2232;41471.381606783
2013-03-07;48.9124;48.9124;47.1398;48.203;344719.78715013
2013-03-08;48.2743;50.0467;48.2386;49.586;354309.3970551
2013-03-11;49.9755;50.0467;49.267;49.4791;154285.04342789
2013-03-12;49.5147;49.5503;48.5576;49.1244;26680.880821252
2013-03-13;49.1244;49.3374;48.735;48.8766;147818.72897541
2013-03-14;48.7706;49.6207;48.5933;49.373;343978.93916803
2013-03-15;48.9124;49.7981;48.9124;49.7625;123951.69002407
2013-03-18;49.586;49.586;48.4873;49.5503;30709.529320196
2013-03-19;49.054;49.4791;47.3884;47.3884;250184.59363278
2013-03-20;47.0694;48.7706;47.0694;48.4873;272099.42912818
2013-03-21;48.5576;48.6289;47.4945;48.1325;85870.493204947
2013-03-22;47.4945;48.841;47.2112;47.4945;121519.77599587
2013-03-25;48.0613;48.9124;47.1755;47.2112;36874.442885543
2013-03-26;47.2112;48.1325;46.8565;47.1398;26377.179163993
2013-03-27;47.1398;49.267;47.1398;48.9124;18694.907697416
2013-03-28;48.5576;49.267;47.6362;49.267;14269.376350917
2013-04-02;49.267;49.267;48.5576;48.735;68220.135146892
2013-04-03;48.7706;49.1957;48.735;49.1957;144261.73835327
2013-04-04;49.1957;49.2314;48.6637;48.9124;61345.433996209
2013-04-05;48.841;49.4435;48.7706;49.4435;26613.008102395
2013-04-08;49.4435;49.4435;48.5576;49.267;13424.993712931
2013-04-09;48.6994;49.054;48.4516;48.5576;41638.187441263
2013-04-10;48.9124;49.1244;47.5649;48.203;29371.631489165
2013-04-11;48.0613;48.6289;47.5649;48.5576;26082.680587257
2013-04-12;47.9909;48.9124;47.8839;48.3803;95702.834358711
2013-04-15;49.054;49.054;47.7779;48.2108;19841.841607595
2013-04-17;48.203;48.2743;47.9196;48.203;93258.266094788
2013-04-18;48.203;48.4873;46.9982;47.2816;163094.69225853
2013-04-19;46.9982;48.203;46.9982;47.4945;29763.912796458
2013-04-22;47.1398;47.5649;46.8921;47.4945;27803.656645058
