Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1997-09-08;40.1934;40.1934;40.1934;40.1934;205583.46079336
1997-09-09;41.4485;41.4485;41.4485;41.4485;123913.85707762
1997-09-10;42.7035;42.7035;42.7035;42.7035;60508.185276425
1997-09-11;41.7648;41.7648;41.7648;41.7648;83530.910441065
1997-09-12;41.1358;41.1358;41.1358;41.1358;53331.264953744
1997-09-15;41.1358;41.1358;41.1358;41.1358;201343.31875382
1997-09-16;43.0189;43.0189;43.0189;43.0189;50775.055416008
1997-09-17;43.0189;43.0189;43.0189;43.0189;70301.936706906
1997-09-18;43.3334;43.3334;43.3334;43.3334;71388.634481403
1997-09-19;43.3334;43.3334;43.3334;43.3334;226757.22807102
1997-09-22;43.9614;43.9614;43.9614;43.9614;56539.717680511
1997-09-23;43.9614;43.9614;43.9614;43.9614;21439.828612946
1997-09-24;42.7035;42.7035;42.7035;42.7035;17922.654927514
1997-09-25;42.7035;42.7035;42.7035;42.7035;58889.364831359
1997-09-26;43.0189;43.0189;43.0189;43.0189;132668.06084365
1997-09-29;42.7035;42.7035;42.7035;42.7035;12151.256933004
1997-09-30;43.3334;43.3334;43.3334;43.3334;45200.116213375
1997-10-01;43.3334;43.3334;43.3334;43.3334;31058.45106324
1997-10-02;43.9614;43.9614;43.9614;43.9614;15276.63565635
1997-10-03;41.7648;41.7648;41.7648;41.7648;8345.5694789318
1997-10-06;42.0765;42.0765;42.0765;42.0765;42314.978526954
1997-10-07;42.7035;42.7035;42.7035;42.7035;43693.557935096
1997-10-08;43.6461;43.6461;43.6461;43.6461;38029.931620702
1997-10-09;43.9614;43.9614;43.9614;43.9614;74047.002590915
1997-10-10;44.2749;44.2749;44.2749;44.2749;79941.88896889
1997-10-13;45.5309;45.5309;45.5309;45.5309;44345.801124127
1997-10-14;47.7293;47.7293;47.7293;47.7293;48185.167228236
1997-10-15;48.3582;48.3582;48.3582;48.3582;42222.923550189
1997-10-16;48.3582;48.3582;48.3582;48.3582;98122.746880014
1997-10-17;47.4158;47.4158;47.4158;47.4158;31991.349669239
1997-10-20;47.7293;47.7293;47.7293;47.7293;101659.0051338
1997-10-21;47.7293;47.7293;47.7293;47.7293;80543.614182868
1997-10-22;48.3582;48.3582;48.3582;48.3582;37604.458008579
1997-10-23;47.7293;47.7293;47.7293;47.7293;13584.844802872
