Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1997-04-24;1.319;1.319;1.319;1.319;2403795.1888176
1997-04-25;1.26482;1.26482;1.26482;1.26482;1129449.0160129
1997-04-28;1.15007;1.15007;1.15007;1.15007;543427.87175424
1997-04-29;1.05739;1.05739;1.05739;1.05739;2242758.2213366
1997-04-30;1.11732;1.11732;1.11732;1.11732;951457.44491374
1997-05-05;1.10647;1.10647;1.10647;1.10647;1850028.0294975
1997-05-06;1.17752;1.17752;1.17752;1.17752;2251894.8254954
1997-05-07;1.17205;1.17205;1.17205;1.17205;1119470.8678575
1997-05-08;1.21019;1.21019;1.21019;1.21019;995316.93461034
1997-05-09;1.2754;1.2754;1.2754;1.2754;968981.62334293
1997-05-12;1.30823;1.30823;1.30823;1.30823;1340464.7798674
1997-05-13;1.31371;1.31371;1.31371;1.31371;910929.57774131
1997-05-14;1.23198;1.23198;1.23198;1.23198;476134.44697972
1997-05-15;1.2754;1.2754;1.2754;1.2754;438354.13735899
1997-05-16;1.26482;1.26482;1.26482;1.26482;358297.1095319
1997-05-19;1.28653;1.28653;1.28653;1.28653;293108.1020627
1997-05-20;1.28653;1.28653;1.28653;1.28653;176709.74911762
1997-05-21;1.24822;1.24822;1.24822;1.24822;514493.24843385
1997-05-22;1.23198;1.23198;1.23198;1.23198;569043.13345638
1997-05-23;1.10647;1.10647;1.10647;1.10647;486648.73111167
1997-05-26;1.11732;1.11732;1.11732;1.11732;418598.47405414
1997-05-27;1.09023;1.09023;1.09023;1.09023;505336.58097451
1997-05-28;1.09023;1.09023;1.09023;1.09023;404220.88993266
1997-05-30;1.14459;1.14459;1.14459;1.14459;301626.0877869
1997-06-02;1.10647;1.10647;1.10647;1.10647;161030.27971402
1997-06-03;1.12834;1.12834;1.12834;1.12834;336964.24787587
1997-06-04;1.10647;1.10647;1.10647;1.10647;469960.52354001
1997-06-05;1.09552;1.09552;1.09552;1.09552;301059.8568594
1997-06-06;1.11732;1.11732;1.11732;1.11732;131755.69491158
1997-06-09;1.13932;1.13932;1.13932;1.13932;171867.80591087
1997-06-10;1.11203;1.11203;1.11203;1.11203;382272.75372549
1997-06-11;1.09552;1.09552;1.09552;1.09552;182140.21580805
1997-06-12;1.18819;1.18819;1.18819;1.18819;547179.70896278
1997-06-13;1.21556;1.21556;1.21556;1.21556;580847.04196453
1997-06-16;1.19367;1.19367;1.19367;1.19367;199437.01016399
1997-06-17;1.17752;1.17752;1.17752;1.17752;178625.79432305
1997-06-18;1.17752;1.17752;1.17752;1.17752;676958.05413938
