Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2009-05-25;4.7983;4.7983;4.38331;4.45023;329390.21522442
2009-05-26;4.61747;4.61747;4.16903;4.26947;64326.103507029
2009-05-27;4.27617;4.27617;3.94837;4.01518;52355.580189468
2009-05-28;4.02197;4.02197;3.87468;3.91483;27451.049536462
2009-05-29;3.8813;4.14907;3.78086;4.03539;48498.110557961
2009-06-01;4.17591;4.17591;4.01518;4.09559;11828.003065527
2009-06-02;4.01518;4.14236;3.96161;4.12895;33169.527417674
2009-06-03;4.11554;4.11554;4.01518;4.07547;5089.5042069447
2009-06-04;4.07547;4.16903;4.05535;4.05535;9334.4875815867
2009-06-05;4.05535;4.09559;4.03539;4.09559;1982.3271419319
2009-06-08;4.0888;4.11554;4.01518;4.09559;8612.4634948344
2009-06-09;4.09559;4.09559;4.02861;4.08208;2732.6197084267
2009-06-10;4.08208;4.16249;4.08208;4.11554;10368.642798828
2009-06-12;4.10883;4.15579;4.1022;4.1022;3553.5834742773
2009-06-15;4.06867;4.18252;4.06867;4.18252;1438.1589068918
2009-06-16;4.06867;4.14907;4.04882;4.14907;2630.1464693606
2009-06-17;4.13574;4.15579;4.11554;4.11554;10208.454746954
2009-06-18;4.06867;4.12895;4.06867;4.12895;436.98358268375
2009-06-19;4.06867;4.14907;4.06206;4.08208;4422.8392263544
2009-06-22;4.04192;4.11554;3.96161;4.01518;14992.894943346
2009-06-23;4.01518;4.06206;3.96161;4.06206;534.74540845936
2009-06-24;4.11554;4.11554;4.10883;4.11554;5978.783465506
2009-06-25;4.12895;4.12895;4.01518;4.01518;2804.4687611051
2009-06-26;4.09559;4.09559;4.01518;4.01518;262.66129093929
2009-06-29;4.06206;4.06206;4.06206;4.06206;301.530450585
2009-06-30;4.02861;4.02861;4.02861;4.02861;1047.1116037894
2009-07-01;3.9684;4.05535;3.8948;4.01518;6286.2031827039
2009-07-02;4.05535;4.08208;3.94837;3.94837;15964.623934489
2009-07-03;4.00195;4.00195;4.00195;4.00195;447.58426258713
2009-07-06;4.01518;4.01518;4.01518;4.01518;2241.4548729034
2009-07-07;3.98182;4.01518;3.98182;4.01518;984.68537769167
2009-07-09;3.93495;4.00857;3.8813;3.8813;13081.239000769
2009-07-10;3.8813;4.00857;3.8813;4.00857;3412.2410755656
2009-07-13;4.00857;4.00857;3.8813;4.00857;1890.4545827693
2009-07-15;4.00857;4.00857;3.8279;3.94837;2664.304215716
2009-07-16;3.9752;3.9752;3.91483;3.9752;5199.0445659463
2009-07-17;3.92163;4.00857;3.92163;4.00857;623.08440765419
2009-07-20;3.88809;3.88809;3.88809;3.88809;1951.7029555444
2009-07-21;3.93495;4.00857;3.93495;3.94149;3770.3084856352
2009-07-22;3.94149;4.07547;3.94149;4.07547;623.08440765419
2009-07-23;4.04882;4.06206;4.04882;4.04882;2989.3917327529
2009-07-24;4.07547;4.12216;4.04882;4.04882;5478.1958034019
