Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2016-03-22;6.77993;6.77993;6.38335;6.6139;14287.342644547
2016-03-23;6.65674;6.65674;6.03769;6.52876;15421.550785679
2016-03-24;6.50692;6.57091;6.50692;6.57091;4074.2123261977
2016-03-29;6.44308;6.44727;6.40023;6.44727;4337.0647343395
2016-03-30;6.44727;6.6139;6.44727;6.6098;8156.3102246398
2016-03-31;6.40504;6.58392;6.40504;6.58392;48.627695506231
2016-04-01;6.55052;6.55052;6.55052;6.55052;247.08126365329
2016-04-04;6.55052;6.55052;6.55052;6.55052;386.39303996843
2016-04-05;6.55052;6.55052;6.50692;6.50692;2595.6675304002
2016-04-06;6.55052;6.55052;6.44308;6.44308;1652.0273851712
2016-04-07;6.50692;6.50692;6.4214;6.4214;278.6235526303
2016-04-08;6.4214;6.6139;6.4214;6.42619;5498.8723783263
2016-04-11;6.60568;6.60568;6.60568;6.60568;1.3142620407089
2016-04-12;6.42619;6.55797;6.4214;6.55797;785.92870034396
2016-04-13;6.5458;6.5458;6.42619;6.5458;616.3888970925
2016-04-14;6.48651;6.52876;6.48651;6.52876;1885.9660284174
2016-04-15;6.40023;6.5118;6.35794;6.5118;4172.7819792509
2016-04-18;6.40504;6.40504;6.3966;6.3966;1979.2786333078
2016-04-19;6.36645;6.36645;6.3501;6.3501;1917.5083173944
2016-04-20;6.33687;6.33687;6.05876;6.06782;3727.2471474506
2016-04-21;6.18726;6.23018;6.18726;6.18726;1624.4278823164
2016-04-22;6.18726;6.35794;6.18726;6.35794;258.90962201967
2016-04-25;6.23018;6.23018;6.06425;6.06425;2365.6716732761
2016-04-26;6.20843;6.48651;6.20843;6.48651;6831.5340876053
2016-04-27;6.48651;6.69958;6.48651;6.48994;18608.636234398
2016-04-28;6.49406;6.49406;6.49406;6.49406;692.61609545362
2016-05-02;6.52876;6.52876;6.52876;6.52876;223.42454692053
2016-05-04;6.2512;6.37483;6.24282;6.24282;2732.3507826339
2016-05-06;6.31449;6.6098;6.31449;6.35794;2343.3292185841
2016-05-09;6.40023;6.40023;6.40023;6.40023;24.97097877347
2016-05-10;6.40023;6.43037;6.40023;6.43037;1690.1409843517
2016-05-11;6.40869;6.65263;6.40869;6.6139;6554.2247970156
2016-05-12;6.63155;6.63155;6.52876;6.58392;5882.6368942133
2016-05-13;6.57091;6.57091;6.57091;6.57091;467.8772864924
2016-05-16;6.59686;6.6098;6.57981;6.6098;2062.0771418724
2016-05-17;6.6139;6.6139;6.59344;6.59344;3665.4768315372
2016-05-18;6.57091;6.57091;6.57091;6.57091;140.62603835587
2016-05-19;6.52876;6.6139;6.52876;6.6139;25445.427370167
2016-05-20;6.65263;6.65674;6.65263;6.65674;6552.9105349749
2016-05-23;6.57091;6.57091;6.52876;6.52876;1523.2297051816
2016-05-24;6.6139;6.65674;6.6139;6.61793;2269.7305443044
2016-05-25;6.65674;6.65674;6.65674;6.65674;1127.6368309283
2016-05-30;6.6139;6.6139;6.53288;6.6139;902.89802196706
2016-05-31;6.59344;6.6139;6.52876;6.6139;3792.9602494861
2016-06-01;6.53288;6.53288;6.41766;6.41766;2194.8176079839
2016-06-02;6.40504;6.65674;6.40023;6.65674;8462.5332801251
2016-06-03;6.65674;6.65674;6.65674;6.65674;185.31094773996
2016-06-06;6.65674;6.65674;6.48651;6.48651;801.69984483246
2016-06-07;6.4777;6.64791;6.4777;6.64791;2436.6418234745
2016-06-08;6.46476;6.52876;6.46476;6.52876;2226.359896961
2016-06-09;6.52876;6.52876;6.52876;6.52876;353.5364889507
2016-06-10;6.48651;6.48651;6.48651;6.48651;2343.3292185841
2016-06-14;6.48994;6.48994;6.40504;6.40504;985.69653053172
2016-06-15;6.40504;6.40504;6.40023;6.40023;923.9262146184
2016-06-16;6.35794;6.35794;6.27234;6.27234;473.13433465523
2016-06-20;6.27234;6.27653;6.27234;6.27234;1174.9502643937
2016-06-21;6.10646;6.10646;6.10646;6.10646;94.626866931045
2016-06-22;6.2645;6.3501;6.2645;6.3501;517.81924403933
2016-06-24;6.10646;6.18309;5.76011;6.16193;9923.9926693934
2016-06-27;6.3803;6.3803;6.33505;6.3803;3799.5315596897
2016-06-28;6.3803;6.3803;6.3803;6.3803;927.86900074053
2016-06-29;6.33505;6.60765;6.33505;6.60371;1558.7147802809
2016-06-30;6.4723;6.4723;6.4723;6.4723;6.5713102035448
2016-07-01;6.42619;6.43037;6.42619;6.43037;813.52820319885
2016-07-04;6.4723;6.4723;6.28916;6.28916;4845.6841440939
2016-07-05;6.33505;6.33505;6.08349;6.08349;594.04644240044
2016-07-06;6.0618;6.07086;6.0618;6.0618;2674.5232528428
2016-07-07;6.0618;6.10701;6.0618;6.10701;3535.364889507
2016-07-12;6.14801;6.15235;6.14801;6.15235;946.26866931045
2016-07-13;6.10701;6.10701;6.10701;6.10701;123.54063182664
2016-07-14;6.02018;6.02018;6.02018;6.02018;159.0257069258
2016-07-15;6.17579;6.17579;6.17579;6.17579;164.28275508861
2016-07-18;6.17579;6.17579;6.07086;6.07086;883.18409135643
2016-07-19;6.0618;6.0618;6.0431;6.0431;2545.7255728532
2016-07-20;6.0564;6.19336;6.0564;6.19336;5069.1086910145
2016-07-21;6.19336;6.19336;6.02018;6.03471;332.50829629936
2016-07-22;6.27531;6.28916;6.27531;6.28916;1742.7114659801
2016-07-25;6.3803;6.60765;6.15707;6.60765;3402.6244233955
2016-07-26;6.60765;6.68603;6.60765;6.68603;2282.8731647115
2016-07-27;6.69958;6.69958;6.68603;6.68603;220.7960228391
2016-07-28;6.60765;6.60765;6.60765;6.60765;220.7960228391
2016-07-29;6.60371;6.81333;6.60371;6.81333;826.67082360594
2016-08-01;6.58049;6.58049;6.58049;6.58049;220.7960228391
2016-08-04;6.76769;6.76769;6.76769;6.76769;52.570481628358
2016-08-08;6.58529;6.58529;6.58529;6.58529;670.27364076157
2016-08-09;6.60371;6.60371;6.60371;6.60371;220.7960228391
2016-08-10;6.60371;6.60371;6.58049;6.58049;437.64925955608
2016-08-11;6.60765;6.60765;6.60765;6.60765;417.93532894544
2016-08-12;6.63155;6.83122;6.63155;6.83122;1866.2520978068
2016-08-16;6.61726;6.83122;6.58049;6.83122;449.47761792246
2016-08-17;6.58529;6.83122;6.58529;6.83122;52.570481628358
2016-08-18;6.83122;6.83122;6.83122;6.83122;327.25124813654
2016-08-24;6.74453;6.74453;6.56757;6.7221;1474.6020096755
2016-08-29;6.56283;6.69958;6.56283;6.69958;507.30514771366
2016-08-30;6.59001;6.59001;6.56283;6.56283;1479.8590578384
2016-08-31;6.69958;6.86782;6.60765;6.81333;17266.774690835
2016-09-01;6.81333;6.82764;6.81333;6.82764;1795.2819476084
2016-09-02;6.81333;6.81333;6.58529;6.79089;1507.4585606931
2016-09-05;6.78601;6.78601;6.58529;6.69958;977.81095828746
2016-09-06;6.5996;6.76769;6.5996;6.76769;1512.7156088559
2016-09-07;6.75884;6.83692;6.75884;6.83692;11134.428008887
2016-09-08;6.83122;6.92746;6.79089;6.92746;82778.794634054
2016-09-09;6.8815;7.0416;6.83692;6.92746;120324.63261303
