Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2009-10-23;10.5176;10.6877;10.2462;10.4501;168522.15688123
2009-10-26;10.511;10.511;10.3548;10.3827;25185.121911891
2009-10-27;10.3827;10.5725;10.2462;10.5725;101649.38595512
2009-10-28;10.511;10.511;10.2397;10.2537;21312.266071244
2009-10-29;10.2602;10.2602;9.90685;10.0499;36880.343507963
2009-10-30;9.93399;10.0433;9.90685;9.97509;27706.189238884
2009-11-02;10.0433;10.0433;9.94135;9.97509;39482.93183443
2009-11-03;9.97509;10.1723;9.83947;10.077;7559.5517869742
2009-11-04;10.1444;10.1444;9.97509;9.97509;8229.9707527914
2009-11-05;9.87321;10.1723;9.87321;9.8863;8694.7621229225
2009-11-06;9.90685;10.0901;9.80497;10.0836;7102.0608048557
2009-11-09;9.8798;10.5176;9.8798;10.2602;17149.828172766
2009-11-10;10.4156;10.4156;10.1921;10.3145;14542.372920959
2009-11-12;10.2808;10.3145;10.1649;10.1649;17391.957708516
2009-11-13;10.2118;10.2462;10.2118;10.2462;1496.5795425685
2009-11-16;10.3827;10.4772;10.1855;10.2669;16099.789030299
2009-11-17;10.1921;10.2462;10.1781;10.1781;3880.1562286594
2009-11-18;10.1781;10.1781;9.97509;10.0433;11393.472224888
2009-11-19;10.0087;10.0704;9.9274;9.94135;7917.2707995881
2009-11-20;10.0087;10.0836;9.91421;10.0836;2092.7778969251
2009-11-23;9.90685;9.97509;9.90685;9.94804;268.89762512817
2009-11-24;9.94804;10.0014;9.91421;9.94135;4571.2596271788
2009-11-25;9.94135;9.96773;9.84606;9.84606;3730.4982744025
2009-11-26;9.89949;9.89949;9.70385;9.77123;2173.0821650629
2009-11-27;9.49923;9.75727;9.43186;9.74408;36775.704613116
2009-11-30;9.54113;9.83947;9.46555;9.73845;16421.00610285
2009-12-01;9.6357;9.66275;9.51319;9.62911;15802.906584455
2009-12-02;9.62911;9.6357;9.49923;9.62911;55773.747684389
2009-12-03;9.5066;10.077;9.49923;10.077;56736.182170707
2009-12-04;10.063;10.1781;9.84606;10.1583;12400.925770617
2009-12-07;10.1583;10.1583;9.97509;10.1041;12865.717140747
2009-12-08;10.1649;11.0197;10.1649;10.7344;544919.21222523
2009-12-09;10.8709;11.2982;10.8225;11.1964;305625.8772192
2009-12-10;11.3255;11.3452;10.9383;10.9934;62476.720611226
2009-12-11;11.0616;11.1216;10.8906;11.0131;54814.963392076
2009-12-14;10.9318;11.0271;10.7887;10.9252;51347.279086125
2009-12-15;10.884;10.9934;10.884;10.9654;43611.301255515
2009-12-16;10.884;11.0468;10.8643;11.0468;95300.481846893
2009-12-17;11.0271;11.1216;10.8906;10.986;99668.547341057
2009-12-18;11.0271;11.0271;10.7756;10.9934;93561.772768577
2009-12-21;10.9934;11.0271;10.9597;10.9597;28638.205441817
2009-12-22;10.9597;10.9654;10.8225;10.9597;55480.515432552
2009-12-23;10.9794;10.9794;10.8299;10.9728;13225.869616032
2009-12-28;10.9597;10.986;10.9252;10.9597;8360.1610056815
2009-12-29;10.9383;11.0468;10.8981;10.9597;13679.710404145
2009-12-30;10.9252;11.0402;10.9252;10.986;2904.3376976513
2009-12-31;10.9654;10.9934;10.8906;10.9597;2432.2459395077
2010-01-04;10.9597;11.0271;10.7961;10.9934;46673.814026771
2010-01-05;11.0328;11.1216;10.9252;11.0616;58215.72747458
2010-01-06;11.0402;11.0616;10.9728;10.9934;70488.896454977
2010-01-07;11.0616;11.0616;10.8225;10.857;18507.700343097
2010-01-08;10.9178;10.9178;10.4969;10.4969;34777.831760355
2010-01-11;10.511;10.654;10.2462;10.2669;179630.91397362
2010-01-12;10.2669;10.349;10.1099;10.2323;89023.364887454
2010-01-13;10.2462;10.7887;10.2258;10.7279;649927.99339744
2010-01-14;10.857;10.857;10.5176;10.5176;80167.994228255
2010-01-15;10.5176;10.7213;10.3202;10.5857;5324.4163238048
2010-01-18;10.6811;10.9934;10.654;10.8981;152513.62270109
2010-01-19;10.8981;10.9178;10.7344;10.857;16244.580059213
2010-01-20;10.884;10.884;10.6811;10.6877;24604.741064895
2010-01-21;10.7213;10.7213;10.5857;10.5857;39010.840076287
2010-01-22;10.5521;10.654;10.5307;10.538;19582.074112274
2010-01-25;10.5784;10.769;10.3679;10.6942;13560.470733273
2010-01-26;10.5249;10.6942;10.3548;10.6195;13528.835718553
2010-01-27;10.6195;10.783;10.5176;10.769;4319.3962407465
2010-01-28;10.7624;10.9934;10.6195;10.857;1001189.8128143
2010-01-29;10.8553;10.9202;10.7896;10.9063;20051.732407747
2010-02-01;10.9112;10.9112;10.7887;10.8906;19623.442977678
2010-02-02;10.8906;11.3048;10.8906;11.1618;378525.11844965
2010-02-03;11.1553;11.6583;11.0468;11.6041;123023.70532447
2010-02-04;11.6722;11.8745;11.4142;11.4199;101559.3478363
2010-02-05;11.332;11.3731;11.0328;11.3731;71383.193986512
2010-02-08;11.1964;11.6509;11.0674;11.3731;35046.729385482
2010-02-09;11.5013;11.5358;11.2646;11.4668;17565.950289481
2010-02-10;11.5292;11.5358;11.2646;11.2646;41199.739748709
2010-02-11;11.4002;11.4956;11.3189;11.4331;9182.6713884265
2010-02-12;11.5013;11.706;11.5013;11.5358;311641.39694153
2010-02-15;11.5696;12.0446;11.5696;11.8745;73426.085898685
2010-02-16;11.9763;12.0446;11.7939;11.8071;64205.695838861
2010-02-17;11.909;12.1465;11.8341;12.1465;43507.879092004
2010-02-18;12.2147;12.384;12.0174;12.3166;60531.167205888
2010-02-19;12.0857;12.3502;12.0857;12.3166;29474.099869252
2010-02-22;12.601;12.601;12.2147;12.4851;91027.321396893
2010-02-23;12.6486;12.6552;12.2821;12.5533;31301.630335055
2010-02-24;12.5197;12.5533;12.2344;12.2344;24074.246202651
2010-02-25;12.4045;12.615;12.2279;12.5064;177035.62603518
2010-02-26;12.4588;13.1171;12.4588;12.8253;63952.615721092
2010-03-01;12.8927;13.164;12.7638;13.0218;35691.596993256
2010-03-02;12.961;13.2321;12.8253;12.974;231485.57002663
2010-03-03;13.1098;13.2256;12.8253;12.8253;44647.956353294
2010-03-04;12.6889;12.6889;12.3502;12.4251;47255.411605102
2010-03-05;12.4588;13.5034;12.3502;13.5034;156997.27767211
2010-03-08;13.5099;14.0803;13.3818;13.9177;304674.39331491
2010-03-09;13.9177;14.2505;13.9102;14.114;61148.049992946
