Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2025-06-24;38.5;38.5;36.2;37.53;539507
2025-06-25;37.9;38.2;37.52;37.75;173284
2025-06-26;37.75;37.995;36.92;37.395;49194
2025-06-27;37.4;37.4;36.275;37;95984
2025-06-30;37;37.395;36.4;36.4;83973
2025-07-01;36.55;36.95;36.065;36.225;37750
2025-07-02;36.225;36.5;36.16;36.295;4116
2025-07-03;36.25;36.885;36.25;36.7;36965
2025-07-04;36.82;37;36.5;37;20204
2025-07-07;37;37.6;36.95;37.1;14766
2025-07-08;37.4;37.475;36.8;36.9;18098
2025-07-09;37.2;37.2;36.88;36.95;70947
2025-07-10;37;37.445;36.81;37.195;24276
2025-07-11;37.36;37.48;37.1;37.4;10487
2025-07-14;37.4;37.4;37.11;37.25;5690
2025-07-15;37.26;37.35;36.805;36.805;8010
2025-07-16;36.9;37.395;36.71;37.11;33786
2025-07-17;37.4;37.4;36.8;36.95;7853
2025-07-18;37;37.29;36.75;37.15;6689
2025-07-21;37.15;37.15;36.83;36.985;3698
2025-07-22;36.75;36.9;36.52;36.585;5799
2025-07-23;36.51;36.8;36.505;36.58;6309
2025-07-24;37;37.61;37;37.22;12908
2025-07-25;37.725;37.85;37.22;37.48;14397
2025-07-28;37.49;37.88;37;37.29;15851
2025-07-29;37;37.4;37;37.4;4964
2025-07-30;37.75;38.765;37.75;38.68;152615
2025-07-31;38.68;39.49;38.68;39.25;62036
2025-08-01;39.18;39.24;36.6;38.3;28388
2025-08-04;38.65;40.9;38.3;40.6;94639
2025-08-05;41.005;41.8;40.7;40.95;43261
2025-08-06;41.39;41.46;40.7;41;34662
2025-08-07;41.3;41.32;39.61;40.1;98720
2025-08-08;40.795;41.445;40.41;41.3;27388
2025-08-11;41.4;43.925;41.3;43.4;41718
2025-08-12;43.2;45.465;42.1;44.8;50043
2025-08-13;44.9;47.5;44.8;46;57874
2025-08-14;46;46;42.5;44.62;25038
2025-08-18;44.62;45.36;44.105;44.6;17058
2025-08-19;44.99;47;43.1;47;101088
2025-08-20;45.7;46.8;44.84;44.84;34696
2025-08-21;44.7;45;44.035;44.5;12302
2025-08-22;44.8;44.8;43.21;43.65;9735
2025-08-25;43.675;43.95;42.45;43.6;15188
2025-08-26;42.99;44.2;42.51;44.01;4762
2025-08-27;44.18;44.195;42.6;42.7;7043
2025-08-28;43.82;43.82;42.7;43.2;4113
2025-08-29;43.45;43.45;42.7;42.99;4178
2025-09-01;42.99;44.4;42.99;44.3;23807
2025-09-02;44.6;46.2;44;44.6;68862
2025-09-03;44.98;45;44;44.485;8338
2025-09-04;44.5;45.44;44.005;44.04;8603
2025-09-05;44.28;44.84;44;44;18635
2025-09-08;44;45;44;44.98;13470
2025-09-09;44.98;44.98;44;44.5;4941
2025-09-10;44.55;45.22;44;44.45;15326
2025-09-11;44.49;45.44;44;44.75;16566
2025-09-12;44.88;47;44.5;46.4;40881
2025-09-15;46.52;46.97;45.23;45.8;13126
2025-09-16;45.31;46;45.3;45.845;5348
2025-09-17;45.845;45.845;44.75;45.28;20384
2025-09-18;45.01;45.82;45.01;45.43;13061
2025-09-19;45.45;46.7;45.45;46.02;11539
2025-09-22;46.755;47.5;46.5;47.49;21005
2025-09-23;47.5;47.5;45.6;46;18241
2025-09-24;45;45;42.5;43.3;121989
2025-09-25;43.3;44;43.04;43.6;16984
2025-09-26;43.6;43.6;42.6;43;21297
2025-09-29;43;43.89;42.7;43.67;16729
2025-09-30;43.7;43.7;42.92;43.7;11262
2025-10-01;43.7;43.8;42.8;43.685;6868
2025-10-02;43.68;44.4;43.1;44;6769
2025-10-03;44.4;44.69;43.66;44;4625
2025-10-06;45;45.45;43.6;43.63;43276
2025-10-07;43.96;44.4;43.375;44.4;23105
2025-10-08;45;46.2;44;44.95;301019
2025-10-09;45.8;45.8;44.12;44.8;12877
2025-10-10;44.9;44.95;43.91;44.5;31162
2025-10-13;44.42;44.8;44;44.235;7820
2025-10-14;44.1;44.48;42;42.32;24673
2025-10-15;42.8;43.88;42.8;43.12;38078
2025-10-16;43.8;43.8;43.2;43.48;4789
2025-10-17;43.2;44.2;42.15;44;25030
2025-10-20;44.1;44.49;43.22;43.24;8563
2025-10-21;43.2;44;42.68;43.13;7768
2025-10-22;42.9;43.4;42.1;42.8;8344
2025-10-23;43.3;43.4;42.3;42.5;4987
2025-10-24;42.3;42.59;41.51;42.43;18097
2025-10-27;42.3;42.4;40;42;22810
2025-10-28;42.25;42.25;41.605;41.8;4346
