Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-10-30;2.56599;2.72904;2.44725;2.55466;352770.21493027
2007-10-31;2.55094;2.55094;2.46574;2.46574;59454.639562484
2007-11-02;2.48429;2.53977;2.46574;2.50279;66559.775889164
2007-11-05;2.55094;2.55094;2.46574;2.46574;51867.887806035
2007-11-06;2.50279;2.50279;2.48429;2.50279;35690.58256859
2007-11-07;2.50279;2.50653;2.37305;2.37305;118952.46746513
2007-11-08;2.3917;2.4435;2.15429;2.4435;88930.027359403
2007-11-09;2.28037;2.44725;2.28037;2.4435;38654.873189318
2007-11-12;2.55466;2.55466;2.29893;2.41019;30528.92154954
2007-11-13;2.44725;2.45839;2.41019;2.41019;141257.28205633
2007-11-14;2.55849;2.55849;2.41019;2.49913;923.96873211194
2007-11-15;2.41019;2.45839;2.23208;2.45839;15532.097610064
2007-11-16;2.40636;2.41019;2.40636;2.41019;3528.3565180932
2007-11-19;2.44725;2.45839;2.44725;2.45839;265.67372892171
2007-11-20;2.44725;2.44725;2.31368;2.31368;1276.0191413727
2007-11-21;2.19875;2.19875;2.0393;2.0393;3886.9506152584
2007-11-22;2.0393;2.0393;2.0393;2.0393;1888.5083292316
2007-11-23;1.85766;2.29518;1.85766;2.29518;1214.5084750706
2007-11-26;2.4435;2.45839;2.22481;2.22481;15995.390713699
2007-11-27;2.22481;2.33217;2.22481;2.28037;2300.7606672136
2007-11-28;2.15062;2.41019;2.15062;2.41019;32858.474443533
2007-11-30;2.20618;2.48429;2.20618;2.48429;234481.27741865
2007-12-03;2.48429;2.55849;2.41019;2.55849;88142.167335703
2007-12-05;2.48063;2.52135;2.35822;2.48429;21416.181773767
2007-12-06;2.48429;2.55466;2.48429;2.55466;24462.922862092
2007-12-10;2.40636;2.48063;2.40636;2.41385;2774.5236714976
2007-12-11;2.41019;2.68809;2.41019;2.68809;203472.04917692
2007-12-12;2.69565;2.69565;2.60282;2.66967;17738.629171452
2007-12-13;2.60282;2.666;2.60282;2.666;2290.2907665664
2007-12-14;2.56599;2.66967;2.41019;2.66967;275104.49192964
2007-12-17;2.666;2.666;2.62145;2.62145;1768.1044717893
2007-12-18;2.59548;2.59548;2.59548;2.59548;540.50862090967
2007-12-19;2.66967;2.66967;2.66967;2.66967;5393.3075708688
2007-12-20;2.66967;2.92917;2.66967;2.92917;59482.123051683
2007-12-21;2.92917;3.15175;2.92917;3.04041;25208.903283201
2007-12-27;3.04416;3.29999;3.04041;3.15175;15642.031566857
2007-12-28;3.28149;3.33711;3.17029;3.26283;53828.376702215
2008-01-02;3.39273;3.39273;3.26283;3.33711;18078.900942486
2008-01-03;3.29999;3.33711;3.15175;3.15175;15601.46070185
2008-01-04;3.15175;3.15175;3.15175;3.15175;5039.948424027
2008-01-07;3.08494;3.08494;2.85131;2.96623;12817.775867286
2008-01-08;2.85496;2.8587;2.85496;2.8587;4524.3058171543
2008-01-09;2.70674;2.81806;2.63261;2.81806;17234.765202807
2008-01-10;2.70674;2.74012;2.63261;2.74012;6212.5772965091
2008-01-11;2.70674;2.70674;2.59915;2.68809;9014.5844572054
2008-01-14;2.69931;2.69931;2.44725;2.59548;16524.120696382
2008-01-15;2.59548;2.78084;2.59548;2.66967;8159.9788168809
2008-01-16;2.52135;2.59548;2.29893;2.52135;22329.680605232
2008-01-17;2.44725;2.70674;2.44725;2.48429;102492.47491022
2008-01-18;2.59548;2.59548;2.52135;2.52877;6199.4899207
2008-01-21;2.59548;2.59548;2.28403;2.46574;8568.3049421202
2008-01-22;2.53977;2.53977;2.41019;2.41019;1621.525862729
2008-01-23;2.52877;2.53977;2.41019;2.41019;48946.785525476
2008-01-24;2.44725;2.65103;2.41019;2.65103;4789.9795460761
2008-01-25;2.92917;2.92917;2.61404;2.65103;15344.948135996
2008-01-28;2.66967;2.66967;2.44725;2.47315;2425.0907373986
2008-01-29;2.51022;2.77344;2.48429;2.48429;4109.4360040106
2008-01-30;2.52135;2.69931;2.4286;2.69931;10592.921979765
2008-01-31;2.7438;2.7438;2.59548;2.59548;17402.283613163
