Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-11-19;4.19198;4.55241;4.19198;4.29426;180390.68111364
2007-11-20;4.29817;4.36258;4.2489;4.36258;20943.160770102
2007-11-21;4.40071;4.40071;4.32863;4.36258;38845.00305325
2007-11-22;4.36258;4.36258;4.17309;4.17309;2702.4596116795
2007-11-23;4.21105;4.40071;4.21105;4.40071;6343.3900800606
2007-11-26;4.55241;4.55241;4.40071;4.47652;17606.241987697
2007-11-28;4.49549;4.55241;4.49549;4.55241;2677.2254401164
2007-11-29;4.59037;4.59037;4.59037;4.59037;27.637425997612
2007-12-03;4.29817;4.55241;4.21487;4.55241;526.31272117191
2007-12-05;4.89386;4.89386;4.89386;4.89386;4.8065088691499
2007-12-06;4.59037;4.59037;4.59037;4.59037;1870.9335773165
2007-12-07;4.62822;4.62822;4.51454;4.51454;1512.8486665649
2007-12-10;4.55241;4.59037;4.55241;4.59037;2975.2289900038
2007-12-11;4.42716;4.59037;4.42716;4.59037;1502.0340216093
2007-12-12;4.54859;4.66609;4.51454;4.66609;16886.467284541
2007-12-13;4.68515;4.68515;4.68515;4.68515;2.4032544345749
2007-12-14;4.68515;4.68515;4.68515;4.68515;27.637425997612
2007-12-17;4.74206;4.74206;4.62822;4.70412;3064.1494040831
2007-12-19;4.74206;4.74206;4.62822;4.74206;342.46375692692
2007-12-20;4.55241;4.74206;4.55241;4.55241;791.87233619244
2007-12-21;4.72302;4.72302;4.55241;4.72302;27679.482950217
2007-12-27;4.59793;4.59793;4.59037;4.59037;1320.5883117989
2007-12-28;4.40071;4.81806;4.40071;4.74206;11858.859007411
2008-01-02;4.74206;4.74206;4.74206;4.74206;4111.9683375577
2008-01-03;4.74206;4.74206;4.59411;4.59411;1347.0241105793
2008-01-04;4.59411;4.59411;4.59411;4.59411;1318.1850573643
2008-01-07;4.55241;4.70412;4.55241;4.70412;186.25221867955
2008-01-08;4.70412;4.76088;4.62822;4.74582;419310.22072689
2008-01-09;4.55624;4.55624;4.55241;4.55241;14503.640512659
2008-01-10;4.70039;4.70039;4.70039;4.70039;69.694378602673
2008-01-14;4.57905;4.70412;4.47652;4.70412;67717.701830234
2008-01-16;4.47652;4.47652;4.36258;4.36258;116329.53090559
2008-01-17;4.54859;4.54859;4.51454;4.51454;80004.340126998
2008-01-21;4.70412;4.70412;4.70412;4.70412;34.847189301336
2008-01-22;4.55241;4.55241;4.17309;4.48026;145237.07687189
2008-01-23;4.49549;4.62822;4.49549;4.55241;83146.595300206
2008-01-25;4.55241;4.59037;4.55241;4.59037;1050.2221879093
