Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1998-06-02;9.08012;9.08012;9.08012;9.08012;674531.30534382
1998-06-03;9.97603;9.97603;9.97603;9.97603;258581.60106536
1998-06-04;10.8718;10.8718;10.8718;10.8718;765819.02658834
1998-06-05;11.0029;11.0029;11.0029;11.0029;294337.04831378
1998-06-08;10.9574;10.9574;10.9574;10.9574;165570.50065687
1998-06-09;10.5097;10.5097;10.5097;10.5097;114365.3561877
1998-06-10;9.65997;9.65997;9.65997;9.65997;228485.51615286
1998-06-15;9.08012;9.08012;9.08012;9.08012;377771.48483136
1998-06-16;9.39534;9.39534;9.39534;9.39534;312501.41799813
1998-06-17;10.2869;10.2869;10.2869;10.2869;192296.88891133
1998-06-18;10.4642;10.4642;10.4642;10.4642;166313.09493078
1998-06-19;10.3768;10.3768;10.3768;10.3768;227477.87643842
1998-06-22;10.6474;10.6474;10.6474;10.6474;325573.87946151
1998-06-23;10.9574;10.9574;10.9574;10.9574;312817.83788528
1998-06-24;10.9574;10.9574;10.9574;10.9574;111214.00092781
1998-06-25;10.9574;10.9574;10.9574;10.9574;126985.95604101
1998-06-26;11.3138;11.3138;11.3138;11.3138;461987.04645781
1998-06-29;11.5391;11.5391;11.5391;11.5391;210209.05676679
1998-06-30;11.6298;11.6298;11.6298;11.6298;188353.90013303
1998-07-01;12.2105;12.2105;12.2105;12.2105;244506.17029177
1998-07-02;12.4341;12.4341;12.4341;12.4341;207518.90392546
1998-07-03;12.7492;12.7492;12.7492;12.7492;218187.27480711
1998-07-06;13.1937;13.1937;13.1937;13.1937;249668.1345763
1998-07-07;13.5543;13.5543;13.5543;13.5543;482952.49108416
1998-07-08;13.4163;13.4163;13.4163;13.4163;150291.27319082
1998-07-09;12.7492;12.7492;12.7492;12.7492;335570.87973389
1998-07-10;12.7492;12.7492;12.7492;12.7492;145636.04776615
1998-07-13;13.6408;13.6408;13.6408;13.6408;59741.47581598
1998-07-14;14.6693;14.6693;14.6693;14.6693;297554.95683407
1998-07-15;14.6693;14.6693;14.6693;14.6693;179205.74583099
