Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2009-10-28;9.06802;10.9099;9.06802;9.68761;12115.788942681
2009-10-29;9.57537;10.7016;9.57537;9.7731;9889.4312860523
2009-10-30;10.4202;10.4202;9.85672;9.90842;12237.104092487
2009-11-02;9.93064;9.96893;9.5693;9.68231;3542.8516897102
2009-11-03;9.5693;9.68761;9.26569;9.5693;1663.5901561385
2009-11-04;9.26569;9.85672;9.26569;9.85672;155.01380253012
2009-11-05;9.85672;9.85672;9.85672;9.85672;213.42480058495
2009-11-06;9.85672;10.7016;9.85672;9.85672;3260.9062952532
2009-11-09;9.85672;10.082;9.85672;9.85672;1969.1246075022
2009-11-10;9.85672;9.96893;9.85672;9.85672;830.11014543306
2009-11-12;9.85672;9.85672;9.80159;9.80159;396.52081371836
2009-11-16;9.80159;9.80159;9.80159;9.80159;570.63051945872
2009-11-18;9.74464;9.80159;9.74464;9.74464;60.657574903092
2009-11-19;9.70014;9.70014;9.58088;9.58088;232.52070379519
2009-11-23;9.85672;9.85672;9.85672;9.85672;352.71256517724
2009-11-24;9.85672;9.85672;9.85672;9.85672;178.60285943688
2009-11-25;9.85672;9.85672;9.82921;9.82921;4.4931536965254
2009-11-26;8.84903;9.74464;8.84903;9.74464;12997.570355624
2009-12-03;8.7876;9.5693;8.7876;9.5693;4083.1534217174
2009-12-04;8.96653;9.5693;8.96653;9.5693;340.3563925118
2009-12-17;9.35112;9.57537;9.35112;9.57537;338.10981566353
2009-12-18;8.81519;9.57537;8.81519;9.57537;1699.5353857107
2009-12-21;9.57537;9.57537;9.57537;9.57537;770.57585895409
2009-12-28;9.57537;9.57537;9.57537;9.57537;782.93203161954
2009-12-29;9.57537;9.57537;9.57537;9.57537;55.041132782436
2009-12-31;9.57537;9.57537;9.57537;9.57537;2365.6454212206
2010-01-04;8.73775;9.5693;8.73775;9.5693;138.16447616815
2010-01-05;9.01816;9.12499;9.01193;9.12499;1669.2065982592
2010-01-06;9.12499;9.12499;9.12499;9.12499;445.94550438014
2010-01-07;9.29411;9.29411;9.12499;9.28878;397.64410214249
2010-01-08;9.01193;9.0965;9.01193;9.0965;533.56200146239
2010-01-12;8.73775;9.0057;8.73061;8.99592;18593.793284646
2010-01-13;9.11965;9.11965;9.11342;9.11342;115.69870768552
