Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2006-08-17;15.2115;15.2915;15.0115;15.1715;445441.86228208
2006-08-18;15.1715;15.2515;15.0915;15.2115;86472.686497038
2006-08-21;15.2515;15.2515;14.3732;14.7724;7913.3020811794
2006-08-22;14.3732;14.4524;14.1333;14.1333;5249.1330456595
2006-08-23;14.3732;14.7724;14.2932;14.6924;6844.0342385451
2006-08-24;14.8524;14.8524;14.3732;14.5324;3896.6472334834
2006-08-25;14.2932;14.5324;14.2932;14.3732;6752.8284517435
2006-08-28;14.0533;14.5324;14.0533;14.2133;1771.3123857781
2006-08-29;14.3732;14.5324;14.2932;14.5324;2504.5589086171
2006-08-30;14.2932;14.4524;14.1333;14.4524;6746.8280710329
2006-08-31;14.4524;14.6924;14.3732;14.3732;9058.1747207677
2006-09-01;14.3332;14.4925;14.2932;14.4925;7572.4804568156
2006-09-04;14.4524;15.0115;14.3732;14.3807;5607.9558121552
2006-09-05;14.4925;14.7724;14.3807;14.5324;4233.8686294208
2006-09-06;14.5324;14.7724;14.1416;14.3732;8795.3580456421
2006-09-07;14.6841;14.6924;14.4925;14.6124;3006.1907360259
2006-09-08;14.6124;14.6124;14.4524;14.5324;7541.2784771203
2006-09-11;14.5482;14.6041;14.0533;14.6041;3455.019213181
2006-09-12;14.6041;14.6924;14.4124;14.4524;12670.403908567
2006-09-13;14.2932;14.7724;14.2932;14.6124;29653.881471936
2006-09-14;14.6524;14.6524;14.5407;14.5407;2642.5676649616
2006-09-15;14.4124;14.5249;14.3332;14.4124;5697.9615228147
2006-09-18;14.4124;14.4124;14.2932;14.2932;3069.7947715585
2006-09-19;14.3007;14.3007;14.0616;14.1734;5169.9280202792
2006-09-20;14.0533;14.6124;14.0533;14.3732;32888.086674965
2006-09-21;14.3732;14.6124;14.3732;14.4524;7639.6847207747
2006-09-22;14.6124;14.6124;14.4449;14.4524;5289.9356344918
2006-09-25;14.5324;14.6041;14.2691;14.5324;22981.458121715
2006-09-26;14.5166;14.9315;14.5166;14.9241;51624.87548198
2006-09-27;15.0115;15.2515;14.8041;15.0115;43734.374847501
2006-09-28;15.1315;15.4907;15.0273;15.2515;68037.116801696
2006-09-29;15.3307;15.339;15.1715;15.1715;2629.3668273983
2006-10-02;15.0915;15.3307;15.0915;15.1715;40165.348400818
2006-10-03;15.1715;15.1715;14.8524;15.1715;77908.943146826
2006-10-04;15.1715;15.1715;14.8682;14.8682;14075.693070996
2006-10-05;15.1232;15.1232;14.7724;14.9799;817.25185278787
2006-10-06;15.1632;15.3149;15.1557;15.3149;92795.8876899
2006-10-09;15.3307;15.3307;14.9399;15.1715;37837.200685093
2006-10-10;15.1715;15.259;15.0198;15.0198;2415.7532740998
2006-10-11;15.1715;15.1715;14.3732;14.3732;27385.737563317
2006-10-12;14.5324;15.1632;14.3807;14.5725;3495.8218020133
2006-10-13;14.4208;15.0832;14.4124;14.9315;3960.2512690161
2006-10-16;14.9315;15.0915;14.6683;15.0041;57758.464644386
2006-10-17;15.1474;15.1957;15.0041;15.1715;106746.77284212
2006-10-18;15.2115;15.4507;15.1715;15.3632;169197.53520222
2006-10-19;15.4907;17.0082;15.4832;16.6564;122496.57213137
2006-10-20;16.6323;17.1672;16.6323;17.0082;132610.81385722
2006-10-23;17.0714;17.0714;16.6965;16.7681;32325.250964309
2006-10-24;16.8565;16.9681;16.7681;16.9198;139982.8815983
2006-10-25;16.9756;16.9756;16.3689;16.6489;14367.311573533
2006-10-26;16.7681;16.7681;16.593;16.7523;37329.568476975
2006-10-27;16.6806;16.689;16.593;16.689;952.86045684811
2006-10-30;16.0098;16.3848;15.9623;15.9698;6716.8261674797
2006-10-31;15.9623;15.9698;15.259;15.9698;22831.448603949
2006-11-02;15.2748;15.9298;15.2748;15.8898;5042.7199492138
2006-11-03;15.3707;15.7307;15.1873;15.5624;8188.1195177263
2006-11-06;15.5307;15.5307;15.0915;15.0915;4127.0618527716
2006-11-07;15.1632;15.5624;14.8599;15.4507;23630.699314605
2006-11-08;15.4107;15.4107;14.2608;14.5883;35110.627690183
2006-11-09;14.6124;15.1715;14.6124;14.8124;14777.73761414
2006-11-10;14.4607;15.1315;14.4124;15.1157;14834.141192821
2006-11-13;15.0915;15.2115;14.8599;14.9399;53933.82197943
2006-11-14;14.8524;15.0674;14.4124;14.4124;133465.26807041
2006-11-15;14.4607;14.4765;13.8941;13.9575;16427.842309564
2006-11-16;14.2133;14.7724;13.7341;13.9733;10915.892588779
2006-11-17;14.2133;14.2133;13.8141;13.9733;7114.0513705235
2006-11-20;14.2133;14.2775;13.9733;13.9733;4245.8693908421
2006-11-21;14.2775;14.5725;13.9016;13.9016;2810.5783248593
2006-11-22;13.8458;14.0533;13.8458;13.9733;20164.879416145
2006-11-23;14.3732;14.3732;14.0533;14.0933;42127.472893194
