Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2015-06-15;9.97806;9.97806;9.79681;9.79681;96167.790617838
2015-06-16;9.78729;9.79681;9.61547;9.72331;89549.195831145
2015-06-17;9.7061;9.93339;9.52421;9.83764;57668.71713197
2015-06-18;9.79681;9.83764;9.7515;9.81915;61229.442800646
2015-06-19;9.83764;9.83764;9.66015;9.7061;18333.115926315
2015-06-22;9.77832;9.77832;9.71507;9.72019;5891.7242586406
2015-06-23;9.72019;9.77448;9.5925;9.7515;56558.046432853
2015-06-24;9.7515;9.7515;9.10741;9.69218;35038.605821062
2015-06-25;9.68898;9.74637;9.52421;9.74637;7055.6570223126
2015-06-26;9.52421;9.72331;9.30269;9.69722;49121.722302099
2015-06-29;9.32063;9.52421;9.32063;9.52421;466.82633051713
2015-06-30;9.4789;9.4789;9.29829;9.4789;18342.515114178
2015-07-01;9.52421;9.68321;9.52421;9.68321;4409.7856389454
2015-07-02;9.67415;9.68321;9.67415;9.68321;55342.418135936
2015-07-03;9.68898;9.76935;9.68321;9.68321;22360.667925508
2015-07-06;9.74189;9.77448;9.74189;9.77448;24425.356192695
2015-07-07;9.77448;10.0693;9.77448;9.77448;35978.524607338
2015-07-08;9.97806;9.97806;9.77448;9.97806;9986.6371041835
2015-07-09;9.97806;10.0011;9.97302;9.97302;880.39059647862
2015-07-10;9.97806;9.97806;9.79681;9.97302;2186.8777094023
2015-07-13;10.0011;10.0011;9.88808;9.97302;1317.4528320969
2015-07-14;9.9105;9.97302;9.7515;9.97302;5952.8189797486
2015-07-15;9.97302;9.97302;9.6282;9.97302;26253.498232002
2015-07-16;9.97302;10.0011;9.79681;9.97806;22308.972392263
2015-07-17;10.0011;10.0011;9.96854;9.97302;6231.6615530105
2015-07-20;9.97302;9.97806;9.93339;9.93339;22136.653948112
2015-07-21;9.93339;9.97302;9.92826;9.97302;12978.711907163
2015-07-22;9.97806;9.97806;9.88808;9.88808;683.00765136063
2015-07-23;9.96469;9.97806;9.96469;9.97806;6419.6453102658
2015-07-24;9.7515;10.1051;9.7515;10.1051;386.93323368366
2015-07-27;10.0285;10.0285;9.97806;9.97806;634.44518073637
2015-07-28;9.97806;9.97806;9.97806;9.97806;20.364907035982
2015-07-29;9.96854;9.96854;9.96854;9.96854;20.364907035982
2015-07-30;9.79681;9.96854;9.79681;9.96854;155.08659973555
2015-07-31;9.96469;9.96469;9.96469;9.96469;20.364907035982
2015-08-03;9.81915;9.81915;9.16172;9.71067;4104.3120334056
2015-08-04;9.66015;9.66015;9.56952;9.66015;4015.0197487094
2015-08-05;9.7061;9.9149;9.7061;9.9149;3639.052234199
2015-08-06;9.9149;9.9149;9.9149;9.9149;502.85655065772
2015-08-07;9.84212;9.9105;9.84212;9.87846;354.036076164
2015-08-10;9.9149;9.9149;9.87846;9.87846;43.862876692884
2015-08-11;9.84212;9.9149;9.84212;9.88808;1159.2331697405
2015-08-12;9.88808;9.88808;9.61547;9.88231;892.9228469623
2015-08-13;9.88231;9.88231;9.7515;9.7515;231.84663394811
2015-08-14;9.7515;9.88808;9.7515;9.88808;11725.486858794
2015-08-17;9.9149;9.9149;9.9149;9.9149;9.399187862761
2015-08-18;9.9008;9.9008;9.18918;9.86959;7910.9831178238
2015-08-19;9.40613;9.8651;9.40613;9.85622;1188.9972646393
2015-08-20;9.851;9.851;9.77448;9.77448;1156.1001071196
2015-08-21;9.851;9.851;9.851;9.851;220.88091477489
2015-08-24;9.851;9.851;9.29829;9.82427;13102.467880689
2015-08-25;9.70106;9.79681;9.70106;9.79233;6617.0282553837
2015-08-27;9.66015;9.74637;9.52421;9.74637;1637.0252194308
2015-08-28;9.66015;9.74637;9.26122;9.74637;9223.7363559894
2015-08-31;9.2517;9.79233;9.2517;9.79233;7945.4468066539
2015-09-01;9.8013;9.8013;9.29829;9.79233;16042.847150423
2015-09-02;9.78729;9.83764;9.52421;9.83764;23764.27997968
2015-09-03;9.83764;9.95572;9.56952;9.95572;422360.33926971
2015-09-07;9.9462;9.9462;9.9462;9.9462;133.15516138911
2015-09-08;9.7515;9.87398;9.7515;9.87398;303.90707422927
2015-09-09;9.88231;9.88231;9.87846;9.87846;2656.8371025404
2015-09-10;9.7061;9.93339;9.7061;9.93339;4734.0576202106
2015-09-11;9.91874;9.91874;9.9105;9.9105;2008.29314001
2015-09-14;9.90538;9.90538;9.88808;9.89705;636.01171204683
2015-09-15;9.88231;9.88231;9.32063;9.38828;3061.0021806391
2015-09-16;9.61932;9.61932;9.43359;9.43359;1831.2751019279
2015-09-17;9.52421;9.52421;9.52421;9.52421;220.88091477489
2015-09-18;9.61547;9.61547;9.52421;9.52421;18.798375725522
2015-09-21;9.52421;9.61547;9.52421;9.61547;38051.045531077
2015-09-22;9.61547;9.76487;9.61547;9.74637;89876.600875031
2015-09-23;9.74189;9.74189;9.74189;9.74189;109.65719173221
2015-09-24;9.72019;9.72019;9.72019;9.72019;20.364907035982
2015-09-28;9.34296;9.65639;9.34296;9.61547;5081.8275711327
2015-09-29;9.61547;9.61547;9.61547;9.61547;874.12447123677
2015-09-30;9.2517;9.86959;9.2517;9.86959;16765.018084545
2015-10-01;9.86959;9.86959;9.86959;9.86959;1555.5655912869
2015-10-02;9.7515;9.7515;9.7515;9.7515;242.81235312133
2015-10-05;9.7515;9.7515;9.52421;9.7515;6277.0909610138
2015-10-06;9.84212;9.84212;9.83764;9.83764;1721.6179101957
2015-10-07;9.83764;9.83764;9.52421;9.83764;75975.202026007
2015-10-08;9.83764;9.83764;9.5524;9.66015;31863.246854759
2015-10-09;9.83764;9.83764;9.7515;9.7515;1225.0274847798
2015-10-12;9.7515;9.7515;9.52998;9.7515;44306.205053744
2015-10-13;9.79233;9.79233;9.79233;9.79233;451.16101741252
2015-10-14;9.52998;9.79681;9.52998;9.79681;748.80196639995
2015-10-15;9.79681;9.84212;9.79681;9.84212;19879.28232974
2015-10-16;9.79681;9.85622;9.79681;9.85622;661.07621301419
2015-10-19;9.86959;9.86959;9.86959;9.86959;9.399187862761
2015-10-20;9.86959;9.86959;9.86959;9.86959;180.15110070292
2015-10-21;9.8651;9.8651;9.8651;9.8651;907.02162875644
2015-10-22;9.8651;9.8651;9.52421;9.84212;13373.477797398
2015-10-23;9.84212;9.84212;9.84212;9.84212;1030.7776022828
2015-10-26;9.84652;9.8651;9.79681;9.8651;4215.5357564483
2015-10-27;9.84212;9.88808;9.79681;9.88808;13151.030351313
2015-10-28;9.9105;9.9105;9.9105;9.9105;438.62876692884
2015-10-29;9.81915;9.96469;9.7515;9.96469;7701.0679222221
2015-10-30;9.88808;10.2047;9.88808;10.2047;12507.185982714
2015-11-02;10.2047;10.2047;10.2047;10.2047;117.48984828451
2015-11-03;10.1817;10.1997;9.97806;10.1906;1754.5150677154
2015-11-04;10.1869;10.1869;9.97806;9.97806;1131.0356061522
2015-11-05;9.97806;9.97806;9.76038;9.8013;4333.0256047327
2015-11-06;9.92826;9.92826;9.61547;9.68321;3391.5402871462
2015-11-10;9.68898;9.68898;9.66015;9.66015;16628.729860535
2015-11-12;9.66015;9.66015;9.66015;9.66015;505.98961327863
2015-11-13;9.66015;9.68898;9.66015;9.68898;2337.2647152065
2015-11-16;9.61547;9.7515;8.70782;9.7515;22222.813170188
2015-11-17;9.72852;9.7515;9.72852;9.7515;2381.1275918994
2015-11-18;9.9149;9.9149;9.9149;9.9149;50.129001934725
2015-11-19;9.7515;9.7515;9.74637;9.7515;1063.6747598024
2015-11-20;9.7515;9.7515;9.43359;9.7515;12634.075018862
2015-11-23;9.80569;9.9149;9.80569;9.9149;1945.6318875915
2015-11-24;9.88808;9.96469;9.52421;9.96469;14004.789915514
2015-11-25;9.96854;9.97806;9.72019;9.95572;772.29993605685
2015-11-26;9.97806;9.97806;9.84212;9.97806;17933.650442148
2015-11-27;9.97806;10.0234;9.88808;10.0234;40454.104561323
2015-11-30;10.0189;10.0234;9.8651;10.0234;22287.040953916
2015-12-01;10.0234;10.0234;10.0234;10.0234;33092.973933471
2015-12-02;10.0189;10.0189;10.0189;10.0189;440.1952982393
2015-12-03;9.66015;9.97302;9.66015;9.97302;6584.1310978641
2015-12-04;9.97302;9.97302;9.66015;9.96469;12701.43586521
2015-12-07;9.96469;9.96469;9.96469;9.96469;20.364907035982
2015-12-08;9.96469;9.96469;9.76487;9.94996;1850.0734776535
2015-12-09;9.93339;9.93339;9.81915;9.88808;58400.287253955
2015-12-10;9.88808;9.88808;9.66015;9.88808;2265.2042749254
2015-12-11;9.68321;9.7061;9.52421;9.56128;23743.915072644
2015-12-14;9.43359;9.74637;9.43359;9.74637;1212.4952342961
2015-12-15;9.84212;9.85997;9.29829;9.56952;18862.603509251
2015-12-16;9.60156;9.88808;9.11632;9.88808;21995.666130172
2015-12-17;9.46553;9.7515;9.43359;9.69218;26829.981754251
2015-12-18;9.66015;9.7515;9.50123;9.7515;7057.223553623
2015-12-21;9.50123;9.7515;9.50123;9.51533;27610.11434686
2015-12-22;9.51085;9.51533;9.38828;9.51533;9110.9461016363
2015-12-23;9.61547;9.88231;9.61547;9.88231;6617.0282553837
2015-12-28;9.88231;9.88231;9.41574;9.88231;55696.454212101
2015-12-29;9.53831;9.87398;9.52421;9.79681;39913.651259214
2015-12-30;9.79233;9.79233;9.79233;9.79233;133.15516138911
2016-01-04;9.79233;9.79233;9.4789;9.4789;32450.696096182
2016-01-05;9.4789;9.4789;9.4789;9.4789;881.95712778907
2016-01-07;9.49748;9.52421;9.37098;9.41061;73464.05233534
2016-01-08;9.41061;9.52421;9.23889;9.38379;21350.255230261
2016-01-11;9.32502;9.32502;9.20694;9.29829;9903.6109447291
2016-01-12;9.38828;9.38828;8.8891;9.13933;13310.81654498
2016-01-13;9.34296;9.34296;9.07104;9.07104;3493.3648223262
2016-01-14;9.24337;9.24337;8.8891;8.98032;5993.5487938206
2016-01-15;9.05759;9.06147;9.04795;9.04795;596.84842928533
2016-01-18;8.70782;8.98032;8.61776;8.9357;24643.104044849
2016-01-19;8.73075;8.9357;8.73075;8.9357;2089.7527681539
2016-01-20;8.84374;8.93058;8.75821;8.84374;9923.975851765
2016-01-21;8.84374;8.84374;8.70782;8.75821;8573.6258621484
2016-01-22;8.64901;8.75821;8.61776;8.75821;6378.9154961938
2016-01-25;8.93058;8.93058;8.39119;8.70782;5741.3372528365
2016-01-26;8.71227;9.07104;8.32282;9.07104;106116.83097057
2016-01-27;9.04795;9.29829;9.04795;9.29829;29806.391244126
2016-01-28;9.59698;9.65127;9.22927;9.61547;8982.4905341785
2016-01-29;9.72852;9.72852;9.30717;9.30717;29107.71827966
2016-02-01;9.5925;9.5925;9.45666;9.45666;4458.3481095697
2016-02-02;9.54728;9.54728;9.43359;9.43359;277.27604195144
2016-02-03;9.42846;9.42846;9.01677;9.01677;12223.643815521
2016-02-04;9.01232;9.28868;9.00267;9.28868;4939.2732218809
2016-02-05;9.29829;9.29829;9.16172;9.2517;2609.8411632266
2016-02-08;9.2517;9.37098;8.79459;8.79459;9934.9415709384
