Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2005-01-10;6.65459;7.02453;6.36445;6.44298;458121.03665728
2005-01-11;6.39048;6.54815;6.17888;6.39048;109214.38396231
2005-01-12;6.17888;6.41704;6.04709;6.33723;78377.812836079
2005-01-13;6.33723;6.57537;6.33723;6.54815;72429.095348113
2005-01-14;6.54815;6.65459;6.36445;6.65459;37170.908399653
2005-01-17;6.60133;6.65459;6.54815;6.62804;57347.339935194
2005-01-18;6.62804;6.8656;6.60133;6.75966;68652.150639607
2005-01-19;6.75966;6.81234;6.75966;6.75966;58079.544374457
2005-01-20;6.75966;6.75966;6.75966;6.75966;41457.675585253
2005-01-24;6.75966;6.75966;6.54815;6.65459;16800.484088603
2005-01-25;6.39048;6.65459;6.39048;6.65459;1635.9268812602
2005-01-26;6.54815;6.60133;6.54815;6.60133;22488.967365523
2005-01-27;6.44298;6.65459;6.41704;6.65459;10213.009900795
2005-01-28;6.49557;6.65459;6.49557;6.65459;29140.317223314
2005-01-31;6.60133;6.68054;6.60133;6.68054;2285.3295260987
2005-02-01;6.54815;6.75966;6.54815;6.75966;9854.5964192179
2005-02-02;6.65459;6.75966;6.65459;6.75966;26820.684096668
2005-02-03;6.68054;6.75966;6.68054;6.75966;26944.886788305
2005-02-04;6.62804;6.75966;6.62804;6.75966;10185.803596913
2005-02-07;6.75966;6.75966;6.7338;6.75966;19713.924369545
2005-02-08;6.75966;6.75966;6.75966;6.75966;5677.8373319225
2005-02-09;6.75966;6.75966;6.75966;6.75966;65464.281554288
2005-02-10;6.75966;6.75966;6.75966;6.75966;4930.2554165526
2005-02-11;6.78571;6.78571;6.78571;6.78571;10325.383764656
2005-02-14;6.70726;6.70726;6.70726;6.70726;2926.451991495
2005-02-15;6.7338;6.75966;6.7338;6.75966;482.61617321341
2005-02-16;6.75966;6.8656;6.75966;6.8656;31432.744046079
2005-02-17;6.97136;6.97136;6.70726;6.81234;4981.1193759844
2005-02-18;6.68054;6.8656;6.65459;6.8656;1515.2728379568
2005-02-21;6.70726;6.70726;6.70726;6.70726;241.3080866067
2005-02-22;6.70726;6.70726;6.70726;6.70726;3787.5906535033
2005-02-23;6.78571;6.78571;6.78571;6.78571;3787.5906535033
2005-02-24;6.65459;6.81234;6.5222;6.81234;11935.287224812
2005-02-25;6.8656;6.8656;6.83897;6.8656;9466.6108682031
2005-02-28;6.70726;6.8656;6.60133;6.8656;13312.162777803
2005-03-01;6.70726;6.8656;6.54815;6.8656;67748.42819761
2005-03-02;6.89215;6.89215;6.8656;6.8656;8837.3172305818
2005-03-03;6.70726;6.8656;6.70726;6.8656;3236.3672791957
2005-03-04;6.78571;6.91818;6.78571;6.91818;288.62339770606
2005-03-07;6.8656;6.8656;6.8656;6.8656;18934.404619184
2005-03-09;6.70726;6.81234;6.70726;6.81234;1515.2728379568
2005-03-14;6.65459;6.81234;6.65459;6.81234;2366.9484377451
2005-03-16;6.68054;6.70726;6.33723;6.70726;6533.0615800433
2005-03-17;6.54815;6.68054;6.39048;6.39048;5383.299520329
2005-03-21;6.44298;6.44298;6.44298;6.44298;2841.2844315162
2005-03-22;6.44298;6.44298;6.44298;6.44298;102.9108016411
2005-03-23;6.31119;6.44298;6.31119;6.44298;18173.810993262
2005-03-24;6.31119;6.44298;6.31119;6.44298;19126.031629136
2005-03-29;6.31119;6.31119;6.31119;6.31119;1326.0115935593
2005-03-30;6.20476;6.25801;6.12623;6.25801;38194.102002175
2005-03-31;6.28464;6.33723;6.28464;6.33723;1573.2340940535
2005-04-05;6.20476;6.20476;6.20476;6.20476;1326.0115935593
2005-04-11;6.07305;6.07305;5.94133;6.07305;3105.0672908951
2005-04-12;6.17888;6.17888;6.17888;6.17888;948.67198754204
2005-04-14;6.07305;6.07305;6.07305;6.07305;852.85848256584
2005-04-15;6.15286;6.20476;6.15286;6.20476;26638.520148936
2005-04-18;6.17888;6.17888;5.94133;5.94133;1835.834070655
2005-04-19;5.94133;5.94133;5.94133;5.94133;644.67111372869
2005-04-22;6.07305;6.07305;6.07305;6.07305;3220.9898030885
2005-04-26;5.94133;5.94133;5.91471;5.94133;49626.664046556
2005-04-27;5.80911;5.91471;5.7037;5.83574;12391.879976921
2005-05-02;5.7037;5.7037;5.7037;5.7037;326.47564658554
2005-05-04;5.7037;5.7037;5.7037;5.7037;555.95490541741
2005-05-09;5.83574;6.20476;5.80911;5.86228;31970.955709833
2005-05-10;5.86228;5.94133;5.83574;5.94133;2084.2394539264
2005-05-13;5.80911;5.80911;5.80911;5.80911;151.40899551794
2005-05-17;5.67749;5.67749;5.67749;5.67749;151.40899551794
2005-05-18;5.57172;5.7567;5.54552;5.65077;5862.36704521
2005-05-19;5.7567;5.7567;5.7567;5.7567;94.630622198707
2005-05-20;5.62456;5.99375;5.62456;5.78265;4130.6266589736
2005-05-23;5.91471;6.02105;5.80911;5.80911;21686.972842389
2005-05-25;5.91471;5.91471;5.78265;5.78265;340.67023991535
2005-05-27;5.91471;5.91471;5.91471;5.91471;8639.7758067421
2005-05-30;5.91471;6.02105;5.91471;6.02105;17994.012811084
2005-05-31;6.02105;6.23197;6.02105;6.23197;1082.3377413977
2005-06-03;6.15286;6.15286;6.10036;6.10036;2007.3520733901
2005-06-06;6.02105;6.10036;6.02105;6.10036;19247.868555218
