Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2004-01-09;0.884433;0.938407;0.880175;0.91757;14087580.526557
2004-01-12;0.913546;0.913546;0.859338;0.884433;1111168.9525929
2004-01-13;0.880175;0.900931;0.863604;0.896746;1770378.5864756
2004-01-14;0.880175;0.884433;0.871968;0.871968;161930.5326474
2004-01-15;0.863604;0.875992;0.863604;0.875992;232184.4608809
2004-01-16;0.875992;0.875992;0.846949;0.851215;338315.04358097
2004-01-19;0.851215;0.851215;0.817763;0.817763;584305.1717134
2004-01-20;0.8221;0.838667;0.8221;0.8221;294873.03843531
2004-01-21;0.8221;0.842925;0.8221;0.838667;551105.70604125
2004-01-22;0.830307;0.846949;0.830307;0.846949;105280.80449132
2004-01-23;0.851215;0.892715;0.846949;0.863604;362113.99925086
2004-01-26;0.880175;0.880175;0.871968;0.875992;106966.15489012
2004-01-27;0.888455;0.892715;0.855238;0.855238;706855.32910343
2004-01-28;0.859338;0.859338;0.838667;0.842925;78567.032078039
2004-01-29;0.830307;0.838667;0.830307;0.834411;278104.77055936
2004-01-30;0.830307;0.842925;0.830307;0.842925;286711.03497135
2004-02-02;0.846949;0.851215;0.842925;0.851215;155749.62306218
2004-02-03;0.851215;0.859338;0.842925;0.842925;100880.813067
2004-02-04;0.842925;0.855238;0.838667;0.855238;126016.42594976
2004-02-05;0.863604;0.863604;0.830307;0.838667;183256.34960947
2004-02-06;0.830307;0.842925;0.830307;0.830307;77130.932734381
2004-02-09;0.859338;0.859338;0.842925;0.855238;186670.9599194
2004-02-10;0.855238;0.863604;0.855238;0.863604;211508.24640971
2004-02-11;0.851215;0.863604;0.851215;0.859338;157923.14392135
2004-02-12;0.863604;0.863604;0.855238;0.859338;22311.198076471
2004-02-13;0.859338;0.871968;0.851215;0.855238;145651.72668804
2004-02-16;0.842925;0.855238;0.842925;0.855238;11876.231622553
2004-02-17;0.859338;0.880175;0.859338;0.880175;153670.37850887
2004-02-18;0.880175;0.892715;0.880175;0.892715;260981.35221623
2004-02-19;0.880175;0.888455;0.871968;0.880175;185929.66403516
2004-02-20;0.863604;0.900931;0.863604;0.900931;172668.99131872
2004-02-23;0.888455;0.913546;0.888455;0.900931;117556.09609336
2004-02-24;0.905106;0.913546;0.892715;0.90929;496285.97138335
2004-02-25;0.90929;0.946615;0.90929;0.946615;240350.33871358
2004-02-26;0.942427;1.02962;0.942427;1.01722;757269.90651207
2004-02-27;1.02551;1.02551;0.98408;1.02551;519538.64106191
2004-03-01;1.042;1.05045;0.979829;1.03798;646198.21222131
2004-03-02;1.03798;1.03798;1.01722;1.03372;555064.01943002
2004-03-03;1.02551;1.02962;1.01722;1.01722;127845.12799167
2004-03-04;1.00894;1.00894;0.992297;1.00057;243666.79834895
2004-03-05;0.988112;1.00057;0.988112;0.996549;347415.93573453
2004-03-08;0.996549;1.00476;0.95899;1.00476;551056.63070398
2004-03-09;0.988112;0.996549;0.979829;0.979829;36212.433090083
2004-03-10;0.95899;0.979829;0.95899;0.971468;218680.99439053
2004-03-11;0.967274;0.967274;0.967274;0.967274;178554.15742399
2004-03-12;0.954973;0.979829;0.954973;0.979829;45268.124275091
2004-03-15;0.979829;0.979829;0.905106;0.942427;107412.99875065
2004-03-16;0.91757;0.963185;0.91757;0.95899;20483.787490792
2004-03-17;0.963185;0.979829;0.963185;0.979829;83168.490676469
2004-03-18;0.988112;0.988112;0.967274;0.967274;18208.24158834
2004-03-19;0.967274;0.967274;0.938407;0.950719;67136.352859769
2004-03-22;0.95899;0.963185;0.950719;0.950719;68770.045008803
2004-03-23;0.946615;0.950719;0.946615;0.950719;147932.43841547
2004-03-24;0.950719;0.950719;0.92593;0.938407;26517.471064147
2004-03-25;0.92593;0.95899;0.92593;0.95899;26716.355325768
2004-03-26;0.967274;0.967274;0.929952;0.967274;30373.759409617
2004-03-29;0.967274;0.967274;0.938407;0.95899;118148.87450949
2004-03-30;0.938407;0.95899;0.938407;0.950719;43587.939701261
2004-03-31;0.950719;0.950719;0.929952;0.938407;78369.439272662
2004-04-01;0.938407;0.946615;0.938407;0.946615;12518.085375969
2004-04-02;0.950719;0.95899;0.950719;0.95899;30922.628313442
2004-04-05;0.942427;0.950719;0.938407;0.938407;99495.080516869
2004-04-06;0.942427;0.954973;0.942427;0.954973;76489.078980966
2004-04-07;0.938407;0.950719;0.938407;0.950719;2179.978140373
