Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-12-18;5.65242;5.65242;4.95699;4.95699;15815.273936611
2008-12-19;4.94958;5.39345;4.94214;5.39345;16827.80988836
2008-12-22;5.39345;5.39345;5.14198;5.20112;15226.441398299
2008-12-23;5.17159;5.17159;5.17159;5.17159;277.77534959486
2008-12-29;5.17893;5.29728;5.17893;5.28993;5058.8395465387
2008-12-30;5.29728;5.37877;5.17893;5.28993;10052.395485569
2008-12-31;5.36385;5.39345;5.31955;5.31955;6285.1473111095
2009-01-05;5.84484;5.84484;5.20112;5.3269;3175.8554946767
2009-01-06;5.20854;5.65984;5.17893;5.65984;17931.230862326
2009-01-07;5.54883;5.91874;5.40096;5.40096;58876.853477491
2009-01-08;5.21588;5.29728;5.20112;5.29728;5519.6650113043
2009-01-12;5.26034;5.63765;5.26034;5.31955;2485.8973682637
2009-01-13;5.19371;5.61548;5.19371;5.61548;4431.6048861632
2009-01-14;5.61548;5.76344;5.36385;5.68946;22581.727844253
2009-01-15;5.47485;5.47485;5.47485;5.47485;875.56838305477
2009-01-16;5.34174;5.60804;5.34174;5.40096;1619.2894803571
2009-01-19;5.7264;5.7264;5.7264;5.7264;1.2800707354602
2009-01-20;5.3269;5.50446;5.2233;5.50446;1187.9056425071
2009-01-21;5.51181;5.51181;5.28993;5.28993;405.78242314088
2009-01-22;5.25283;5.40096;5.25283;5.40096;490.26709168125
2009-01-23;5.49705;5.49705;5.18627;5.47485;476.18631359119
2009-01-26;5.49705;5.49705;5.09019;5.16409;4303.5978126171
2009-01-27;5.16409;5.16409;5.05316;5.13449;1545.0453777004
2009-01-28;5.16409;5.16409;5.16409;5.16409;12.800707354602
2009-01-29;5.10487;5.10487;5.10487;5.10487;1428.5589407736
2009-01-30;5.04574;5.04574;4.9866;5.03097;2610.0642296033
2009-02-02;5.10487;5.10487;4.37249;4.65365;9533.9668377075
2009-02-03;4.661;4.661;4.43905;4.43905;1395.2771016516
2009-02-04;4.43905;4.43905;4.21711;4.30593;3641.8012423842
2009-02-05;3.99516;4.36507;3.77316;4.24673;19073.053958357
2009-02-06;4.24673;5.09754;4.24673;4.53531;5134.3637199308
2009-02-09;4.29109;4.5649;4.29109;4.5649;5149.7245687563
2009-02-10;4.67592;4.83121;4.43905;4.83121;14179.343536693
2009-02-11;4.94214;5.09754;4.80895;4.83856;9943.5894730547
2009-02-12;4.95699;4.95699;4.95699;4.95699;435.22405005646
2009-02-13;4.95699;5.00879;4.95699;5.00879;591.39267978261
2009-02-16;4.88301;4.95699;4.43905;4.43905;4461.0465130788
2009-02-17;4.29109;4.29109;4.01001;4.01001;7042.9491865019
2009-02-18;3.91378;3.91378;3.83237;3.90635;6388.8330406818
2009-02-19;4.00251;4.00251;3.98782;3.98782;1260.8696744283
2009-02-20;3.98782;3.98782;3.98782;3.98782;12.800707354602
2009-02-23;3.81026;3.97299;3.81026;3.97299;1743.4563416968
2009-02-24;3.98782;4.36507;3.59566;4.36507;22277.071009213
2009-02-25;4.24673;4.73504;4.24673;4.43905;3897.8153894763
2009-02-26;4.47609;4.65365;4.47609;4.65365;9800.2215506832
2009-02-27;4.43905;4.58701;4.43905;4.58701;1862.5029200946
2009-03-02;4.49086;4.49086;4.46866;4.46866;855.0872512874
2009-03-03;4.29109;4.37984;4.20969;4.27633;16800.928402915
2009-03-04;4.17274;4.4317;4.17274;4.4317;1176.3850058879
2009-03-05;4.46132;4.62413;4.36507;4.62413;2779.0335666841
2009-03-06;4.51311;4.62413;4.21711;4.62413;18659.591110804
2009-03-09;4.36507;4.36507;4.36507;4.36507;1.2800707354602
2009-03-10;4.37249;4.37249;4.37249;4.37249;513.30836491953
2009-03-11;4.37249;4.43905;4.37249;4.43905;7.6804244127611
2009-03-12;4.37249;4.43905;4.37249;4.43905;837.16626099096
2009-03-13;4.36507;5.02356;4.36507;5.02356;8242.3754656281
2009-03-16;4.52779;4.84598;4.52779;4.73504;2768.7930008004
2009-03-17;5.02356;5.02356;4.88301;4.88301;512.02829418407
2009-03-18;5.02356;5.02356;4.97176;4.99395;1379.9162528261
2009-03-19;4.97918;5.10487;4.97918;5.10487;135.68749795878
2009-03-20;5.16409;5.16409;5.16409;5.16409;39.682192799266
2009-03-23;5.21588;5.47485;5.14198;5.47485;1834.3413639144
2009-03-24;5.49705;5.52665;5.47485;5.47485;1181.5052888298
2009-03-25;5.54883;5.54883;5.43783;5.43783;450.58489888199
2009-03-26;5.6968;5.6968;5.6968;5.6968;2.5601414709204
2009-03-27;5.6968;5.6968;5.62282;5.62282;70.40389045031
2009-03-30;5.62282;5.62282;5.62282;5.62282;2.5601414709204
2009-03-31;5.62282;5.62282;5.62282;5.62282;2.5601414709204
2009-04-01;5.62282;5.62282;5.3269;5.3269;2.5601414709204
2009-04-02;5.40096;5.6968;5.40096;5.6968;490.26709168125
2009-04-03;5.62282;5.6968;5.40096;5.6968;3097.7711798137
2009-04-06;5.6968;5.82991;5.6968;5.71906;5088.2811734542
2009-04-07;5.77078;5.84484;5.75601;5.77078;4628.735779424
2009-04-08;5.77078;5.84484;5.7264;5.84484;8338.3807707877
2009-04-09;5.8817;6.14068;5.84484;6.14068;12777.666081364
2009-04-14;6.14068;6.14068;5.8817;5.8817;5062.679758745
2009-04-15;5.84484;5.91132;5.84484;5.91132;4912.9114826962
2009-04-16;5.79303;6.14068;5.79303;6.13333;8632.7970399435
2009-04-17;5.98538;6.14068;5.98538;6.14068;398.10199872812
2009-04-20;6.10373;6.10373;5.77078;5.8078;3439.5500661815
2009-04-21;5.81523;5.99272;5.81523;5.84484;903.72993923489
2009-04-22;5.84484;6.32567;5.84484;6.32567;9535.2469084429
2009-04-23;6.36269;6.74001;6.36269;6.70307;10747.473894924
2009-04-24;6.79915;6.93977;6.70307;6.91759;6994.3064985545
2009-04-27;6.95454;6.95454;6.36269;6.69556;3431.8696417688
2009-04-28;6.98414;9.16666;6.98414;8.50734;43244.629656051
2009-04-29;9.5299;9.5299;8.50734;8.85498;59164.86939297
2009-04-30;8.87061;8.87061;8.50734;8.73077;20084.30983937
2009-05-04;8.87061;8.87061;8.58233;8.73077;11575.679660766
2009-05-05;8.88544;9.01825;8.87842;8.87842;5442.8607671767
2009-05-06;8.87842;8.87842;8.8417;8.8417;4668.4179722233
2009-05-07;8.84873;8.84873;8.50734;8.73077;11442.552304278
2009-05-08;8.51516;8.64092;8.51516;8.61281;10423.615998852
2009-05-11;8.72295;8.95264;8.72295;8.95264;25938.073312629
2009-05-12;8.95264;9.15887;8.87842;8.87842;3552.196290902
2009-05-13;8.87842;8.87842;8.47141;8.47141;8315.3394975494
2009-05-14;8.43469;8.43469;8.43469;8.43469;134.40742722332
2009-05-15;8.51516;8.51516;8.21126;8.21126;4856.5883703359
2009-05-18;8.39719;8.72295;8.39719;8.50734;2265.7252017645
2009-05-19;8.73077;8.75967;8.73077;8.73077;2027.6320449689
2009-05-20;8.87842;8.87842;8.85498;8.87842;11146.855964387
2009-05-21;8.65655;8.94481;8.51516;8.93701;36494.81666797
2009-05-22;8.93701;8.95264;8.76748;8.95264;12118.429652602
2009-05-25;9.05575;9.05575;8.87842;8.95264;3694.2841425381
2009-05-26;8.7753;9.02606;8.7753;9.01825;49086.872492692
2009-05-27;9.0409;9.0409;8.89327;8.89327;2531.9799147402
2009-05-28;8.87842;8.90107;8.87842;8.90107;22326.993767897
2009-05-29;8.96669;8.98935;8.91434;8.98935;1985.3897106987
2009-06-01;8.98935;9.47062;8.95264;9.24875;10526.021657689
2009-06-02;9.44788;9.51435;9.24875;9.24875;5703.9951972106
2009-06-03;9.27756;9.4846;9.27756;9.29247;3264.1803754235
2009-06-04;9.35968;9.50652;9.32138;9.50652;1881.7039811265
2009-06-05;9.55807;9.58845;9.54399;9.54399;3125.9327359938
2009-06-08;9.54399;9.61743;9.47062;9.61743;2226.0430089653
2009-06-09;9.61743;10.3205;9.61743;10.3205;5445.4209086476
2009-06-10;10.3581;10.7276;10.3581;10.7134;5811.5211389892
2009-06-12;10.0768;10.9502;10.0768;10.9502;421.1432719664
2009-06-15;10.3658;10.5799;10.2096;10.5799;3632.840747236
2009-06-16;10.5799;10.5799;10.2096;10.5799;1470.8012750438
2009-06-17;10.7947;10.7947;10.2846;10.69;1231.4280475127
2009-06-18;10.6618;10.6618;10.2768;10.2768;2277.2458383837
2009-06-19;10.0619;10.0619;9.54399;9.72138;6141.779388738
2009-06-22;9.95097;9.95097;9.61743;9.9135;6214.7434206592
2009-06-23;9.24875;9.84002;9.24875;9.61743;1978.9893570214
2009-06-24;9.54399;9.54399;9.24875;9.47062;10229.045247062
2009-06-25;9.47062;9.69169;9.47062;9.47062;2206.8419479334
2009-06-26;9.68468;9.68468;9.54399;9.66979;3430.5895710333
2009-06-29;9.68468;9.68468;9.43306;9.43306;3237.2988899788
2009-06-30;9.47062;10.9939;9.32921;10.7276;37252.618543363
2009-07-01;10.3581;10.9425;10.3581;10.9425;5913.9267978261
2009-07-02;10.9425;10.9425;10.4392;10.8681;378.90093769622
2009-07-03;10.876;10.876;10.3581;10.6244;939.57191982778
2009-07-06;10.3581;10.7204;10.2175;10.7204;1392.7169601807
2009-07-07;10.3581;10.7947;10.2096;10.4837;1714.0147147812
2009-07-08;10.3581;10.3581;10.1361;10.1361;1358.1550503233
2009-07-09;10.3581;10.6166;10.1361;10.5056;677.15741905844
2009-07-10;10.4986;10.5056;10.2908;10.3581;1216.0671986872
2009-07-13;10.7134;10.7134;10.469;10.5056;971.57368821428
2009-07-14;10.3948;10.3948;10.3948;10.3948;2864.7983059599
2009-07-15;10.3581;10.3581;9.98853;10.3581;901.16979776397
2009-07-16;9.99554;10.6463;9.99554;10.6463;2123.6373501285
2009-07-17;10.3948;10.4017;10.3948;10.4017;1862.5029200946
2009-07-20;10.6463;10.6463;10.4315;10.6166;478.74645506211
2009-07-21;10.6166;11.0236;10.6166;10.8017;33778.506567323
2009-07-22;10.9862;11.0236;10.9791;10.9862;3189.9362727668
2009-07-23;10.9939;10.9939;10.7276;10.9862;5543.9863552781
2009-07-24;10.9939;10.9939;10.9862;10.9939;4756.7428529701
2009-07-27;10.9939;10.9939;10.5431;10.9127;5255.9704397995
