Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2016-06-06;2.30564;2.30564;2.26736;2.27686;10546.3
2016-06-07;2.32474;2.39171;2.27686;2.29605;3235.5
2016-06-08;2.39171;2.39171;2.30564;2.38211;956.414
2016-06-09;2.47788;2.48737;2.32474;2.32474;38092.5
2016-06-10;2.39171;2.39171;2.31514;2.34393;6558.71
2016-06-13;2.34393;2.54484;2.34393;2.42049;23683.3
2016-06-14;2.43959;2.47788;2.43;2.47788;7531.63
2016-06-15;2.6788;2.6788;2.50656;2.52566;14329.7
2016-06-16;2.76486;2.76486;2.59263;2.59263;16073.3
2016-06-17;2.59263;2.65002;2.52566;2.65002;4667.55
2016-06-20;2.86053;3.01358;2.6979;2.7074;27453.3
2016-06-21;2.86053;2.86053;2.6979;2.81265;9300.02
2016-06-22;2.81265;3.06146;2.77437;3.00399;148333
2016-06-23;3.04226;3.2336;2.86053;2.91783;254075
2016-06-24;2.6788;2.80315;2.58304;2.76486;136290
2016-06-27;2.85094;2.86053;2.76486;2.85094;78834.5
2016-06-28;2.85094;2.86053;2.72648;2.78397;65847.1
2016-06-29;3.05186;3.05186;2.82224;2.97529;66999.5
2016-06-30;3.03267;3.03267;2.92752;2.97529;14019.1
2016-07-01;3.01358;3.01358;2.87963;2.9562;6748.55
2016-07-04;2.89872;2.9562;2.77437;2.83174;15693.6
2016-07-05;2.87012;2.87012;2.78397;2.82224;4352.87
2016-07-06;2.86053;2.86053;2.72648;2.76486;10029.4
2016-07-07;2.80315;2.80315;2.68829;2.75527;11093.1
2016-07-08;2.75527;2.87012;2.72648;2.84134;28088.8
2016-07-11;2.84134;3.00399;2.84134;2.99449;618686
2016-07-12;2.98489;3.06146;2.9657;3.02318;253830
2016-07-13;3.04226;3.15702;2.98489;3.15702;333032
2016-07-14;3.15702;3.37715;3.15702;3.32926;468546
2016-07-15;3.33886;3.34835;3.2336;3.26228;111250
2016-07-18;3.26228;3.31017;3.22399;3.30057;90813.9
2016-07-19;3.31017;3.31017;3.2336;3.2336;88275.9
2016-07-20;3.2336;3.29098;3.17621;3.29098;303863
2016-07-21;3.25279;3.28148;3.15702;3.22399;124150
2016-07-22;3.22399;3.29098;3.2049;3.28148;67027.4
2016-07-25;3.26228;3.27189;3.2049;3.27189;83641.3
2016-07-26;3.27189;3.27189;3.2049;3.25279;27041.6
2016-07-27;3.25279;3.25279;3.2049;3.24319;254466
2016-07-28;3.2049;3.25279;3.2049;3.25279;105448
2016-07-29;3.25279;3.36755;3.2145;3.34835;521991
2016-08-01;3.32926;3.42492;3.32926;3.38674;23834
2016-08-02;3.39623;3.41533;3.34835;3.38674;51087.1
2016-08-03;3.36755;3.38674;3.34835;3.35795;46991.2
2016-08-04;3.39623;3.41533;3.35795;3.41533;24844
2016-08-05;3.39623;3.63545;3.39623;3.62595;165263
2016-08-08;3.68323;3.68323;3.56846;3.58758;43752.6
2016-08-09;3.58758;3.61625;3.40583;3.55887;92200.6
2016-08-10;3.55887;3.58758;3.53018;3.57805;60359.3
2016-08-11;3.60666;3.60666;3.56846;3.57805;31992.9
2016-08-12;3.58758;3.58758;3.53978;3.56846;109109
2016-08-16;3.59717;3.59717;3.53978;3.53978;74407.3
2016-08-17;3.58758;3.58758;3.41533;3.4728;121343
2016-08-18;3.50149;3.53018;3.45372;3.4728;170380
2016-08-19;3.4728;3.53018;3.45372;3.4728;18424.6
2016-08-22;3.4728;3.4823;3.46321;3.46321;25095.8
2016-08-23;3.4823;3.49189;3.44412;3.46321;53795.4
2016-08-24;3.49189;3.49189;3.43452;3.4823;14830
2016-08-25;3.4823;3.4823;3.32926;3.43452;43793.8
2016-08-26;3.44412;3.46321;3.34835;3.43452;29995.5
2016-08-29;3.41533;3.44412;3.35795;3.40583;90474.5
2016-08-30;3.41533;3.41533;3.35795;3.39623;23550.2
2016-08-31;3.44412;3.44412;3.36755;3.41533;58330.9
2016-09-01;3.44412;3.44412;3.32926;3.32926;31608.1
2016-09-02;3.29098;3.41533;3.28148;3.41533;46979.8
2016-09-05;3.42492;3.44412;3.36755;3.42492;68942.3
2016-09-06;3.43452;3.57805;3.41533;3.57805;14888.9
2016-09-07;3.65455;4.0181;3.4728;3.97032;1419940
2016-09-08;4.0468;4.0468;3.86496;3.90334;231539
2016-09-09;3.88425;4.0181;3.84586;3.85546;346044
2016-09-12;3.89374;3.96073;3.87456;3.93193;56247.8
2016-09-13;3.94154;4.10417;3.94154;4.06588;373065
2016-09-14;4.0468;4.17115;4.00851;4.10417;283192
2016-09-15;4.15205;4.22862;4.13286;4.13286;197958
2016-09-16;4.18074;4.19024;4.06588;4.13286;69136.2
2016-09-19;4.13286;4.16164;4.06588;4.11376;38710.5
2016-09-20;4.10417;4.12327;4.06588;4.08508;52796.7
2016-09-21;4.09467;4.09467;4.05639;4.06588;53703.6
2016-09-22;4.09467;4.09467;3.92243;4.00851;99987
2016-09-23;4.0372;4.09467;3.97032;4.08508;135176
2016-09-26;4.08508;4.19024;4.08508;4.15205;142076
2016-09-27;4.19024;4.19024;4.09467;4.17115;28037.2
2016-09-28;4.18074;4.18074;4.11376;4.18074;222649
2016-09-29;4.18074;4.18074;4.11376;4.16164;155983
2016-09-30;4.18074;4.18074;4.10417;4.14255;359484
2016-10-03;4.14255;4.20943;4.11376;4.19983;35840.2
2016-10-04;4.19983;4.19983;4.15205;4.16164;17044.1
2016-10-05;4.16164;4.16164;4.11376;4.11376;38645.5
2016-10-06;4.11376;4.14255;4.05639;4.08508;117605
2016-10-07;4.12327;4.12327;4.08508;4.09467;49358
2016-10-10;4.10417;4.13286;4.08508;4.10417;32145.6
2016-10-11;4.11376;4.11376;3.99891;3.99891;181340
2016-10-12;4.10417;4.10417;3.74061;3.99891;241674
2016-10-13;4.05639;4.15205;4.00851;4.10417;295253
2016-10-14;4.18074;4.19024;4.07558;4.10417;38462.9
2016-10-17;4.09467;4.09467;4.0468;4.07558;79275
2016-10-18;4.08508;4.08508;3.94154;4.06588;161834
2016-10-19;4.0372;4.06588;3.96073;4.0181;53543.7
2016-10-20;4.06588;4.06588;3.99891;4.05639;14961.1
2016-10-21;4.0181;4.07558;3.97032;3.98942;41212.4
2016-10-24;3.98942;3.98942;3.96073;3.96073;11237.6
2016-10-25;3.95114;3.99891;3.93193;3.98942;110796
2016-10-26;4.0181;4.0181;3.97982;4.00851;30258.6
2016-10-27;4.05639;4.05639;3.97032;4.0468;101510
2016-10-28;4.0468;4.15205;4.0181;4.0181;50655.9
2016-10-31;4.08508;4.15205;4.0181;4.15205;132207
2016-11-02;4.15205;4.15205;3.92243;4.00851;166385
2016-11-03;4.00851;4.0468;3.89374;3.92243;40884.3
2016-11-04;3.98942;3.98942;3.92243;3.96073;20501.5
2016-11-07;4.0372;4.0372;3.92243;3.97982;17781.8
2016-11-08;3.97982;3.97982;3.88425;3.96073;170198
2016-11-09;3.74061;3.96073;3.73112;3.94154;65757.3
