Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1997-06-30;9.55678;9.55678;9.55678;9.55678;2921133.5601384
1997-07-01;9.70972;9.70972;9.70972;9.70972;5452309.0602334
1997-07-02;10.0888;10.0888;10.0888;10.0888;5001717.893303
1997-07-03;10.2116;10.2116;10.2116;10.2116;2750641.3008519
1997-07-04;10.4142;10.4142;10.4142;10.4142;1054637.4568062
1997-07-07;10.5905;10.8447;10.5905;10.6918;1654331.4951994
1997-07-08;10.9435;10.9435;10.7166;10.8676;1733721.8265664
1997-07-09;10.7166;10.8938;10.7166;10.8447;800006.25984121
1997-07-10;10.5905;10.7925;10.5905;10.6167;1112875.6011159
1997-07-11;10.467;10.4893;10.2639;10.3136;1069767.8050506
1997-07-14;10.3389;10.3389;10.0357;10.137;2005082.5640398
1997-07-15;10.0888;10.2116;10.0888;10.1899;2416654.9700532
1997-07-16;10.1632;10.2639;10.1632;10.2116;1253806.5235926
1997-07-17;10.3389;10.5422;10.3389;10.5422;1527152.0958666
1997-07-18;10.467;10.4893;10.3389;10.3389;1493728.2123826
1997-07-21;10.2116;10.3136;10.1899;10.2383;190635.96050435
1997-07-22;10.2116;10.2383;10.1899;10.2383;1386574.6790483
1997-07-23;10.2383;10.2383;10.2116;10.2116;518952.42782127
1997-07-24;10.3389;10.3389;10.2116;10.2116;884933.31619535
1997-07-25;10.3389;10.3389;9.96125;10.0888;1035878.7019988
1997-07-28;10.0888;10.2116;10.0888;10.1109;596426.78912632
1997-07-29;10.2116;10.3136;10.2116;10.2873;973937.16507739
1997-07-30;10.2383;10.3136;10.2383;10.3136;324697.24271916
1997-07-31;10.3389;10.3651;10.2116;10.2639;798045.91028106
1997-08-01;10.2116;10.3389;10.2116;10.2116;361979.08189495
1997-08-04;10.2383;10.2383;9.83384;9.83384;1011733.1943017
1997-08-05;10.137;10.2639;10.137;10.2639;674286.79296781
1997-08-06;10.2116;10.2873;10.2116;10.2639;673214.03337244
1997-08-07;10.3389;11.0963;10.3389;11.0963;1724086.8844659
1997-08-08;11.3727;12.2306;11.3727;12.0288;2022278.8544437
1997-08-11;11.5975;11.5975;11.2721;11.3472;750039.53580669
1997-08-12;11.3472;11.7255;11.3472;11.4733;1094764.1748518
1997-08-13;10.8447;10.8447;10.8447;10.8447;534806.62098527
1997-08-14;10.7671;10.7671;10.6428;10.6428;547107.39363509
1997-08-18;10.5905;10.5905;10.3389;10.5422;327777.79202795
1997-08-19;10.6167;10.7925;10.6167;10.7925;285118.38192762
1997-08-20;10.7671;10.8938;10.7434;10.7434;162005.06283011
1997-08-21;10.8447;10.8447;10.7434;10.7671;473562.91341548
1997-08-22;10.8447;10.8447;10.8447;10.8447;264221.75956715
