Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2010-06-08;5.24965;6.12616;4.55736;5.86304;78983.877960828
2010-06-09;6.26636;7.51968;5.54755;7.51968;35210.8966636
2010-06-10;7.80009;8.65902;7.04629;7.04629;20413.516560269
2010-06-11;7.01122;7.05514;6.59935;6.74829;18123.14851474
2010-06-14;6.31009;7.7037;6.31009;7.05514;6574.5321724923
2010-06-15;6.75704;7.09886;6.75704;6.83594;889.71589228884
2010-06-16;6.83594;6.9674;6.75704;6.9674;2943.8669699241
2010-06-17;6.87976;6.99373;6.83594;6.99373;899.08132273399
2010-06-18;6.99373;6.99373;6.75704;6.75704;972.96416291236
2010-06-21;6.75704;6.79211;6.39773;6.57302;2029.1765964482
2010-06-22;6.5292;7.61596;6.18737;7.03755;6897.1192211584
2010-06-23;7.09886;7.09886;6.74829;6.83594;3167.5966972248
2010-06-24;6.87976;6.87976;6.66065;6.83594;991.69502380265
2010-06-25;6.83594;7.05514;6.74829;6.92358;285.12532688555
2010-06-28;6.74829;6.74829;6.57302;6.57302;1095.7553620821
2010-06-29;6.66065;6.66065;6.48547;6.66065;239.33877804261
2010-06-30;6.48547;6.66065;6.48547;6.48547;866.82261786738
2010-07-01;6.48547;6.70447;6.48547;6.70447;239.33877804261
2010-07-02;6.91493;6.91493;6.70447;6.70447;103.0197348966
2010-07-05;6.48547;6.48547;6.47662;6.47662;170.65895477821
2010-07-06;6.48547;6.74829;6.48547;6.48547;424.56618017994
2010-07-07;6.48547;6.48547;6.48547;6.48547;80.126460475136
2010-07-08;6.66065;6.66065;6.57302;6.57302;194.59283258247
2010-07-09;6.66065;6.83594;6.66065;6.70447;266.39446599526
2010-07-12;6.66065;6.79211;6.66065;6.79211;142.56266344277
2010-07-13;6.79211;6.91493;6.79211;6.91493;1141.541910925
2010-07-14;6.91493;7.00247;6.91493;6.98499;1034.3597624972
2010-07-15;6.95866;6.95866;6.95866;6.95866;57.233186053668
2010-07-16;6.99373;6.99373;6.87976;6.87976;234.13576112864
2010-07-19;6.87976;6.99373;6.87976;6.99373;969.84235276398
2010-07-20;7.04629;7.04629;6.89735;6.89735;1830.4213503346
2010-07-21;7.05514;7.09886;6.92358;6.92358;924.05580392105
2010-07-22;6.92358;6.92358;6.92358;6.92358;285.12532688555
2010-07-23;6.99373;6.99373;6.9674;6.9674;125.91300931807
2010-07-26;6.99373;6.99373;6.99373;6.99373;422.48497341435
2010-07-27;6.97605;6.97605;6.92358;6.97605;194.59283258247
2010-07-28;6.97605;6.97605;6.87976;6.92358;1952.1719461215
2010-07-29;6.87976;6.99373;6.79211;6.92358;12759.87867982
2010-07-30;6.92358;6.99373;6.83594;6.99373;3314.3217741988
2010-08-02;7.00247;7.00247;6.8098;6.8098;3691.0201987702
2010-08-03;6.8098;6.87976;6.79211;6.87976;902.20313288237
2010-08-04;6.8098;6.83594;6.8098;6.83594;22.893274421467
2010-08-05;6.83594;6.83594;6.83594;6.83594;27.055687952643
2010-08-06;6.79211;6.83594;6.66065;6.83594;1084.3087248713
2010-08-09;6.79211;6.79211;6.79211;6.79211;570.2506537711
2010-08-10;6.75704;7.62481;6.75704;7.62481;11220.826276667
2010-08-11;7.27424;7.80009;7.14269;7.80009;707.6103002999
2010-08-12;7.71236;7.71236;7.71236;7.71236;696.16366308917
2010-08-13;7.44943;7.44943;7.10761;7.36178;3449.600213962
2010-08-16;7.18651;7.53707;7.12529;7.12529;1711.7925646961
2010-08-17;7.09886;7.09886;7.05514;7.05514;3952.2116478515
2010-08-18;7.01122;7.14269;7.01122;7.14269;1158.1915650497
2010-08-19;7.16902;7.40561;7.14269;7.14269;6744.1505238877
2010-08-20;7.14269;7.14269;7.14269;7.14269;24.974481187055
2010-08-23;7.18651;7.30057;7.18651;7.30057;543.19496581845
2010-08-24;7.30922;7.30922;7.23032;7.23032;3034.3994642272
2010-08-25;7.18651;7.30057;7.18651;7.18651;1529.6869727071
2010-08-26;7.30057;7.78251;7.21284;7.78251;6754.5565577157
2010-08-27;7.78251;8.2382;7.75618;8.06302;6122.9103043597
2010-08-30;8.098;8.098;7.88763;7.88763;3058.3333420315
2010-08-31;8.08925;8.08925;7.97528;7.97528;822.07667240724
2010-09-01;8.06302;8.08925;8.06302;8.08925;330.91187572848
2010-09-02;8.06302;8.06302;8.06302;8.06302;10.40603382794
2010-09-03;7.97528;7.97528;7.80009;7.97528;855.37598065664
2010-09-06;7.97528;8.0191;7.97528;7.97528;278.88170658878
2010-09-07;7.97528;7.97528;7.88763;7.88763;273.67868967481
2010-09-08;7.97528;8.0191;7.88763;8.0191;774.20891679871
2010-09-09;8.03659;8.13307;7.97528;8.10674;2008.3645287924
2010-09-10;8.10674;8.15056;7.97528;7.97528;2544.2752709313
2010-09-13;7.9402;7.94904;7.9402;7.94904;285.12532688555
2010-09-14;7.9402;8.12423;7.9402;8.12423;125.91300931807
2010-09-15;8.13307;8.13307;7.98403;7.98403;1237.277422142
2010-09-16;7.9402;7.9402;7.9402;7.9402;10.40603382794
2010-09-17;7.98403;8.06302;7.97528;7.97528;1232.0744052281
2010-09-20;8.02794;8.06302;7.99277;8.04533;501.57083050669
2010-09-21;8.04533;8.04533;7.84391;8.0191;399.59169899288
2010-09-22;8.06302;8.06302;8.04533;8.04533;18.730860890291
2010-09-23;8.04533;8.04533;8.04533;8.04533;5.2030169139698
2010-09-24;8.04533;8.06302;7.97528;8.04533;2838.7660282619
2010-09-27;8.04533;8.04533;7.80009;7.88763;283.04412011996
2010-09-28;7.88763;7.88763;7.44943;7.87014;684.71702587843
2010-09-29;7.71236;7.97528;7.71236;7.97528;365.25178736068
2010-09-30;8.0191;8.04533;7.97528;8.04533;480.75876285081
2010-10-01;8.04533;8.04533;7.88763;8.0191;195.63343596527
2010-10-04;8.02794;8.02794;7.88763;7.93145;661.82375145696
2010-10-05;8.02794;8.02794;7.91396;7.91396;446.41885121861
2010-10-06;8.02794;8.02794;7.93145;7.93145;69.720426647196
2010-10-07;8.0191;8.0191;7.93145;7.93145;69.720426647196
2010-10-08;7.93145;7.93145;7.66853;7.66853;239.33877804261
2010-10-11;7.49325;7.9577;7.49325;7.66853;3114.5259247024
2010-10-12;7.67728;7.9577;7.67728;7.9577;1006.2634711618
2010-10-13;7.9577;7.9577;7.84391;7.84391;1848.1116078421
2010-10-14;7.88763;7.88763;7.87889;7.88763;1028.1161422004
2010-10-15;7.9577;7.9577;7.93145;7.9577;263.27265584687
2010-10-18;7.9577;7.9577;7.84391;7.84391;444.33764445303
2010-10-19;7.9577;7.9577;7.9577;7.9577;22.893274421467
2010-10-20;7.93145;7.93145;7.62481;7.62481;2863.740509449
2010-10-21;7.62481;7.75618;7.44943;7.66853;2346.5606282004
2010-10-22;7.82633;7.84391;7.82633;7.84391;315.30282498657
2010-10-25;7.75618;7.75618;7.66853;7.75618;4361.1687772895
2010-10-26;7.71236;7.71236;7.71236;7.71236;69.720426647196
2010-10-27;7.84391;7.88763;7.71236;7.71236;935.50244113178
2010-10-28;7.67728;7.67728;7.41436;7.41436;4097.8961214427
2010-10-29;7.33545;7.53707;7.33545;7.53707;1288.2669878989
2010-11-02;7.4231;7.58089;7.4231;7.44943;194.59283258247
2010-11-03;7.47576;7.47576;7.18651;7.18651;597.30634172374
2010-11-04;7.03755;7.03755;6.79211;6.79211;874.10684154693
2010-11-05;6.92358;7.05514;6.92358;7.05514;17.690257507497
2010-11-08;7.05514;7.05514;6.87976;6.87976;1141.541910925
2010-11-09;6.83594;6.83594;6.83594;6.83594;91.573097685869
2010-11-10;6.83594;6.83594;6.83594;6.83594;433.93161062509
2010-11-12;6.83594;6.94117;6.70447;6.74829;4128.0736195437
2010-11-15;6.74829;6.76588;6.74829;6.74829;1141.541910925
2010-11-16;6.74829;6.83594;6.74829;6.83594;1495.3470610749
2010-11-17;6.83594;6.83594;6.83594;6.83594;462.02790196052
2010-11-18;6.83594;6.95866;6.83594;6.83594;833.52330961797
2010-11-19;6.95866;6.95866;6.74829;6.95866;4675.4309988933
2010-11-22;6.94117;6.99373;6.83594;6.9674;2800.2637030986
2010-11-23;6.98499;7.18651;6.98499;7.18651;4861.6990044134
2010-11-24;7.18651;7.18651;7.09886;7.09886;446.41885121861
2010-11-25;7.09886;7.17776;7.09886;7.09886;1415.2206005998
2010-11-26;7.09886;7.23032;7.09886;7.23032;170.65895477821
2010-11-29;7.23917;7.23917;7.01122;7.01122;1186.2878563851
2010-11-30;7.01122;7.23917;7.01122;7.23917;627.48383982476
2010-12-01;7.23032;7.23032;7.23032;7.23032;57.233186053668
2010-12-02;7.30922;7.30922;7.30922;7.30922;10.40603382794
2010-12-03;7.30922;7.30922;7.05514;7.05514;935.50244113178
2010-12-06;7.01122;7.09886;6.79211;7.01122;2757.598964404
2010-12-07;7.12529;7.12529;7.12529;7.12529;22.893274421467
2010-12-08;7.12529;7.12529;7.01122;7.01122;262.23205246408
2010-12-09;7.01122;7.01122;7.01122;7.01122;1368.3934483741
2010-12-13;6.94117;7.02006;6.94117;7.01122;650.37711424623
2010-12-14;6.9674;6.9674;6.9674;6.9674;10.40603382794
2010-12-15;6.9674;6.97605;6.9674;6.97605;119.66938902131
2010-12-16;6.97605;7.05514;6.97605;6.97605;2367.3726958563
2010-12-17;6.97605;6.99373;6.94117;6.98499;9578.7541386185
2010-12-20;7.01122;7.09011;6.92358;6.93232;3330.9714283235
2010-12-21;6.93232;6.95866;6.93232;6.94117;2166.536242977
2010-12-22;6.94117;6.94117;6.93232;6.93232;317.38403175216
2010-12-23;6.85353;6.85353;6.85353;6.85353;10.40603382794
2010-12-27;6.87976;6.87976;6.87976;6.87976;57.233186053668
2010-12-28;6.87976;6.9674;6.87976;6.9674;183.14619537174
2010-12-29;6.87976;6.87976;6.87976;6.87976;10.40603382794
2010-12-30;6.92358;6.92358;6.87976;6.87976;235.17636451144
2010-12-31;7.01122;7.01122;7.01122;7.01122;10.40603382794
2011-01-03;7.08137;7.08137;7.08137;7.08137;10.40603382794
2011-01-04;7.01122;7.01122;7.01122;7.01122;10.40603382794
2011-01-05;7.08137;7.08137;7.08137;7.08137;10.40603382794
2011-01-07;7.05514;7.05514;7.05514;7.05514;10.40603382794
2011-01-10;7.01122;7.01122;6.83594;7.01122;271.59748290923
2011-01-11;7.05514;7.05514;7.05514;7.05514;5.2030169139698
2011-01-12;7.05514;7.05514;7.05514;7.05514;5.2030169139698
2011-01-13;7.05514;7.05514;6.79211;6.9674;2117.6278839857
2011-01-14;6.9674;7.05514;6.9674;6.9674;883.47227199208
2011-01-17;6.9674;6.9674;6.9674;6.9674;5.2030169139698
2011-01-18;6.9674;6.9674;6.88851;6.88851;66.598616498814
2011-01-19;6.9674;6.9674;6.9674;6.9674;5.2030169139698
2011-01-20;6.9674;6.9674;6.83594;6.83594;81.16706385793
2011-01-21;6.9674;6.9674;6.86227;6.86227;747.15322884607
2011-01-24;6.9674;6.9674;6.92358;6.92358;69.720426647196
2011-01-25;6.9674;6.9674;6.9674;6.9674;5.2030169139698
2011-01-26;6.9674;6.9674;6.9674;6.9674;5.2030169139698
2011-01-27;6.83594;6.90609;6.83594;6.90609;1208.1405274238
2011-01-28;6.90609;6.90609;6.79211;6.79211;833.52330961797
2011-01-31;6.76588;6.76588;6.64317;6.66065;2025.0141829171
2011-02-01;6.7309;6.7309;6.7309;6.7309;119.66938902131
2011-02-02;6.7309;6.7309;6.55553;6.55553;981.28898997471
2011-02-03;6.57302;6.57302;6.40638;6.5292;353.80515014995
2011-02-04;6.57302;6.57302;6.57302;6.57302;136.31904314601
2011-02-07;6.66065;6.6694;6.66065;6.66065;696.16366308917
2011-02-08;6.83594;6.83594;6.48547;6.74829;944.86787157692
2011-02-09;6.74829;6.8098;6.74829;6.8098;206.03946979321
2011-02-10;6.74829;6.85353;6.74829;6.85353;125.91300931807
2011-02-11;6.8098;6.90609;6.8098;6.90609;1261.2112999463
2011-02-14;6.79211;6.79211;6.74829;6.74829;442.25643768744
2011-02-15;6.75704;6.75704;6.75704;6.75704;5.2030169139698
2011-02-16;6.8098;6.81844;6.79211;6.79211;753.39684914283
2011-02-17;6.79211;6.79211;6.79211;6.79211;5.2030169139698
2011-02-18;6.79211;6.94991;6.79211;6.94991;119.66938902131
2011-02-21;6.79211;6.90609;6.79211;6.80095;409.99773282082
2011-02-22;6.80095;6.80095;6.80095;6.80095;5.2030169139698
2011-02-23;6.80095;6.80095;6.70447;6.79211;5008.4240813874
2011-02-24;6.79211;6.79211;6.79211;6.79211;10.40603382794
2011-02-25;6.79211;6.79211;6.70447;6.78337;397.5104922273
2011-02-28;6.80095;6.80095;6.80095;6.80095;5.2030169139698
2011-03-01;6.79211;6.79211;6.57302;6.58176;1597.3261925887
2011-03-02;6.57302;6.80095;6.57302;6.66065;2994.856535681
2011-03-03;6.62558;6.79211;6.62558;6.79211;1552.5802471286
2011-03-04;6.79211;6.79211;6.79211;6.79211;5.2030169139698
2011-03-07;6.80095;6.80095;6.79211;6.80095;1893.898156685
2011-03-08;6.80095;7.00247;6.80095;6.92358;27714.389893952
2011-03-09;6.92358;7.00247;6.92358;7.00247;78958.903479641
2011-03-10;7.04629;7.05514;7.04629;7.05514;353.80515014995
2011-03-11;7.05514;7.05514;6.94991;7.00247;582.73789436462
2011-03-14;6.99373;6.99373;6.86227;6.99373;2316.3831300994
2011-03-15;6.99373;7.01122;6.83594;6.83594;3745.1315746755
2011-03-16;6.92358;6.92358;6.90609;6.92358;883.47227199208
2011-03-17;6.94117;6.94117;6.94117;6.94117;10.40603382794
2011-03-18;6.9674;6.9674;6.9674;6.9674;5.2030169139698
2011-03-21;6.98499;6.98499;6.98499;6.98499;5.2030169139698
2011-03-22;6.91493;6.91493;6.57302;6.69583;2293.4898556779
2011-03-23;6.57302;6.74829;6.57302;6.64317;7546.4557320219
2011-03-24;6.57302;6.64317;6.57302;6.59935;7823.2562318451
2011-03-25;6.57302;6.57302;6.47662;6.47662;2529.7068235721
2011-03-28;6.47662;6.48547;6.44145;6.44145;1592.1231756748
2011-03-29;6.48547;6.48547;6.48547;6.48547;113.42576872454
2011-03-30;6.39773;6.39773;6.35391;6.35391;226.85153744909
2011-03-31;6.35391;6.44145;6.1348;6.44145;1678.4932564467
2011-04-01;6.44145;6.83594;6.27511;6.83594;1362.1498280773
2011-04-04;6.91493;6.91493;6.91493;6.91493;22.893274421467
2011-04-05;6.91493;6.91493;6.91493;6.91493;90.532494303075
2011-04-06;6.97605;6.97605;6.87976;6.87976;14411.316248314
2011-04-11;6.97605;6.97605;6.97605;6.97605;22.893274421467
2011-04-12;6.97605;6.97605;6.66065;6.66065;588.98151466139
2011-04-13;6.70447;6.70447;6.70447;6.70447;18.730860890291
