Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2009-06-25;36.6551;38.125;36.0025;37.5695;5176046.2864675
2009-06-26;37.8633;39.8559;37.8633;38.3539;679370.95160221
2009-06-29;39.0402;39.1382;38.3539;38.8764;129235.27541621
2009-06-30;39.2031;40.1505;39.2031;39.8238;280812.49213166
2009-07-01;39.2674;40.0526;39.2674;39.7587;85451.728825038
2009-07-02;39.8559;39.8559;38.223;38.4847;213688.25093757
2009-07-03;37.8311;38.3539;37.5695;37.8963;53534.149099677
2009-07-06;37.5695;38.4181;36.3283;38.0601;102146.21835363
2009-07-07;37.8633;37.9621;37.5045;37.8963;191712.03317166
2009-07-08;37.5045;37.7333;36.7209;37.4386;15320.292464771
2009-07-09;37.2748;37.8963;37.2427;37.5695;215575.18996507
2009-07-10;37.6024;37.8963;37.5045;37.5695;139426.93321575
2009-07-13;36.5892;37.5695;36.5892;37.2427;8883.0722666305
2009-07-14;37.5045;38.5498;37.3736;38.5498;25384.372287573
2009-07-15;38.5498;39.562;38.5498;39.5308;43914.769652965
2009-07-16;39.2031;39.8559;39.2031;39.5308;92737.038811458
2009-07-17;39.5308;39.8559;39.2674;39.5941;24061.206414455
2009-07-20;39.5308;40.1176;38.9406;40.1176;50209.831534159
2009-07-21;39.8559;40.3456;39.2369;40.1505;23227.696966376
2009-07-22;39.2369;40.1176;39.2369;39.9217;133170.75224176
2009-07-23;39.8559;41.2945;39.5308;40.9991;53006.82679579
2009-07-24;41.2945;44.757;41.032;43.7118;71849.486447125
2009-07-27;44.5611;45.705;43.1554;44.1035;97775.761378784
2009-07-28;44.4302;44.4302;43.5159;43.7118;92208.501479222
2009-07-29;43.3183;44.4302;43.1241;44.4302;74625.826226806
2009-07-30;44.4623;44.724;44.4302;44.6582;49373.89202938
2009-07-31;45.0508;45.0838;44.724;45.0838;97701.644649436
2009-08-03;45.2137;45.6063;44.4302;44.757;60945.822034494
2009-08-04;45.1487;45.1487;43.4821;44.1364;41070.388285685
2009-08-05;43.8434;44.1364;43.7767;43.7767;38787.350016092
2009-08-06;43.8434;43.9068;43.5159;43.9068;59434.326767131
2009-08-07;43.5159;45.4755;43.5159;45.4104;13946.095400955
2009-08-10;45.4104;45.7372;44.6261;45.7372;25870.383627561
2009-08-11;45.4104;46.7165;45.4104;45.7372;30103.542398856
2009-08-12;45.4104;45.4104;44.3644;45.4104;31797.291918714
2009-08-13;45.4104;47.6639;45.4104;47.3701;57593.558816927
2009-08-14;47.6968;47.6968;47.1092;47.1092;20855.961627235
2009-08-17;46.3248;46.3248;45.4755;45.7372;18851.164849784
2009-08-18;45.7372;45.7372;45.0838;45.5405;38241.802286955
2009-08-19;46.5866;46.5866;45.3446;46.3899;3060.6564135744
2009-08-20;46.3899;47.0433;46.3899;47.0433;5798.1152860567
2009-08-21;47.3701;47.6968;46.5866;47.6968;58064.989816715
2009-08-24;47.6968;47.6968;46.9125;47.0433;30960.137385585
2009-08-25;47.631;47.631;45.6376;45.9331;58277.61977796
2009-08-26;45.9331;46.7165;45.6063;45.6722;14712.778289786
2009-08-27;45.6063;45.7372;44.92;45.7372;134812.25554257
2009-08-28;45.7372;46.7165;45.7372;46.259;22730.750371238
2009-08-31;46.259;46.5866;45.6063;46.5866;7148.0117828734
2009-09-01;46.3899;46.9125;44.4953;45.6063;11053.112899677
2009-09-02;44.4953;44.4953;43.1241;44.1035;30397.579259549
2009-09-03;43.5159;45.0838;43.5159;45.0187;6445.7253965907
2009-09-04;45.0187;45.7372;43.9068;45.0838;48247.560748958
2009-09-07;44.2995;45.0838;44.2995;44.4953;19825.61758646
2009-09-08;45.6722;45.6722;43.45;43.7439;78619.624413157
2009-09-09;43.7439;43.7439;42.7974;43.1241;58116.021007414
2009-09-10;43.1554;44.1035;41.2286;41.9472;54042.030949965
2009-09-11;42.4706;43.1241;42.143;43.1241;22317.640732249
2009-09-14;42.9275;42.9275;41.4237;41.6212;48868.440235792
2009-09-15;41.8813;42.7974;41.8813;42.143;33941.816956411
2009-09-16;42.7974;43.2542;42.4706;43.2542;15698.166281612
2009-09-17;43.4821;45.0187;43.4821;44.887;26233.677104202
2009-09-18;44.4623;45.6063;44.4302;45.6063;14515.943697091
2009-09-21;45.0838;46.7165;45.0838;46.4557;25522.885519469
2009-09-22;45.8022;48.0243;45.8022;48.0243;169802.641965
2009-09-23;47.6968;48.2853;46.7165;48.0243;15585.168645065
2009-09-24;47.2062;48.3495;47.2062;48.2853;24160.838739153
2009-09-25;47.6968;48.0243;47.1413;48.0243;10369.051938644
2009-09-28;47.2393;48.0564;47.2393;48.0564;17148.910131476
2009-09-29;48.0564;48.0564;47.6968;48.0243;76015.818659172
2009-09-30;47.2729;48.2203;47.2393;48.1544;15140.468268976
2009-10-01;48.1544;48.2203;47.4038;47.7305;8812.6006223322
2009-10-02;47.3701;48.1544;47.0433;48.1544;13266.894553322
2009-10-05;47.6968;48.9709;47.631;48.2853;41499.293293225
2009-10-06;48.6771;49.0038;48.2853;48.9709;12437.030190293
2009-10-07;49.0038;49.0038;47.2393;48.6771;5154.1502605726
2009-10-08;48.3495;48.5792;47.4359;48.5461;6991.2731257272
2009-10-09;48.612;49.7882;48.0243;49.0038;27579.928515969
2009-10-12;49.2655;50.6375;48.3495;50.6375;31426.708271973
2009-10-13;50.8334;50.8334;49.0689;49.6902;14526.878952241
2009-10-14;49.984;49.984;49.5922;49.984;178527.76054614
2009-10-15;50.2449;50.2449;49.0367;49.7552;55857.28330482
2009-10-16;49.4615;49.6573;49.0367;49.3305;5468.8426032149
2009-10-19;49.5922;49.5922;47.6968;48.6771;6626.7646207363
2009-10-20;48.2853;48.6771;46.8483;48.1544;25186.322666528
2009-10-21;48.0243;48.3495;46.9125;48.3495;10488.124716941
2009-10-22;47.0433;48.6771;47.0433;48.6771;70480.149496708
2009-10-23;48.3495;48.3495;48.0243;48.3495;22751.405853188
2009-10-26;47.7305;49.0038;47.6968;49.0038;3223.4702124703
2009-10-27;48.3495;48.3495;47.8935;48.2853;4410.552910391
2009-10-28;49.3305;49.984;48.0885;48.3495;17996.999919755
2009-10-29;48.3495;49.1989;48.0243;49.1989;13802.722055659
2009-10-30;49.3305;49.3305;48.6771;49.3305;17565.664855516
2009-11-02;49.2976;49.6573;49.1355;49.6573;3118.9777743729
2009-11-03;49.6573;49.6573;49.0038;49.2976;2961.0240888768
2009-11-04;49.2976;49.2976;48.6449;48.6771;5348.5547965678
2009-11-05;48.3495;48.6449;48.1874;48.3495;8790.7301120328
2009-11-06;48.3495;49.0038;47.6968;47.6968;13604.672434614
2009-11-09;48.0243;48.6771;47.631;48.6771;11551.274523165
2009-11-10;49.0038;49.6243;48.84;49.0038;65038.037517193
2009-11-12;49.0038;49.3305;48.9387;49.1989;8386.1256714928
2009-11-13;49.2655;49.3305;48.3495;48.6771;11622.961195813
2009-11-16;49.0038;49.0689;48.7429;49.0038;1577.106798261
2009-11-17;48.71;48.71;47.9915;48.3495;7960.8657490033
2009-11-18;48.3495;48.3495;47.6968;48.0243;9415.2546839174
2009-11-19;47.9249;47.9249;47.4359;47.7948;4315.7806990934
2009-11-20;47.6968;48.2523;47.5667;48.2523;2382.6705942911
2009-11-23;48.2523;48.2523;47.4359;47.631;14054.232924103
2009-11-24;47.3701;47.5667;45.9989;46.3899;59066.17317709
2009-11-25;46.3578;46.4557;45.5405;46.3899;4296.3402454938
2009-11-26;46.6524;46.6524;45.4104;45.4104;12401.794368144
2009-11-27;43.9726;45.6722;43.8434;45.6722;3527.2272999628
2009-11-30;45.6722;46.6524;45.5405;46.3248;17125.824592827
2009-12-01;46.9125;46.9125;46.0623;46.0623;6267.1162291451
2009-12-02;46.3899;46.8483;46.2269;46.259;463506.58488985
2009-12-03;47.0104;47.0104;46.3899;46.3899;17027.407296479
2009-12-04;46.9125;46.9125;45.705;45.705;2993.829854326
2009-12-07;45.7372;46.7165;45.705;45.705;1351.1115251666
2009-12-08;45.6722;46.3899;45.0838;46.3899;2706993.2516352
2009-12-09;46.3578;46.3578;45.3446;45.5405;5437.2518661156
2009-12-10;45.705;46.031;45.3446;45.3446;79510.240193685
2009-12-11;45.7372;45.7372;45.4755;45.705;31881.128874862
2009-12-14;45.7372;45.7693;45.4104;45.7372;25541.110944719
2009-12-15;45.8022;45.9331;45.7693;45.8022;24104.947435054
2009-12-16;46.0623;46.5207;45.9989;46.4557;20943.443668432
2009-12-17;46.8154;46.8483;46.4557;46.7165;8254.902609696
2009-12-18;46.7817;47.0433;46.3248;46.3248;3454.3255989646
2009-12-21;46.7165;46.7165;45.8022;46.3899;2549.129478237
2009-12-22;46.7165;47.3051;46.7165;46.9791;45507.671819776
