Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1996-05-20;0.162189;0.162189;0.162189;0.162189;19381156.717079
1996-05-21;0.14884;0.14884;0.14884;0.14884;19137595.381112
1996-05-22;0.142165;0.142165;0.142165;0.142165;10524924.163465
1996-05-23;0.133487;0.133487;0.133487;0.133487;9781770.6375321
1996-05-24;0.131484;0.131484;0.131484;0.131484;10108427.239363
1996-05-27;0.132823;0.132823;0.132823;0.132823;7232969.929568
1996-05-28;0.128816;0.128816;0.128816;0.128816;9119152.7905562
1996-05-29;0.128816;0.128816;0.128816;0.128816;7761090.1736099
1996-05-30;0.126812;0.126812;0.126812;0.126812;4880158.764543
1996-05-31;0.131484;0.131484;0.131484;0.131484;6608377.7062673
1996-06-03;0.140163;0.140163;0.140163;0.140163;4258578.2531097
1996-06-04;0.14884;0.14884;0.14884;0.14884;6428502.6627182
1996-06-05;0.144833;0.144833;0.144833;0.144833;17452284.129001
1996-06-07;0.144833;0.144833;0.144833;0.144833;16459542.897928
1996-06-10;0.152182;0.152182;0.152182;0.152182;9869789.205486
1996-06-11;0.151508;0.151508;0.151508;0.151508;9468126.9873202
1996-06-12;0.153512;0.153512;0.153512;0.153512;7673025.9513441
1996-06-13;0.147509;0.147509;0.147509;0.147509;3006389.4582395
1996-06-14;0.143503;0.143503;0.143503;0.143503;5415722.1341486
1996-06-17;0.144833;0.144833;0.144833;0.144833;3752509.0417281
1996-06-18;0.142165;0.142165;0.142165;0.142165;4470642.5320061
1996-06-19;0.140163;0.140163;0.140163;0.140163;4618924.7917023
1996-06-20;0.138832;0.138832;0.138832;0.138832;3749952.4002603
1996-06-21;0.140163;0.140163;0.140163;0.140163;2339755.5045339
1996-06-24;0.141501;0.141501;0.141501;0.141501;1440422.9956609
1996-06-25;0.141501;0.141501;0.141501;0.141501;4423845.3895622
1996-06-26;0.142165;0.142165;0.142165;0.142165;3722605.4674165
1996-06-27;0.144833;0.144833;0.144833;0.144833;7391112.0479205
1996-06-28;0.145507;0.145507;0.145507;0.145507;2540220.6427615
1996-07-01;0.147509;0.147509;0.147509;0.147509;2015568.6537064
1996-07-02;0.146838;0.146838;0.146838;0.146838;4964117.0441751
1996-07-03;0.146838;0.146838;0.146838;0.146838;3969134.3336579
1996-07-04;0.145507;0.145507;0.145507;0.145507;3120295.4937752
1996-07-05;0.144833;0.144833;0.144833;0.144833;2974341.6039871
1996-07-08;0.142165;0.142165;0.142165;0.142165;1309803.0638011
1996-07-09;0.141501;0.141501;0.141501;0.141501;1571265.3082014
1996-07-10;0.140163;0.140163;0.140163;0.140163;1298209.8140114
1996-07-11;0.138159;0.138159;0.138159;0.138159;913075.92948236
1996-07-12;0.138159;0.138159;0.138159;0.138159;1996440.9697291
1996-07-15;0.138159;0.138159;0.138159;0.138159;3279081.1906539
1996-07-16;0.13549;0.13549;0.13549;0.13549;1446995.7438586
1996-07-17;0.131484;0.131484;0.131484;0.131484;2526250.4233122
1996-07-18;0.131484;0.131484;0.131484;0.131484;3172934.9154259
1996-07-19;0.124809;0.124809;0.124809;0.124809;1173302.5620212
1996-07-22;0.121476;0.121476;0.121476;0.121476;1883629.1649599
1996-07-23;0.119473;0.119473;0.119473;0.119473;1407186.6565788
1996-07-24;0.121476;0.121476;0.121476;0.121476;662164.24929614
1996-07-25;0.126148;0.126148;0.126148;0.126148;2040584.2712024
1996-07-26;0.124809;0.124809;0.124809;0.124809;1978403.098359
1996-07-29;0.126812;0.126812;0.126812;0.126812;1908734.61836
1996-07-30;0.124809;0.124809;0.124809;0.124809;1693981.1532191
1996-07-31;0.121476;0.121476;0.121476;0.121476;1501141.7578027
1996-08-01;0.11747;0.11747;0.11747;0.11747;1736486.7903421
1996-08-02;0.114136;0.114136;0.114136;0.114136;1694442.1144976
1996-08-05;0.11747;0.11747;0.11747;0.11747;2180376.3016
1996-08-06;0.11614;0.11614;0.11614;0.11614;1627969.4363333
1996-08-07;0.114802;0.114802;0.114802;0.114802;2230550.3904068
1996-08-08;0.11614;0.11614;0.11614;0.11614;1761551.0075893
1996-08-09;0.121476;0.121476;0.121476;0.121476;2015341.8548664
1996-08-12;0.122814;0.122814;0.122814;0.122814;1263739.3357875
1996-08-13;0.121476;0.121476;0.121476;0.121476;2525288.7373223
1996-08-14;0.122814;0.122814;0.122814;0.122814;5046290.3874827
1996-08-16;0.126148;0.126148;0.126148;0.126148;1949232.9384778
1996-08-19;0.131484;0.131484;0.131484;0.131484;4443660.8336578
1996-08-20;0.131484;0.131484;0.131484;0.131484;4177316.5233209
1996-08-21;0.131484;0.131484;0.131484;0.131484;1594043.8644131
1996-08-22;0.140163;0.140163;0.140163;0.140163;3623766.8275362
1996-08-23;0.142165;0.142165;0.142165;0.142165;7996343.8975251
1996-08-26;0.138832;0.138832;0.138832;0.138832;722472.12263068
1996-08-27;0.138159;0.138159;0.138159;0.138159;2431243.8001942
1996-08-28;0.140163;0.140163;0.140163;0.140163;2496759.2105277
1996-08-29;0.140163;0.140163;0.140163;0.140163;2821219.9872268
1996-08-30;0.144833;0.144833;0.144833;0.144833;9348743.907073
1996-09-02;0.145507;0.145507;0.145507;0.145507;3336602.6782413
1996-09-03;0.146838;0.146838;0.146838;0.146838;6408553.2011263
1996-09-04;0.143503;0.143503;0.143503;0.143503;1010727.5572527
1996-09-05;0.128816;0.128816;0.128816;0.128816;4936765.6931722
1996-09-06;0.131484;0.131484;0.131484;0.131484;3758900.6453978
1996-09-09;0.132823;0.132823;0.132823;0.132823;1520497.7133397
1996-09-10;0.13549;0.13549;0.13549;0.13549;3700236.3272925
1996-09-11;0.133487;0.133487;0.133487;0.133487;1968407.7494867
1996-09-12;0.13549;0.13549;0.13549;0.13549;3055833.0780553
1996-09-13;0.140163;0.140163;0.140163;0.140163;4822130.6613653
1996-09-16;0.140163;0.140163;0.140163;0.140163;6291723.8169076
1996-09-17;0.138832;0.138832;0.138832;0.138832;1153898.0067329
1996-09-18;0.138832;0.138832;0.138832;0.138832;1782914.2801313
1996-09-19;0.136828;0.136828;0.136828;0.136828;2626096.4034944
1996-09-20;0.13549;0.13549;0.13549;0.13549;6292226.0143388
1996-09-23;0.138159;0.138159;0.138159;0.138159;3123401.459706
1996-09-24;0.134826;0.134826;0.134826;0.134826;887188.46190057
1996-09-25;0.131484;0.131484;0.131484;0.131484;4397962.3401396
1996-09-26;0.131484;0.131484;0.131484;0.131484;5154994.7768982
1996-09-27;0.13549;0.13549;0.13549;0.13549;4911427.5500532
1996-09-30;0.136828;0.136828;0.136828;0.136828;2191287.6821504
1996-10-01;0.138832;0.138832;0.138832;0.138832;3203021.1069852
