Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1995-05-25;2.86782;2.86782;2.86782;2.86782;1107104.3475459
1995-05-26;2.86782;2.86782;2.86782;2.86782;867031.50237249
1995-05-29;2.92827;2.92827;2.92827;2.92827;708273.8191567
1995-05-30;2.64155;2.64155;2.64155;2.64155;540804.62425434
1995-05-31;2.6718;2.6718;2.6718;2.6718;338933.25670576
1995-06-01;2.44523;2.44523;2.44523;2.44523;136184.43368971
1995-06-02;2.47537;2.47537;2.47537;2.47537;212896.17092213
1995-06-05;2.62632;2.62632;2.62632;2.62632;104895.81270226
1995-06-06;2.62632;2.62632;2.62632;2.62632;252440.85017169
1995-06-07;2.6718;2.6718;2.6718;2.6718;265381.38842951
1995-06-08;2.6718;2.6718;2.6718;2.6718;215412.74408104
1995-06-09;2.65655;2.65655;2.65655;2.65655;146617.40492977
1995-06-12;2.58108;2.58108;2.58108;2.58108;138506.73151784
1995-06-13;2.59608;2.59608;2.59608;2.59608;129034.84419889
1995-06-14;2.65655;2.65655;2.65655;2.65655;89778.361466502
1995-06-16;2.59608;2.59608;2.59608;2.59608;89554.494529053
1995-06-19;2.50562;2.50562;2.50562;2.50562;63657.978914296
1995-06-20;2.56608;2.56608;2.56608;2.56608;97234.15975682
1995-06-21;2.56608;2.56608;2.56608;2.56608;116912.5781952
1995-06-22;2.56608;2.56608;2.56608;2.56608;159786.95649141
1995-06-23;2.59608;2.59608;2.59608;2.59608;80118.631774749
1995-06-26;2.71694;2.71694;2.71694;2.71694;366409.70679861
1995-06-27;2.80749;2.80749;2.80749;2.80749;367772.20729722
1995-06-28;2.71694;2.71694;2.71694;2.71694;174095.14161422
1995-06-29;2.77726;2.77726;2.77726;2.77726;297232.24994377
1995-06-30;2.79242;2.79242;2.79242;2.79242;181386.25618043
1995-07-03;2.86782;2.86782;2.86782;2.86782;404136.43212509
1995-07-04;2.83757;2.83757;2.83757;2.83757;315756.59572185
1995-07-05;2.80749;2.80749;2.80749;2.80749;149069.64850896
1995-07-06;2.82242;2.82242;2.82242;2.82242;119395.69997265
1995-07-07;2.79242;2.79242;2.79242;2.79242;93649.715574451
1995-07-10;2.79242;2.79242;2.79242;2.79242;45303.46322669
1995-07-11;2.77726;2.77726;2.77726;2.77726;118823.16671308
1995-07-12;2.7471;2.7471;2.7471;2.7471;90644.237609622
1995-07-13;2.80749;2.80749;2.80749;2.80749;217271.86893513
1995-07-14;2.83757;2.83757;2.83757;2.83757;84224.145552903
1995-07-17;2.89812;2.89812;2.89812;2.89812;543991.511634
1995-07-18;3.07923;3.07923;3.07923;3.07923;775212.60663706
1995-07-19;3.38102;3.38102;3.38102;3.38102;0
1995-07-20;3.71307;3.71307;3.71307;3.71307;1052892.5241187
1995-07-21;3.89432;3.89432;3.89432;3.89432;1113570.7569001
1995-07-24;3.92448;3.92448;3.92448;3.92448;1101053.5072769
1995-07-25;4.31698;4.31698;4.31698;4.31698;708264.81301555
1995-07-26;4.7395;4.7395;4.7395;4.7395;1284208.8268998
1995-07-27;5.1317;5.1317;5.1317;5.1317;898200.47034165
1995-07-28;4.86021;4.86021;4.86021;4.86021;630935.51181774
1995-07-31;4.37722;4.37722;4.37722;4.37722;629280.95502718
1995-08-01;4.37722;4.37722;4.37722;4.37722;454511.63941743
1995-08-02;4.37722;4.37722;4.37722;4.37722;466276.23295783
1995-08-03;4.2866;4.2866;4.2866;4.2866;558710.11947546
1995-08-04;4.37722;4.37722;4.37722;4.37722;343712.94447944
1995-08-07;4.40753;4.40753;4.40753;4.40753;350206.37225706
1995-08-08;4.31698;4.31698;4.31698;4.31698;246932.9515555
1995-08-09;4.25653;4.25653;4.25653;4.25653;239282.8779344
1995-08-10;4.46785;4.46785;4.46785;4.46785;361808.85525656
1995-08-11;4.7395;4.7395;4.7395;4.7395;493829.87854635
1995-08-16;4.83013;4.83013;4.83013;4.83013;535911.71642033
1995-08-17;4.83013;4.83013;4.83013;4.83013;518109.14852679
1995-08-18;4.64879;4.64879;4.64879;4.64879;375574.09872646
1995-08-22;4.98114;4.98114;4.98114;4.98114;834169.37986494
1995-08-23;5.01154;5.01154;5.01154;5.01154;537397.72971202
1995-08-24;5.16217;5.16217;5.16217;5.16217;568758.39982875
1995-08-25;5.67516;5.67516;5.67516;5.67516;639964.81162817
1995-08-28;5.94703;5.94703;5.94703;5.94703;664788.30985309
1995-08-29;5.88678;5.88678;5.88678;5.88678;632619.66021499
1995-08-30;5.73538;5.73538;5.73538;5.73538;619190.21715126
1995-08-31;5.70539;5.70539;5.70539;5.70539;580925.69653826
1995-09-01;6.24845;6.24845;6.24845;6.24845;0
1995-09-04;6.85237;6.85237;6.85237;6.85237;385329.03619621
1995-09-05;7.51676;7.51676;7.51676;7.51676;1421223.1121679
1995-09-06;7.24364;7.24364;7.24364;7.24364;832217.62041602
1995-09-07;7.69942;7.69942;7.69942;7.69942;538204.42264179
1995-09-08;8.18053;8.18053;8.18053;8.18053;975747.20551893
1995-09-11;8.5132;8.5132;8.5132;8.5132;742867.69395051
1995-09-12;7.96989;7.96989;7.96989;7.96989;379503.34945616
1995-09-13;7.81834;7.81834;7.81834;7.81834;555464.04888245
1995-09-14;7.87895;7.87895;7.87895;7.87895;584526.86641135
1995-09-15;7.48645;7.48645;7.48645;7.48645;354234.69053953
1995-09-18;7.1248;7.1248;7.1248;7.1248;549038.81045935
1995-09-19;6.42978;6.42978;6.42978;6.42978;409484.79338356
1995-09-20;6.76291;6.76291;6.76291;6.76291;497775.85496678
1995-09-21;6.76291;6.76291;6.76291;6.76291;601808.36470912
1995-09-22;6.55134;6.55134;6.55134;6.55134;296223.56213364
1995-09-25;6.55134;6.55134;6.55134;6.55134;234549.50745812
1995-09-26;6.94253;6.94253;6.94253;6.94253;284383.05968916
1995-09-27;7.27543;7.27543;7.27543;7.27543;373114.13559772
1995-09-28;7.24364;7.24364;7.24364;7.24364;611789.7422995
1995-09-29;7.27543;7.27543;7.27543;7.27543;424040.00409251
1995-10-02;7.54708;7.54708;7.54708;7.54708;432889.18107971
1995-10-03;7.51676;7.51676;7.51676;7.51676;417527.27744099
1995-10-04;6.97385;6.97385;6.97385;6.97385;373420.34439721
1995-10-05;6.97385;6.97385;6.97385;6.97385;344885.02942207
1995-10-06;6.85237;6.85237;6.85237;6.85237;320094.9825786
1995-10-09;6.18821;6.18821;6.18821;6.18821;478062.69855535
1995-10-10;5.9168;5.9168;5.9168;5.9168;357286.48580177
1995-10-11;5.82586;5.82586;5.82586;5.82586;326022.31005462
1995-10-12;5.73538;5.73538;5.73538;5.73538;354796.93106635
1995-10-13;5.58491;5.58491;5.58491;5.58491;276379.17337958
1995-10-16;5.70539;5.70539;5.70539;5.70539;227670.10220216
1995-10-17;5.82586;5.82586;5.82586;5.82586;369277.51946281
1995-10-18;5.82586;5.82586;5.82586;5.82586;371255.01074361
1995-10-19;5.25295;5.25295;5.25295;5.25295;331260.02443596
1995-10-20;4.89059;4.89059;4.89059;4.89059;359885.40082272
1995-10-23;5.04154;5.04154;5.04154;5.04154;256678.88288408
1995-10-24;5.01154;5.01154;5.01154;5.01154;147272.28005139
1995-10-25;5.2828;5.2828;5.2828;5.2828;112818.6437414
1995-10-26;5.46436;5.46436;5.46436;5.46436;284498.85293267
1995-10-27;5.37341;5.37341;5.37341;5.37341;209082.71343593
1995-10-30;5.37341;5.37341;5.37341;5.37341;153531.54815879
1995-10-31;5.25295;5.25295;5.25295;5.25295;170107.99426276
1995-11-02;5.52467;5.52467;5.52467;5.52467;207172.12491806
1995-11-03;6.06828;6.06828;6.06828;6.06828;472002.8521451
1995-11-06;6.45987;6.45987;6.45987;6.45987;512211.41265745
1995-11-07;6.49064;6.49064;6.49064;6.49064;446970.92608188
1995-11-08;6.73221;6.73221;6.73221;6.73221;656655.76438405
1995-11-09;6.45987;6.45987;6.45987;6.45987;523048.37365819
1995-11-10;6.15805;6.15805;6.15805;6.15805;685656.82551641
1995-11-13;6.15805;6.15805;6.15805;6.15805;271420.64937425
1995-11-14;6.45987;6.45987;6.45987;6.45987;446271.02025444
1995-11-15;6.33915;6.33915;6.33915;6.33915;293954.01456089
1995-11-16;6.42978;6.42978;6.42978;6.42978;312748.54457383
1995-11-17;6.94253;6.94253;6.94253;6.94253;425953.16579358
1995-11-20;6.24845;6.24845;6.24845;6.24845;287572.52025201
