Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1994-08-02;7.81771;7.81771;7.81771;7.81771;367585.96509596
1994-08-03;8.58656;8.58656;8.58656;8.58656;344379.46850925
1994-08-04;9.43808;9.43808;9.43808;9.43808;376470.20869942
1994-08-08;8.58656;8.58656;8.58656;8.58656;279170.70564527
1994-08-09;10.1347;10.1347;10.1347;10.1347;143430.4567481
1994-08-10;9.55951;9.55951;9.55951;9.55951;165481.00320544
1994-08-11;9.36424;9.36424;9.36424;9.36424;135388.21421841
1994-08-16;9.94909;9.94909;9.94909;9.94909;86243.349590503
1994-08-17;10.4485;10.4485;10.4485;10.4485;87323.128473602
1994-08-18;9.40115;9.40115;9.40115;9.40115;57764.567551707
1994-08-22;9.75479;9.75479;9.75479;9.75479;111215.16627685
1994-08-23;8.97554;8.97554;8.97554;8.97554;72472.823472203
1994-08-24;8.78096;8.78096;8.78096;8.78096;80472.863014095
1994-08-25;7.89194;7.89194;7.89194;7.89194;67840.788225354
1994-08-29;8.54945;8.54945;8.54945;8.54945;93986.053840903
1994-08-30;8.51243;8.51243;8.51243;8.51243;60981.258695353
1994-08-31;8.01221;8.01221;8.01221;8.01221;49515.427447653
1994-09-01;7.81771;7.81771;7.81771;7.81771;72166.079804745
1994-09-05;7.42864;7.42864;7.42864;7.42864;45652.310051779
1994-09-06;6.67845;6.67845;6.67845;6.67845;39965.200109815
1994-09-07;6.02075;6.02075;6.02075;6.02075;166053.31689372
1994-09-08;6.59509;6.59509;6.59509;6.59509;91908.843367982
1994-09-12;7.23424;7.23424;7.23424;7.23424;115096.81181371
1994-09-13;6.52097;6.52097;6.52097;6.52097;173222.67811467
1994-09-14;6.63211;6.63211;6.63211;6.63211;71829.485243474
1994-09-15;6.5024;6.5024;6.5024;6.5024;41654.348963167
1994-09-19;6.48396;6.48396;6.48396;6.48396;58153.658512442
1994-09-20;5.84471;5.84471;5.84471;5.84471;66989.523081099
1994-09-21;5.3168;5.3168;5.3168;5.3168;94950.546513414
1994-09-22;5.52974;5.52974;5.52974;5.52974;84023.060695512
1994-09-26;5.38159;5.38159;5.38159;5.38159;52834.023366728
1994-09-27;4.99271;4.99271;4.99271;4.99271;59854.13011862
1994-09-28;4.99271;4.99271;4.99271;4.99271;107845.10329948
1994-09-29;5.27978;5.27978;5.27978;5.27978;54101.142342033
1994-10-03;5.8077;5.8077;5.8077;5.8077;110716.96515252
1994-10-04;5.86337;5.86337;5.86337;5.86337;131102.03760332
1994-10-05;6.44684;6.44684;6.44684;6.44684;84860.94440461
1994-10-06;6.34503;6.34503;6.34503;6.34503;105752.45270906
1994-10-07;6.46539;6.46539;6.46539;6.46539;86850.660878423
1994-10-10;6.34503;6.34503;6.34503;6.34503;55243.711036256
1994-10-11;6.05786;6.05786;6.05786;6.05786;57622.518470804
1994-10-12;6.05786;6.05786;6.05786;6.05786;51030.617643955
1994-10-13;5.45572;5.45572;5.45572;5.45572;93002.003686239
1994-10-14;5.9745;5.9745;5.9745;5.9745;133998.60364435
1994-10-17;6.25234;6.25234;6.25234;6.25234;96370.00798128
1994-10-18;6.44684;6.44684;6.44684;6.44684;95051.421947678
1994-10-19;6.34503;6.34503;6.34503;6.34503;46771.203899185
1994-10-20;6.2339;6.2339;6.2339;6.2339;124649.09783388
1994-10-21;5.91894;5.91894;5.91894;5.91894;63378.594270889
1994-10-24;5.47427;5.47427;5.47427;5.47427;62626.145878567
1994-10-25;5.5483;5.5483;5.5483;5.5483;48386.240188587
1994-10-26;5.57619;5.57619;5.57619;5.57619;120286.74997252
1994-10-27;5.27978;5.27978;5.27978;5.27978;33807.681255004
1994-10-28;5.16855;5.16855;5.16855;5.16855;29624.438756516
1994-11-02;5.68733;5.68733;5.68733;5.68733;43793.319906044
1994-11-03;5.63165;5.63165;5.63165;5.63165;18061.849439214
1994-11-04;5.61321;5.61321;5.61321;5.61321;47356.899022621
1994-11-07;5.57619;5.57619;5.57619;5.57619;37104.661009595
1994-11-08;5.57619;5.57619;5.57619;5.57619;21390.738769949
1994-11-09;5.59464;5.59464;5.59464;5.59464;55444.43256362
1994-11-10;5.59464;5.59464;5.59464;5.59464;47505.124150519
1994-11-14;5.57619;5.57619;5.57619;5.57619;39366.123551223
1994-11-15;5.16855;5.16855;5.16855;5.16855;44514.888063387
1994-11-16;5.16855;5.16855;5.16855;5.16855;75019.413516804
1994-11-17;5.06674;5.06674;5.06674;5.06674;24040.262931147
1994-11-18;5.36315;5.36315;5.36315;5.36315;47620.410361107
1994-11-21;4.81668;4.81668;4.81668;4.81668;18930.613383289
1994-11-22;4.35346;4.35346;4.35346;4.35346;60570.551570133
1994-11-23;4.40903;4.40903;4.40903;4.40903;34107.2195343
1994-11-24;4.39048;4.39048;4.39048;4.39048;23428.834278563
1994-11-25;4.40903;4.40903;4.40903;4.40903;14575.470910086
1994-11-28;4.81668;4.81668;4.81668;4.81668;36984.228093176
1994-11-29;5.29825;5.29825;5.29825;5.29825;86250.554978665
1994-11-30;5.7429;5.7429;5.7429;5.7429;77779.07718276
1994-12-01;5.70578;5.70578;5.70578;5.70578;83175.912915923
1994-12-02;5.12231;5.12231;5.12231;5.12231;51720.276225152
1994-12-05;5.38159;5.38159;5.38159;5.38159;37040.841857304
1994-12-06;5.26123;5.26123;5.26123;5.26123;36553.963485803
1994-12-07;5.38159;5.38159;5.38159;5.38159;93125.524626154
1994-12-08;4.83513;4.83513;4.83513;4.83513;0
1994-12-09;4.40903;4.40903;4.40903;4.40903;39661.544465854
1994-12-12;4.77956;4.77956;4.77956;4.77956;66461.471062958
1994-12-13;4.60353;4.60353;4.60353;4.60353;34943.044561065
1994-12-14;4.51094;4.51094;4.51094;4.51094;57124.317346476
1994-12-15;4.60353;4.60353;4.60353;4.60353;22034.076998678
1994-12-16;5.04818;5.04818;5.04818;5.04818;81419.856886784
1994-12-19;4.97415;4.97415;4.97415;4.97415;30121.610539677
1994-12-20;4.91849;4.91849;4.91849;4.91849;28462.312580139
1994-12-21;4.83513;4.83513;4.83513;4.83513;15564.667770579
1994-12-22;4.97415;4.97415;4.97415;4.97415;11492.594118016
1994-12-23;4.97415;4.97415;4.97415;4.97415;16965.601097459
1994-12-27;4.93694;4.93694;4.93694;4.93694;16255.355692943
1994-12-28;4.77956;4.77956;4.77956;4.77956;18046.409321725
1994-12-29;4.81668;4.81668;4.81668;4.81668;21775.712366021
1995-01-02;5.29825;5.29825;5.29825;5.29825;84700.367182719
1995-01-03;5.02972;5.02972;5.02972;5.02972;58745.529682873
1995-01-04;5.16855;5.16855;5.16855;5.16855;23812.778533469
1995-01-05;5.27978;5.27978;5.27978;5.27978;23101.503787786
1995-01-06;5.01116;5.01116;5.01116;5.01116;16567.246066231
1995-01-09;5.12231;5.12231;5.12231;5.12231;13072.632807775
1995-01-10;5.12231;5.12231;5.12231;5.12231;44667.23055595
1995-01-11;5.1501;5.1501;5.1501;5.1501;28467.459285968
1995-01-12;5.20566;5.20566;5.20566;5.20566;19794.230621536
1995-01-13;5.27978;5.27978;5.27978;5.27978;40895.724523849
1995-01-16;5.22422;5.22422;5.22422;5.22422;12349.005968101
1995-01-17;5.16855;5.16855;5.16855;5.16855;26906.978078364
1995-01-18;5.0852;5.0852;5.0852;5.0852;31151.981046811
1995-01-19;5.16855;5.16855;5.16855;5.16855;9874.4698051165
1995-01-20;5.1501;5.1501;5.1501;5.1501;15837.44317956
1995-01-23;4.97415;4.97415;4.97415;4.97415;28058.810843081
1995-01-24;4.70544;4.70544;4.70544;4.70544;20208.025770254
1995-01-25;4.67776;4.67776;4.67776;4.67776;154212.8054616
1995-01-26;4.67776;4.67776;4.67776;4.67776;25952.778817513
1995-01-27;4.72389;4.72389;4.72389;4.72389;22983.1295537
1995-01-30;4.67776;4.67776;4.67776;4.67776;34177.214733586
1995-01-31;4.67776;4.67776;4.67776;4.67776;53292.080185582
1995-02-01;4.77956;4.77956;4.77956;4.77956;23957.91563787
1995-02-02;4.77956;4.77956;4.77956;4.77956;46564.306324826
1995-02-03;4.67776;4.67776;4.67776;4.67776;32895.684981957
1995-02-06;4.91849;4.91849;4.91849;4.91849;6918.2019764608
1995-02-07;5.41871;5.41871;5.41871;5.41871;74489.302816331
1995-02-08;5.3168;5.3168;5.3168;5.3168;43982.718680582
1995-02-09;4.97415;4.97415;4.97415;4.97415;17301.166317565
1995-02-10;4.97415;4.97415;4.97415;4.97415;45454.676547915
1995-02-13;4.87214;4.87214;4.87214;4.87214;4715.4118812925
1995-02-14;5.06674;5.06674;5.06674;5.06674;10950.131323552
1995-02-15;4.93694;4.93694;4.93694;4.93694;9122.021412795
1995-02-16;5.04818;5.04818;5.04818;5.04818;7822.9928613453
1995-02-17;4.99271;4.99271;4.99271;4.99271;9017.0286138665
1995-02-20;4.81668;4.81668;4.81668;4.81668;7368.0240659881
1995-02-21;4.56652;4.56652;4.56652;4.56652;33948.70099474
1995-02-22;4.62208;4.62208;4.62208;4.62208;18817.385855033
1995-02-23;4.70544;4.70544;4.70544;4.70544;26055.712934109
1995-02-24;5.16855;5.16855;5.16855;5.16855;99309.806351281
