Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1999-02-23;1.72878;1.72878;1.72878;1.72878;4140945.4288787
1999-02-24;1.75655;1.75655;1.75655;1.75655;4808136.9743857
1999-02-25;1.79811;1.79811;1.79811;1.79811;2454157.1360392
1999-02-26;1.78434;1.78434;1.78434;1.78434;2445416.4653866
1999-03-01;1.80145;1.80145;1.80145;1.80145;2041069.4689933
1999-03-02;1.82231;1.82231;1.82231;1.82231;4080516.7640507
1999-03-03;1.80496;1.80496;1.80496;1.80496;2608086.402526
1999-03-04;1.78075;1.78075;1.78075;1.78075;2480649.0626998
1999-03-05;1.75312;1.75312;1.75312;1.75312;2474165.7383934
1999-03-08;1.75312;1.75312;1.75312;1.75312;1198462.9095051
1999-03-09;1.74256;1.74256;1.74256;1.74256;1206145.4070936
1999-03-10;1.78075;1.78075;1.78075;1.78075;1276767.7162485
1999-03-11;1.8812;1.8812;1.8812;1.8812;5365204.6639693
1999-03-12;1.92969;1.92969;1.92969;1.92969;7616079.771527
1999-03-15;1.98851;1.98851;1.98851;1.98851;5466359.563173
1999-03-16;2.03023;2.03023;2.03023;2.03023;7041346.7689254
1999-03-17;2.00251;2.00251;2.00251;2.00251;5016204.9531215
1999-03-18;1.89856;1.89856;1.89856;1.89856;4410066.5019792
1999-03-19;1.97131;1.97131;1.97131;1.97131;3561666.8478228
1999-03-22;1.94704;1.94704;1.94704;1.94704;3952276.3944119
1999-03-23;1.90206;1.90206;1.90206;1.90206;2515948.8029739
1999-03-24;1.82924;1.82924;1.82924;1.82924;1937330.9086534
1999-03-25;1.86386;1.86386;1.86386;1.86386;3149688.3824913
1999-03-26;1.80838;1.80838;1.80838;1.80838;3654074.3620778
1999-03-29;1.75312;1.75312;1.75312;1.75312;607427.59599205
1999-03-30;1.89856;1.89856;1.89856;1.89856;3264177.8737337
1999-03-31;1.92969;1.92969;1.92969;1.92969;4066266.342025
1999-04-01;1.90206;1.90206;1.90206;1.90206;2210775.9884371
1999-04-02;1.92276;1.92276;1.92276;1.92276;9664.5577948282
1999-04-06;1.95396;1.95396;1.95396;1.95396;2270159.9087932
1999-04-07;1.95396;1.95396;1.95396;1.95396;1539351.7506737
1999-04-08;1.98851;1.98851;1.98851;1.98851;3533086.7750776
1999-04-09;2.01637;2.01637;2.01637;2.01637;7145207.5294541
1999-04-12;1.96432;1.96432;1.96432;1.96432;1381334.8207261
1999-04-13;1.92633;1.92633;1.92633;1.92633;3090367.5765184
1999-04-14;1.93334;1.93334;1.93334;1.93334;952256.38610745
1999-04-15;1.92969;1.92969;1.92969;1.92969;2497591.9174583
1999-04-16;1.91233;1.91233;1.91233;1.91233;2161295.6548167
1999-04-19;1.94012;1.94012;1.94012;1.94012;2851350.7213761
1999-04-20;1.89856;1.89856;1.89856;1.89856;942799.97149148
1999-04-21;1.89164;1.89164;1.89164;1.89164;1289367.7642947
1999-04-22;1.89164;1.89164;1.89164;1.89164;2500331.3502639
1999-04-23;1.88463;1.88463;1.88463;1.88463;3150805.641361
1999-04-26;1.90549;1.90549;1.90549;1.90549;3374781.130398
1999-04-27;1.95396;1.95396;1.95396;1.95396;3681192.0611342
1999-04-28;1.95739;1.95739;1.95739;1.95739;3421426.6882084
1999-04-29;1.95062;1.95062;1.95062;1.95062;3206978.7853259
1999-04-30;1.93669;1.93669;1.93669;1.93669;4458007.9189353
1999-05-03;2.00251;2.00251;2.00251;2.00251;2629807.1503836
1999-05-04;2.0405;2.0405;2.0405;2.0405;5155258.0251869
1999-05-05;2.09612;2.09612;2.09612;2.09612;3903243.2329112
1999-05-06;2.24848;2.24848;2.24848;2.24848;5408299.7020062
1999-05-07;2.31431;2.31431;2.31431;2.31431;8944581.1391643
1999-05-10;2.39042;2.39042;2.39042;2.39042;6443679.0737326
1999-05-11;2.70922;2.70922;2.70922;2.70922;14871283.585279
1999-05-12;2.74391;2.74391;2.74391;2.74391;29021724.370698
1999-05-13;2.63303;2.63303;2.63303;2.63303;18411443.19986
1999-05-14;2.61926;2.61926;2.61926;2.61926;6432071.3986488
1999-05-17;2.51531;2.51531;2.51531;2.51531;2272892.6273026
1999-05-18;2.51873;2.51873;2.51873;2.51873;3694255.3956108
1999-05-19;2.67451;2.67451;2.67451;2.67451;6104828.6928576
1999-05-20;2.64689;2.64689;2.64689;2.64689;12213083.019581
1999-05-21;2.76805;2.76805;2.76805;2.76805;9205787.4000315
1999-05-24;2.87217;2.87217;2.87217;2.87217;7215827.1528906
1999-05-25;3.01059;3.01059;3.01059;3.01059;7858734.432292
1999-05-26;2.97611;2.97611;2.97611;2.97611;11459716.169452
1999-05-27;2.7994;2.7994;2.7994;2.7994;6823657.2038897
1999-05-28;2.81661;2.81661;2.81661;2.81661;6470961.9444729
1999-05-31;2.8548;2.8548;2.8548;2.8548;2643196.7996503
1999-06-01;2.8548;2.8548;2.8548;2.8548;2617646.2173018
1999-06-02;2.85122;2.85122;2.85122;2.85122;1280765.4081416
1999-06-03;2.8201;2.8201;2.8201;2.8201;2410960.0407017
1999-06-04;2.7994;2.7994;2.7994;2.7994;437175.87570558
1999-06-07;2.7959;2.7959;2.7959;2.7959;434098.04237701
1999-06-08;2.80976;2.80976;2.80976;2.80976;555159.48663425
1999-06-09;2.7959;2.7959;2.7959;2.7959;1994179.5108052
1999-06-10;2.71965;2.71965;2.71965;2.71965;1352210.8899974
1999-06-11;2.66767;2.66767;2.66767;2.66767;1452239.1303168
1999-06-14;2.69201;2.69201;2.69201;2.69201;539453.40521584
1999-06-15;2.73342;2.73342;2.73342;2.73342;3291878.3736908
1999-06-16;2.81324;2.81324;2.81324;2.81324;3613330.6705323
1999-06-17;2.83045;2.83045;2.83045;2.83045;1953689.6196519
1999-06-18;2.80283;2.80283;2.80283;2.80283;1270591.906703
1999-06-21;2.84773;2.84773;2.84773;2.84773;1615842.354613
1999-06-22;2.81324;2.81324;2.81324;2.81324;1198150.0233072
1999-06-23;2.76805;2.76805;2.76805;2.76805;1822610.4456254
1999-06-24;2.77505;2.77505;2.77505;2.77505;530300.47678322
1999-06-25;2.7924;2.7924;2.7924;2.7924;522592.4648696
1999-06-28;2.7959;2.7959;2.7959;2.7959;675427.30109341
