Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2012-05-18;1.46533;1.75839;1.46533;1.75839;194464.79357375
2012-05-21;1.78675;2.56196;1.78675;2.54305;12499.880144588
2012-05-22;2.93064;3.21425;2.47686;3.16699;10935.411774117
2012-05-23;3.11027;3.11027;2.93064;2.93064;249.63795499049
2012-05-24;2.93064;2.93064;2.36343;2.74157;1722.0787742564
2012-05-25;2.74157;2.74157;2.37288;2.72267;1533.7925200686
2012-05-28;2.38233;2.72267;2.38233;2.71321;529.95176038234
2012-05-29;2.55249;2.73212;2.55249;2.73212;437.92420917822
2012-05-30;2.75102;3.27098;2.64704;3.21425;8466.5347107788
2012-05-31;3.14809;3.14809;2.55249;2.76048;7328.3548820935
2012-06-01;2.64704;2.64704;2.55249;2.55249;2067.9754322305
2012-06-04;2.62812;2.62812;2.50523;2.50523;561.68539872859
2012-06-05;2.55249;2.62812;2.50523;2.50523;37644.557382208
2012-06-06;2.62812;2.62812;2.62812;2.62812;105.77879448749
2012-06-08;2.50523;2.50523;2.50523;2.50523;703.42898334182
2012-06-11;2.50523;2.50523;2.17435;2.17435;3704.373382952
2012-06-12;2.07981;2.07981;2.07981;2.07981;454.84881629622
2012-06-13;2.07981;2.18381;2.07981;2.18381;891.71523752956
2012-06-14;2.08927;2.18381;2.08927;2.18381;428.40411767434
2012-06-15;2.07981;2.07981;2.07981;2.07981;317.33638346247
2012-06-18;2.07981;2.07981;1.74894;1.74894;1375.1243283374
2012-06-19;1.78675;1.96636;1.78675;1.96636;2735.4396254465
2012-06-20;1.7962;1.7962;1.7962;1.7962;1058.8457328198
2012-06-21;1.88129;1.88129;1.7962;1.84347;351.18559769847
2012-06-22;1.74894;1.74894;1.74894;1.74894;79.33409586562
2012-06-25;1.74894;1.74894;1.74894;1.74894;634.67276692495
2012-06-26;1.83402;1.83402;1.83402;1.83402;10.577879448749
2012-06-28;1.83402;1.83402;1.83402;1.83402;30.675850401373
2012-07-06;1.89073;1.89073;1.89073;1.89073;1322.2349310937
2012-07-10;1.7962;1.7962;1.7962;1.7962;118.472249826
2012-07-16;1.7962;1.7962;1.7962;1.7962;354.3589615331
2012-07-19;1.7962;1.7962;1.73003;1.73003;1603.6065244304
2012-08-01;1.73003;1.7962;1.73003;1.7962;10827.51740374
2012-08-02;1.7962;1.7962;1.7962;1.7962;10577.879448749
2012-08-29;1.80566;1.80566;1.80566;1.80566;3173.3638346247
2012-08-30;1.73003;1.80566;1.73003;1.80566;3384.9214235998
2012-09-04;1.73003;1.8151;1.73003;1.8151;243.29122732123
2012-09-21;1.8151;1.8151;1.8151;1.8151;42.311517794997
2012-09-25;1.80566;1.80566;1.80566;1.80566;2570.4247060461
2012-09-26;1.80566;1.80566;1.80566;1.80566;2559.8468265973
2012-10-10;1.8151;1.8151;1.8151;1.8151;105.77879448749
2012-10-15;1.73003;1.8151;1.73003;1.8151;158.66819173124
2012-11-06;1.8151;1.8151;1.8151;1.8151;1015.4764270799
2012-11-07;1.82457;1.9191;1.82457;1.9191;825.07459700244
2012-11-15;1.9191;1.9191;1.9191;1.9191;105.77879448749
2012-11-26;1.9191;2.07036;1.9191;2.07036;4707.1563546934
2012-11-27;2.17435;3.11972;2.14599;2.72267;6530.7827716578
2012-11-28;2.68485;2.68485;2.56196;2.56196;1131.8331010161
2012-11-29;2.49578;2.49578;2.15544;2.15544;2263.6662020323
2012-12-03;1.89073;1.98528;1.89073;1.98528;1639.5713145561
2012-12-04;2.07981;2.07981;2.07981;2.07981;105.77879448749
2012-12-05;1.98528;1.98528;1.98528;1.98528;602.93912857871
2012-12-06;1.98528;1.98528;1.98528;1.98528;285.60274511623
2012-12-13;1.98528;2.07981;1.60713;2.07981;4744.178932764
2012-12-19;1.86239;2.07981;1.86239;2.07981;1057.7879448749
2013-01-17;2.12708;2.12708;2.12708;2.12708;880.07957013593
2013-02-04;2.13654;2.13654;2.13654;2.13654;2644.4698621873
2013-02-05;2.1649;2.1649;2.1649;2.1649;2644.4698621873
2013-02-18;2.1649;2.1649;2.1649;2.1649;5288.9397243746
2013-02-19;2.1649;2.17435;2.1649;2.17435;4761.1035398821
2013-02-28;2.1649;2.59977;2.1649;2.59977;6407.0215821074
2013-03-05;2.36343;2.59031;2.36343;2.59031;23859.464884599
2013-03-06;2.4107;2.57141;2.4107;2.57141;528.89397243746
2013-03-08;2.56196;2.64704;2.56196;2.64704;7512.4099845017
2013-03-13;2.75102;2.75102;2.75102;2.75102;15.866819173124
2013-03-19;2.75102;2.75102;2.75102;2.75102;5.2889397243746
2013-03-27;2.74157;2.74157;2.74157;2.74157;6346.7276692495
2013-03-28;2.57141;2.75102;2.57141;2.75102;7.4045156141245
2013-04-02;2.74157;2.74157;2.74157;2.74157;3173.3638346247
2013-04-03;2.74157;2.74157;2.74157;2.74157;3173.3638346247
2013-04-17;2.82665;2.96846;2.82665;2.96846;3704.373382952
2013-04-24;2.78884;2.78884;2.78884;2.78884;158.66819173124
2013-09-02;2.97792;2.97792;2.97792;2.97792;5.2889397243746
2013-09-24;2.97792;2.97792;2.97792;2.97792;26.444698621873
2013-10-18;2.88338;2.97792;2.88338;2.97792;5289.9975123195
2013-10-25;2.88338;2.88338;2.88338;2.88338;1057.7879448749
2013-11-04;2.88338;2.88338;2.88338;2.88338;5288.9397243746
2013-12-19;2.95901;2.95901;2.95901;2.95901;3173.3638346247
2014-01-03;3.54514;3.54514;3.54514;3.54514;5.2889397243746
2014-01-10;3.54514;3.54514;3.54514;3.54514;3.1733638346247
2014-01-13;3.30879;3.63967;3.30879;3.63967;533.12512421696
2014-01-20;3.02518;3.02518;2.74157;2.93064;1304.2525360308
2014-01-21;2.59977;2.91174;2.36343;2.36343;1028.1698824185
2014-01-22;2.36343;2.36343;1.7773;1.7773;7455.2894354784
2014-02-11;1.75839;1.88129;1.75839;1.88129;322.62532318685
2014-02-12;1.88129;1.88129;1.88129;1.88129;153.37925200686
