Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-10-12;76.99;76.99;71.2;73.85;48798
2021-10-13;75.1;89;74;87;37077
2021-10-14;90.5;130.12;89.9;129.98;76059
2021-10-15;134.9;150;110.5;113.02;72049
2021-10-18;116.2;123;103.28;113.5;12472
2021-10-19;113.1;118.7;105.02;113;4746
2021-10-20;109.14;109.98;96.1;100;10230
2021-10-21;100.7;120.02;96.32;114.48;9718
2021-10-22;118.96;118.96;106.3;117;5435
2021-10-25;119;119;111;111.3;4911
2021-10-26;113.8;114.2;108.22;111.3;2504
2021-10-27;110.9;110.9;101;104.48;1761
2021-10-28;104.48;110.8;99.99;110.8;2688
2021-10-29;108.02;108.02;101.64;107.2;2061
2021-11-02;106;107;99;106.88;3202
2021-11-03;105;105;101;101.9;1198
2021-11-04;102.5;104;99.01;104;632
2021-11-05;103.24;116;100;109.92;3270
2021-11-08;111.76;116.8;107;114;5443
2021-11-09;114;119.8;111.02;113.9;6968
2021-11-10;118.8;119;113.98;117;2950
2021-11-12;117;119;114.32;119;2609
2021-11-15;119.98;127.9;116.28;119.8;1693
2021-11-16;117.52;119.74;107;111;1606
2021-11-17;112.84;113;107;110;573
2021-11-18;112.98;112.98;101.1;107.5;1995
2021-11-19;109;109;105;108;895
2021-11-22;108;109;106;106;371
2021-11-23;106.48;108.92;101;105;813
2021-11-24;108.5;108.7;104.98;108.7;811
2021-11-25;108.7;108.7;103.5;105;1221
2021-11-26;103.04;107.9;103;104;952
2021-11-29;104;104;101;104;1052
2021-11-30;103.98;112;103.98;106;1489
2021-12-01;108;110;107.98;110;767
2021-12-02;111.86;111.98;101.1;106;719
2021-12-03;106.98;109.96;105;106;423
2021-12-06;105.98;106.98;103.04;106.4;310
2021-12-07;104.48;105.5;87.6;96;6590
2021-12-08;96.1;99.01;93;99;3773
2021-12-09;97;99.99;97;98;273
2021-12-10;101.8;101.8;97.01;97.98;564
2021-12-13;95;95.99;93;95;1644
2021-12-14;96;98.01;92.99;95;709
2021-12-15;97.97;108.78;97;106.98;2601
2021-12-16;106.98;108;102.5;108;1382
2021-12-17;108.98;108.98;105.7;107.88;476
2021-12-20;107;107.98;101.5;106;364
2021-12-21;107.8;114;106.98;109.8;1630
2021-12-22;112;114;111.98;113;1211
2021-12-23;113.4;113.4;105;107.98;241
2021-12-27;107.98;110;105.12;109.9;435
2021-12-28;109.88;109.88;106.48;108;630
2021-12-29;109.88;113.5;109.58;112.5;779
2021-12-30;105.5;111.98;105.5;108;873
2022-01-03;109.76;113.92;109;113.8;1218
2022-01-04;113;113;107.1;112.94;401
2022-01-05;113.92;114.68;108;112.5;1074
2022-01-07;112.5;115;109.98;112.88;797
2022-01-10;113;127;113;122;3975
2022-01-11;120;127.4;120;126.1;1183
2022-01-12;127;127;117;119.1;817
2022-01-13;123.98;143.78;119.08;139;5486
2022-01-14;139;142;131;139.5;3248
2022-01-17;132.24;136.5;128.5;134.5;3282
2022-01-18;135;183;130.22;177.5;10375
2022-01-19;170.02;174;151.02;158;4143
2022-01-20;160;174.98;160;171.88;4465
2022-01-21;166;175;163;163;1230
2022-01-24;164;168;136.14;137.24;3640
2022-01-25;137.24;159.5;137.24;157.96;3823
2022-01-26;154.98;164.98;154.88;158.96;2161
2022-01-27;157.88;157.88;143.2;147;1749
2022-01-28;150;155;138.02;154;1470
2022-01-31;150;159.8;144;159.5;533
2022-02-01;154.44;165;154.44;163.98;3197
2022-02-02;166;172;162.4;162.4;1267
2022-02-03;164;164.2;153.1;159.4;923
2022-02-04;159.4;160;150;159.94;1338
2022-02-07;161;161.94;159.94;160;382
2022-02-08;161.9;167;155.1;162.98;658
2022-02-09;163.5;163.5;160;160;351
2022-02-10;161;164.98;159;161.9;654
2022-02-11;166.98;166.98;160.68;166.5;758
