Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-12-29;20.7572;20.7572;16.8327;16.9882;30522.319620371
2018-01-03;17.0071;17.0071;16.101;16.4668;6841.5916070964
2018-01-04;16.5133;16.5133;15.1865;16.0546;9395.0542365187
2018-01-05;16.8327;16.8327;16.7323;16.7323;136.11433024606
2018-01-08;16.9247;17.3729;16.4668;16.4668;2400.4659016262
2018-01-09;16.2839;16.2839;16.064;16.064;6169.4611546412
2018-01-10;16.1835;16.4574;16.1835;16.4574;220.52631799555
2018-01-11;16.6962;16.6962;16.101;16.4668;9137.5976738827
2018-01-12;16.0546;16.7408;16.0546;16.7408;164.60337611151
2018-01-15;17.2905;17.2905;16.8327;17.062;532.85067266868
2018-01-16;17.3729;17.3729;16.7776;17.0791;11699.50150208
2018-01-17;17.0791;17.0791;16.7047;16.8327;9879.3680162314
2018-01-18;16.8327;17.0071;16.1456;16.9152;3515.7592897664
2018-01-19;16.9152;16.9152;16.7408;16.8327;6944.9962920896
2018-01-22;16.9152;16.9247;16.8327;16.9247;1912.9866723729
2018-01-23;16.8327;17.0336;16.7408;16.9247;13243.185728049
2018-01-24;16.9247;17.0156;16.7776;16.9796;1107.9073392121
2018-01-25;16.9796;18.2969;16.8147;18.1501;13866.779287548
2018-01-26;17.3824;18.0771;17.3824;17.9303;6951.3271911708
2018-01-29;17.4544;17.9303;17.4544;17.9303;7131.7578149854
2018-01-30;18.0051;18.0051;17.4544;17.7483;22380.783401931
2018-01-31;17.5463;18.1501;17.5463;17.7483;10818.451379944
2018-02-01;18.132;18.2969;17.7293;18.2969;4058.1063110569
2018-02-02;18.2969;18.2969;18.2969;18.2969;36.930244640403
2018-02-05;17.8383;18.1871;17.1995;17.8383;14533.633990769
2018-02-06;17.3824;17.6563;16.01;17.6563;32711.755552623
2018-02-07;18.205;18.205;17.6563;17.8212;207.86451983313
2018-02-08;17.6373;17.8383;16.9247;17.8383;1812.7474369204
2018-02-09;17.4004;17.7842;17.1075;17.7483;2070.2039995564
2018-02-12;17.8212;17.8383;17.8032;17.8383;12546.786829115
2018-02-13;17.8942;18.6627;17.8942;18.132;10169.53422412
2018-02-14;18.3879;18.5707;18.2969;18.4798;5879.2949467522
2018-02-15;18.6163;18.7082;18.5244;18.7082;3500.9871919103
2018-02-16;18.7082;18.7547;18.4798;18.6627;4162.5661458969
2018-02-19;18.7547;19.1661;18.7547;19.0286;90577.228304748
2018-02-20;19.0286;19.0286;18.6627;19.0286;652.08260536484
2018-02-21;18.9376;18.9376;18.2969;18.5707;2690.6321095151
2018-02-22;18.7082;18.7082;17.5654;18.5707;7013.5810321361
2018-02-23;18.4334;18.4334;17.6203;17.8383;4208.9927391591
2018-02-26;18.0212;18.4798;18.0212;18.2969;2509.1463358538
2018-02-27;18.2969;18.2969;18.2969;18.2969;7.3860489280808
2018-02-28;17.8942;18.205;17.4364;18.205;2425.7894979511
2018-03-01;18.0212;18.278;17.5654;17.5654;1208.1465746647
2018-03-02;17.6563;17.8212;17.2535;17.7483;3116.9126476501
2018-03-05;17.9303;17.9303;17.4734;17.7483;406.23269104443
2018-03-06;17.7483;18.2969;17.7483;18.278;7456.7439678209
