Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1994-11-24;4.68558;4.68558;4.68558;4.68558;214345.61901248
1994-11-25;4.68558;4.68558;4.68558;4.68558;436108.42117675
1994-11-28;5.14869;5.14869;5.14869;5.14869;0
1994-11-29;5.64509;5.64509;5.64509;5.64509;311671.45621259
1994-11-30;6.17876;6.17876;6.17876;6.17876;298926.03722661
1994-12-01;6.78052;6.78052;6.78052;6.78052;187371.34441015
1994-12-02;6.88895;6.88895;6.88895;6.88895;396142.13368382
1994-12-05;6.39223;6.39223;6.39223;6.39223;309581.21782743
1994-12-06;6.56681;6.56681;6.56681;6.56681;274390.58925156
1994-12-07;6.28364;6.28364;6.28364;6.28364;339235.7486914
1994-12-08;5.68266;5.68266;5.68266;5.68266;763623.85852752
1994-12-09;5.85771;5.85771;5.85771;5.85771;156600.04010383
1994-12-12;6.42623;6.42623;6.42623;6.42623;263379.07400323
1994-12-13;6.21221;6.21221;6.21221;6.21221;176920.15248435
1994-12-14;5.8959;5.8959;5.8959;5.8959;83348.739758633
1994-12-15;5.96699;5.96699;5.96699;5.96699;76145.873822367
1994-12-16;6.35482;6.35482;6.35482;6.35482;103672.72534184
1994-12-19;6.35482;6.35482;6.35482;6.35482;105181.98332346
1994-12-20;6.10851;6.10851;6.10851;6.10851;57875.97673255
1994-12-21;6.17876;6.17876;6.17876;6.17876;38755.266118446
1994-12-22;6.21221;6.21221;6.21221;6.21221;59950.72230695
1994-12-23;6.32089;6.32089;6.32089;6.32089;66413.806529382
1994-12-27;6.32089;6.32089;6.32089;6.32089;76409.251605303
1994-12-28;6.07064;6.07064;6.07064;6.07064;42083.638296917
1994-12-29;6.21221;6.21221;6.21221;6.21221;58273.62554208
1995-01-02;6.56681;6.56681;6.56681;6.56681;124462.78631543
1995-01-03;6.74675;6.74675;6.74675;6.74675;176332.71674299
1995-01-04;6.56681;6.56681;6.56681;6.56681;75666.887756342
1995-01-05;6.56681;6.56681;6.56681;6.56681;60746.019926011
1995-01-06;6.25079;6.25079;6.25079;6.25079;97294.851578589
1995-01-09;6.39223;6.39223;6.39223;6.39223;63297.16943131
1995-01-10;6.39223;6.39223;6.39223;6.39223;87851.983419807
1995-01-11;6.35482;6.35482;6.35482;6.35482;107154.73456035
1995-01-12;6.17876;6.17876;6.17876;6.17876;65395.154221851
1995-01-13;6.39223;6.39223;6.39223;6.39223;59303.897457682
1995-01-16;6.5349;6.5349;6.5349;6.5349;171212.34278651
1995-01-17;6.39223;6.39223;6.39223;6.39223;106873.28183153
