Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2005-06-21;8.77701;8.81433;8.52032;8.66893;375497.16504142
2005-06-22;8.59586;8.63238;8.52032;8.59586;32669.217368298
2005-06-23;8.59586;8.63238;8.5585;8.59586;39129.19036741
2005-06-24;8.30182;8.5585;8.30182;8.44803;14930.454080474
2005-06-27;8.40986;8.59586;8.40986;8.59586;18568.574951899
2005-06-28;8.52032;8.63238;8.52032;8.63238;45415.567751338
2005-06-29;8.52032;8.63238;8.52032;8.5585;6855.1800379376
2005-06-30;8.63238;8.66893;8.63238;8.63238;9816.1548926862
2005-07-01;8.48376;8.63238;8.48376;8.63238;1681.7844705142
2005-07-04;8.52032;8.66893;8.52032;8.66893;13192.035579473
2005-07-05;8.63238;8.7071;8.63238;8.7071;17767.080303068
2005-07-06;8.7071;8.7071;8.63238;8.63238;4653.8398964448
2005-07-07;8.63238;8.63238;7.97207;8.63238;12315.439281518
2005-07-08;8.44803;8.63238;8.44803;8.63238;764.55941155878
2005-07-11;8.44803;8.66893;8.44803;8.66893;10577.020780517
2005-07-12;8.44803;8.63238;8.44803;8.63238;5603.0754943704
2005-07-13;8.7071;8.7071;8.7071;8.7071;18100.728613103
2005-07-14;8.66893;8.7071;8.63238;8.63238;17822.483158977
2005-07-15;8.63238;8.63238;8.63238;8.63238;148.97212366926
2005-07-18;8.44803;8.44803;8.44803;8.44803;1994.502812762
2005-07-19;8.44803;8.52032;8.44803;8.52032;136426.45474208
2005-07-20;8.59586;8.59586;8.44803;8.59586;138845.71278348
2005-07-21;8.44803;8.63238;8.44803;8.44803;5588.301399461
2005-07-25;8.37575;8.40986;8.37575;8.40986;2677.8047023194
2005-07-26;8.52032;8.52032;8.48376;8.52032;70238.509548194
2005-07-27;8.63238;8.63238;8.37575;8.37575;2848.9379683527
2005-07-28;8.37575;8.44803;8.37575;8.44803;2932.6578395056
2005-07-29;8.44803;8.44803;8.44803;8.44803;544.17916249433
2005-08-01;8.37575;8.37575;8.37575;8.37575;232.69199482224
2005-08-02;8.37575;8.48376;7.85998;8.48376;6254.3668449575
2005-08-03;8.48376;8.48376;8.48376;8.48376;2669.1864802889
2005-08-04;8.52032;8.59586;8.52032;8.59586;2898.1849513838
2005-08-05;8.30182;8.77701;8.30182;8.77701;32975.779837667
2005-08-08;8.77701;9.10677;8.77701;8.81433;47391.602945463
2005-08-09;8.85087;9.07343;8.77701;9.07343;18511.940921414
2005-08-10;8.963;8.99955;8.88827;8.88827;7112.4955242755
2005-08-11;8.81433;8.81433;8.81433;8.81433;201.91263042776
2005-08-12;8.7396;8.81433;8.7396;8.81433;1290.2709554165
2005-08-16;8.81433;8.963;8.66893;8.963;10993.157787131
2005-08-17;8.963;9.36746;8.963;9.18225;29954.477428704
2005-08-18;9.18225;9.21968;9.03687;9.14492;4289.4122220142
2005-08-19;9.14492;9.21968;8.963;8.99955;6447.6612533548
2005-08-22;9.10677;9.10677;8.9256;9.10677;16049.591769855
2005-08-23;8.66893;8.99955;8.66893;8.99955;11974.403924027
2005-08-24;8.81433;8.99955;8.81433;8.99955;5172.1643928477
2005-08-25;8.88827;9.07343;8.88827;9.07343;7761.3245257111
2005-08-26;8.9256;9.07343;8.9256;9.07343;10445.285100909
2005-08-29;8.88827;8.99955;8.88827;8.88827;5934.2614552549
2005-08-30;8.9256;9.29353;8.9256;9.25538;68359.737145555
2005-08-31;9.25538;9.4414;9.18225;9.36746;35670.820984047
