Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2015-01-08;12.9805;13.154;12.3837;12.5916;2191.7050856679
2015-01-09;12.3228;12.4963;12.2365;12.2883;1173.4593778614
2015-01-12;12.5744;12.5744;12.3746;12.4618;1192.1730827616
2015-01-13;12.3837;12.3837;12.3837;12.3837;66.0483702361
2015-01-14;12.3837;12.3837;12.3746;12.3746;234.47171433816
2015-01-16;12.4536;12.549;12.4536;12.549;311.52814628027
2015-01-19;12.41;12.41;12.4009;12.4009;115.58464791318
2015-01-21;12.3746;12.5916;12.3746;12.5916;178.33059963747
2015-01-27;12.549;12.549;12.549;12.549;58.342727041889
2015-01-30;12.133;12.133;12.133;12.133;160.71770090784
2015-02-03;12.133;12.133;12.133;12.133;1.1008061706017
2015-02-05;12.133;12.133;12.133;12.133;22.016123412033
2015-02-06;13.1449;13.1449;13.1449;13.1449;1.1008061706017
2015-02-11;11.8731;12.4618;11.8731;12.4618;341.24991288652
2015-02-12;12.5045;12.5045;12.4618;12.5045;537.19341125362
2015-02-13;12.5045;12.5045;12.5045;12.5045;96.870943012947
2015-02-17;12.5045;12.5045;12.5045;12.5045;542.69744210662
2015-02-18;12.7988;12.8769;12.7988;12.8769;623.05629256055
2015-02-19;12.8079;12.9123;12.7651;12.8942;1098.6045582605
2015-02-20;12.8942;12.8942;12.7216;12.8769;190.43946751409
2015-02-23;12.8942;12.9469;12.8942;12.9469;367.66926098096
2015-02-24;12.8079;12.9469;12.8079;12.9469;195.9434983671
2015-02-26;12.8079;12.9469;12.8079;12.9469;7.7056431942117
2015-02-27;12.9287;13.1449;12.9287;13.1449;2028.7857724189
2015-03-02;13.1013;13.1013;13.1013;13.1013;473.34665335872
2015-03-03;13.1368;13.3275;13.1013;13.3275;6478.2443139908
2015-03-04;13.3275;13.9325;13.3275;13.9325;1114.0158446489
2015-03-05;14.1932;15.1361;14.1932;15.1361;3849.519178594
2015-03-06;14.712;15.9919;14.6684;15.9919;2210.4187905682
2015-03-09;15.9919;17.2047;15.9238;16.4343;685.80224428484
2015-03-10;16.8667;16.8749;16.14;16.7886;812.39495390403
2015-03-11;16.1827;16.8749;16.1827;16.8667;24506.146969934
2015-03-12;16.7023;16.7023;16.4425;16.616;7.7056431942117
2015-03-13;16.5724;17.3;16.0528;16.9621;8652.3365009291
2015-03-16;16.1654;16.7459;16.1654;16.7459;116.68545408378
2015-03-17;16.8413;16.8413;16.4942;16.7277;5799.0469067296
2015-03-18;16.616;16.8413;16.5033;16.7805;1105.2093952841
2015-03-19;16.8413;17.2646;16.616;16.7886;7714.4496435765
2015-03-20;17.2301;17.2301;16.5288;16.8749;27.520154265042
2015-03-23;17.2301;17.2301;16.5379;16.8749;36.326603629855
2015-03-24;16.8749;16.9621;16.6242;16.9621;672.59257023762
2015-03-25;16.9621;16.9621;16.4689;16.616;823.40301561005
2015-03-27;16.6669;16.8931;16.616;16.8931;23418.55047338
2015-03-30;16.9185;16.9185;16.9185;16.9185;23.116929582635
2015-03-31;16.6596;16.8667;16.6596;16.8667;924.6771833054
2015-04-01;16.6596;16.6596;16.6596;16.6596;577.92323956588
2015-04-02;16.616;16.8322;16.616;16.7023;29230.807054157
2015-04-07;16.8322;16.8322;16.6414;16.6596;35993.059360163
2015-04-08;16.6596;16.8232;16.6596;16.8232;290.61282903884
2015-04-09;16.6596;16.6596;16.6596;16.6596;70.451594918507
2015-04-10;16.4942;16.6596;16.4942;16.6596;190.43946751409
2015-04-13;16.5288;16.5288;16.4851;16.4851;346.75394373953
2015-04-14;16.4425;16.4425;16.4425;16.4425;1.1008061706017
2015-04-15;15.8375;16.4851;15.8375;16.4851;7.7056431942117
2015-04-16;16.1573;16.1827;15.9401;15.9401;714.42320472048
2015-04-17;15.9401;15.9401;14.3658;14.7292;900.45944755217
2015-04-20;15.5677;15.6985;14.9717;15.6894;395.189415246
2015-04-22;15.1444;15.6894;14.98;15.6894;287.31041052704
2015-04-27;15.6894;15.6985;15.6894;15.6985;198.1451107083
2015-04-28;15.4042;15.6985;15.058;15.6985;601.04016914851
2015-04-29;15.0662;15.0662;15.0662;15.0662;254.28622540899
2015-04-30;15.0662;15.0662;14.5384;14.712;1060.0763422894
2015-05-04;14.712;14.712;14.712;14.712;104.57658620716
2015-05-05;14.712;14.712;14.712;14.712;2100.338173508
2015-05-06;14.6684;14.712;14.6684;14.712;501.96761379436
2015-05-07;14.6684;14.712;14.6684;14.712;434.81843738766
2015-05-08;15.4469;15.4469;15.4469;15.4469;1.1008061706017
2015-05-11;15.4469;15.4469;15.4469;15.4469;23.116929582635
2015-05-12;15.4042;15.4042;15.4042;15.4042;46.23385916527
2015-05-13;15.5513;15.5513;15.5513;15.5513;63.846757894897
2015-05-19;15.5513;15.5513;15.5513;15.5513;28.620960435643
2015-05-21;14.712;15.4904;14.712;15.4904;473.34665335872
2015-05-25;14.7201;14.7201;14.7201;14.7201;115.58464791318
