Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2009-09-18;2.75801;2.9919;2.66386;2.76082;763632.87141517
2009-09-21;2.79497;2.91845;2.71336;2.7503;183300.07808848
2009-09-22;2.72953;2.77932;2.65062;2.75568;145247.87356855
2009-09-23;2.75312;2.75312;2.69282;2.7503;69606.568688322
2009-09-24;2.70339;2.71897;2.66636;2.70055;28617.535926283
2009-09-25;2.70055;2.70055;2.58512;2.62444;69623.827228434
2009-09-28;2.62169;2.62169;2.55866;2.58512;25211.850677844
2009-09-29;2.50631;2.57442;2.50631;2.57201;32540.977378033
2009-09-30;2.54049;2.56669;2.50631;2.51942;33849.750003065
2009-10-01;2.5563;2.55866;2.52205;2.55866;9929.4134101446
2009-10-02;2.5563;2.5563;2.46688;2.5563;13723.415811066
2009-10-05;2.53256;2.54555;2.48531;2.54555;1530.2572231161
2009-10-06;2.49581;2.53781;2.49323;2.53781;2076.7776599433
2009-10-07;2.54555;2.54555;2.49581;2.54555;20111.952075241
2009-10-08;2.54555;2.54555;2.48531;2.51419;9098.1270614969
2009-10-09;2.51419;2.55359;2.50631;2.50894;32986.822997548
2009-10-12;2.51681;2.52992;2.47216;2.51942;17974.769524911
2009-10-13;2.46428;2.50894;2.46428;2.48006;34683.912775064
2009-10-14;2.49323;2.49323;2.45381;2.48006;12331.226908833
2009-10-15;2.48006;2.51156;2.48006;2.48006;6077.8825421888
2009-10-16;2.48006;2.49056;2.4407;2.49056;16588.333469382
2009-10-19;2.41974;2.47742;2.41974;2.43021;17807.936970512
2009-10-20;2.46688;2.46688;2.39345;2.42753;23940.471556382
2009-10-21;2.4145;2.42753;2.36453;2.42753;13898.877635522
2009-10-22;2.37243;2.42495;2.37243;2.42495;6946.5623944088
2009-10-23;2.42753;2.47742;2.4145;2.47742;13694.651577549
2009-10-26;2.41974;2.4748;2.4145;2.47216;7608.1397653049
2009-10-27;2.46167;2.47216;2.3882;2.3882;388.31715248248
2009-10-28;2.47742;2.47742;2.4145;2.46428;7956.1869908633
2009-10-29;2.46428;2.47216;2.46167;2.47216;18544.301348553
2009-10-30;2.46688;2.48006;2.42753;2.42753;11479.805596723
2009-11-02;2.41709;2.49323;2.41709;2.49056;1141.9400706337
2009-11-03;2.49056;2.49056;2.42753;2.47742;10602.496474448
2009-11-04;2.47742;2.47742;2.45641;2.46688;3517.8657591561
2009-11-05;2.48531;2.62169;2.46167;2.61895;31045.237235137
2009-11-06;2.61895;2.61895;2.55091;2.57201;11730.054428323
2009-11-09;2.5771;2.67159;2.5771;2.66386;23782.268272038
2009-11-10;2.67711;2.72415;2.65062;2.72415;32845.878253314
2009-11-12;2.72415;2.72415;2.67711;2.71897;7757.7137795945
2009-11-13;2.72415;2.72415;2.68205;2.7085;27340.403958117
2009-11-16;2.72415;2.72415;2.62169;2.70339;18762.909523283
2009-11-17;2.70339;2.72415;2.54555;2.57201;40235.409843888
2009-11-18;2.6113;2.64815;2.55866;2.58512;15362.977121548
2009-11-19;2.58512;2.6113;2.54555;2.57201;15475.157632265
2009-11-20;2.64815;2.64815;2.54555;2.62444;8146.0309320769
2009-11-23;2.62444;2.67711;2.54555;2.67711;14229.66632097
2009-11-24;2.66386;2.66386;2.57201;2.66386;5269.6075803549
2009-11-25;2.66112;2.66112;2.62444;2.65062;2778.6249577635
2009-11-26;2.65062;2.65062;2.57201;2.6349;5102.775025955
2009-11-27;2.54555;2.64541;2.54555;2.59823;5957.0727614164
2009-11-30;2.6374;2.6374;2.55091;2.59287;920.45547255107
2009-12-01;2.62169;2.67711;2.49849;2.66636;39145.245393586
2009-12-02;2.66386;2.66386;2.54555;2.56937;32900.530296997
2009-12-03;2.56937;2.59823;2.54316;2.59017;4464.2090418727
2009-12-04;2.51942;2.59017;2.51942;2.58248;6003.095535044
2009-12-07;2.5247;2.56669;2.51942;2.52205;12756.937564887
2009-12-08;2.51681;2.54316;2.44856;2.5037;13375.368585508
2009-12-09;2.50109;2.5037;2.45381;2.45381;9546.8491043656
2009-12-10;2.48792;2.49323;2.48792;2.49056;9716.5580821172
2009-12-11;2.4145;2.48792;2.4145;2.48792;17894.229671063
2009-12-15;2.55866;2.55866;2.43021;2.54555;1999.1142294468
2009-12-17;2.49056;2.49056;2.4407;2.48792;4953.2010116654
