Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-06-29;2.87148;2.94977;2.63646;2.63646;28140677.39416
2007-07-02;2.68008;2.68008;2.36678;2.53643;11504766.917277
2007-07-03;2.61045;2.67128;2.58858;2.61905;9408559.2668667
2007-07-04;2.65387;2.70615;2.62339;2.65387;3613118.2180327
2007-07-05;2.68435;2.68435;2.58858;2.63646;2883207.0534767
2007-07-06;2.64521;2.64954;2.60172;2.60606;1074274.435682
2007-07-09;2.61473;2.61473;2.50169;2.51895;1786265.055266
2007-07-10;2.51029;2.52337;2.40586;2.42772;3535088.4709669
2007-07-11;2.4364;2.4364;2.30583;2.35364;2585958.1161658
2007-07-12;2.32323;2.38418;2.30583;2.34496;1681786.3733656
2007-07-13;2.34496;2.42772;2.32323;2.41459;1734908.6743466
2007-07-16;2.42333;2.47114;2.2232;2.34937;944220.91984737
2007-07-17;2.33203;2.33203;2.23621;2.29282;1280922.5194021
2007-07-18;2.30583;2.30583;2.2406;2.25368;1783842.0830077
2007-07-19;2.26234;2.48856;2.26234;2.44507;3063679.3588936
2007-07-20;2.47988;2.47988;2.37112;2.37985;1288928.2205505
2007-07-23;2.37985;2.42772;2.30583;2.34937;789702.91446491
2007-07-24;2.40152;2.40152;2.24927;2.258;2051293.3340632
2007-07-25;2.17538;2.25368;2.07961;2.2406;3378209.5072412
2007-07-26;2.2406;2.25368;2.16664;2.16664;2006445.4611967
2007-07-27;2.09262;2.19713;2.08395;2.08835;2656800.1551553
2007-07-30;2.11009;2.17538;2.11009;2.13177;945303.21031985
2007-07-31;2.17091;2.2406;2.17091;2.19713;1588892.4814342
2007-08-01;2.17538;2.17538;2.1231;2.14057;923644.11217408
2007-08-02;2.20139;2.21446;2.10576;2.10576;2770359.4460676
2007-08-03;2.1449;2.1449;2.07961;2.08835;516448.93277252
2007-08-06;2.04481;2.05349;1.95778;2.00133;1368289.7902716
2007-08-07;2.04481;2.06221;1.84027;1.84027;2221865.5608745
2007-08-08;1.87508;1.94911;1.84027;1.84908;3082562.5960732
2007-08-09;1.87075;1.87075;1.7011;1.74898;5762699.1781283
2007-08-10;1.67935;1.68809;1.56184;1.58799;5125383.648102
2007-08-13;1.58799;1.80119;1.58799;1.76198;5024568.2167642
2007-08-14;1.76198;1.81861;1.73584;1.73584;4978974.7003934
2007-08-16;1.64888;1.64888;1.48789;1.56625;3571487.6861477
2007-08-17;1.56184;1.73584;1.54018;1.69675;5544836.911409
2007-08-20;1.76198;1.80546;1.69675;1.72717;1675582.0288018
2007-08-21;1.74457;1.74457;1.64888;1.7185;1498967.8748235
2007-08-22;1.74024;1.80546;1.7011;1.77506;4608227.4613918
2007-08-23;1.80119;1.85335;1.76631;1.77945;4401622.1968038
2007-08-24;1.78371;1.85774;1.74898;1.80992;3158814.6109032
2007-08-27;1.84908;1.91428;1.84908;1.86648;2271394.0078171
2007-08-28;1.86648;1.90129;1.83594;1.87508;1384001.458645
2007-08-29;1.76631;1.87948;1.76198;1.86648;1631045.702033
2007-08-30;1.91428;1.94037;1.73157;1.77945;3088772.8467243
2007-08-31;1.81419;1.87075;1.81419;1.82733;915831.83538021
2007-09-03;1.83594;1.84908;1.78371;1.82733;601576.32008566
