Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2004-04-20;47.2232;49.7352;47.2232;48.9695;110209.09283963
2004-04-21;48.4788;49.6259;48.0418;48.8065;33118.454929922
2004-04-22;48.8065;48.8065;47.3871;47.3871;16092.754367765
2004-04-23;47.2232;47.3871;46.6224;46.7863;9295.4128127508
2004-04-26;46.6224;46.6224;45.9677;46.1315;7111.72853293
2004-04-27;46.951;46.951;45.2038;46.1315;4004.1778270311
2004-04-28;45.9677;45.9677;45.2038;45.5306;3361.7842187262
2004-04-29;45.3668;45.6399;44.1113;44.3844;5635.1312106602
2004-04-30;43.6205;44.1113;43.2927;44.1113;5637.4011527391
2004-05-04;44.8751;44.8751;44.1113;44.8751;3249.4220858249
2004-05-05;44.1113;44.1113;43.4566;44.1113;6136.7884100785
2004-05-06;44.1113;44.3844;43.4566;43.6205;1480.0022353879
2004-05-07;43.7835;44.2213;43.7835;44.2213;3521.8151352827
2004-05-10;44.1113;44.1113;43.2927;43.6205;2795.4336700617
2004-05-11;43.6205;44.1113;43.6205;44.1113;1930.5857380328
2004-05-12;44.1113;44.7113;44.1113;44.7113;501.65719941829
2004-05-13;44.3844;44.3844;43.4566;43.4566;1635.4932677868
2004-05-14;43.2927;44.1113;43.2927;44.1113;357.51587741349
2004-05-17;43.7835;43.7835;43.2927;43.7835;2025.9233053431
2004-05-18;43.7835;43.7835;43.2927;43.2927;215.6444974875
2004-05-19;43.7835;43.7835;43.6205;43.6205;917.05659984158
2004-05-20;43.4566;43.7835;43.2927;43.2927;699.14216027527
2004-05-21;42.8557;42.8557;41.7095;42.8557;2088.3467125106
2004-05-24;43.7835;43.7835;43.128;43.128;534.57135956112
2004-05-25;43.128;43.6205;42.0364;42.0364;455.12338680257
2004-05-26;42.5288;43.2927;42.5288;42.9649;194.08004773875
2004-05-27;42.0364;43.4566;42.0364;43.4566;497.11731526066
2004-05-28;42.5288;42.9649;42.5288;42.5288;224.72426580277
2004-05-31;42.0364;42.6909;41.7095;41.7095;507.33205461533
2004-06-01;41.7095;42.5288;41.7095;42.5288;145.27629304421
2004-06-02;42.8557;42.8557;42.5288;42.5288;330.2765724677
2004-06-03;43.128;43.4566;42.5288;43.4566;1207.60918593
2004-06-04;43.6205;43.6205;43.6205;43.6205;71.503175482698
2004-06-07;43.7835;43.7835;42.8557;43.2927;876.1976424229
2004-06-08;42.8557;43.4566;42.8557;43.4566;1373.3149576835
2004-06-09;43.4566;43.9483;43.2927;43.4566;4536.4792445134
2004-06-11;43.4566;44.2213;43.4566;44.1113;4749.853799922
2004-06-14;43.7835;44.3844;43.7835;44.3844;1662.7325727326
2004-06-15;44.3844;45.9677;44.3844;45.2038;8423.7550544854
2004-06-16;45.3668;45.8038;44.8751;45.3668;2014.5735949491
2004-06-17;44.8751;45.039;44.8751;45.039;2147.3652065598
2004-06-18;44.8751;45.3668;44.8751;45.3668;1958.9600140181
2004-06-21;45.6399;45.8038;45.5306;45.8038;1989.604232082
2004-06-22;45.9677;46.1315;45.9677;45.9677;1509.5114824125
2004-06-23;44.3844;46.4585;44.3844;46.2954;1627.5484705109
2004-06-25;46.2954;46.7863;46.1315;46.7863;2751.1697995248
2004-06-28;46.7863;46.7863;46.7863;46.7863;28.374275985198
2004-06-29;45.8038;46.7863;45.8038;46.6224;732.0563204181
2004-06-30;46.6224;46.6224;45.9677;46.6224;2153.0400617568
2004-07-01;45.9677;46.2954;45.9677;46.2954;165.70577175355
2004-07-02;45.9677;46.1315;45.9677;46.1315;453.98841576316
2004-07-05;45.9677;46.1315;45.9677;46.1315;827.39388772836
2004-07-06;45.9677;46.2954;45.5306;46.2954;232.66906307863
2004-07-07;46.4585;46.6224;46.2954;46.6224;2289.2365864857
2004-07-08;46.6224;48.8065;46.4585;47.7149;4276.570876489
2004-07-09;48.0418;48.0418;46.7863;46.951;1528.8059900825
2004-07-12;47.2232;48.0418;47.0585;47.0585;443.77367640849
2004-07-13;46.7863;46.7863;45.6399;46.1315;363.19073261053
2004-07-14;46.4585;46.4585;45.5306;46.4585;1026.0138196247
2004-07-15;45.8038;45.8038;45.6399;45.6399;255.36848386678
2004-07-16;45.6399;46.2954;45.6399;46.2954;1489.0820037032
2004-07-19;46.4585;46.4585;46.1315;46.1315;426.74911081737
2004-07-20;45.6399;46.951;45.6399;46.951;47.668783655132
2004-07-21;46.951;46.951;46.2954;46.951;357.51587741349
2004-07-22;46.2954;46.2954;46.2954;46.2954;6.8098262364474
2004-07-23;46.7863;48.0418;46.7863;47.2232;3390.1584947114
2004-07-26;46.7863;47.8797;46.7863;47.8797;69.233233403882
2004-07-27;47.3871;48.2056;47.3871;48.0418;2407.2735745842
2004-07-28;48.0418;48.8065;48.0418;48.8065;4810.0072650107
2004-07-29;48.4788;49.1343;48.4788;49.1343;2578.6542015347
2004-07-30;49.1343;50.5537;49.1343;50.5537;3306.1706377952
2004-08-02;51.6463;51.9722;51.1537;51.6463;3155.219489554
2004-08-03;51.6463;51.6463;50.7176;51.1537;2363.0097040473
2004-08-04;50.5537;50.8815;49.6259;50.8815;2529.8504468403
2004-08-05;50.389;51.1537;50.389;51.1537;2546.8750124314
2004-08-06;51.3176;51.3176;50.5537;50.5537;359.78581949231
2004-08-09;50.389;50.5537;45.9677;50.389;1605.9840207622
2004-08-10;51.0453;52.901;51.0453;52.901;9751.6711705927
2004-08-11;53.0649;53.0649;51.1537;51.6463;3165.4342289086
2004-08-12;51.8092;52.137;51.6463;51.9722;4604.5775068778
