Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2025-02-07;123.004;132.198;123.004;127.434;3955858.249487
2025-02-10;128.395;129.081;126.494;126.69;572845.31999366
2025-02-11;127.317;128.179;126.533;127.807;149442.74484604
2025-02-12;127.572;127.709;126.435;127.219;236493.79925452
2025-02-13;127.415;127.591;126.886;127.219;129984.8140136
2025-02-14;127.415;127.415;125.455;126.435;133214.02858466
2025-02-17;126.435;126.435;122.456;122.514;254121.33168555
2025-02-18;123.377;124.847;122.514;124.318;89319.156775452
2025-02-19;124.906;127.944;123.514;125.945;357241.93727703
2025-02-20;125.827;126.337;124.671;124.671;42099.163232568
2025-02-21;125.827;127.082;123.984;124.671;48184.166613864
2025-02-24;124.671;125.847;123.063;124.965;63596.651704048
2025-02-25;124.965;124.965;122.024;122.338;69047.035349736
2025-02-26;122.514;124.435;122.514;123.906;94078.804792512
2025-02-27;123.945;123.945;122.534;122.554;45665.073161748
2025-02-28;122.534;123.102;121.652;123.102;184136.6507779
2025-03-03;123.142;125.337;122.534;125.337;23930.87765062
2025-03-04;125.337;126.944;121.573;122.299;69103.151242756
2025-03-05;122.534;124.965;122.22;124.827;112262.39470892
2025-03-06;124.827;125.357;123.69;124.965;58477.86197166
2025-03-07;125.298;125.298;122.083;122.867;82445.470024984
2025-03-10;123.279;124.533;120.358;123.984;124355.87979921
2025-03-11;122.867;123.651;121.26;122.808;71531.438977076
2025-03-12;122.848;126.356;122.848;125.945;88159.088223384
2025-03-13;125.945;149.938;125.611;140.156;275687.17951762
2025-03-14;139.568;142.783;131.943;132.315;146719.59360113
2025-03-17;133.158;134.452;131.002;133.766;64470.019057232
2025-03-18;137.177;138.627;134.374;136.785;103292.01413743
2025-03-19;137.216;137.667;133.1;137.314;56415.857975416
2025-03-20;137.216;137.647;133.511;133.511;56737.248999076
2025-03-21;133.296;135.119;131.335;131.825;75919.70181124
2025-03-24;131.923;133.178;129.003;129.297;48173.963724224
2025-03-25;130.355;132.806;128.963;131.629;71780.389484292
2025-03-26;133.786;135.158;130.963;133.296;159604.82292748
2025-03-27;133.648;133.648;131.139;132.119;37452.767290512
2025-03-28;132.355;132.355;129.885;131.257;23222.797109604
2025-03-31;131.825;132.119;129.591;130.845;29939.359359616
2025-04-01;134.57;135.256;131.433;133.002;61718.299721324
2025-04-02;133.59;137.02;132.315;136.236;241349.3544342
2025-04-03;135.256;135.942;133.296;134.276;135001.57484959
2025-04-04;134.276;134.668;129.424;131.041;196924.95265268
2025-04-07;127.464;129.571;123.641;126.729;87490.798951964
2025-04-08;128.689;132.904;128.101;132.904;67883.905930776
2025-04-09;130.943;133.198;129.865;129.914;75245.290806036
2025-04-10;135.06;135.452;131.727;132.904;97173.341220324
2025-04-11;133.296;134.815;131.335;133.296;165568.41192206
2025-04-14;133.982;137.608;133.933;137.216;58672.737163784
2025-04-15;137.265;141.136;137.265;138.833;73447.541651468
2025-04-16;138.539;145.057;137.216;145.057;120082.90961798
2025-04-17;144.567;146.821;144.126;145.253;98595.62403614
2025-04-22;145.498;146.429;142.313;143.734;42309.342759152
2025-04-23;146.037;148.781;142.362;148.781;89906.843218716
2025-04-24;148.781;148.781;144.763;145.547;85235.960341524
2025-04-25;146.037;149.761;145.841;148.977;42208.334151716
2025-04-28;148.977;149.663;147.164;148.095;26307.130647776
2025-04-29;149.32;151.624;148.585;151.624;29611.846602172
2025-04-30;151.771;153.339;147.752;148.83;49716.640637792
2025-05-02;150.84;158.19;150.35;155.838;36984.454656036
2025-05-05;155.838;160.739;153.976;160.739;103013.47525026
2025-05-06;160.739;164.659;160.249;163.189;144198.45957108
2025-05-07;164.316;168.58;164.218;166.619;96815.21979396
2025-05-08;166.717;169.56;164.659;166.619;106544.69535466
2025-05-09;166.619;168.335;163.14;166.766;86668.44604698
2025-05-12;167.6;171.471;167.404;168.384;52663.235165824
2025-05-13;170.148;170.148;164.659;167.551;79159.11927194
2025-05-14;167.11;174.264;167.11;172.5;91414.830307508
2025-05-15;172.5;173.284;169.07;169.511;60539.865967904
2025-05-16;169.56;170.736;163.679;165.541;125027.22993752
2025-05-19;166.619;169.56;162.895;166.913;54164.080231868
2025-05-20;169.07;170.932;167.845;167.845;38077.18413648
2025-05-21;167.992;169.56;165.002;165.541;38112.89425022
2025-05-22;166.619;168.335;166.178;167.698;45777.304947788
2025-05-23;166.913;169.56;165.198;165.688;38279.201351352
2025-05-26;165.639;168.727;165.492;167.6;49209.557022684
2025-05-27;168.58;168.58;166.325;166.57;68080.821700828
2025-05-28;168.58;169.805;166.815;167.747;70869.27143944
2025-05-29;168.531;171.618;164.757;165.639;202490.6289513
2025-05-30;167.6;168.482;164.218;165.394;458636.21394142
2025-06-02;164.267;165.492;161.719;162.65;32773.722101608
2025-06-03;164.9;165;158.15;159;70874
2025-06-04;160;162;155.8;157;60805
2025-06-05;157;157;153.45;155;52803
2025-06-06;155;159.2;153.85;157.4;49423
2025-06-09;158;158.45;154.85;156.35;25725
2025-06-10;157;162.65;155;162.65;62260
2025-06-11;162.25;163;159.5;162.8;47824
2025-06-12;162.85;164.4;160.45;160.45;22938
2025-06-13;160.45;165;159.5;162.7;32790
2025-06-16;162.5;164.95;160;160;39708
2025-06-17;160;162.25;159;159.95;46369
2025-06-18;159.85;160.05;157.75;158.3;15894
2025-06-20;158;163.45;158;162.5;58763
2025-06-23;162.3;162.7;157.15;157.9;23865
2025-06-24;159.1;165.6;159.1;164;66783
2025-06-25;164.5;165.25;162.25;162.75;16631
2025-06-26;164.9;169.1;162.4;167;69235
2025-06-27;168.4;170;164.85;169.8;36710
2025-06-30;171;171.5;165.55;167.2;143519
2025-07-01;165.15;169.3;165.1;167.45;16571
2025-07-02;167.45;167.95;161.3;166.15;32959
2025-07-03;166.65;167.2;164;167.2;23942
2025-07-04;167.7;167.7;164.6;165.3;61617
2025-07-07;166.4;166.5;161.55;161.95;16388
2025-07-08;161.6;163.55;161.05;161.35;13837
2025-07-09;161.35;166.7;161.25;165;44651
2025-07-10;165.9;167.25;161.85;163.75;26527
2025-07-11;163.2;164.8;159.9;161;24557
2025-07-14;160.95;161.4;158.75;159.6;57433
2025-07-15;159.6;163.45;159.55;161.95;53639
2025-07-16;162.1;163.35;160.15;163.15;17001
2025-07-17;163.45;170.4;162.8;169.3;39805
2025-07-18;169.5;172.35;168.1;171.95;63459
2025-07-21;172;173;170.65;172.2;21813
2025-07-22;172.2;173.4;170;170;37318
2025-07-23;170;173.4;169;172.6;18636
2025-07-24;172.2;172.6;170.1;172.2;26387
2025-07-25;172;178.8;170.3;177;44740
2025-07-28;178;178.8;174.15;176.5;59167
2025-07-29;176.5;182;176;180.2;97616
2025-07-30;180;181.8;179.1;180.6;36338
2025-07-31;181.6;185.85;179.75;183.25;119514
2025-08-01;184.2;185.6;180.3;184.7;62381
2025-08-04;186.2;188.95;182.25;184.8;79985
2025-08-05;185.5;187.5;184.1;186.2;23466
2025-08-06;187;188.45;184.7;187.7;42749
2025-08-07;188.5;189;186.05;188;51650
2025-08-08;189;195.3;188;194;85358
2025-08-11;195;197.3;192.15;195.3;139604
2025-08-12;195.5;199;192.55;199;95168
2025-08-13;199.3;203.8;199;199.8;120335
2025-08-14;200.5;203.1;197.95;203.1;65045
2025-08-18;203.4;209;203.4;206.3;53987
2025-08-19;208;208;191.2;204.1;110816
2025-08-20;204.1;206;199.55;204.3;44925
2025-08-21;204;207.7;204;205.2;24343
2025-08-22;205.2;205.5;198.6;203.9;53334
2025-08-25;203.7;203.8;196.95;196.95;52295
2025-08-26;196.65;203.8;195.7;203.8;95395
2025-08-27;204.1;204.5;200.4;201.9;15686
2025-08-28;203.4;205.5;201.4;203.8;51641
2025-08-29;205.9;205.9;201.7;202.5;22921
2025-09-01;203.6;205;201.7;202.8;34165
2025-09-02;203.9;203.9;198;200.1;34487
2025-09-03;202.7;202.7;199.6;202.4;46497
2025-09-04;202.4;202.7;199;201;54852
2025-09-05;204;206;200;201.3;24846
2025-09-08;203.7;217.8;203.2;211;91744
2025-09-09;213.3;216.6;211.2;215.2;97019
2025-09-10;213.6;214.9;208.7;212;45508
2025-09-11;212;218.7;211.9;214;66588
2025-09-12;215.9;219.9;213.5;216.7;121706
2025-09-15;216.6;216.6;205.2;205.4;58164
2025-09-16;206.7;210.4;206.7;208.2;67012
2025-09-17;210.4;213.4;208.3;213.3;32336
2025-09-18;214;217.3;211.1;216;42509
2025-09-19;217;217;206.4;209.5;237403
2025-09-22;212;214.6;207.5;214.6;22244
2025-09-23;215;215.3;207.6;207.6;26374
2025-09-24;210;212.6;207.7;209.9;29621
2025-09-25;208.2;209.7;204.2;204.2;27629
2025-09-26;204;205.1;202.5;205.1;14532
2025-09-29;207;207;197.9;202.2;25016
2025-09-30;202;202.9;189.4;190.2;121832
2025-10-01;191;195.65;189.95;192;42704
2025-10-02;192.45;194.75;187.1;191.6;29119
2025-10-03;192.2;192.95;188.05;190.4;21638
2025-10-06;190.15;191.2;184.8;186.7;27943
2025-10-07;187.45;189.9;183.65;186.6;47591
2025-10-08;186.6;189;180.5;185;36804
2025-10-09;182;187.1;179;180;79045
2025-10-10;180;182.85;179.25;181;58403
2025-10-13;180.95;183.4;178.6;181;47703
2025-10-14;180.25;180.5;176;178;63397
2025-10-15;177.85;183;177.8;180;91099
2025-10-16;181.4;182.5;177.8;180;124264
2025-10-17;180.9;188.9;180.45;185;116981
2025-10-20;187.3;192.95;186.4;190.3;103586
2025-10-21;191;193.55;188;193.35;100234
2025-10-22;193.7;195.5;191.75;191.95;102137
2025-10-23;191.95;194.65;190.2;193.5;25419
2025-10-24;193.65;193.65;185;185.15;54882
2025-10-27;186.4;187.55;182.6;186;52726
2025-10-28;187;188.5;183.9;185.35;81046
2025-10-29;185.5;188.9;185;187.5;148099
2025-10-30;187;187.85;179;185.4;54583
2025-10-31;187.05;187.05;183.35;184.8;46721
2025-11-03;186.6;187.5;185;187.3;19174
2025-11-04;187.3;187.35;183.7;185.6;35723
2025-11-05;186.95;189;183.7;189;34742
2025-11-06;189.2;189.9;185.2;185.2;42547
2025-11-07;187.45;187.6;183.15;183.5;24991
2025-11-10;184.4;186.45;182.95;186.3;60633
2025-11-12;188.1;188.4;183.6;183.6;29494
2025-11-13;183.9;186;181.55;181.9;30315
2025-11-14;182;183.65;178.05;180.6;59698
2025-11-17;182;182.45;180.25;181.3;24868
2025-11-18;180.7;181.95;176.65;177.7;53715
2025-11-19;177.2;180;177.15;179.6;87158
2025-11-20;180;180;173.2;176.4;49944
2025-11-21;178;179.85;174.3;175.9;72811
2025-11-24;175.95;177;169.2;175.9;100565
2025-11-25;176.9;178.25;171.1;173.55;77082
2025-11-26;175.3;176.55;172.2;173;65965
2025-11-27;173.95;174.55;172.15;174.35;24507
2025-11-28;175.2;175.9;170.3;170.55;40830
2025-12-01;170.8;176.45;169.55;175.4;57748
2025-12-02;175.8;175.8;169.15;169.15;55951
2025-12-03;169.5;172.05;165.4;167.75;41517
2025-12-04;167.9;168.55;160.1;160.45;101018
2025-12-05;160.45;169.35;155;168.5;162792
2025-12-08;170.5;174.65;169;173.2;98898
2025-12-09;174.65;176.2;173.3;175.45;33450
2025-12-10;176.2;176.2;169.4;169.75;78023
2025-12-11;172;172;166.5;169;36827
2025-12-12;170;170.7;166.6;167.6;34683
2025-12-15;169;171.15;168;169.5;37018
2025-12-16;169.5;172.75;165.55;170;73830
2025-12-17;170;170;166;166.1;48558
2025-12-18;167.75;167.75;163.7;165;69076
2025-12-19;165;169.5;164.55;169.35;56036
2025-12-22;167.15;169.35;166.75;167.5;28321
2025-12-23;168.4;169.5;167;169;37541
2025-12-29;169;169;167.1;168.6;23344
2025-12-30;168.6;171.5;167.25;171;59776
2026-01-02;174.4;174.4;171.3;172.9;46838
2026-01-05;174.3;176.95;172;173;45954
2026-01-07;175.95;179.8;173.4;179.8;77101
2026-01-08;180.2;181;175.3;176.8;80852
2026-01-09;178.3;191.3;177;191;122741
2026-01-12;194;194.1;189.4;190.9;55256
2026-01-13;192.45;193.8;190.4;190.5;36433
2026-01-14;192.4;193.5;189.05;191.95;44265
2026-01-15;192;195.05;192;195.05;40562
2026-01-16;196;197.85;194.45;196.2;59468
2026-01-19;196.2;196.2;190.2;194;55211
2026-01-20;195.2;200;190.75;200;80886
2026-01-21;200.8;203;196.55;202.5;77488
2026-01-22;205;208;202;202.6;72355
2026-01-23;204;204;194.2;198.2;68312
