Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2010-11-30;9.89856;9.89856;8.92474;9.17688;42228.098887741
2010-12-01;9.21002;9.21002;8.26051;8.63388;17289.699565114
2010-12-02;8.37527;8.77772;8.3292;8.4383;83462.522657333
2010-12-03;8.63388;8.63388;8.31789;8.57083;13759.244880082
2010-12-06;8.36396;8.37527;8.3292;8.34698;6268.9391638182
2010-12-07;8.3292;8.34698;8.2896;8.34698;1285.714131703
2010-12-08;8.2896;8.43264;8.07061;8.34698;6695.8606031228
2010-12-09;8.16838;8.30657;8.11586;8.30657;3644.3004021801
2010-12-10;8.11586;8.14495;8.10455;8.14495;4402.8593653504
2010-12-13;8.19748;8.49083;8.19748;8.49083;6709.4725910427
2010-12-14;8.57649;8.61691;8.57649;8.59992;8289.7006431935
2010-12-15;8.25405;8.59992;8.25405;8.59992;12146.843038302
2010-12-16;8.55951;8.59992;8.55951;8.59992;15298.636968473
2010-12-17;8.59992;9.45738;8.59992;9.45092;13790.181216264
2010-12-20;9.73377;9.73377;8.81895;8.81895;1708.9232106658
2010-12-21;9.54946;9.54946;8.59992;8.81895;19580.225895992
2010-12-22;8.83591;8.83591;8.40437;8.80113;1711.3981175603
2010-12-23;8.3979;8.62337;8.21445;8.52477;6720.6096720681
2010-12-27;8.46738;8.69208;8.46738;8.52477;1742.3344537418
2010-12-28;8.5191;8.5191;8.5191;8.5191;14210.915388332
2010-12-29;8.5191;8.77041;8.5191;8.63465;631.10125810251
2010-12-30;8.77686;8.80113;8.63465;8.80113;456.62032203888
2010-12-31;8.80759;8.80759;8.74621;8.80759;13015.535358279
2011-01-03;9.31352;9.31352;8.63388;8.64034;3280.4890886858
2011-01-04;8.74862;8.74862;8.52477;8.52477;10665.611261932
2011-01-05;8.74458;8.74458;8.43264;8.59427;4027.9109708307
2011-01-07;8.59992;8.59992;8.37527;8.59427;8730.234070418
2011-01-10;8.59992;8.59992;8.30657;8.5191;4067.5094811431
2011-01-11;8.59992;8.6282;8.34698;8.59992;10158.255348556
2011-01-12;8.57649;8.57649;8.57083;8.57083;127.45770506776
2011-01-13;8.59427;8.59427;8.59427;8.59427;1.2374534472599
2011-01-14;8.5191;8.60557;8.38658;8.57649;3693.7985400705
2011-01-17;8.61691;8.80682;8.57649;8.67993;6254.0897224511
2011-01-18;8.79545;8.79545;8.79545;8.79545;58.160312021211
2011-01-19;8.79545;8.79545;8.58295;8.58295;183.14311019446
2011-01-20;8.79545;8.80682;8.60557;8.79545;5707.1352987623
2011-01-21;8.79545;9.14133;8.34698;9.14133;5989.2746847375
2011-01-24;9.12919;9.12919;8.74862;9.07754;222.74162050676
2011-01-25;9.06618;9.06618;8.4383;8.53042;14283.92514172
2011-01-26;8.40921;8.87628;8.1797;8.1797;2481.094161756
2011-01-27;8.57649;8.57649;8.26051;8.26051;1757.1838951089
2011-01-28;8.80682;8.80682;8.20799;8.80113;3596.039717737
2011-01-31;8.70902;8.70902;8.63465;8.63465;8753.745685916
2011-02-01;8.63388;8.63388;8.63388;8.63388;2.4749068945196
2011-02-02;8.6282;8.63388;8.51345;8.62337;10249.826903653
2011-02-03;8.63388;8.69208;8.46173;8.69208;4783.9950271065
2011-02-04;8.66297;8.66297;8.46173;8.46173;33.411243076015
2011-02-07;8.63388;8.63388;8.63388;8.63388;6320.9122086031
2011-02-08;8.62337;8.74862;8.46173;8.63388;13852.053888626
2011-02-09;8.63388;8.63388;8.63388;8.63388;5350.7487059514
2011-02-10;8.6282;8.65652;8.34698;8.6282;11734.771040365
2011-02-11;8.6282;8.6282;8.62337;8.62337;452.90796169709
2011-02-14;8.6282;8.86415;8.60557;8.60557;5494.2933058336
2011-02-15;8.69208;8.86415;8.69208;8.80682;5842.0177245136
2011-02-16;8.80682;8.97976;8.80682;8.86415;7890.0031797286
2011-02-17;8.96839;9.07754;8.86415;8.86415;6318.4373017086
2011-02-18;9.06058;9.07754;8.86415;8.86415;6135.2941915141
2011-02-21;8.92234;9.17533;8.89893;9.09528;4960.9508700646
2011-02-22;9.17533;9.20357;9.17042;9.20357;7041.1101149084
2011-02-23;9.09528;9.31916;9.09528;9.21002;8908.4273668234
2011-02-24;9.21002;9.47999;9.20357;9.44686;5978.1376037121
2011-02-25;9.47999;9.54375;9.47999;9.54375;2429.121116971
2011-02-28;9.22052;9.76839;9.22052;9.72475;5839.542817619
2011-03-01;9.67062;9.76839;9.46947;9.46947;6396.396868886
2011-03-02;9.4404;9.76839;9.4404;9.72804;6835.6928426633
2011-03-03;9.75074;9.76839;9.72242;9.75074;6447.1324602237
2011-03-04;9.74502;9.76839;9.74017;9.76839;6782.4823444311
2011-03-07;9.90012;9.90012;9.5551;9.69896;2106.1457672362
2011-03-08;9.67062;9.90012;9.67062;9.90012;5220.8160939892
2011-03-09;9.90012;9.90012;9.69896;9.89527;4435.0331549792
2011-03-10;9.89527;9.89527;9.88964;9.88964;4512.9927221565
2011-03-11;9.89527;9.89527;9.88964;9.88964;3649.2502159692
2011-03-14;10.0157;10.1305;9.84929;10.0845;19814.104597524
2011-03-15;10.0845;10.1022;9.84929;10.0157;7109.1700545076
2011-03-16;10.0157;10.0157;9.87267;9.98741;811.76946140244
2011-03-17;9.98431;10.1256;9.98431;10.0706;5629.1757315849
2011-03-18;10.1248;10.3608;9.87267;10.1887;9186.8543924569
2011-03-21;10.0845;10.1887;10.0845;10.1708;5420.0460989981
2011-03-22;10.1708;10.1708;10.1708;10.1708;639.76343223332
2011-03-23;10.1482;10.1887;10.1305;10.1887;3478.4816402474
2011-03-24;10.2169;10.2169;9.70467;10.1305;4293.9634619916
2011-03-25;9.33124;9.78624;9.32478;9.77974;8935.6513426632
2011-03-28;9.77412;9.77412;9.29009;9.7167;367.52367383616
2011-03-29;9.63593;9.63593;9.26748;9.60687;1491.1314039481
2011-03-30;9.58334;9.58334;9.27394;9.38218;199.23000500883
2011-03-31;9.66416;9.66416;9.01695;9.49207;2585.0402513257
2011-04-01;9.49207;9.49207;9.32478;9.49207;322.97534973482
2011-04-04;9.49207;9.49771;9.49207;9.49771;118.79553093694
2011-04-05;9.26748;9.5551;9.26748;9.5551;194.28019121979
2011-04-06;9.5551;9.78624;9.46947;9.76267;5422.5210058926
2011-04-07;9.76267;9.78624;9.75714;9.78624;2182.8678809663
2011-04-08;9.75714;9.75714;9.40561;9.69415;741.23461490863
2011-04-11;9.75714;9.75714;9.49771;9.69415;8747.5584186796
2011-04-12;9.72475;9.72475;9.49207;9.72475;3290.3887162639
2011-04-13;9.78624;9.78624;9.77974;9.78624;6534.9916549791
2011-04-14;9.78624;9.78624;9.78624;9.78624;1.2374534472599
2011-04-15;9.78624;9.78624;9.78624;9.78624;1.2374534472599
2011-04-18;9.78624;9.78624;9.78624;9.78624;1.2374534472599
2011-04-19;9.77974;9.78624;9.49771;9.75074;1978.6880621684
2011-04-20;9.75714;9.75714;9.70467;9.70467;8211.7410760162
2011-04-21;9.70467;9.70467;9.70467;9.70467;173.24348261637
2011-04-26;9.70467;9.70467;9.49771;9.49771;5173.7928629933
2011-04-27;9.49771;9.49771;9.22138;9.49771;907.05337684144
2011-04-28;9.49771;9.68761;9.49771;9.67062;8951.7382374776
2011-04-29;9.67062;9.67062;9.67062;9.67062;49.498137890392
2011-05-02;9.29655;9.67062;9.29655;9.5551;1493.6063108426
2011-05-04;9.53489;9.76839;9.53489;9.67062;894.67884236885
2011-05-05;9.72475;9.78052;9.72475;9.78052;2189.0551482026
2011-05-06;9.78052;9.78702;9.5898;9.78052;2620.9264012962
2011-05-09;9.64156;9.78624;9.64156;9.77412;5507.9052937534
2011-05-10;9.77412;10.0149;9.77412;9.78052;14078.507869475
2011-05-11;9.76839;9.76839;9.70059;9.70059;3673.9992849144
2011-05-12;9.71349;9.76839;9.71349;9.76839;5979.3750571594
2011-05-13;9.78702;9.95919;9.75627;9.78052;4516.7050824983
2011-05-16;9.70709;9.89856;9.70059;9.78702;5410.1464714199
2011-05-17;9.89856;9.95919;9.76839;9.86694;11439.01966647
2011-05-18;9.94706;9.95919;9.79342;9.89856;7616.5259678842
2011-05-19;9.95919;10.2921;9.95919;10.2921;12073.833284914
2011-05-20;9.86054;10.6372;9.86054;10.1749;9454.144337065
2011-05-23;10.4706;10.5878;10.2744;10.5758;2460.0574531525
2011-05-24;10.5758;10.7357;10.3479;10.5943;11875.840733352
2011-05-25;10.465;10.465;10.1628;10.3479;3797.7446296404
2011-05-26;10.3479;10.4706;10.3479;10.3479;1762.133708898
2011-05-27;10.4399;10.5628;10.2243;10.2243;28815.340972892
2011-05-30;10.2243;10.2679;10.2243;10.2679;1785.6453243959
2011-05-31;9.85404;10.2857;9.85404;10.2857;1900.7284949911
