Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2006-10-24;41.0463;44.0335;36.3275;38.2163;2032721.152528
2006-10-25;40.2636;40.5133;38.53;39.9472;366357.23922671
2006-10-26;40.7007;40.7007;38.0584;38.0584;179597.28321491
2006-10-27;38.0584;38.53;37.7438;38.2163;163003.99429392
2006-10-30;38.8139;38.8139;36.4846;37.2714;82305.493016158
2006-10-31;37.6811;37.7748;37.1141;37.7438;53318.65262995
2006-11-02;37.8694;37.8694;37.4295;37.5858;154306.66566213
2006-11-03;37.7438;37.7438;37.3658;37.5232;25219.70000035
2006-11-06;37.7438;38.6879;37.1141;38.0584;38163.571672538
2006-11-07;39.003;40.1367;38.0584;40.0739;120520.12532645
2006-11-08;40.2636;40.2636;39.003;40.2636;32691.573325914
2006-11-09;39.9472;40.2313;39.6305;39.6305;24239.619425566
2006-11-10;39.6305;39.6305;39.0962;39.3824;15871.348237102
2006-11-13;39.6305;39.6305;39.003;39.003;48899.070761603
2006-11-14;38.8443;39.1604;38.0584;38.6879;61251.490046404
2006-11-15;39.2857;39.2857;37.7748;38.1218;32232.027586072
2006-11-16;38.3417;39.2857;38.3417;38.6879;110793.07383316
2006-11-17;38.7506;39.1604;38.4363;38.6879;88407.239228491
2006-11-20;38.6879;39.003;38.4363;38.8443;48379.954277708
2006-11-21;39.003;39.5361;38.8443;39.3168;65585.970851818
2006-11-22;39.3168;39.9154;39.3168;39.7885;149292.79470429
2006-11-23;39.9154;39.9154;39.6305;39.7885;42583.153540887
2006-11-24;39.7885;40.576;39.6305;40.3857;103697.06353555
2006-11-27;40.576;42.462;40.576;42.2717;224485.25721024
2006-11-28;41.4206;42.366;40.9827;42.366;82765.038756
2006-11-29;42.3047;43.406;41.8324;43.3412;98295.982741367
2006-11-30;43.406;43.8438;42.8709;43.186;60367.857342944
2006-12-01;43.406;44.0046;42.904;43.8735;91350.317654942
2006-12-04;44.0335;46.2348;43.6613;45.67;89846.865543117
2006-12-05;46.2671;46.3927;45.9216;46.2348;94591.249801661
2006-12-06;46.2945;46.5498;45.1377;45.4492;291715.09692773
2006-12-07;45.4492;46.3927;45.4492;46.2348;38638.719273917
2006-12-08;46.516;46.516;45.6355;45.9901;51627.978179671
2006-12-11;46.1796;46.1796;45.2921;45.3844;37701.1892306
2006-12-12;45.6094;45.6094;44.8211;45.1023;198275.54817777
2006-12-13;44.917;45.2921;44.5094;44.5094;42279.626416425
2006-12-14;44.5658;45.2328;42.8709;44.0335;64804.459423878
2006-12-15;43.406;44.6611;42.1433;44.6611;105770.69276903
2006-12-18;44.6611;45.263;43.7226;45.2328;76156.941219211
2006-12-19;45.1377;45.263;44.3488;45.1377;169475.93013002
2006-12-20;44.6611;45.6094;43.748;44.3488;106935.15898017
2006-12-21;43.5668;44.0335;43.5668;43.748;37587.721146688
2006-12-22;43.748;44.0335;43.4363;43.7226;94345.875070204
