Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2013-07-10;1.33851;1.69607;1.33851;1.65017;18132.41928812
2013-07-11;1.65017;1.66851;1.6135;1.6594;5450.5658769037
2013-07-12;1.65017;1.65017;1.65017;1.65017;327.30758596583
2013-07-15;1.65017;1.65017;1.49435;1.49435;20957.157425523
2013-07-16;1.60428;1.64105;1.53102;1.59516;4750.6959583594
2013-07-17;1.59516;1.60428;1.53102;1.59516;4592.830563199
2013-07-18;1.59516;1.59516;1.476;1.54935;7812.2321885028
2013-07-19;1.54935;1.54935;1.46679;1.54024;9230.9158730106
2013-07-22;1.54024;1.54935;1.43933;1.54935;15220.328965395
2013-07-23;1.54935;1.54935;1.41177;1.51268;5203.2434244858
2013-07-24;1.51268;1.51268;1.40266;1.51268;14789.882654591
2013-07-25;1.51268;1.58594;1.51268;1.58594;7885.9027062443
2013-07-26;1.57682;1.57682;1.57682;1.57682;1188.2002075737
2013-07-29;1.56761;1.56761;1.52189;1.56761;1607.0697227326
2013-07-30;1.56761;1.56761;1.52189;1.52189;928.24852354297
2013-07-31;1.56761;1.56761;1.48512;1.54935;5861.0159043206
2013-08-01;1.54935;1.54935;1.46679;1.53102;10118.119393812
2013-08-02;1.54935;1.54935;1.54935;1.54935;5.262179838679
2013-08-05;1.54935;1.54935;1.52189;1.52189;4952.7636641646
2013-08-06;1.53102;1.53102;1.53102;1.53102;5.262179838679
2013-08-07;1.53102;1.53102;1.53102;1.53102;1.0524359677358
2013-08-08;1.54935;1.54935;1.45766;1.50346;7268.1227931834
2013-08-09;1.50346;1.50346;1.50346;1.50346;1.0524359677358
2013-08-12;1.49435;1.49435;1.49435;1.49435;725.12838176996
2013-08-13;1.53102;1.55848;1.46679;1.55848;8515.2594149503
2013-08-14;1.58594;1.60428;1.56761;1.60428;8909.9229028512
2013-08-16;1.60428;1.65017;1.60428;1.65017;2731.0713362744
2013-08-19;1.69607;1.69607;1.6594;1.68684;5962.0497572233
2013-08-20;1.68684;1.68684;1.67773;1.68684;6062.0311741582
2013-08-21;1.68684;1.68684;1.68684;1.68684;217.85424532131
2013-08-22;1.68684;1.68684;1.6135;1.67773;9820.2800149427
2013-08-23;1.68684;1.68684;1.68684;1.68684;110.50577661226
2013-08-26;1.68684;1.68684;1.68684;1.68684;1.0524359677358
2013-08-27;1.68684;1.68684;1.68684;1.68684;4.2097438709432
2013-08-28;1.68684;1.68684;1.65017;1.65017;2736.3335161131
2013-08-29;1.68684;1.68684;1.65017;1.65017;3590.9115219145
2013-08-30;1.65017;1.65017;1.65017;1.65017;10.524359677358
2013-09-02;1.65017;1.65017;1.65017;1.65017;24.206027257923
2013-09-03;1.65017;1.65017;1.60428;1.60428;841.94877418864
2013-09-04;1.65017;1.67773;1.65017;1.67773;38.940130806224
2013-09-05;1.66851;1.66851;1.66851;1.66851;5.262179838679
2013-09-06;1.66851;1.66851;1.58594;1.64105;1157.6795645094
2013-09-09;1.64105;1.64105;1.64105;1.64105;5.262179838679
2013-09-10;1.60428;1.7143;1.60428;1.7143;25239.51937824
2013-09-11;1.72353;1.72353;1.70509;1.72353;11576.795645094
2013-09-12;1.73265;1.73265;1.66851;1.66851;1587.0734393456
2013-09-13;1.66851;1.66851;1.66851;1.66851;654.61517193166
2013-09-16;1.66851;1.77854;1.66851;1.77854;27319.132850486
2013-09-17;1.78766;2.03518;1.78766;1.98026;111710.81579532
2013-09-18;1.98026;1.98026;1.84277;1.94359;380959.71916503
2013-09-19;1.94359;1.95271;1.90681;1.94359;4001.3615493315
2013-09-20;1.94359;2.06274;1.94359;2.06274;44719.056705062
2013-09-23;2.13609;2.13609;2.01685;2.03518;34090.505866898
2013-09-24;2.14531;2.14531;2.00762;2.03518;15384.508976362
2013-09-25;2.06274;2.06274;1.98026;2.06274;21273.940651811
2013-09-26;2.06274;2.06274;1.98026;2.06274;32611.833332229
2013-09-27;2.06274;2.06274;1.91603;1.93437;22871.538450834
2013-09-30;1.93437;1.93437;1.87014;1.93437;12129.324528156
2013-10-01;1.93437;1.93437;1.8977;1.93437;4050.8260398151
2013-10-02;1.93437;1.93437;1.84277;1.93437;9282.4852354297
2013-10-03;1.93437;1.93437;1.93437;1.93437;2.1048719354716
2013-10-04;1.93437;1.93437;1.93437;1.93437;5.262179838679
2013-10-07;1.86102;1.87935;1.86102;1.87935;5782.0832067405
2013-10-08;1.87935;1.87935;1.86102;1.87935;1046.1213519294
2013-10-09;1.87014;1.87014;1.80599;1.87014;14940.380997978
2013-10-10;1.87014;1.87014;1.87014;1.87014;18827.027026826
2013-10-11;1.83355;1.83355;1.80599;1.83355;34162.071512704
2013-10-14;1.86102;1.86102;1.81521;1.86102;2708.9701809519
2013-10-15;1.86102;1.86102;1.86102;1.86102;4919.0857131971
2013-10-16;1.86102;1.96193;1.84277;1.92525;42604.71284588
2013-10-17;1.98026;2.0902;1.98026;2.05353;225543.34250159
2013-10-18;2.02606;2.08108;1.9986;1.9986;120106.09750994
2013-10-21;2.01685;2.01685;1.92525;1.97104;30764.808208853
2013-10-22;1.97104;1.97104;1.92525;1.93437;54401.467608231
2013-10-23;1.93437;1.93437;1.90681;1.93437;7755.4006462451
2013-10-24;1.93437;1.93437;1.92525;1.92525;10047.606183974
2013-10-25;1.92525;1.92525;1.83355;1.83355;94021.472049613
2013-10-28;1.8977;2.00762;1.8977;1.9986;71830.859669903
2013-10-29;2.01685;2.20934;2.01685;2.17267;101290.64727876
2013-10-30;2.15434;2.18189;2.10854;2.10854;26920.259618714
2013-10-31;2.11776;2.18189;2.10854;2.10854;28720.97755951
2013-11-04;2.15434;2.38362;2.15434;2.2828;161814.13491132
2013-11-05;2.2828;2.35606;2.18189;2.29192;62250.535055605
2013-11-06;2.27358;2.27358;2.20023;2.24612;7680.6776925358
2013-11-07;2.26446;2.26446;2.19101;2.24612;18985.944857954
2013-11-08;2.24612;2.25524;2.24612;2.25524;1794.4033249895
2013-11-12;2.25524;2.3286;2.24612;2.3286;341977.4909201
2013-11-13;2.33772;2.47521;2.3286;2.38362;59674.171806587
2013-11-14;2.44775;2.51189;2.40195;2.51189;57072.550094344
2013-11-15;2.51189;2.51189;2.41108;2.51189;63732.364898177
2013-11-18;2.47521;2.51189;2.44775;2.49354;28489.441646608
2013-11-19;2.48443;2.49354;2.33772;2.41108;27712.743902419
2013-11-20;2.41108;2.50276;2.38362;2.47521;26456.135356943
2013-11-21;2.46608;2.49354;2.42029;2.48443;11743.080527996
2013-11-22;2.48443;2.49354;2.46608;2.47521;18582.861882311
2013-11-25;2.49354;2.49354;2.40195;2.40195;9108.8333007533
2013-11-26;2.40195;2.46608;2.38362;2.44775;14770.938807172
2013-11-27;2.45687;2.45687;2.29192;2.42029;26936.046158229
2013-11-28;2.42951;2.42951;2.33772;2.33772;7021.8527767332
2013-11-29;2.33772;2.35606;2.20023;2.33772;27867.451989676
2013-12-02;2.35606;2.35606;2.24612;2.33772;9503.4967886542
2013-12-03;2.35606;2.35606;2.2369;2.29192;36131.179208337
2013-12-04;2.29192;2.33772;2.29192;2.33772;6987.1223897979
2013-12-05;2.3286;2.34694;2.13609;2.27358;20898.22101133
2013-12-06;2.20023;2.2828;2.20023;2.2828;1362.9045782179
2013-12-09;2.34694;2.34694;2.29192;2.29192;3266.7612438519
2013-12-10;2.29192;2.34694;2.24612;2.31017;14913.017662816
2013-12-11;2.34694;2.35606;2.24612;2.35606;15831.794262649
2013-12-12;2.35606;2.35606;2.26446;2.26446;7142.8829130228
2013-12-13;2.26446;2.26446;2.18189;2.19101;16918.960617321
2013-12-16;2.24612;2.42029;2.18189;2.30104;21625.454265035
2013-12-17;2.30104;2.42029;2.18189;2.18189;19354.297446661
2013-12-18;2.17267;2.37439;2.17267;2.36528;7039.7441881847
2013-12-19;2.36528;2.36528;2.20023;2.20023;17787.220290703
2013-12-20;2.24612;2.29192;2.14531;2.29192;13853.214643306
2013-12-23;2.29192;2.38362;2.29192;2.29192;2803.6894180482
2013-12-27;2.2828;2.29192;2.2828;2.2828;1657.5866491839
2013-12-30;2.40195;2.40195;2.33772;2.33772;546.21426725488
2014-01-02;2.33772;2.40195;2.29192;2.31939;9951.8345109097
2014-01-03;2.31939;2.31939;2.29192;2.31939;1635.4854938614
