Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2010-10-27;1.85367;1.85367;1.7363;1.78762;358915
2010-10-28;1.79012;1.79012;1.63855;1.64084;181276
2010-10-29;1.6414;1.66408;1.4929;1.66158;432219
2010-11-02;1.66286;1.66286;1.63355;1.66051;96071.5
2010-11-03;1.61892;1.65073;1.57;1.57;14523.9
2010-11-04;1.65073;1.65073;1.58946;1.64828;5523.49
2010-11-05;1.58946;1.64828;1.5675;1.62616;9608.72
2010-11-08;1.60415;1.62872;1.58946;1.62872;23769.6
2010-11-09;1.62872;1.63855;1.55283;1.61159;23173.1
2010-11-10;1.58946;1.61398;1.5651;1.61159;8592.32
2010-11-12;1.5675;1.61159;1.5651;1.61159;5272.33
2010-11-15;1.5675;1.61159;1.5675;1.60175;1063.49
2010-11-16;1.57;1.57485;1.54065;1.5651;17172.8
2010-11-17;1.5651;1.5651;1.51619;1.51619;10874.3
2010-11-18;1.50401;1.50401;1.43551;1.49911;88479.9
2010-11-19;1.49911;1.54065;1.49911;1.54065;43940.7
2010-11-22;1.48688;1.5382;1.47709;1.47709;15336.2
2010-11-23;1.51619;1.51619;1.45263;1.51373;21556.3
2010-11-24;1.51619;1.52357;1.49177;1.52357;57267.7
2010-11-25;1.49177;1.51134;1.45508;1.46485;26395
2010-11-26;1.46485;1.49177;1.44769;1.48438;34434
2010-11-29;1.48189;1.48189;1.48189;1.48189;6343.68
2010-11-30;1.46485;1.47948;1.43061;1.47948;22916.1
2010-12-01;1.47948;1.47948;1.47948;1.47948;11423.7
2010-12-02;1.46726;1.46726;1.46485;1.46485;2576.32
2010-12-03;1.46726;1.46726;1.36945;1.46726;58552.9
2010-12-06;1.46726;1.46726;1.42077;1.44284;20222
2010-12-07;1.46726;1.46726;1.4453;1.46726;12259.6
2010-12-08;1.43551;1.50645;1.42332;1.50645;52572.2
2010-12-09;1.50156;1.5651;1.50156;1.5651;22107.7
2010-12-10;1.5651;1.5651;1.51373;1.51619;18885.8
2010-12-13;1.49177;1.51619;1.4722;1.51619;16348.7
2010-12-14;1.51619;1.58218;1.50401;1.58218;18442.3
2010-12-15;1.54309;1.57734;1.51619;1.57734;25296.2
2010-12-16;1.58713;1.62381;1.5724;1.62381;6710.6
2010-12-17;1.59197;1.63604;1.57734;1.63604;20300.5
2010-12-20;1.55527;1.5651;1.49177;1.54309;23673.5
2010-12-21;1.52847;1.52847;1.48438;1.49177;11048.9
2010-12-22;1.47948;1.5651;1.47948;1.54065;16368.3
2010-12-23;1.5651;1.57734;1.5651;1.57734;3474.99
2010-12-27;1.53331;1.57;1.51863;1.5675;22812.1
2010-12-28;1.5651;1.5675;1.49661;1.50645;22920
2010-12-29;1.56022;1.61159;1.50645;1.58468;36678.7
2010-12-30;1.5651;1.61398;1.5651;1.61398;36270.6
2010-12-31;1.60109;1.61627;1.56847;1.61373;34330
2011-01-03;1.5675;1.5675;1.54065;1.54065;5900.23
2011-01-04;1.54065;1.54065;1.54065;1.54065;6987.27
2011-01-05;1.54065;1.54065;1.53086;1.54065;55933.4
2011-01-07;1.5651;1.5651;1.55283;1.55283;1018.36
2011-01-10;1.55283;1.55283;1.53331;1.53331;3783.05
2011-01-12;1.5724;1.57734;1.54309;1.57734;7375.77
2011-01-13;1.58713;1.59691;1.57734;1.58713;10042.3
2011-01-14;1.58946;1.59691;1.55283;1.57734;19764.8
2011-01-17;1.55283;1.58468;1.55283;1.58468;543.519
2011-01-18;1.58218;1.59451;1.58218;1.59451;696.568
2011-01-19;1.59451;1.59691;1.54309;1.54309;1811.07
2011-01-20;1.59451;1.59451;1.52847;1.57485;5892.38
2011-01-21;1.5724;1.59197;1.54065;1.59197;13633.1
2011-01-24;1.58946;1.58946;1.5651;1.58946;3977.3
2011-01-25;1.58946;1.58946;1.55283;1.58946;1699.23
2011-01-26;1.58218;1.58218;1.55283;1.55283;1149.82
2011-01-27;1.55283;1.57485;1.55283;1.57485;18336.4
2011-01-28;1.57485;1.57485;1.54309;1.56266;2894.19
2011-01-31;1.56337;1.57846;1.54074;1.56337;4485.51
2011-02-01;1.53086;1.57734;1.52847;1.57734;8476.55
2011-02-02;1.53086;1.57485;1.53086;1.57485;13146.5
2011-02-03;1.5651;1.5651;1.54309;1.5651;2331.05
2011-02-04;1.5651;1.5651;1.54065;1.5651;1351.93
2011-02-07;1.56266;1.60175;1.56266;1.60175;15153.8
2011-02-08;1.58946;1.58946;1.56266;1.57734;1569.73
2011-02-09;1.58713;1.58713;1.5675;1.57734;1771.83
2011-02-10;1.57734;1.57734;1.55778;1.57485;2387.95
2011-02-11;1.5651;1.57485;1.5651;1.57485;451.298
2011-02-14;1.57734;1.57734;1.55778;1.5724;1306.8
2011-02-15;1.5724;1.5724;1.5724;1.5724;39.2433
2011-02-16;1.5651;1.57734;1.5651;1.5651;2725.44
2011-02-17;1.5651;1.5651;1.54065;1.54065;13886.2
2011-02-18;1.54065;1.5651;1.54065;1.56266;15173.4
2011-02-21;1.55283;1.57734;1.55283;1.5724;2794.12
2011-02-22;1.55283;1.5675;1.54065;1.55283;19578.4
2011-02-23;1.5651;1.5651;1.54309;1.5651;1510.86
2011-02-24;1.54309;1.56022;1.54309;1.56022;27996.1
2011-02-25;1.54065;1.55283;1.54065;1.55283;5395.95
2011-02-28;1.55333;1.57846;1.55333;1.57846;18848.5
2011-03-01;1.58468;1.58468;1.55283;1.58468;6541.85
2011-03-02;1.5651;1.5651;1.5651;1.5651;3143.38
2011-03-03;1.5651;1.5651;1.55283;1.5651;4995.67
2011-03-04;1.5651;1.5651;1.5651;1.5651;19943.4
2011-03-07;1.57734;1.57734;1.57734;1.57734;1357.81
2011-03-08;1.57734;1.57734;1.57734;1.57734;1228.31
2011-03-09;1.57734;1.57984;1.57485;1.57734;6271.08
2011-03-10;1.58468;1.58468;1.54803;1.54803;6239.68
2011-03-11;1.58468;1.58468;1.54803;1.54803;8294.07
2011-03-14;1.5675;1.5675;1.54803;1.54803;1228.31
2011-03-15;1.5651;1.5651;1.54554;1.56266;37463.6
2011-03-16;1.54554;1.56266;1.54554;1.56266;5160.49
2011-03-17;1.56022;1.56022;1.56022;1.56022;202.103
2011-03-18;1.55778;1.55778;1.55778;1.55778;125.578
2011-03-21;1.55283;1.55283;1.55283;1.55283;2719.56
2011-03-22;1.56022;1.59197;1.54554;1.58946;42143.3
2011-03-23;1.59451;1.66286;1.59451;1.65073;63905.7
2011-03-24;1.64828;1.71429;1.64828;1.69471;78204
2011-03-25;1.71183;1.71183;1.65556;1.68253;13770.4
2011-03-28;1.68004;1.68004;1.63116;1.66286;17484.8
2011-03-29;1.66286;1.66286;1.63855;1.66286;5652.99
2011-03-30;1.67024;1.67024;1.61892;1.61892;7165.82
2011-03-31;1.66158;1.66158;1.61877;1.61877;6981.38
2011-04-01;1.59691;1.61398;1.58946;1.61398;6155.31
2011-04-04;1.61398;1.62616;1.61398;1.62616;2348.71
2011-04-05;1.62381;1.62381;1.62381;1.62381;202.103
2011-04-06;1.61398;1.61892;1.59691;1.61648;7426.79
2011-04-07;1.61648;1.61648;1.61159;1.61159;1654.1
2011-04-08;1.61159;1.61159;1.61159;1.61159;202.103
2011-04-11;1.59691;1.59691;1.57734;1.57734;1569.73
2011-04-12;1.57734;1.57734;1.55283;1.55283;13988.2
2011-04-13;1.55527;1.57485;1.54065;1.57485;11304
2011-04-14;1.5651;1.59935;1.5651;1.59935;4373.66
2011-04-15;1.60175;1.60175;1.60175;1.60175;1100.77
2011-04-18;1.59935;1.59935;1.5382;1.59935;7205.07
2011-04-19;1.5724;1.57984;1.53331;1.57734;18489.4
2011-04-20;1.57734;1.57734;1.54065;1.57485;1781.64
2011-04-21;1.57734;1.57734;1.57734;1.57734;100.07
2011-04-26;1.57;1.57;1.57;1.57;78.4866
2011-04-27;1.57;1.57;1.52847;1.55778;5411.65
2011-04-28;1.55283;1.55283;1.52847;1.54065;6946.06
