Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1993-04-22;1.27923;1.27923;1.27923;1.27923;60803.25471914
1993-04-29;1.40277;1.40277;1.40277;1.40277;41473.603775058
1993-05-06;1.53611;1.53611;1.53611;1.53611;75172.547172481
1993-05-13;1.65964;1.65964;1.65964;1.65964;149677.85849588
1993-05-20;1.79516;1.79516;1.79516;1.79516;52297.764152801
1993-05-27;1.61605;1.61605;1.61605;1.61605;45792.971699739
1993-06-03;1.45854;1.45854;1.45854;1.45854;21779.547170585
1993-06-09;1.31311;1.31311;1.31311;1.31311;13036.839623104
1993-06-17;1.43675;1.43675;1.43675;1.43675;56246.669813318
1993-06-24;1.30103;1.30103;1.30103;1.30103;24139.603774442
1993-07-01;1.34471;1.34471;1.34471;1.34471;102679.62264516
1993-07-08;1.48033;1.48033;1.48033;1.48033;138878.9339672
1993-07-15;1.62566;1.62566;1.62566;1.62566;186871.46227079
1993-07-22;1.78328;1.78328;1.78328;1.78328;0
1993-07-29;1.9503;1.9503;1.9503;1.9503;0
1993-08-05;3.11799;3.11799;3.11799;3.11799;97030.830192125
1993-08-12;3.40864;3.40864;3.40864;3.40864;303856.78302966
1993-08-19;3.74576;3.74576;3.74576;3.74576;588661.50945487
1993-08-26;4.10438;4.10438;4.10438;4.10438;482197.51888505
1993-09-02;4.50886;4.50886;4.50886;4.50886;0
1993-09-07;4.95694;4.95694;4.95694;4.95694;0
1993-09-09;5.45137;5.45137;5.45137;5.45137;127439.01887245
1993-09-14;5.9892;5.9892;5.9892;5.9892;0
1993-09-16;8.97146;8.97146;8.97146;8.97146;274186.49057578
1993-09-21;8.07492;8.07492;8.07492;8.07492;164661.89623226
1993-09-23;7.26793;7.26793;7.26793;7.26793;111486.93396622
1993-09-28;6.54832;6.54832;6.54832;6.54832;450757.68869525
1993-09-30;7.17878;7.17878;7.17878;7.17878;248158.23585787
1993-10-05;7.46953;7.46953;7.46953;7.46953;188034.33019536
1993-10-07;7.37928;7.37928;7.37928;7.37928;114605.07547577
1993-10-12;8.09731;8.09731;8.09731;8.09731;197875.30189382
1993-10-14;8.47941;8.47941;8.47941;8.47941;137687.80189168
1993-10-19;8.97146;8.97146;8.97146;8.97146;200925.81132789
1993-10-21;8.61324;8.61324;8.61324;8.61324;141333.87736351
1993-10-26;7.76069;7.76069;7.76069;7.76069;88640.415097488
1993-10-28;8.52339;8.52339;8.52339;8.52339;177449.40566668
1993-11-02;8.86011;8.86011;8.86011;8.86011;85824.094342671
1993-11-04;8.97146;8.97146;8.97146;8.97146;178524.45283653
1993-11-09;8.74857;8.74857;8.74857;8.74857;315529.8773697
1993-11-10;8.97146;8.97146;8.97146;8.97146;161297.45283592
1993-11-16;9.86989;9.86989;9.86989;9.86989;294443.81133121
1993-11-18;9.19704;9.19704;9.19704;9.19704;111145.74528697
1993-11-23;9.08529;9.08529;9.08529;9.08529;65383.056606096
1993-11-25;8.18637;8.18637;8.18637;8.18637;101715.61321116
1993-11-30;8.99544;8.99544;8.99544;8.99544;249794.52831076
1993-12-02;9.19704;9.19704;9.19704;9.19704;95389.490569425
1993-12-07;9.75695;9.75695;9.75695;9.75695;183680.64151596
1993-12-09;9.64501;9.64501;9.64501;9.64501;77704.207549929
1993-12-14;9.96103;9.96103;9.96103;9.96103;154910.76415644
1993-12-16;10.7456;10.7456;10.7456;10.7456;227603.13208355
1993-12-21;11.1468;11.1468;11.1468;11.1468;193643.75472386
1993-12-23;12.2257;12.2257;12.2257;12.2257;295807.55661428
1993-12-28;12.6744;12.6744;12.6744;12.6744;174364.57547789
1993-12-30;12.5615;12.5615;12.5615;12.5615;87993.367927653
1994-01-03;13.0103;13.0103;13.0103;13.0103;48298.386794168
1994-01-04;12.3366;12.3366;12.3366;12.3366;44487.773586486
1994-01-06;12.3366;12.3366;12.3366;12.3366;90806.660380583
1994-01-10;13.57;13.57;13.57;13.57;270750.37736811
1994-01-11;14.9163;14.9163;14.9163;14.9163;121852.81132508
1994-01-13;16.3755;16.3755;16.3755;16.3755;0
1994-01-17;17.9447;17.9447;17.9447;17.9447;0
1994-01-18;19.7378;19.7378;19.7378;19.7378;288317.55661401
1994-01-20;21.6448;21.6448;21.6448;21.6448;209642.27359235
1994-01-24;23.7767;23.7767;23.7767;23.7767;280984.0188779
1994-01-25;26.1325;26.1325;26.1325;26.1325;170393.4622702
1994-01-27;28.7121;28.7121;28.7121;28.7121;287524.14151965
1994-01-31;25.9066;25.9066;25.9066;25.9066;164950.59434548
1994-02-01;23.3289;23.3289;23.3289;23.3289;134834.13208026
1994-02-03;15.7019;15.7019;15.7019;15.7019;345553.47171039
1994-02-07;17.1601;17.1601;17.1601;17.1601;180940.02830831
1994-02-08;18.3935;18.3935;18.3935;18.3935;143470.8490617
1994-02-10;16.5974;16.5974;16.5974;16.5974;163359.7264209
1994-02-14;17.9447;17.9447;17.9447;17.9447;153742.84906206
1994-02-15;18.3935;18.3935;18.3935;18.3935;145444.292458
1994-02-17;17.9447;17.9447;17.9447;17.9447;74356.924530943
1994-02-21;16.2616;16.2616;16.2616;16.2616;97448.735852517
1994-02-22;16.7104;16.7104;16.7104;16.7104;83399.433965226
1994-02-24;16.8233;16.8233;16.8233;16.8233;75197.783021538
1994-02-28;16.8233;16.8233;16.8233;16.8233;76456.547172527
1994-03-01;16.8233;16.8233;16.8233;16.8233;60785.084907819
1994-03-03;16.8233;16.8233;16.8233;16.8233;64352.424530587
1994-03-07;15.477;15.477;15.477;15.477;43991.132077034
1994-03-08;15.9248;15.9248;15.9248;15.9248;40428.839624077
1994-03-10;15.2531;15.2531;15.2531;15.2531;59429.41509645
1994-03-14;15.477;15.477;15.477;15.477;62013.566039938
1994-03-15;15.8128;15.8128;15.8128;15.8128;66519.679247645
1994-03-17;16.3755;16.3755;16.3755;16.3755;89380.330191853
1994-03-21;17.0462;17.0462;17.0462;17.0462;129445.7735895
1994-03-22;15.365;15.365;15.365;15.365;64121.264153221
1994-03-24;16.8233;16.8233;16.8233;16.8233;70936.96226667
1994-03-28;16.8233;16.8233;16.8233;16.8233;70781.509436476
1994-03-29;15.1402;15.1402;15.1402;15.1402;21786.613208321
1994-03-31;13.6839;13.6839;13.6839;13.6839;0
1994-04-05;12.3366;12.3366;12.3366;12.3366;77291.349059349
1994-04-07;11.1033;11.1033;11.1033;11.1033;30156.839623712
1994-04-08;11.1033;11.1033;11.1033;11.1033;71112.60377611
1994-04-11;10.0026;10.0026;10.0026;10.0026;0
1994-04-12;9.01733;9.01733;9.01733;9.01733;0
1994-04-14;7.22236;7.22236;7.22236;7.22236;23478.424529136
1994-04-18;8.00716;8.00716;8.00716;8.00716;55164.556605733
1994-04-19;8.74857;8.74857;8.74857;8.74857;55381.584907627
1994-04-21;10.0938;10.0938;10.0938;10.0938;93265.641512746
1994-04-25;10.7664;10.7664;10.7664;10.7664;85142.726418118
1994-04-26;9.69157;9.69157;9.69157;9.69157;0
1994-04-28;8.72697;8.72697;8.72697;8.72697;0
1994-05-05;8.07492;8.07492;8.07492;8.07492;42217.556605273
1994-05-06;8.88201;8.88201;8.88201;8.88201;84124.207550157
1994-05-09;8.63524;8.63524;8.63524;8.63524;29192.830189716
1994-05-10;8.41164;8.41164;8.41164;8.41164;18146.594340267
1994-05-12;7.85014;7.85014;7.85014;7.85014;35894.462265426
1994-05-16;8.63524;8.63524;8.63524;8.63524;0
1994-05-17;9.39784;9.39784;9.39784;9.39784;117607.13207965
1994-05-19;9.30809;9.30809;9.30809;9.30809;54550.820756654
1994-05-23;9.57764;9.57764;9.57764;9.57764;82082.122644424
1994-05-24;10.0938;10.0938;10.0938;10.0938;73265.726417696
1994-05-26;10.0938;10.0938;10.0938;10.0938;91687.896229671
1994-05-30;10.0492;10.0492;10.0492;10.0492;44154.660378927
1994-05-31;9.86989;9.86989;9.86989;9.86989;39834.283020283
1994-06-01;8.88201;8.88201;8.88201;8.88201;38234.330190037
1994-06-06;8.45513;8.45513;8.45513;8.45513;32279.679246429
1994-06-07;8.47941;8.47941;8.47941;8.47941;29787.386793511
1994-06-09;7.64844;7.64844;7.64844;7.64844;59140.716983232
1994-06-13;6.88534;6.88534;6.88534;6.88534;0
1994-06-14;6.21437;6.21437;6.21437;6.21437;87737.981135191
1994-06-16;6.43767;6.43767;6.43767;6.43767;69215.877360949
1994-06-20;5.81029;5.81029;5.81029;5.81029;38087.962265504
1994-06-21;5.24809;5.24809;5.24809;5.24809;0
1994-06-23;4.73414;4.73414;4.73414;4.73414;199966.84906371
1994-06-27;4.50886;4.50886;4.50886;4.50886;33658.566038931
1994-06-28;4.95694;4.95694;4.95694;4.95694;209836.08491311
1994-06-30;4.50886;4.50886;4.50886;4.50886;51515.452832018
1994-07-04;4.30806;4.30806;4.30806;4.30806;53753.367926437
1994-07-05;4.73414;4.73414;4.73414;4.73414;39263.952831583
1994-07-06;5.2041;5.2041;5.2041;5.2041;37637.754718318
1994-07-07;5.72014;5.72014;5.72014;5.72014;153119.01887336
1994-07-11;6.05706;6.05706;6.05706;6.05706;116250.45283432
1994-07-12;6.66324;6.66324;6.66324;6.66324;86162.254720041
1994-07-13;6.66324;6.66324;6.66324;6.66324;0
1994-07-14;6.66324;6.66324;6.66324;6.66324;0
1994-07-18;6.01079;6.01079;6.01079;6.01079;176316.82076098
1994-07-19;6.59459;6.59459;6.59459;6.59459;0
1994-07-20;7.24396;7.24396;7.24396;7.24396;246749.0660465
1994-07-21;7.82775;7.82775;7.82775;7.82775;139892.40566535
1994-07-25;7.06505;7.06505;7.06505;7.06505;67268.679247672
1994-07-26;6.36981;6.36981;6.36981;6.36981;195203.33019561
1994-07-27;6.50513;6.50513;6.50513;6.50513;81376.528304777
1994-07-28;6.05706;6.05706;6.05706;6.05706;66272.367926882
1994-08-01;6.32582;6.32582;6.32582;6.32582;66259.245285372
1994-08-02;6.9536;6.9536;6.9536;6.9536;142643.11321261
1994-08-03;7.06505;7.06505;7.06505;7.06505;105212.29245657
1994-08-04;7.7383;7.7383;7.7383;7.7383;162105.00000576
1994-08-08;8.07492;8.07492;8.07492;8.07492;163946.20755299
1994-08-09;8.07492;8.07492;8.07492;8.07492;89521.650946575
1994-08-10;7.85014;7.85014;7.85014;7.85014;85613.12264455
1994-08-11;8.07492;8.07492;8.07492;8.07492;111953.29245681
1994-08-16;8.07492;8.07492;8.07492;8.07492;79536.330191504
1994-08-17;8.41164;8.41164;8.41164;8.41164;75290.65094607
1994-08-18;7.85014;7.85014;7.85014;7.85014;47940.037737552
1994-08-22;7.85014;7.85014;7.85014;7.85014;69695.358493041
1994-08-23;7.28953;7.28953;7.28953;7.28953;46118.0094356
1994-08-24;6.99917;6.99917;6.99917;6.99917;95246.150946779
1994-08-25;6.79549;6.79549;6.79549;6.79549;63866.886794721
1994-08-29;7.17878;7.17878;7.17878;7.17878;87166.64151253
1994-08-30;7.17878;7.17878;7.17878;7.17878;35899.509435237
1994-08-31;6.84225;6.84225;6.84225;6.84225;66310.726417449
1994-09-01;6.16821;6.16821;6.16821;6.16821;63611.500002259
1994-09-05;6.32582;6.32582;6.32582;6.32582;81075.716984011
1994-09-06;5.69775;5.69775;5.69775;5.69775;40377.358492
1994-09-07;5.13624;5.13624;5.13624;5.13624;143428.45283528
1994-09-08;5.63019;5.63019;5.63019;5.63019;92665.028305178
1994-09-12;6.1901;6.1901;6.1901;6.1901;224687.88680043
1994-09-13;5.72014;5.72014;5.72014;5.72014;74923.216983793
1994-09-14;6.27996;6.27996;6.27996;6.27996;106642.66038115
1994-09-15;6.07905;6.07905;6.07905;6.07905;48164.132077182
1994-09-19;5.65218;5.65218;5.65218;5.65218;40364.23585049
1994-09-20;5.49486;5.49486;5.49486;5.49486;41467.547171284
1994-09-21;4.95694;4.95694;4.95694;4.95694;151038.57547706
1994-09-22;5.33745;5.33745;5.33745;5.33745;83502.396229381
1994-09-26;5.13624;5.13624;5.13624;5.13624;52949.858492446
1994-09-27;4.93534;4.93534;4.93534;4.93534;55127.207549128
1994-09-28;4.93534;4.93534;4.93534;4.93534;68719.235851497
1994-09-29;5.42978;5.42978;5.42978;5.42978;124162.39623082
1994-10-03;5.60859;5.60859;5.60859;5.60859;112014.86792851
1994-10-04;5.83188;5.83188;5.83188;5.83188;117440.57547587
1994-10-05;6.05706;6.05706;6.05706;6.05706;98426.877361986
1994-10-06;5.89935;5.89935;5.89935;5.89935;68214.518870347
1994-10-07;5.81029;5.81029;5.81029;5.81029;76509.037738566
1994-10-10;5.38302;5.38302;5.38302;5.38302;41473.603775058
1994-10-11;5.18251;5.18251;5.18251;5.18251;66743.773587276
1994-10-12;5.38302;5.38302;5.38302;5.38302;66098.745285366
1994-10-13;5.0245;5.0245;5.0245;5.0245;51390.283020693
1994-10-14;5.18251;5.18251;5.18251;5.18251;45642.566039357
1994-10-17;5.15824;5.15824;5.15824;5.15824;54087.490567959
1994-10-18;5.49486;5.49486;5.49486;5.49486;54107.679247205
1994-10-19;5.27206;5.27206;5.27206;5.27206;31208.669812429
1994-10-20;5.15824;5.15824;5.15824;5.15824;81677.339625542
1994-10-21;4.97893;4.97893;4.97893;4.97893;33477.877359679
1994-10-24;4.48727;4.48727;4.48727;4.48727;65466.839624966
1994-10-25;4.39781;4.39781;4.39781;4.39781;85054.905663398
1994-10-26;4.39781;4.39781;4.39781;4.39781;88431.462267291
1994-10-27;4.08239;4.08239;4.08239;4.08239;64425.103775873
1994-10-28;4.10438;4.10438;4.10438;4.10438;77784.962266913
1994-11-02;4.17194;4.17194;4.17194;4.17194;27383.924529274
1994-11-03;4.37354;4.37354;4.37354;4.37354;91881.707550433
1994-11-04;3.94667;3.94667;3.94667;3.94667;66646.867926895
1994-11-07;3.94667;3.94667;3.94667;3.94667;41261.622642975
1994-11-08;3.92467;3.92467;3.92467;3.92467;65283.122643828
1994-11-09;3.90268;3.90268;3.90268;3.90268;60787.103775744
1994-11-10;3.70188;3.70188;3.70188;3.70188;40093.707548594
1994-11-14;3.34128;3.34128;3.34128;3.34128;70151.622644001
1994-11-15;3.02853;3.02853;3.02853;3.02853;48010.698114913
1994-11-16;3.02853;3.02853;3.02853;3.02853;226739.05661183
1994-11-17;3.25153;3.25153;3.25153;3.25153;172152.90566649
1994-11-18;2.93878;2.93878;2.93878;2.93878;94795.943399593
1994-11-21;2.64564;2.64564;2.64564;2.64564;58111.094341686
1994-11-22;2.40095;2.40095;2.40095;2.40095;95909.34906001
1994-11-23;2.4905;2.4905;2.4905;2.4905;76245.575474406
1994-11-24;2.69171;2.69171;2.69171;2.69171;148202.066043
1994-11-25;2.87092;2.87092;2.87092;2.87092;46738.811322415
1994-11-28;3.13998;3.13998;3.13998;3.13998;64727.933964563
1994-11-29;3.4551;3.4551;3.4551;3.4551;90465.471701326
1994-11-30;3.79123;3.79123;3.79123;3.79123;153667.14151489
1994-12-01;4.15035;4.15035;4.15035;4.15035;229522.06604589
1994-12-02;4.06039;4.06039;4.06039;4.06039;186262.77359152
1994-12-05;3.92467;3.92467;3.92467;3.92467;175056.03774207
1994-12-06;3.92467;3.92467;3.92467;3.92467;211738.86793205
1994-12-07;3.54486;3.54486;3.54486;3.54486;92827.547173108
1994-12-08;3.20774;3.20774;3.20774;3.20774;0
1994-12-09;2.89281;2.89281;2.89281;2.89281;128611.98113664
1994-12-12;3.16187;3.16187;3.16187;3.16187;206070.89623373
1994-12-13;2.84922;2.84922;2.84922;2.84922;123012.65094776
1994-12-14;3.00664;3.00664;3.00664;3.00664;78177.632078248
1994-12-15;3.00664;3.00664;3.00664;3.00664;87513.886795561
1994-12-16;3.25153;3.25153;3.25153;3.25153;179905.35849696
1994-12-19;3.56655;3.56655;3.56655;3.56655;247225.5188767
1994-12-20;3.29739;3.29739;3.29739;3.29739;94923.132078843
1994-12-21;3.40864;3.40864;3.40864;3.40864;68936.264153392
1994-12-22;3.4767;3.4767;3.4767;3.4767;134922.96226894
1994-12-23;3.65601;3.65601;3.65601;3.65601;64928.811323061
1994-12-27;3.70188;3.70188;3.70188;3.70188;75249.264153616
1994-12-28;3.49869;3.49869;3.49869;3.49869;53271.86792642
1994-12-29;3.52287;3.52287;3.52287;3.52287;43634.801888342
1995-01-02;3.76696;3.76696;3.76696;3.76696;95397.566041124
1995-01-03;4.10438;4.10438;4.10438;4.10438;253475.93397127
1995-01-04;3.99214;3.99214;3.99214;3.99214;102810.84906025
1995-01-05;3.99214;3.99214;3.99214;3.99214;104939.74528675
1995-01-06;3.79123;3.79123;3.79123;3.79123;114490.00000407
1995-01-09;3.90268;3.90268;3.90268;3.90268;99788.603777129
