Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-04-11;9.80243;12.5709;9.80243;12.1519;1877073.8467974
2007-04-12;11.9089;11.9089;10.5589;11.0763;343089.59941497
2007-04-13;11.0928;11.9529;10.5785;11.6148;235369.98063379
2007-04-16;11.7147;11.9128;11.3554;11.5551;90028.556556474
2007-04-17;11.5551;11.5551;11.3153;11.5551;185038.84501332
2007-04-18;11.2358;11.7217;10.9009;11.5551;165471.8434082
2007-04-19;11.5504;11.794;11.2083;11.794;118413.10916116
2007-04-20;11.7147;14.1451;11.6785;14.1451;102515.31780178
2007-04-23;14.6632;15.738;14.064;14.7426;149113.65201106
2007-04-24;15.6594;15.6594;14.1835;14.7301;211956.985343
2007-04-25;15.4597;15.4597;13.9454;14.7426;83710.138358605
2007-04-26;14.7426;14.7575;14.1765;14.539;40639.842007791
2007-04-27;14.4045;14.4045;13.2282;14.0774;37914.324657141
2007-04-30;13.9454;13.9454;13.6025;13.9131;8146.0282925427
2007-05-02;13.9248;14.5437;13.8297;14.5437;218162.2112664
2007-05-04;14.9423;14.9423;14.5437;14.6027;27837.668581916
2007-05-07;14.583;14.583;13.9854;14.1451;72895.824764305
2007-05-08;13.906;14.344;13.586;13.9375;171546.07153079
2007-05-09;13.586;14.2645;13.586;14.2645;49955.947744385
2007-05-10;14.2645;14.2645;12.9499;13.3682;50900.912462785
2007-05-11;12.6102;13.5074;12.5512;13.5074;35204.069186195
2007-05-14;13.8895;14.0884;13.1889;14.0884;21596.831605881
2007-05-15;14.1057;14.1057;13.3879;13.4469;42022.313944403
2007-05-16;13.4516;14.7426;13.4469;14.6231;341424.78270382
2007-05-17;14.6106;14.7426;14.1482;14.5437;65104.635174904
2007-05-18;14.5186;15.1405;13.9854;15.1405;85475.42911115
2007-05-21;15.304;15.4833;14.962;15.3992;35893.397419538
2007-05-22;15.7106;16.3207;15.1484;15.6783;38354.375521969
2007-05-23;15.738;16.0368;14.826;15.3323;46880.678983827
2007-05-24;15.341;15.4959;14.9423;15.3323;19987.975120313
2007-05-25;14.8621;15.738;14.8621;15.5312;41605.155899132
2007-05-28;14.962;15.6987;14.962;15.6987;32119.897662477
2007-05-29;15.7192;16.3317;15.5391;16.0172;64127.874873784
2007-05-30;15.738;16.058;15.5391;16.0368;40412.185635526
2007-05-31;15.9385;16.1367;15.738;15.8977;90917.561049291
2007-06-01;15.738;15.9385;15.5391;15.9385;31814.660068377
2007-06-04;15.9739;16.0927;15.6232;16.0455;16681.234517563
2007-06-05;16.0455;16.0455;15.738;15.933;6487.5706979329
2007-06-06;15.9299;15.9385;15.1805;15.7781;74592.437058177
2007-06-08;15.1405;15.9385;15.1405;15.9385;64434.384291192
2007-06-11;15.9385;15.9385;15.58;15.8544;14895.594592077
2007-06-12;15.8497;15.8977;15.5988;15.7781;23653.369896129
2007-06-13;15.7585;17.1337;15.7585;17.0928;284898.59574644
2007-06-14;17.3326;19.7229;17.3326;19.0852;275376.45463382
2007-06-15;19.524;20.5005;19.4838;19.9218;347919.9843416
2007-06-18;20.48;20.48;19.5633;20.1223;134544.91600934
2007-06-19;19.568;20.1018;19.5318;19.9218;251106.25043294
2007-06-20;20.002;22.6706;19.524;21.117;1523813.4763824
2007-06-21;21.437;21.7152;20.3401;20.5201;72431.609256612
2007-06-22;20.7191;21.8348;20.5996;21.5156;83679.614599195
2007-06-25;20.7993;21.4967;20.3613;21.4967;103431.03058408
2007-06-26;21.117;21.2765;20.5201;21.2765;30134.581477517
2007-06-27;21.2765;22.2924;21.1578;21.775;121174.23756445
2007-06-28;22.114;22.2924;22.114;22.2728;29508.844409614
2007-06-29;22.2728;22.2728;21.4763;21.4763;23552.895854739
2007-07-02;21.5564;21.915;19.524;21.915;85526.3020435
2007-07-03;22.6518;22.6518;21.1578;21.2365;35371.94986295
2007-07-04;21.1578;21.437;20.4203;21.437;37693.027401418
2007-07-05;21.3175;21.7152;20.9188;21.3175;29379.118432121
2007-07-06;21.3175;21.8143;20.7191;21.8143;31785.408132275
2007-07-09;21.3175;21.915;21.0186;21.7152;29298.99356367
2007-07-10;21.5156;21.5156;20.7191;20.7191;21715.111173594
2007-07-11;20.5201;20.6986;19.9218;20.4588;26844.374577783
2007-07-12;20.7191;20.7191;19.524;20.3196;34476.586253591
2007-07-13;20.48;20.7191;19.9627;20.0413;10898.253932677
2007-07-16;19.8833;21.4967;19.4052;21.4967;65722.741302956
2007-07-17;20.3196;21.437;20.3196;21.3175;11961.498218793
2007-07-18;20.6798;21.0375;20.3196;20.7191;11468.030774998
2007-07-19;20.7584;20.9589;20.1223;20.3196;102335.99071525
2007-07-20;20.3613;20.8386;20.1616;20.48;35598.334411908
2007-07-23;20.6798;20.9385;20.1223;20.7191;7409.6425967765
2007-07-24;20.2009;21.1578;20.1223;20.8787;41483.060861493
2007-07-25;20.3613;21.0375;19.9218;21.0375;31061.740669597
2007-07-26;20.9974;21.0973;19.7229;19.7229;27096.195592915
2007-07-27;18.6882;19.4437;17.6117;19.4437;102342.34983179
2007-07-30;19.1253;19.6033;18.4208;19.6033;70619.261041643
2007-07-31;19.524;20.3196;19.4838;20.3196;51062.434022996
2007-08-01;19.6033;19.7229;18.9665;19.1253;89215.861462183
2007-08-02;19.1685;19.3242;18.8273;19.1253;32904.612643975
2007-08-03;18.9264;18.9264;18.1291;18.8823;18234.130777546
2007-08-06;18.321;18.468;17.8107;18.468;30920.568282325
2007-08-07;18.3288;18.6465;17.552;17.9294;18810.266736409
2007-08-08;18.1094;18.1888;16.5353;17.4325;41031.563586886
2007-08-09;16.8545;17.1132;15.9385;17.1132;61795.350925537
2007-08-10;15.977;16.7303;14.8409;16.7303;107697.99778493
2007-08-13;16.2971;16.7342;15.8182;16.253;65886.806509786
2007-08-14;16.2475;16.7153;15.639;16.6549;32300.49657232
2007-08-16;15.933;15.933;14.3243;15.5391;79561.450725463
2007-08-17;16.1367;16.1768;14.7819;16.1335;48114.347593315
2007-08-20;16.8137;17.5315;16.3364;16.7342;45214.590449365
2007-08-21;16.7342;16.7342;15.7781;16.7342;21376.806173468
2007-08-22;17.0142;17.8901;16.1367;17.8901;32257.254579821
2007-08-23;18.2887;18.2887;17.3523;17.6503;40601.687308529
2007-08-24;17.1934;17.5315;16.8947;17.5315;29232.858751615
2007-08-27;17.5315;17.5315;17.221;17.4922;26149.959051205
2007-08-28;17.4514;17.7312;17.0142;17.7312;13693.721565309
2007-08-29;17.1337;18.1291;17.1337;18.1291;17518.09425472
2007-08-30;18.0898;18.3288;17.2728;17.7705;54964.387934242
2007-08-31;17.9899;17.9899;17.655;17.9703;8367.3255482651
2007-09-03;18.321;18.321;17.9294;18.1252;6126.3728782479
2007-09-04;18.2093;18.3288;17.8107;18.284;27676.147021704
2007-09-05;17.9703;17.9703;17.5355;17.7658;21815.585214986
2007-09-06;17.7312;17.9223;17.2249;17.8067;13196.438651588
2007-09-07;17.8067;17.8067;17.3326;17.7658;9079.546601165
2007-09-10;17.2123;17.4514;16.1367;17.4514;17801.710852572
2007-09-11;17.1337;17.6912;17.1337;17.6912;20099.895571482
2007-09-12;17.7312;17.8508;17.2123;17.2123;3280.0323132658
2007-09-13;17.1368;17.6912;17.1368;17.6912;3571.2798509695
2007-09-14;17.5158;17.7312;17.3326;17.7273;3854.8964488208
2007-09-17;17.7273;17.7273;17.5355;17.7234;17139.090908713
2007-09-18;17.7234;17.8107;17.4514;17.8107;11668.978857779
2007-09-19;17.8508;17.8508;17.4514;17.8429;18697.074461931
2007-09-20;17.8067;17.9294;17.6503;17.9294;5439.588291523
2007-09-21;17.7312;17.7344;17.4993;17.6864;11428.604252426
2007-09-24;17.3365;17.4073;17.1007;17.1337;11919.528049604
2007-09-25;17.173;17.173;16.794;17.0449;7187.0735177453
2007-09-26;16.8215;17.0449;16.4362;16.7342;12681.350211545
2007-09-27;16.6549;17.173;16.1571;16.4992;12040.351263935
2007-09-28;16.7342;16.7342;15.6594;15.6594;25835.818693944
2007-10-01;15.5439;15.6547;14.8221;15.1405;23466.411869743
2007-10-02;14.8818;14.8818;14.491;14.7426;22418.429463334
2007-10-03;14.7426;15.455;14.4431;15.1405;18167.995965491
2007-10-04;15.4471;15.4471;15.0697;15.1405;20752.340928871
2007-10-05;15.4196;15.5391;15.1609;15.5391;10530.696996449
2007-10-08;15.58;15.738;15.4236;15.5391;9284.3101538737
2007-10-09;15.6186;15.6186;15.3008;15.5156;4535.3219190019
2007-10-10;15.5391;15.9385;15.3803;15.9385;21346.282414056
2007-10-11;15.58;15.9385;15.4597;15.8701;24318.533486605
2007-10-12;15.7066;15.9385;15.4636;15.9385;12928.083933442
2007-10-15;16.2923;16.2923;15.9385;16.1335;4649.7860167894
2007-10-16;15.977;16.3364;15.7781;16.3364;5466.2965810067
2007-10-17;16.3317;16.3317;15.6948;16.0132;14472.077430265
2007-10-18;15.9385;15.9385;15.3599;15.7781;8957.451563525
2007-10-19;15.5391;15.9385;15.4597;15.9385;14601.803407756
2007-10-22;15.5863;15.7341;15.5477;15.7341;3894.322971392
2007-10-23;15.5588;15.5588;14.5114;15.1405;34112.844787287
2007-10-24;15.5202;15.5202;14.5634;15.0807;62185.800681322
2007-10-25;15.0532;15.1609;14.7017;15.0171;16780.436735644
2007-10-26;14.9423;14.9423;14.1922;14.7387;33279.800520057
2007-10-29;14.7426;14.7426;14.2119;14.6231;19512.31320284
2007-10-30;14.252;14.6027;14.1647;14.476;9373.3377854862
2007-10-31;14.1198;14.2245;13.6788;13.6788;46684.81819428
2007-11-02;13.3352;13.5954;13.089;13.1489;14545.843182172
2007-11-05;12.9098;12.9893;12.3122;12.5709;15600.184705126
2007-11-06;12.0127;12.1519;11.6785;11.9529;26146.143581279
2007-11-07;12.1479;12.2289;11.3388;11.9341;32487.454598705
2007-11-08;11.3388;11.9341;11.1572;11.5039;38042.778811325
2007-11-09;11.7547;11.7547;11.0763;11.7547;31154.583771136
2007-11-12;11.4623;11.7547;11.3954;11.5944;10715.111376217
2007-11-13;11.8735;11.8735;11.4788;11.6706;12756.387786761
2007-11-14;11.9529;12.1519;11.2358;11.706;14545.843182172
2007-11-15;11.7453;11.7453;9.56661;10.9174;55186.957013272
2007-11-16;10.6422;10.6422;9.97226;10.3709;27777.892886405
2007-11-19;10.7586;10.7586;9.96448;10.36;24069.256118091
2007-11-20;10.1091;10.1091;9.71907;9.82132;13405.017674223
2007-11-21;9.7616;9.7616;8.8495;8.88882;32238.177230191
2007-11-22;8.64664;9.36372;8.17173;9.36372;808129.24861272
2007-11-23;9.36372;9.56262;9.20411;9.56262;11269.626338832
2007-11-26;9.62158;9.82132;9.28352;9.55873;33915.712174432
2007-11-27;9.31969;9.36372;9.17659;9.27644;13897.21329471
2007-11-28;9.38338;9.38338;9.18052;9.27172;19984.159650385
2007-11-29;9.52332;9.79303;9.29925;9.39832;14184.645362486
2007-11-30;9.56262;9.75762;9.3708;9.75762;38850.386612381
2007-12-03;10.0045;10.2522;9.60278;9.78201;15020.233276336
2007-12-04;9.95736;9.95736;9.50291;9.74974;6744.4790063003
2007-12-05;9.84182;9.84182;9.56262;9.60278;19280.841360648
2007-12-06;9.63496;9.63496;9.40304;9.55873;18826.800439424
2007-12-07;9.48245;9.48245;9.256;9.38338;5532.4313930618
2007-12-10;9.46673;9.46673;9.20411;9.32441;6216.6723331691
2007-12-11;9.36372;9.36372;8.88566;9.13649;5562.9551524717
2007-12-12;8.96508;8.96508;8.67809;8.81726;16714.30192359
2007-12-13;8.76615;8.76615;8.51927;8.6663;31556.479936701
2007-12-14;8.56644;8.56644;8.07345;8.56644;64102.438407609
2007-12-17;8.54679;8.54679;7.91698;8.00898;56695.33945745
2007-12-18;7.96888;8.15679;7.60247;7.64965;48629.436033358
2007-12-19;7.75736;7.76601;7.53014;7.63078;606543.98235257
2007-12-20;7.64965;7.90833;7.6182;7.86508;50979.765507927
2007-12-21;7.88553;8.31169;7.74636;7.93585;52975.256279356
2007-12-27;7.81712;7.92878;7.76995;7.92878;12033.992147391
2007-12-28;7.96888;8.15679;7.96888;7.96888;26910.509389838
2008-01-02;8.04829;8.04829;8.00898;8.00898;7352.4105478827
2008-01-03;7.96888;8.1678;7.80926;8.1678;14812.926077009
2008-01-04;8.24407;8.24407;7.96179;7.96179;22475.661512227
2008-01-07;7.92878;7.92878;7.75736;7.88946;20051.56628575
2008-01-08;7.76601;8.04829;7.76601;7.88946;29599.143864534
2008-01-09;7.77781;7.9964;7.75736;7.80926;217621.68636019
2008-01-10;7.9901;7.9901;7.34701;7.80218;21944.039369169
