Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-11-17;12.3296;12.4018;12.0146;12.0536;1241269.1313706
2008-11-18;12.0536;12.0536;11.0178;11.0656;836086.25761447
2008-11-19;11.1768;11.2948;10.9953;11.0978;350102.20708692
2008-11-20;10.9076;10.9163;10.5291;10.7495;117026.42424784
2008-11-21;10.7495;11.208;10.7495;11.0656;78055.550508665
2008-11-24;11.2246;11.8478;11.2246;11.3826;205390.8888984
2008-11-25;11.6196;11.642;11.3826;11.4606;67462.641417265
2008-11-26;11.524;11.524;11.3026;11.3026;46946.313133487
2008-11-27;11.3826;11.5152;11.3026;11.3426;16613.191919961
2008-11-28;11.3826;11.5864;11.3426;11.5562;24698.333334477
2008-12-01;11.5474;11.6586;11.5474;11.604;17634.34343516
2008-12-02;11.604;12.1482;11.604;11.9746;43855.176769707
2008-12-03;12.0146;12.0926;12.0146;12.0702;17822.989899815
2008-12-04;12.0926;12.2204;12.0702;12.1092;49983.111113426
2008-12-05;12.1482;12.156;11.88;12.0536;44779.954547528
2008-12-08;12.1014;12.1326;11.9346;11.9746;13377.494950114
2008-12-09;11.9746;12.1326;11.88;11.9346;92190.707074976
2008-12-10;11.9346;11.9668;11.8566;11.8566;37143.873739094
2008-12-11;11.8566;11.8956;11.8166;11.8566;80171.671720884
2008-12-12;11.8566;11.9346;11.8566;11.9034;11479.752525784
2008-12-15;11.8566;11.9668;11.8566;11.8566;22822.121213178
2008-12-16;11.8566;11.8566;11.7776;11.8566;29330.424243782
2008-12-17;11.8332;11.8332;11.2636;11.2636;11748.368687413
2008-12-18;11.4138;11.4138;10.8763;10.9632;8521.8989902936
2008-12-19;10.9632;11.169;10.9076;10.9875;7740.656566015
2008-12-22;11.0656;11.0656;10.8685;10.8763;9391.313131748
2008-12-23;10.8685;10.9076;10.7495;10.9076;27474.717172989
2008-12-29;10.9875;10.9875;10.7661;10.8998;17113.515152308
2008-12-30;10.9319;10.9875;10.8364;10.9788;42413.671719136
2008-12-31;11.1446;11.2246;10.9875;11.0656;24807.010102159
2009-01-05;11.2314;11.2314;11.0656;11.129;7724.2525256102
2009-01-06;11.2246;11.2636;11.1446;11.247;81878.717175509
2009-01-07;11.3582;11.3582;11.0578;11.0578;37394.035355267
2009-01-08;11.1446;11.1446;10.8442;11.0022;18258.722223068
2009-01-09;10.9232;11.0266;10.9076;10.9076;41210.025254434
2009-01-12;10.9875;10.9875;10.7105;10.7105;105334.44444932
