Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1997-08-20;1.77814;1.77814;1.77814;1.77814;1051727.8564711
1997-08-21;1.95443;1.95443;1.95443;1.95443;862068.89127933
1997-08-22;1.84428;1.84428;1.84428;1.84428;217956.17376893
1997-08-25;1.77814;1.77814;1.77814;1.77814;338601.90174638
1997-08-26;1.82955;1.82955;1.82955;1.82955;225516.13748255
1997-08-27;1.99852;1.99852;1.99852;1.99852;435261.43779904
1997-08-28;2.19686;2.19686;2.19686;2.19686;600024.50588889
1997-08-29;2.29254;2.29254;2.29254;2.29254;454876.11543656
1997-09-01;2.29254;2.29254;2.29254;2.29254;432316.099239
1997-09-02;2.51293;2.51293;2.51293;2.51293;611651.25506196
1997-09-03;2.77008;2.77008;2.77008;2.77008;419914.08407752
1997-09-04;2.72608;2.72608;2.72608;2.72608;652232.84451043
1997-09-05;2.82882;2.82882;2.82882;2.82882;329220.2870253
1997-09-08;3.02724;3.02724;3.02724;3.02724;421855.61002828
1997-09-09;2.72608;2.72608;2.72608;2.72608;673122.45378786
1997-09-10;2.45411;2.45411;2.45411;2.45411;283828.01527301
1997-09-11;2.43946;2.43946;2.43946;2.43946;355317.17421336
1997-09-12;2.41001;2.41001;2.41001;2.41001;167811.47669458
1997-09-15;2.34396;2.34396;2.34396;2.34396;202304.0912196
1997-09-16;2.35868;2.35868;2.35868;2.35868;146238.46820772
1997-09-17;2.35868;2.35868;2.35868;2.35868;242657.1340472
1997-09-18;2.28504;2.28504;2.28504;2.28504;78319.790055044
1997-09-19;2.15276;2.15276;2.15276;2.15276;88188.746835311
1997-09-22;2.1749;2.1749;2.1749;2.1749;169832.54583201
1997-09-23;2.18972;2.18972;2.18972;2.18972;162560.50604762
1997-09-24;2.1749;2.1749;2.1749;2.1749;62608.330197346
1997-09-25;2.10144;2.10144;2.10144;2.10144;88126.00854723
1997-09-26;1.97648;1.97648;1.97648;1.97648;114388.70406807
1997-09-29;1.96907;1.96907;1.96907;1.96907;61696.384367043
1997-09-30;1.88106;1.88106;1.88106;1.88106;87201.739124627
1997-10-01;1.84428;1.84428;1.84428;1.84428;203519.64555114
1997-10-02;1.91051;1.91051;1.91051;1.91051;172078.80061058
1997-10-03;1.97648;1.97648;1.97648;1.97648;228386.41416221
1997-10-06;2.04271;2.04271;2.04271;2.04271;287274.13981109
1997-10-07;2.04271;2.04271;2.04271;2.04271;239134.82730215
1997-10-08;2.06466;2.06466;2.06466;2.06466;245799.65008406
1997-10-09;2.06466;2.06466;2.06466;2.06466;172671.45336763
1997-10-10;2.04271;2.04271;2.04271;2.04271;301270.37968576
1997-10-13;2.04271;2.04271;2.04271;2.04271;243035.80442883
1997-10-14;2.1749;2.1749;2.1749;2.1749;327883.73742389
1997-10-15;2.1675;2.1675;2.1675;2.1675;183373.93311809
1997-10-16;2.1749;2.1749;2.1749;2.1749;181672.15705393
1997-10-17;2.1309;2.1309;2.1309;2.1309;973832.67018719
1997-10-20;2.20427;2.20427;2.20427;2.20427;164972.56915897
1997-10-21;2.16026;2.16026;2.16026;2.16026;596470.8299998
1997-10-22;2.1749;2.1749;2.1749;2.1749;847857.54870268
1997-10-23;2.1749;2.1749;2.1749;2.1749;223770.66868204
1997-10-24;1.95443;1.95443;1.95443;1.95443;140853.05837201
1997-10-27;1.88838;1.88838;1.88838;1.88838;130937.04787568
1997-10-28;1.70459;1.70459;1.70459;1.70459;0
1997-10-29;1.82955;1.82955;1.82955;1.82955;126657.40036739
1997-10-30;1.68264;1.68264;1.68264;1.68264;141093.92858516
1997-10-31;1.74146;1.74146;1.74146;1.74146;136450.17494069
