Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2015-12-14;13.1628;13.245;11.1063;11.3697;51328.320824736
2015-12-15;11.436;11.6419;11.2698;11.5915;2107.0423372574
2015-12-16;11.5995;11.626;11.5182;11.5182;84240.955829641
2015-12-17;11.4775;11.5915;11.4775;11.5915;10887.139810287
2015-12-18;11.5915;11.5915;11.5182;11.5182;530.72119021145
2015-12-21;11.5182;11.5182;10.3756;11.436;6082.3590562613
2015-12-22;10.6141;11.5995;10.6141;11.0905;12268.825467532
2015-12-23;11.5182;11.5995;11.1974;11.5995;18088.6529329
2015-12-28;10.9836;11.9291;10.9836;11.8469;9360.6091373756
2015-12-29;11.4112;12.0934;11.4112;11.7657;9950.1736152011
2015-12-30;11.452;12.2172;11.452;12.2172;9027.9182420192
2016-01-04;12.2083;12.2083;11.8469;11.8469;158.42423588402
2016-01-05;11.5182;11.9291;11.5182;11.9291;199.16189653991
2016-01-07;11.5349;11.8469;11.5182;11.8469;906.41294959355
2016-01-08;11.8469;11.8469;11.5845;11.5995;360.98093747858
2016-01-11;11.5589;11.5995;11.452;11.452;2535.9193758291
2016-01-12;11.452;11.452;10.745;11.3954;545.43201211497
2016-01-13;11.3538;11.3538;11.3538;11.3538;840.78005187017
2016-01-14;11.5182;11.5182;11.436;11.436;1154.2337185835
2016-01-18;11.5014;11.5014;11.436;11.4855;350.79652231461
2016-01-19;11.436;11.436;11.436;11.436;314.58526839826
2016-01-20;11.4934;11.4934;11.1391;11.2301;377.95496275187
2016-01-21;11.2301;11.2301;10.8678;11.1391;143.7134139805
2016-01-22;11.1568;11.1568;10.9005;10.9173;762.69953561305
2016-01-25;11.0905;11.0905;10.6963;11.0083;109.76536343393
2016-01-26;10.9756;10.9756;10.3332;10.8271;598.6172913046
2016-01-27;10.6875;10.6963;10.5718;10.5718;1275.3150988663
2016-01-28;10.6053;10.6963;10.2845;10.3826;8109.0576738919
2016-01-29;10.6875;10.6875;10.2845;10.4153;13380.05832209
2016-02-01;10.4153;10.4321;10.2845;10.4153;1308.131547728
2016-02-02;10.4321;10.6053;10.2845;10.6053;618.98612163255
2016-02-03;11.436;11.436;10.35;11.3538;873.59650073186
2016-02-04;11.3538;11.3538;11.3538;11.3538;1.1316016848858
2016-02-05;10.6875;10.6875;10.4153;10.6787;675.56620587684
2016-02-08;10.6707;10.6707;10.6371;10.6371;1216.4718112523
2016-02-09;10.6875;10.6875;10.4074;10.4074;907.54455127844
2016-02-10;10.6875;10.6875;10.2103;10.5718;356.45453073904
2016-02-11;10.5718;10.5718;10.5718;10.5718;1.1316016848858
2016-02-12;10.6053;10.6053;10.6053;10.6053;1.1316016848858
2016-02-15;10.4816;10.6875;10.2598;10.2845;38519.721353514
2016-02-16;10.2845;10.6053;10.2015;10.6053;271.5844043726
2016-02-17;11.436;11.436;10.6053;10.6053;188.97748137593
2016-02-18;11.4272;11.4272;10.6141;10.8845;501.29954640442
2016-02-19;10.8757;11.4272;10.0371;11.4272;5162.3668864492
2016-02-22;11.4272;11.4272;11.4272;11.4272;1.1316016848858
2016-02-23;11.4272;11.4272;11.4272;11.4272;1.1316016848858
2016-02-24;11.4272;11.4272;11.4272;11.4272;1.1316016848858
