Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-05-11;54.4198;68.9809;53.6105;67.2892;1293539.5344152
2007-05-14;75.7468;78.6092;70.5977;78.6092;328100.70222837
2007-05-15;77.2141;77.2141;73.1718;75.0104;106637.80436567
2007-05-16;71.3332;74.275;69.8623;71.9218;72454.013764256
2007-05-17;71.3332;73.5395;68.5384;71.9218;51887.596724177
2007-05-18;70.9655;71.2593;68.8331;70.5977;40705.661520793
2007-05-21;70.5977;76.1163;70.5977;74.275;40758.919398324
2007-05-22;74.9366;75.7468;73.5395;75.0104;59676.561313158
2007-05-23;75.0104;75.7468;74.0524;75.7468;40825.491745238
2007-05-24;76.0397;76.0397;72.8032;75.3745;16339.073011017
2007-05-25;72.2164;74.6391;72.2164;72.8032;17028.096801581
2007-05-28;72.1416;73.4656;70.7438;72.8032;16320.210846058
2007-05-29;73.3926;73.3926;70.5977;71.9218;11728.937987197
2007-05-30;70.9655;70.9655;68.5384;70.9655;16637.539033017
2007-05-31;71.4071;72.8032;70.6708;72.8032;22681.198593727
2007-06-01;73.1718;73.1718;70.8925;72.8032;20657.399247529
2007-06-04;70.5977;72.0687;69.1268;72.0687;14092.256302657
2007-06-05;70.6708;72.3994;70.5977;72.0687;13111.423724785
2007-06-06;70.7087;72.0687;69.7524;72.0687;18995.3096529
2007-06-08;69.8992;69.9363;67.9507;69.8623;17319.905588889
2007-06-11;69.8623;71.3332;69.1268;71.3332;11393.857174395
2007-06-12;71.7019;72.4364;70.5977;72.0687;23412.384870669
2007-06-13;72.0687;77.2141;72.0687;74.275;28200.046152928
2007-06-14;74.6391;75.7468;73.5395;75.7468;17781.473860828
2007-06-15;75.0104;75.3745;74.4237;75.0104;7117.6934242615
2007-06-18;73.0988;75.5972;73.0988;75.5972;69821.077443792
2007-06-19;74.275;74.275;68.2445;69.1268;85013.996548768
2007-06-20;69.1999;70.5977;68.5384;69.4947;65630.348205533
2007-06-21;69.4947;69.8623;68.1716;68.3915;24513.047672986
2007-06-22;68.3915;68.907;66.0382;68.7601;97284.389624201
2007-06-25;68.3915;68.3915;66.3321;66.6998;13126.957272399
2007-06-26;67.9877;67.9877;66.1482;66.8476;141862.34265718
2007-06-27;66.8476;67.5821;63.3903;65.6706;25234.248097892
2007-06-28;64.0897;66.1861;63.5382;65.0829;10974.451388834
2007-06-29;64.7143;65.0829;62.2151;62.5088;10487.363717244
2007-07-02;59.9349;61.2579;59.677;60.6711;37431.411591721
2007-07-03;60.3025;63.6111;60.3025;63.2443;13162.462524087
2007-07-04;63.2443;64.6782;61.6625;63.6111;5615.3774622273
2007-07-05;64.2357;64.2357;61.1101;62.8027;5796.2323380113
2007-07-06;62.5088;63.8319;61.7724;63.8319;26502.451306611
2007-07-09;64.6421;66.1861;63.8319;65.5236;24098.080043887
2007-07-10;65.3406;65.4137;64.3475;65.0829;15094.170123718
2007-07-11;65.0829;65.0829;63.9796;65.0829;10850.183007927
2007-07-12;66.0003;69.1268;66.0003;66.9215;18261.904297727
2007-07-13;68.3915;69.8623;68.0238;69.5316;17256.66185932
2007-07-16;69.5316;69.5316;65.8922;67.9507;13577.430153186
2007-07-17;66.1861;69.1268;66.1861;68.0238;13808.214289156
2007-07-18;69.1268;69.1268;66.5529;68.3915;4812.0711427938
2007-07-19;68.3175;68.7601;67.656;68.3915;5462.2610643241
2007-07-20;68.4653;68.943;66.4429;68.0238;5212.6147633953
2007-07-23;66.5529;67.9877;65.9283;66.9215;60281.260130964
2007-07-24;67.5821;67.5821;63.6111;65.7813;16985.934315202
2007-07-25;64.7143;64.7513;63.4641;64.7143;4731.0747873813
2007-07-26;64.3475;65.3406;63.9796;63.9796;26853.065667027
2007-07-27;62.3241;65.0829;61.1101;63.9796;19846.326154289
2007-07-30;62.2151;66.1121;62.2151;65.4497;12403.537769263
2007-07-31;65.4497;67.2522;65.4497;67.2522;43233.191625308
2007-08-01;66.8476;66.8476;63.3173;65.0829;4387.1176616571
2007-08-02;65.3767;65.3767;64.6421;65.3019;2014.923033275
2007-08-03;65.3019;65.3019;63.5382;65.2668;26115.222155393
2007-08-06;62.9495;63.9427;61.2579;63.2443;14143.295101959
2007-08-07;63.2821;65.3767;63.2821;63.6111;43199.90545185
2007-08-08;63.9796;64.7143;63.7959;63.9796;21758.062049847
2007-08-09;65.3767;65.3767;63.9796;64.7143;34377.959946581
2007-08-10;63.4641;63.4641;62.9495;63.2443;55395.959406563
2007-08-13;61.9194;62.8766;59.714;62.5088;33124.180746361
2007-08-14;62.5828;62.5828;58.8317;58.8317;18386.172678634
2007-08-16;56.5532;56.5532;51.662;52.9481;74909.423826282
2007-08-17;52.5083;56.4054;52.2126;54.9345;15847.547182966
2007-08-20;57.066;62.5088;55.8899;56.6263;22665.665046113
2007-08-21;56.6263;58.0602;55.7439;56.6263;14659.230790545
2007-08-22;56.6263;58.0962;56.2585;58.0962;10640.480115147
