Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2005-02-04;2.05733;2.1648;2.05733;2.1147;10971814.481554
2005-02-07;2.1147;2.15762;2.07177;2.15762;1864057.9228445
2005-02-08;2.15762;2.15762;2.12178;2.15046;1235008.986713
2005-02-09;2.15046;2.17197;2.1362;2.1648;1542133.0454314
2005-02-10;2.17197;2.18622;2.15762;2.17197;603737.6433644
2005-02-11;2.1648;2.19348;2.15046;2.1648;689936.14941881
2005-02-14;2.1362;2.17197;2.1362;2.14319;146826.81923507
2005-02-15;2.1362;2.15046;2.1362;2.15046;90534.538930893
2005-02-16;2.14319;2.14319;2.07885;2.1362;791617.53453268
2005-02-17;2.10036;2.1362;2.07177;2.1362;558652.03909975
2005-02-18;2.10743;2.12178;2.07885;2.12178;66435.072712703
2005-02-21;2.12904;2.12904;2.0429;2.07177;225802.22988058
2005-02-22;2.07177;2.09309;2.06441;2.09309;253316.3491844
2005-02-23;2.08593;2.09309;2.07177;2.07885;190876.82307363
2005-02-24;2.07177;2.10743;2.07177;2.10743;258337.70587226
2005-02-25;2.10743;2.15046;2.10743;2.1362;745606.19921488
2005-02-28;2.1362;2.1362;2.09309;2.1147;85350.009906975
2005-03-01;2.1147;2.1147;2.06441;2.10036;40394.94351116
2005-03-02;2.10036;2.10743;2.06441;2.10743;59948.428447151
2005-03-03;2.10743;2.12904;2.08593;2.10036;52248.869817001
2005-03-04;2.09309;2.10036;2.07885;2.10036;146177.39333762
2005-03-07;2.10036;2.10743;2.10036;2.10743;33913.738323475
2005-03-08;2.10743;2.10743;2.10743;2.10743;25081.763681176
2005-03-09;2.10743;2.12178;2.08593;2.10743;71325.891531743
2005-03-10;2.10743;2.12178;2.10743;2.10743;340770.19441076
2005-03-11;2.10743;2.10743;2.07177;2.10743;76074.206510636
2005-03-14;2.10743;2.10743;2.07885;2.07885;147417.50309156
2005-03-15;2.07885;2.10036;2.07177;2.09309;46659.673399693
2005-03-16;2.09309;2.09309;2.07885;2.07885;110489.42781355
2005-03-17;1.98554;2.07177;1.98554;2.07177;109348.30927682
2005-03-18;2.05733;2.09309;2.02139;2.08593;205660.23671926
2005-03-21;2.08593;2.08593;2.06441;2.07177;108157.15122369
2005-03-22;2.05017;2.06441;2.03582;2.05017;726656.45192224
2005-03-23;2.05017;2.05017;2.01422;2.01422;18674.529952498
2005-03-24;1.98554;2.10036;1.98554;2.06441;114862.44641955
2005-03-29;2.08593;2.08593;2.06441;2.07177;12030.152428769
2005-03-30;2.07177;2.08593;2.07177;2.08593;656508.66465674
2005-03-31;2.08593;2.1362;2.08593;2.12904;461884.31693196
2005-04-01;2.12904;2.12904;2.10743;2.10743;79739.057178193
2005-04-04;2.1147;2.12904;2.09309;2.12904;389370.53079381
2005-04-05;2.12904;2.1362;2.12904;2.1362;87016.543365775
2005-04-06;2.12178;2.30104;2.12178;2.23668;671738.08268755
2005-04-07;2.23668;2.27226;2.2149;2.23668;105487.651806
2005-04-11;2.23668;2.33679;2.20782;2.27952;1281884.0475962
2005-04-12;2.25792;2.27952;2.25792;2.27226;277487.61123044
2005-04-13;2.27226;2.27226;2.25075;2.25075;195151.938278
2005-04-14;2.25075;2.27226;2.24357;2.27226;2120509.3565122
2005-04-15;2.26518;2.27226;2.25075;2.27226;50220.093772182
2005-04-18;2.2149;2.25075;2.17895;2.22216;83735.691595708
2005-04-19;2.26518;2.27226;2.2149;2.27226;75966.512768846
2005-04-20;2.27952;2.27952;2.25075;2.27226;443393.6278114
2005-04-21;2.24357;2.4301;2.24357;2.38699;585870.27256754
2005-04-22;2.4085;2.4301;2.36566;2.36566;189072.13703698
2005-04-25;2.35812;2.35812;2.30104;2.3082;22398.122661032
2005-04-26;2.31537;2.31537;2.28678;2.30104;128906.1454751
2005-04-27;2.27226;2.29386;2.27226;2.27226;186573.42466436
2005-04-28;2.27226;2.29386;2.27226;2.28678;177877.42696876
2005-04-29;2.32246;2.32246;2.30104;2.30104;32238.502340085
2005-05-02;2.3082;2.33679;2.3082;2.32246;14972.693555437
2005-05-04;2.31537;2.32246;2.30104;2.32246;101798.86919583
