Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-04-24;8.46793;8.47117;7.658;7.96238;9833.5940008435
2008-04-25;8.13304;8.13304;7.64111;8.07873;3326.3120586577
2008-04-28;8.09877;8.09877;8.09877;8.09877;60.712554167976
2008-04-29;8.09562;8.09562;7.79388;8.09175;489.37998208127
2008-05-05;8.0646;8.0646;8.0646;8.0646;9.1988718436328
2008-05-06;8.0646;8.0646;8.05427;8.05427;207.89450366611
2008-05-07;8.05852;8.05852;7.79388;8.04826;213.41382677228
2008-05-08;8.04826;8.04826;8.04826;8.04826;3.6795487374531
2008-05-09;8.04826;8.04826;8.04826;8.04826;3.6795487374531
2008-05-12;8.04826;8.04826;8.04826;8.04826;3.6795487374531
2008-05-13;8.04826;8.04826;8.04826;8.04826;305.4025452086
2008-05-14;8.04826;8.04826;7.79388;8.04826;596.08689546741
2008-05-15;8.04826;8.04826;8.04826;8.04826;369.79464811404
2008-05-16;7.79388;8.04826;7.79388;8.04826;535.37434129943
2008-05-19;8.04826;8.04826;8.04826;8.04826;1.8397743687265
2008-05-20;8.04826;8.04826;8.04826;8.04826;1.8397743687265
2008-05-21;8.04116;8.04116;8.04116;8.04116;5.5193231061796
2008-05-23;8.04826;8.04826;8.04826;8.04826;1.8397743687265
2008-05-26;8.04826;8.04826;8.02711;8.03136;344.03780695187
2008-05-27;8.03136;8.03136;8.03136;8.03136;79.110297855242
2008-05-28;8.03136;8.03136;7.48954;8.03136;253.88886288426
2008-05-29;8.03136;8.03136;7.62429;7.99774;437.86629975692
2008-05-30;8.03136;8.03136;8.03136;8.03136;1.8397743687265
2008-06-02;8.03136;8.04826;8.03136;8.04826;117.7455595985
2008-06-03;8.04826;8.04826;8.04826;8.04826;5.5193231061796
2008-06-04;8.04826;8.04826;7.658;8.04826;301.72299647116
2008-06-05;8.04826;8.04826;8.04826;8.04826;1.8397743687265
2008-06-06;8.04826;8.04826;7.62429;7.62429;395.55148927621
2008-06-09;7.658;7.92924;7.658;7.92924;298.0434477337
2008-06-10;7.92924;7.92924;7.658;7.79388;1249.2067963653
2008-06-11;7.45471;7.59058;7.18457;7.45471;5423.6548390058
2008-06-12;7.62429;8.0646;7.62429;7.658;1361.4330328576
2008-06-13;7.79119;7.79119;7.79119;7.79119;1.8397743687265
2008-06-16;7.79119;7.79119;7.79119;7.79119;3.6795487374531
2008-06-17;7.79119;7.79119;7.79119;7.79119;3.6795487374531
2008-06-18;7.79119;7.79119;7.11552;7.78686;8854.8340366809
2008-06-19;7.11937;7.78686;7.11937;7.78686;2101.0223290857
2008-06-20;7.78686;7.78686;7.78686;7.78686;3.6795487374531
2008-06-23;7.78352;7.78352;7.78352;7.78352;1.8397743687265
2008-06-24;7.77707;7.77707;7.18457;7.45471;263.08773472789
2008-06-25;7.62429;7.62429;7.62429;7.62429;31.276164268351
2008-06-26;7.62429;7.62429;7.62429;7.62429;1.8397743687265
2008-06-27;7.45471;7.62429;7.11552;7.62429;859.1746301953
2008-06-30;7.62429;7.62429;6.91226;7.01393;4752.1371944207
2008-07-01;7.25149;7.25149;6.84486;7.21772;123.26488270468
2008-07-04;6.87911;7.01393;6.77798;7.01393;621.84373662957
2008-07-08;6.77798;6.77798;6.37688;6.75952;1390.8694227573
2008-07-09;6.72639;6.72639;6.43829;6.72639;298.0434477337
2008-07-10;6.75952;6.75952;6.74379;6.74379;480.18111023763
2008-07-11;6.92913;6.92913;6.92913;6.92913;1.8397743687265
2008-07-14;6.92913;6.92913;6.92913;6.92913;1.8397743687265
2008-07-15;6.37688;7.11282;6.37688;7.11282;207.89450366611
2008-07-16;7.11282;7.11282;6.38774;6.74379;864.69395330148
2008-07-17;6.74379;6.74379;6.06487;6.66548;1894.9675997884
2008-07-21;6.54048;6.54048;6.54048;6.54048;1.8397743687265
2008-07-22;6.60788;6.60788;6.60788;6.60788;1.8397743687265
2008-07-23;6.60407;6.60407;6.60407;6.60407;1.8397743687265
2008-07-24;6.60081;6.60081;6.60081;6.60081;31.276164268351
2008-07-25;6.59103;6.59103;6.59103;6.59103;1.8397743687265
2008-07-28;6.58071;6.58071;6.03172;6.43121;2281.3202172209
2008-07-30;6.40134;6.54048;5.81159;6.54048;4586.5575012354
2008-07-31;6.57309;6.57309;6.57038;6.57038;60.712554167976
2008-08-01;6.57309;6.57309;6.57309;6.57309;1.8397743687265
2008-08-04;6.57309;6.57309;6.55624;6.55624;206.05472929737
2008-08-05;6.49916;6.49916;5.93006;6.43557;402.91058675111
2008-08-06;6.43557;6.43557;6.09967;6.43121;419.46855606966
2008-08-07;6.49916;6.49916;6.47199;6.47199;25.756841162172
2008-08-08;6.46873;6.46873;6.46873;6.46873;1.8397743687265
2008-08-11;6.49591;6.49591;6.49591;6.49591;1.8397743687265
2008-08-12;6.48938;6.48938;6.48938;6.48938;1.8397743687265
2008-08-13;6.48612;6.48612;6.48612;6.48612;1.8397743687265
2008-08-14;6.48938;6.48938;6.48938;6.48938;1.8397743687265
2008-08-18;6.48233;6.48233;6.48233;6.48233;1.8397743687265
2008-08-19;6.48612;6.48612;6.48612;6.48612;1.8397743687265
2008-08-20;6.48233;6.48233;6.48233;6.48233;31.276164268351
2008-08-21;6.4758;6.48612;6.46873;6.48612;949.3235742629
2008-08-22;6.46547;6.46547;6.46547;6.46547;1.8397743687265
2008-08-25;6.46547;6.46547;6.46547;6.46547;1.8397743687265
2008-08-26;6.13662;6.46547;6.13662;6.46547;1212.4113089908
2008-08-27;6.46547;6.46547;6.46547;6.46547;1.8397743687265
2008-08-28;6.46547;6.46547;6.46547;6.46547;1.8397743687265
2008-08-29;6.46547;6.46547;6.46547;6.46547;1.8397743687265
2008-09-01;6.43829;6.43829;6.43829;6.43829;1.8397743687265
2008-09-02;6.43121;6.43121;6.43121;6.43121;1.8397743687265
2008-09-03;6.43557;6.43557;6.43557;6.43557;1.8397743687265
2008-09-04;6.43557;6.43557;6.43557;6.43557;1.8397743687265
2008-09-05;6.43557;6.43557;6.43557;6.43557;147.18194949813
2008-09-08;6.43557;6.43557;6.43557;6.43557;1.8397743687265
2008-09-09;6.43557;6.43557;6.43557;6.43557;1.8397743687265
2008-09-10;6.40404;6.40404;6.40404;6.40404;1.8397743687265
2008-09-11;6.39805;6.39805;6.39805;6.39805;1.8397743687265
2008-09-12;6.39805;6.39805;6.39805;6.39805;1.8397743687265
2008-09-15;6.38774;6.38774;6.38774;6.38774;1.8397743687265
2008-09-16;6.38393;6.38393;5.42133;6.02792;2634.5568960164
2008-09-17;6.02792;6.02792;6.02792;6.02792;1.8397743687265
2008-09-18;6.02139;6.02139;6.00454;6.00889;237.33089356573
2008-09-19;6.01813;6.01813;6.01813;6.01813;1.8397743687265
2008-09-22;5.99477;5.99477;5.99477;5.99477;1.8397743687265
2008-09-23;5.98388;5.98388;5.98388;5.98388;1.8397743687265
2008-09-24;5.41806;5.42133;5.41806;5.42133;2717.3467426091
