Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2010-04-14;5.65461;5.82607;5.37626;5.38447;293180.01810921
2010-04-15;5.53054;5.55623;5.38447;5.38447;125677.40376033
2010-04-16;5.51796;5.51796;5.3123;5.46154;493.81040811657
2010-04-19;5.3123;5.3123;4.98227;5.30786;795.14095285436
2010-04-20;5.48354;5.50478;5.19208;5.4409;333059.19090662
2010-04-21;5.19208;5.4409;5.19208;5.4409;495.13785545021
2010-04-22;5.39321;5.39773;5.39321;5.39321;1407.0941736655
2010-04-23;5.18357;5.33423;5.18357;5.20895;3175.2540220829
2010-04-26;5.39773;5.50478;5.23463;5.39773;3621.2763261881
2010-04-27;5.3123;5.3123;5.23907;5.23907;1168.1536536091
2010-04-28;5.18357;5.18357;5.14069;5.18357;1193.3751529484
2010-04-29;5.44458;5.50478;5.22641;5.22641;1008.8599735715
2010-04-30;5.14469;5.46154;5.14069;5.46154;1485.4135663506
2010-05-05;5.3123;5.3123;5.09798;5.09798;312388.18102707
2010-05-07;5.05971;5.09798;5.05474;5.05474;41776.095037195
2010-05-10;5.14069;5.14069;5.14069;5.14069;488.50061878198
2010-05-11;5.14469;5.14469;4.99071;4.99071;25553.361172699
2010-05-12;5.18357;5.18357;5.14069;5.14069;1111.0734182623
2010-05-13;5.16638;5.16638;5.16638;5.16638;2366.838595892
2010-05-14;5.14069;5.26959;5.14069;5.26959;4263.7608356731
2010-05-17;5.26959;5.26959;5.26959;5.26959;500.4476447848
2010-05-18;5.26959;5.26959;5.26959;5.26959;7324.8543870624
2010-05-20;5.26033;5.26522;4.92697;5.26033;2421.2639365715
2010-05-25;4.76779;5.14069;4.76779;5.11914;761.95476951319
2010-05-26;4.92697;5.07629;4.92697;5.07629;3189.855942753
2010-05-27;5.09798;5.14069;5.09798;5.14069;26538.327094264
2010-05-28;5.14069;5.16638;5.01187;5.16638;21317.476731032
2010-05-31;5.07629;5.14929;5.07629;5.14929;1967.2769484644
2010-06-01;5.14069;5.14069;4.96961;5.02098;15942.642477097
2010-06-04;4.99071;5.02098;4.97768;5.02098;707.52942883368
2010-06-07;4.97768;4.97768;4.97768;4.97768;436.73017276976
2010-06-08;4.86248;4.97768;4.86248;4.97768;2700.0278766373
2010-06-09;4.96961;4.97768;4.96961;4.97768;160.62112737125
2010-06-10;4.88374;4.8921;4.88374;4.8921;96.903655356208
2010-06-11;5.02098;5.02098;4.9309;4.9309;5799.6174007023
2010-06-14;4.9309;4.9309;4.9309;4.9309;192.47986337877
2010-06-15;4.82377;4.82377;4.82377;4.82377;230.97583605452
2010-06-16;4.82377;4.92697;4.82377;4.92697;71402.064629521
2010-06-17;4.82377;4.86248;4.71681;4.71681;53634.18206866
2010-06-18;4.72094;4.75952;4.72094;4.75952;2146.4823385067
2010-06-21;4.7122;4.7122;4.7122;4.7122;679.6530348271
2010-06-23;4.45547;4.79808;4.45547;4.62677;24784.769166517
2010-06-24;4.5836;4.58828;4.5836;4.58828;122.12515469549
2010-06-25;4.91786;4.92697;4.91786;4.92231;795.14095285436
2010-06-28;4.92697;5.05474;4.75499;5.01187;9334.6096502035
2010-06-29;5.06777;5.18357;4.96961;4.96961;5949.6189494044
