Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2020-04-17;36.7752;36.8595;31.8327;36.8595;111343.03317163
2020-04-20;40.8802;40.8802;33.7597;39.7829;528038.27857143
2020-04-21;40.2103;40.8758;36.5242;38.1157;83462.790697581
2020-04-22;36.8595;38.1157;35.4348;36.0212;96182.35904275
2020-04-23;37.194;41.3832;35.7699;36.0212;377233.99702091
2020-04-24;34.346;34.9909;30.1577;33.1733;514987.25946479
2020-04-27;33.2567;36.0212;31.9332;32.6702;129543.75042517
2020-04-28;32.6625;33.0899;30.1577;32.5869;89844.090095034
2020-04-29;32.5869;32.629;30.9953;31.163;48596.496559501
2020-04-30;31.163;31.163;28.6667;30.5343;55665.120167615
2020-05-04;31.9171;33.5087;31.8327;33.5087;47690.531144772
2020-05-05;35.1836;35.1836;33.1733;34.0951;33300.916155764
2020-05-06;34.2627;34.2627;32.3607;32.377;22064.153848822
2020-05-07;33.3237;33.3237;31.8662;31.8749;18364.698156585
2020-05-08;31.8662;32.5034;30.5257;31.5816;29909.651522454
2020-05-11;31.8327;32.0839;30.5764;31.0623;14255.871699286
2020-05-12;31.2971;31.2971;30.057;30.4923;14126.780350076
2020-05-13;30.7021;30.7021;29.328;30.5764;14702.457988447
2020-05-14;30.9781;30.9781;29.3194;29.739;22473.524613885
2020-05-15;29.739;30.7855;29.4037;30.5343;10144.71927173
2020-05-18;30.6599;30.6599;29.8224;30.5722;14252.382743901
2020-05-19;30.2412;30.5764;30.1621;30.2412;3065.6287974643
2020-05-20;30.1655;32.5034;30.1655;32.4192;23859.802886487
2020-05-21;32.4192;32.4192;31.2463;31.6779;11143.723496701
2020-05-22;31.3805;31.3805;30.266;30.8275;5471.8450273404
2020-05-25;30.2497;30.3254;29.6546;30.1156;23863.29184187
2020-05-26;30.1577;30.7442;29.8224;30.4088;11101.856032092
2020-05-27;30.5722;30.5722;29.9058;29.9058;20111.501818873
2020-05-28;30.1577;30.4923;29.8644;30.4923;6231.2743159385
2020-05-29;30.4923;31.4982;29.9058;30.451;6789.5071773887
2020-06-01;30.1577;30.4923;29.4037;30.1577;15836.368488266
2020-06-02;30.4088;30.4088;29.8396;29.9058;4720.5566346387
2020-06-03;29.9058;30.9909;29.739;30.0692;14596.626341796
2020-06-04;30.0735;30.5301;29.5713;29.6633;9486.4696892702
2020-06-05;30.1327;30.3254;29.4871;30.1577;12412.540271372
2020-06-08;30.3254;30.3254;28.9849;30.0735;25572.879980062
2020-06-09;30.3254;30.6599;29.6126;30.1577;16189.915967185
2020-06-10;30.3254;30.7855;29.8224;30.4923;9068.9580283107
