Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2001-05-10;0.0449858;0.045489;0.0439918;0.0447342;2948921.1656687
2001-05-11;0.0444887;0.0502315;0.0444887;0.0492314;6317235.4703895
2001-05-14;0.0497285;0.0554838;0.0497285;0.0529864;1896168.1096428
2001-05-15;0.054729;0.054729;0.0492314;0.0492314;2285115.6407458
2001-05-16;0.0487346;0.0499801;0.0462374;0.0464827;1027653.3578236
2001-05-17;0.0499801;0.0499801;0.0459858;0.048483;205491.55515194
2001-05-18;0.0479859;0.0487346;0.047483;0.047483;127910.66979952
2001-05-21;0.0464827;0.0477343;0.0459858;0.047483;43093.248082307
2001-05-22;0.047483;0.0479859;0.0462374;0.0462374;679908.44818517
2001-05-23;0.0467343;0.0467343;0.0457342;0.0467343;390903.35174208
2001-05-24;0.0462374;0.0467343;0.0459858;0.0459858;163702.18749573
2001-05-25;0.0459858;0.0467343;0.0459858;0.0459858;145513.05555175
2001-05-28;0.0457342;0.0459858;0.0457342;0.0457342;92640.704273764
2001-05-29;0.0457342;0.0457342;0.0449858;0.0449858;299566.52789441
2001-05-30;0.0447342;0.0447342;0.0434886;0.0442373;470114.08762711
2001-05-31;0.0424825;0.0442373;0.0424825;0.0442373;50460.172489722
2001-06-01;0.0442373;0.0449858;0.0434886;0.0449858;217422.06105067
2001-06-04;0.0442373;0.0442373;0.0442373;0.0442373;557539.27019651
2001-06-05;0.0459858;0.0479859;0.0442373;0.0442373;203470.5404915
2001-06-06;0.0442373;0.0442373;0.0442373;0.0442373;147403.68216959
2001-06-07;0.0442373;0.0442373;0.0442373;0.0442373;127910.66979952
2001-06-08;0.0447342;0.045489;0.0447342;0.045489;152032.45768221
2001-06-12;0.0434886;0.0444887;0.0434886;0.0444887;1397238.2645991
2001-06-13;0.0452374;0.0452374;0.0442373;0.0447342;341225.50750801
2001-06-15;0.0434886;0.0442373;0.0429915;0.0429915;239848.80437944
2001-06-18;0.0429915;0.0444887;0.0417338;0.0429915;217226.47898676
2001-06-19;0.0429915;0.0442373;0.0417338;0.0429915;981039.63259088
2001-06-20;0.042237;0.042237;0.042237;0.042237;11995.699920037
2001-06-21;0.0424825;0.0434886;0.0417338;0.0434886;258950.65262167
2001-06-22;0.0417338;0.0434886;0.0417338;0.0434886;20014.564540497
2001-06-25;0.0429915;0.0429915;0.0429915;0.0429915;28033.429160956
2001-06-26;0.0429915;0.0429915;0.0379911;0.0379911;137494.1909313
2001-06-27;0.0404883;0.0404883;0.0392369;0.0392369;563080.76200742
2001-06-28;0.0419854;0.0419854;0.0387398;0.0387398;24056.593861379
2001-06-29;0.0404883;0.0404883;0.0367395;0.0367395;2760054.0859494
2001-07-02;0.0367395;0.0384882;0.0367395;0.0379911;252822.41461904
2001-07-03;0.0367395;0.0367395;0.0339909;0.0367395;942183.99589335
2001-07-04;0.0334877;0.0364881;0.0334877;0.0352426;150728.57725612
2001-07-05;0.0342364;0.0364881;0.0339909;0.0364881;347092.96942542
2001-07-06;0.0364881;0.0372427;0.0364881;0.0367395;725935.42722616
2001-07-09;0.0372427;0.0372427;0.0344878;0.0354942;372127.47360637
2001-07-10;0.0364881;0.0367395;0.0354942;0.0354942;717981.75662701
2001-07-11;0.0339909;0.0352426;0.0339909;0.0352426;360131.77368634
2001-07-12;0.0354942;0.0377395;0.0354942;0.0357394;2617735.5374416
2001-07-13;0.035991;0.0377395;0.0357394;0.0357394;832788.42814434
2001-07-16;0.035991;0.0367395;0.035991;0.0367395;173937.64884054
2001-07-17;0.0402367;0.0402367;0.0382366;0.0392369;449643.16493748
2001-07-18;0.0392369;0.0392369;0.0379911;0.0379911;88859.451038102
