Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2012-04-26;5.75676;7.67577;5.75676;7.57977;514987.25033932
2012-04-27;7.10004;7.61818;7.05209;7.05209;10291.803236379
2012-04-30;7.46643;7.46643;6.96869;6.96869;9013.1985122225
2012-05-02;7.37831;7.43581;6.71631;7.13845;16867.629756563
2012-05-04;7.19604;7.19604;6.82187;7.13845;8069.7324369713
2012-05-07;7.10004;7.17685;6.90823;7.17685;2103.2489147958
2012-05-08;7.17685;7.17685;7.17685;7.17685;20.31143326698
2012-05-09;7.10004;7.10004;6.81222;6.81222;629.65443127639
2012-05-10;6.90823;6.90823;6.47645;6.71631;3323.9660541413
2012-05-11;6.71631;6.71631;6.38045;6.70666;5862.8952125139
2012-05-14;6.70666;6.70666;5.80481;6.14058;3305.6857642011
2012-05-15;6.08298;6.09262;5.6513;6.09262;20564.310611154
2012-05-16;6.09262;6.09262;6.09262;6.09262;164.52260946254
2012-05-17;6.09262;6.09262;5.80481;5.80481;129.99317290867
2012-05-18;5.80481;5.80481;5.75676;5.75676;579.89141977229
2012-05-21;5.80481;5.80481;5.80481;5.80481;10.15571663349
2012-05-22;5.80481;5.80481;5.80481;5.80481;10.15571663349
2012-05-23;6.03503;6.71631;6.03503;6.58191;6804.3301444384
2012-05-24;6.71631;7.19604;6.24614;7.19604;5215.9760629606
2012-05-25;7.2824;7.2824;6.83143;7.14799;3275.2186143006
2012-05-28;7.19604;7.19604;6.47645;6.71631;18922.131231519
2012-05-29;6.71631;6.71631;6.23649;6.71631;5920.7827973248
2012-05-30;6.71631;6.71631;5.80481;5.80481;5534.8655652521
2012-05-31;5.80727;6.23668;5.76818;5.94394;3862.2190357163
2012-06-01;6.21739;6.21739;5.75676;5.85276;29395.721795637
2012-06-04;5.85276;5.85276;5.56495;5.75676;6098.5078384109
2012-06-05;5.75676;5.75676;5.37303;5.71845;8306.3606345316
2012-06-06;5.7472;5.75676;5.46894;5.75676;2533.8513000558
2012-06-08;5.75676;5.75676;5.46894;5.75676;1561.9492182308
2012-06-11;5.75676;5.75676;5.5169;5.75676;2213.9462261009
2012-06-12;5.75676;5.75676;5.26747;5.75676;3216.3154578263
2012-06-13;5.75676;5.75676;5.37303;5.69925;5563.3015718259
2012-06-14;5.66085;5.80481;5.20032;5.73756;6925.183172377
2012-06-15;5.7472;5.7472;5.20032;5.5169;59333.758859503
2012-06-18;5.6513;5.7472;5.46894;5.7089;1519.2952083701
2012-06-19;5.60325;5.6128;5.27712;5.56495;17773.519680272
2012-06-20;5.56495;5.56495;4.7974;4.7974;48810.40528388
2012-06-21;5.08522;5.66085;5.08522;5.66085;16061.265855865
2012-06-22;5.7472;5.7472;5.31543;5.46894;17930.933288091
2012-06-25;5.5169;5.6128;5.47859;5.5169;1308.0563023935
2012-06-26;5.6128;5.85276;5.37303;5.46894;10449.216844198
2012-06-27;6.01582;6.14058;5.7472;6.14058;4570.0724850706
2012-06-28;6.14058;6.33249;5.94867;6.09262;4671.6296514055
2012-06-29;6.09026;6.23668;5.94394;6.23668;4054.1620800893
2012-07-02;6.23649;6.23649;5.92956;6.23649;6493.5652154536
2012-07-03;6.33249;6.33249;5.85276;5.99672;3513.8779551876
2012-07-04;6.15978;6.15978;5.75676;5.75676;3452.9436553867
2012-07-05;5.75676;6.09262;5.75676;6.04468;12147.252665318
2012-07-06;6.06387;6.06387;5.77606;6.04468;1130.3312613075
2012-07-09;6.03503;6.03503;5.75676;5.80481;2617.1281764504
2012-07-10;6.02547;6.02547;5.44018;5.73756;7727.4847864227
2012-07-11;5.84321;5.84321;5.54564;5.78561;1557.8869315774
2012-07-12;5.77606;5.77606;5.66085;5.75676;2359.1729739598
2012-07-13;5.75676;5.75676;5.27712;5.73756;5407.9191073335
2012-07-16;5.7472;5.7472;5.27712;5.6128;4038.928505139
2012-07-17;5.33463;5.58414;5.24828;5.37303;3241.7047494101
2012-07-18;5.1826;5.51444;5.10451;5.28018;4182.1241096713
2012-07-19;5.01806;5.27712;4.8933;5.27712;11944.138332648
2012-07-20;5.25783;5.25783;4.88365;4.88365;9648.946373479
2012-07-23;4.98931;5.21952;4.78774;5.07557;28489.83187193
2012-07-24;5.07527;5.07527;5.07527;5.07527;18.280289940282
2012-07-25;4.98931;4.98931;4.70139;4.8933;1410.6290403918
