Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1996-01-30;9.2595;9.2595;9.2595;9.2595;322774.1156923
1996-01-31;9.59245;9.59245;9.59245;9.59245;341013.76438061
1996-02-01;9.59245;9.59245;9.59245;9.59245;165718.78568574
1996-02-02;9.991;9.991;9.991;9.991;273235.12554202
1996-02-05;10.093;10.093;10.093;10.093;107317.32194223
1996-02-06;9.991;9.991;9.991;9.991;199873.00481133
1996-02-07;9.59245;9.59245;9.59245;9.59245;565899.88964462
1996-02-08;9.991;9.991;9.991;9.991;332683.83527463
1996-02-09;10.9891;10.9891;10.9891;10.9891;337884.37924935
1996-02-12;12.0885;12.0885;12.0885;12.0885;200125.55168157
1996-02-13;12.6561;12.6561;12.6561;12.6561;604554.65870241
1996-02-14;12.3232;12.3232;12.3232;12.3232;228160.99935313
1996-02-15;12.3232;12.3232;12.3232;12.3232;221178.90191334
1996-02-16;12.2889;12.2889;12.2889;12.2889;103759.70516142
1996-02-19;11.9909;11.9909;11.9909;11.9909;112176.10411971
1996-02-20;11.8227;11.8227;11.8227;11.8227;163491.15758572
1996-02-21;11.8227;11.8227;11.8227;11.8227;200154.37496567
1996-02-22;12.1556;12.1556;12.1556;12.1556;98961.31462682
1996-02-23;12.0885;12.0885;12.0885;12.0885;62939.072183846
1996-02-26;12.1906;12.1906;12.1906;12.1906;103872.25322316
1996-02-27;12.1236;12.1236;12.1236;12.1236;111590.03067627
1996-02-28;11.9909;11.9909;11.9909;11.9909;23684.504309238
1996-02-29;12.4223;12.4223;12.4223;12.4223;151890.47200264
1996-03-01;12.4878;12.4878;12.4878;12.4878;69215.685431768
1996-03-04;12.922;12.922;12.922;12.922;146407.18533624
1996-03-05;13.7556;13.7556;13.7556;13.7556;140204.68910458
1996-03-06;14.1868;14.1868;14.1868;14.1868;74974.852103161
1996-03-07;15.6192;15.6192;15.6192;15.6192;78713.643812617
1996-03-08;14.2524;14.2524;14.2524;14.2524;111649.04978182
1996-03-11;14.0884;14.0884;14.0884;14.0884;49901.340007591
1996-03-12;14.1868;14.1868;14.1868;14.1868;72895.458035678
1996-03-13;14.3552;14.3552;14.3552;14.3552;78769.917843486
1996-03-14;14.1868;14.1868;14.1868;14.1868;42261.797182763
1996-03-15;14.3195;14.3195;14.3195;14.3195;14135.762046873
1996-03-18;14.8201;14.8201;14.8201;14.8201;26850.947948634
1996-03-19;15.2542;15.2542;15.2542;15.2542;80838.331612263
1996-03-20;15.8181;15.8181;15.8181;15.8181;124460.31329726
1996-03-21;15.6542;15.6542;15.6542;15.6542;239153.65089536
1996-03-22;15.8181;15.8181;15.8181;15.8181;59607.924063857
1996-03-25;15.7519;15.7519;15.7519;15.7519;257120.16465335
1996-03-26;15.4867;15.4867;15.4867;15.4867;14459.680858706
1996-03-27;15.4197;15.4197;15.4197;15.4197;15884.374615833
1996-03-28;15.6192;15.6192;15.6192;15.6192;25704.879271176
1996-03-29;15.6542;15.6542;15.6542;15.6542;27022.515115918
1996-04-01;15.5873;15.5873;15.5873;15.5873;17127.893444308
1996-04-02;15.4197;15.4197;15.4197;15.4197;17705.731663721
1996-04-03;15.2542;15.2542;15.2542;15.2542;22747.061307198
1996-04-04;15.0874;15.0874;15.0874;15.0874;26675.263169335
1996-04-05;15.2542;15.2542;15.2542;15.2542;59393.808239086
1996-04-09;14.9883;14.9883;14.9883;14.9883;34900.879437605
1996-04-10;14.9883;14.9883;14.9883;14.9883;38525.750547984
1996-04-11;15.1223;15.1223;15.1223;15.1223;17693.378827677
1996-04-12;15.1886;15.1886;15.1886;15.1886;5428.3851728696
1996-04-15;15.4197;15.4197;15.4197;15.4197;20456.29648962
1996-04-16;15.4197;15.4197;15.4197;15.4197;39136.529663516
1996-04-17;15.4867;15.4867;15.4867;15.4867;16750.445676283
1996-04-18;15.7519;15.7519;15.7519;15.7519;38403.594724878
1996-04-19;15.6542;15.6542;15.6542;15.6542;15107.518482371
1996-04-22;15.7519;15.7519;15.7519;15.7519;59606.551526519
1996-04-23;15.8181;15.8181;15.8181;15.8181;77625.221703366
1996-04-24;15.8181;15.8181;15.8181;15.8181;82677.531645549
1996-04-25;15.8181;15.8181;15.8181;15.8181;19753.557372425
1996-04-26;15.2542;15.2542;15.2542;15.2542;55859.524593034
1996-04-29;15.4197;15.4197;15.4197;15.4197;29571.316953091
1996-04-30;15.4867;15.4867;15.4867;15.4867;21075.310829182
1996-05-06;15.4867;15.4867;15.4867;15.4867;31609.534900427
1996-05-07;15.8181;15.8181;15.8181;15.8181;26177.032115542
1996-05-08;15.8181;15.8181;15.8181;15.8181;72560.558925139
1996-05-09;15.9865;15.9865;15.9865;15.9865;36558.904542239
1996-05-10;15.8181;15.8181;15.8181;15.8181;45004.126784633
1996-05-13;15.9865;15.9865;15.9865;15.9865;20984.723364856
1996-05-14;16.2524;16.2524;16.2524;16.2524;186418.02128424
1996-05-15;16.0849;16.0849;16.0849;16.0849;120131.33053234
1996-05-16;16.0849;16.0849;16.0849;16.0849;92469.213016789
1996-05-17;15.9201;15.9201;15.9201;15.9201;66237.279407716
