Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2021-12-09;64.6027;64.8646;61.1107;61.1107;2506675.0532762
2021-12-10;60.2551;60.6655;56.7457;58.9282;1097329.620741
2021-12-13;58.9806;59.0504;58.0552;58.9282;209043.36603726
2021-12-14;59.0678;59.3647;58.0552;58.4917;111604.6468695
2021-12-15;58.8409;58.9282;58.0639;58.9282;89713.723904527
2021-12-16;59.3647;59.4433;58.7186;59.2513;66949.95894807
2021-12-17;59.3647;59.3822;58.4917;59.0155;85260.167916467
2021-12-20;58.4917;59.3559;58.4917;58.4917;56271.962826493
2021-12-21;58.4917;58.9108;58.0814;58.4917;99347.058744953
2021-12-22;58.7535;59.3647;58.7449;59.1027;89585.432168245
2021-12-23;59.3647;60.1504;59.2425;60.0631;5183.2152381606
2021-12-27;60.2377;61.8964;60.2377;61.1195;40439.388015033
2021-12-28;61.5385;61.5385;61.1282;61.3726;17026.146143651
2021-12-29;61.4599;63.2322;61.3814;62.6298;24286.083862869
2021-12-30;62.8567;63.5551;62.8567;63.2934;44044.156712158
2022-01-03;63.2934;64.1662;63.2934;64.0527;15054.806160253
2022-01-04;64.5591;66.698;63.7384;65.3011;91659.86372544
2022-01-05;64.7773;66.34;64.7773;65.921;52167.772727415
2022-01-07;65.9123;66.34;65.4758;65.6503;88268.150947497
2022-01-10;65.6503;66.1305;65.6503;65.9559;31992.751735211
2022-01-11;66.2614;66.6892;65.4845;66.1305;226385.65967389
2022-01-12;66.1742;67.6583;66.1742;66.9861;79117.055580057
2022-01-13;68.0075;68.0075;67.0473;67.8329;38724.631504198
2022-01-14;67.6583;67.9639;67.2305;67.7456;148953.57859446
2022-01-17;68.0948;68.2693;67.6496;68.2693;13286.212938658
2022-01-18;68.2693;69.5789;67.3964;68.0948;135819.71209264
2022-01-19;67.6583;69.7361;66.3488;69.0988;91948.520132074
2022-01-20;69.0988;69.0988;63.1448;64.6027;220979.07935917
2022-01-21;64.6027;66.2091;63.9043;65.2139;62714.040726916
2022-01-24;65.4758;65.5195;64.2535;64.5068;72968.215933991
2022-01-25;63.7472;65.1266;63.7472;64.5417;33650.235149491
2022-01-26;64.5417;64.6463;63.7384;64.1226;11510.746945476
2022-01-27;63.1535;64.1051;62.8567;63.5115;17375.512032632
2022-01-28;63.5115;63.7298;61.3115;61.9838;7806.3230603458
2022-01-31;63.4503;63.4503;61.1456;62.8567;7409.9932321903
2022-02-01;63.2934;64.6376;63.206;63.7384;10250.738821282
2022-02-02;64.1662;65.4758;64.1662;65.4758;20788.988587265
2022-02-03;65.4758;65.7377;65.0393;65.0393;17224.311057729
2022-02-04;65.7377;65.7377;65.0393;65.0393;19785.563935636
2022-02-07;63.7298;63.7298;60.4123;62.9092;42290.454495667
2022-02-08;64.5852;64.7773;63.5989;64.4282;9711.2262517406
2022-02-09;65.4758;66.3313;64.5242;65.3622;57454.079539372
2022-02-10;66.3488;66.3488;62.1846;62.6821;254000.4559085
2022-02-11;62.071;63.2758;62.071;63.2497;2726.1993959828
2022-02-14;63.2671;63.7298;62.0098;63.7298;4844.1585065595
2022-02-15;64.1662;64.4282;63.7384;64.1836;1836.1754755297
2022-02-16;64.1836;64.6552;63.7298;64.1662;6149.9851079966
2022-02-17;64.2186;64.2186;62.4551;62.8567;3656.314484024
2022-02-18;63.2845;63.2845;61.1195;61.6346;982.80633687112
2022-02-21;61.975;61.9924;56.8679;61.4599;11679.129849345
