Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1998-03-17;9.86071;9.86071;9.86071;9.86071;80136.388126083
1998-03-18;8.88441;8.88441;8.88441;8.88441;135862.31646298
1998-03-19;8.58785;8.58785;8.58785;8.58785;88835.937909241
1998-03-20;8.88441;8.88441;8.88441;8.88441;63117.914853201
1998-03-23;8.79776;8.79776;8.79776;8.79776;32536.831153996
1998-03-24;8.67003;8.67003;8.67003;8.67003;44035.103682991
1998-03-25;8.58785;8.58785;8.58785;8.58785;33902.607853964
1998-03-26;8.58785;8.58785;8.58785;8.58785;53500.384009409
1998-03-27;8.49942;8.49942;8.49942;8.49942;50237.073287763
1998-03-30;8.49942;8.49942;8.49942;8.49942;25079.914269989
1998-03-31;8.49942;8.49942;8.49942;8.49942;34354.881449691
1998-04-01;8.07761;8.07761;8.07761;8.07761;18028.25243958
1998-04-02;8.07761;8.07761;8.07761;8.07761;39230.256472938
1998-04-06;7.94943;7.94943;7.94943;7.94943;28682.43018843
1998-04-07;7.86269;7.86269;7.86269;7.86269;10189.589773041
1998-04-08;7.90852;7.90852;7.90852;7.90852;24580.622132132
1998-04-09;7.56622;7.56622;7.56622;7.56622;17162.887366567
1998-04-14;7.60713;7.60713;7.60713;7.60713;30650.492023302
1998-04-15;7.65251;7.65251;7.65251;7.65251;17034.146120259
1998-04-16;7.73504;7.73504;7.73504;7.73504;15051.530927109
1998-04-17;7.86269;7.86269;7.86269;7.86269;31559.51717115
1998-04-20;7.99132;7.99132;7.99132;7.99132;42457.743543437
1998-04-21;8.54765;8.54765;8.54765;8.54765;66265.918197718
1998-04-22;8.49942;8.49942;8.49942;8.49942;37866.718751167
1998-04-23;8.07761;8.07761;8.07761;8.07761;37411.086688145
1998-04-24;7.99132;7.99132;7.99132;7.99132;54109.386078903
1998-04-27;7.2282;7.2282;7.2282;7.2282;32507.724437439
1998-04-28;6.71807;6.71807;6.71807;6.71807;17567.022931066
1998-04-29;6.88725;6.88725;6.88725;6.88725;22125.582539484
1998-04-30;7.05545;7.05545;7.05545;7.05545;22188.273928991
1998-05-04;7.3974;7.3974;7.3974;7.3974;6444.8987391121
1998-05-05;7.73504;7.73504;7.73504;7.73504;14918.311724407
1998-05-06;7.86269;7.86269;7.86269;7.86269;41159.136189369
1998-05-07;7.65251;7.65251;7.65251;7.65251;4243.9831717864
1998-05-08;7.2282;7.2282;7.2282;7.2282;44050.776530367
1998-05-11;6.88725;6.88725;6.88725;6.88725;27049.09559396
1998-05-12;6.97381;6.97381;6.97381;6.97381;14346.252795158
1998-05-13;6.88725;6.88725;6.88725;6.88725;10381.022408856
1998-05-14;6.7998;6.7998;6.7998;6.7998;2992.3943598483
1998-05-15;6.75925;6.75925;6.75925;6.75925;21989.004869487
1998-05-18;6.41685;6.41685;6.41685;6.41685;2465.1149945327
1998-05-19;6.03865;6.03865;6.03865;6.03865;4733.1999077586
1998-05-20;6.20765;6.20765;6.20765;6.20765;11112.048790069
1998-05-21;6.46259;6.46259;6.46259;6.46259;10415.726570904
1998-05-22;6.46259;6.46259;6.46259;6.46259;2590.4977735462
1998-05-25;6.16603;6.16603;6.16603;6.16603;10447.072265658
1998-05-26;6.24794;6.24794;6.24794;6.24794;10593.72533754
1998-05-27;5.65543;5.65543;5.65543;5.65543;5632.1496537212
1998-05-28;5.60997;5.60997;5.60997;5.60997;11348.260989818
1998-05-29;5.65543;5.65543;5.65543;5.65543;9347.7339710937
1998-06-01;5.1035;5.1035;5.1035;5.1035;16650.16135953
1998-06-02;4.59272;4.59272;4.59272;4.59272;26415.464764303
1998-06-03;4.76127;4.76127;4.76127;4.76127;26925.951793143
1998-06-04;4.80246;4.80246;4.80246;4.80246;14300.353742125
1998-06-05;4.72046;4.72046;4.72046;4.72046;24754.142942374
1998-06-08;4.67473;4.67473;4.67473;4.67473;11840.836193085
1998-06-09;4.41943;4.41943;4.41943;4.41943;16800.172898707
1998-06-10;4.2095;4.2095;4.2095;4.2095;11588.951145959
1998-06-15;3.82657;3.82657;3.82657;3.82657;24354.485334268
1998-06-16;3.91322;3.91322;3.91322;3.91322;29991.112944383
1998-06-17;4.2916;4.2916;4.2916;4.2916;5078.0025500456
1998-06-18;4.67473;4.67473;4.67473;4.67473;35743.047931626
1998-06-19;4.67473;4.67473;4.67473;4.67473;27926.775047055
1998-06-22;4.46498;4.46498;4.46498;4.46498;7973.0013583388
1998-06-23;4.41943;4.41943;4.41943;4.41943;7418.8542546632
1998-06-24;4.2916;4.2916;4.2916;4.2916;15432.157220543
1998-06-25;4.2916;4.2916;4.2916;4.2916;7267.723226388
1998-06-26;4.54717;4.54717;4.54717;4.54717;20264.991658052
1998-06-29;4.46498;4.46498;4.46498;4.46498;8223.7669163657
1998-06-30;4.80246;4.80246;4.80246;4.80246;27213.660491415
1998-07-01;5.18557;5.18557;5.18557;5.18557;16263.937620605
1998-07-02;5.01675;5.01675;5.01675;5.01675;28672.354786545
1998-07-03;5.18557;5.18557;5.18557;5.18557;18399.922820227
1998-07-06;5.31323;5.31323;5.31323;5.31323;13459.617429276
1998-07-07;5.31323;5.31323;5.31323;5.31323;15425.440285952
1998-07-08;4.97566;4.97566;4.97566;4.97566;2346.4491501093
1998-07-09;5.1035;5.1035;5.1035;5.1035;6139.2782152668
1998-07-10;5.22658;5.22658;5.22658;5.22658;4939.1859018521
1998-07-13;4.93011;4.93011;4.93011;4.93011;5294.0639460242
1998-07-14;5.1035;5.1035;5.1035;5.1035;4247.3416390814
1998-07-15;4.88919;4.88919;4.88919;4.88919;4939.1859018521
1998-07-16;5.01675;5.01675;5.01675;5.01675;7187.1200113079
1998-07-17;5.05793;5.05793;5.05793;5.05793;8308.8480878392
1998-07-20;4.59272;4.59272;4.59272;4.59272;10881.434035812
1998-07-21;4.50607;4.50607;4.50607;4.50607;18259.986682935
1998-07-22;4.059;4.059;4.059;4.059;12109.513576685
1998-07-23;4.46498;4.46498;4.46498;4.46498;39070.169531876
1998-07-24;4.63372;4.63372;4.63372;4.63372;44987.788905673
1998-07-27;5.05793;5.05793;5.05793;5.05793;61513.686975288
1998-07-28;5.14449;5.14449;5.14449;5.14449;47743.971065773
1998-07-29;4.97566;4.97566;4.97566;4.97566;21259.097977373
1998-07-30;4.93011;4.93011;4.93011;4.93011;96215.610045463
1998-07-31;5.14449;5.14449;5.14449;5.14449;50633.372428574
1998-08-03;5.1035;5.1035;5.1035;5.1035;19441.047681679
1998-08-04;5.05793;5.05793;5.05793;5.05793;39885.157595464
1998-08-05;4.93011;4.93011;4.93011;4.93011;98022.465450175
1998-08-06;4.93011;4.93011;4.93011;4.93011;105076.36625879
1998-08-07;4.88919;4.88919;4.88919;4.88919;75778.217066267
1998-08-10;4.80246;4.80246;4.80246;4.80246;11648.284068171
1998-08-11;4.88919;4.88919;4.88919;4.88919;3602.5159184406
1998-08-12;4.84811;4.84811;4.84811;4.84811;10841.132428272
1998-08-13;4.59272;4.59272;4.59272;4.59272;15064.964796289
1998-08-14;4.76127;4.76127;4.76127;4.76127;5402.6543885626
1998-08-17;4.76127;4.76127;4.76127;4.76127;22620.396720949
1998-08-18;4.93011;4.93011;4.93011;4.93011;13071.154712155
1998-08-19;5.01675;5.01675;5.01675;5.01675;17832.341847371
1998-08-20;4.93011;4.93011;4.93011;4.93011;6594.9102782889
1998-08-21;4.46498;4.46498;4.46498;4.46498;6364.295524032
1998-08-24;4.46498;4.46498;4.46498;4.46498;6421.3894680471
1998-08-25;4.25069;4.25069;4.25069;4.25069;13990.255261887
1998-08-26;4.25069;4.25069;4.25069;4.25069;7781.5687225236
1998-08-27;3.82657;3.82657;3.82657;3.82657;6518.7850196022
1998-08-28;3.44336;3.44336;3.44336;3.44336;25816.538096693
1998-08-31;3.14688;3.14688;3.14688;3.14688;21793.094277279
1998-09-01;2.85041;2.85041;2.85041;2.85041;86347.313643644
1998-09-02;3.12411;3.12411;3.12411;3.12411;29010.440494242
1998-09-03;3.35679;3.35679;3.35679;3.35679;83314.617676255
1998-09-04;3.22898;3.22898;3.22898;3.22898;33556.685722578
1998-09-07;3.42067;3.42067;3.42067;3.42067;40694.54821356
1998-09-08;3.73974;3.73974;3.73974;3.73974;44285.869241017
1998-09-09;3.67596;3.67596;3.67596;3.67596;34293.309549283
1998-09-10;3.61209;3.61209;3.61209;3.61209;15581.049270621
1998-09-11;3.48436;3.48436;3.48436;3.48436;8969.3466558566
1998-09-14;3.82657;3.82657;3.82657;3.82657;13939.878252462
1998-09-15;4.14573;4.14573;4.14573;4.14573;69022.100357818
1998-09-16;4.18682;4.18682;4.18682;4.18682;54353.43470234
1998-09-17;4.059;4.059;4.059;4.059;19186.923656356
1998-09-18;4.04086;4.04086;4.04086;4.04086;133821.48783672
1998-09-21;3.63487;3.63487;3.63487;3.63487;11844.19466038
1998-09-22;3.61209;3.61209;3.61209;3.61209;134779.7705049
1998-09-23;3.53;3.53;3.53;3.53;59843.409240573
1998-09-24;3.54822;3.54822;3.54822;3.54822;55638.608187228
1998-09-25;3.35679;3.35679;3.35679;3.35679;55767.349433536
1998-09-28;3.31562;3.31562;3.31562;3.31562;29063.056481864
1998-09-29;3.25184;3.25184;3.25184;3.25184;32619.673347273
1998-09-30;3.18797;3.18797;3.18797;3.18797;12347.96475463
1998-10-01;2.86863;2.86863;2.86863;2.86863;38576.474839511
1998-10-02;2.67711;2.67711;2.67711;2.67711;37870.077218462
1998-10-05;2.76385;2.76385;2.76385;2.76385;31448.687750415
1998-10-06;2.85041;2.85041;2.85041;2.85041;28989.170201374
1998-10-07;2.97359;2.97359;2.97359;2.97359;17685.68877549
1998-10-08;2.76385;2.76385;2.76385;2.76385;9196.6029428185
1998-10-09;2.76385;2.76385;2.76385;2.76385;14901.519387931
1998-10-12;3.01915;3.01915;3.01915;3.01915;6231.0763213302
