Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2008-03-20;2.4973;2.611;2.4379;2.4379;253078
2008-03-25;2.33494;2.46503;2.15056;2.16697;57953
2008-03-26;2.15605;2.22108;2.00445;2.03687;126598
2008-03-27;2.15056;2.15056;2.0422;2.08546;14099.1
2008-03-28;2.10746;2.10746;2.00445;2.08031;14429
2008-03-31;2.00445;2.102;1.92326;2.09647;30598.2
2008-04-01;2.102;2.13461;2.00445;2.04772;8567.99
2008-04-02;2.05856;2.0641;1.96135;2.01531;12786.7
2008-04-03;1.98285;1.98285;1.84201;1.84723;31078
2008-04-04;1.85823;1.85823;1.70636;1.78236;51774.1
2008-04-07;1.76059;1.77159;1.70636;1.76059;27163.8
2008-04-08;1.70118;2.0531;1.67932;2.0531;109710
2008-04-09;2.04772;2.26436;1.99908;2.26436;119953
2008-04-10;2.27529;2.30228;2.19956;2.23193;14350.4
2008-04-11;2.27529;2.59486;2.27529;2.56244;150344
2008-04-14;2.32948;2.47581;2.32948;2.43253;7216.93
2008-04-15;2.4379;2.44857;2.281;2.2863;1423.56
2008-04-16;2.43253;2.51906;2.2863;2.46503;78818.3
2008-04-17;2.4379;2.4379;2.2863;2.29152;6060.43
2008-04-18;2.27529;2.29152;2.14521;2.29152;18867.7
2008-04-21;2.31881;2.3726;2.31881;2.3726;4507.56
2008-04-22;2.31881;2.41067;2.31881;2.41067;2327.49
2008-04-23;2.42705;2.42705;2.42705;2.42705;21.7523
2008-04-24;2.27529;2.41067;2.27529;2.41067;930.515
2008-04-25;2.281;2.34033;2.281;2.34033;895.47
2008-04-28;2.35663;2.35663;2.18334;2.30779;3761.94
2008-04-29;2.30779;2.30779;2.16697;2.16697;25446.5
2008-04-30;2.26983;2.37821;2.26983;2.37821;32245.3
2008-05-05;2.37821;2.41067;2.27529;2.37821;21395.8
2008-05-06;2.64368;2.64368;2.35663;2.49233;2118.43
2008-05-07;2.53545;2.53545;2.53545;2.53545;1.20846
2008-05-08;2.30228;2.32427;2.22108;2.23193;12969.2
2008-05-09;2.23193;2.30779;2.22108;2.30779;3213.3
2008-05-12;2.30779;2.40547;2.30779;2.40547;129.305
2008-05-13;2.16697;2.34033;2.16135;2.34033;2350.45
2008-05-15;2.11278;2.27529;2.11278;2.27529;15149.2
2008-05-16;2.0641;2.13992;2.00445;2.00445;23701.5
2008-05-19;2.05856;2.11278;2.00445;2.11278;37087.7
2008-05-20;2.10746;2.10746;2.10746;2.10746;19.3353
2008-05-21;1.91235;2.102;1.91235;2.102;1778.85
2008-05-23;2.10746;2.16697;2.10746;2.14521;2291.24
2008-05-26;2.15056;2.15056;2.09647;2.09647;141.39
2008-05-27;2.00445;2.13992;2.00445;2.13992;540.182
2008-05-29;1.97739;2.13992;1.92874;1.95042;5029.61
2008-05-30;2.00445;2.00445;1.81487;1.99908;10671.9
2008-06-02;1.89049;1.89049;1.89049;1.89049;1844.11
2008-06-03;1.86908;1.86908;1.7931;1.86359;3684.6
2008-06-04;1.76059;1.85823;1.76059;1.76059;2696.07
2008-06-05;1.81487;1.93403;1.81487;1.93403;2636.86
2008-06-06;1.89621;2.0531;1.89621;2.0531;396.375
2008-06-09;2.09647;2.09647;2.09647;2.09647;1.20846
2008-06-10;1.67932;1.67932;1.67932;1.67932;113.595
2008-06-11;2.00445;2.00445;2.00445;2.00445;113.595
2008-06-12;1.99908;2.05856;1.69025;1.95042;1702.72
2008-06-13;1.94485;1.94485;1.94485;1.94485;2547.43
2008-06-16;1.95042;1.95042;1.95042;1.95042;2.41692
2008-06-17;1.99908;1.99908;1.99908;1.99908;6.04231
2008-06-18;2.05856;2.05856;2.05856;2.05856;1.20846
2008-06-19;2.08546;2.13992;2.08546;2.13992;2.41692
2008-06-20;2.12907;2.12907;2.12907;2.12907;276.737
2008-06-24;2.03174;2.03174;1.99908;1.99908;244.109
2008-06-26;2.03174;2.03174;2.03174;2.03174;16.9184
2008-06-27;1.76604;1.93403;1.67932;1.89621;31826
2008-06-30;1.89621;1.89621;1.89621;1.89621;677.947
2008-07-01;1.67932;1.76059;1.65218;1.73352;6264.66
2008-07-02;1.6252;1.73352;1.58738;1.72807;1386.1
2008-07-03;1.6252;1.70636;1.60362;1.69538;21332.9
2008-07-07;1.70118;1.70118;1.59815;1.67932;2398.79
2008-07-08;1.6252;1.6252;1.6252;1.6252;276.737
2008-07-11;1.6252;1.69538;1.59815;1.67932;3823.57
2008-07-14;1.70636;1.70636;1.70636;1.70636;94.26
2008-07-15;1.54925;1.61454;1.46808;1.61454;4285.2
2008-07-16;1.46808;1.5711;1.46808;1.5711;2080.97
2008-07-17;1.57646;1.69025;1.57646;1.69025;240.483
2008-07-18;1.69025;1.69025;1.69025;1.69025;276.737
2008-07-23;1.6252;1.6252;1.6252;1.6252;1461.03
2008-07-29;1.55487;1.55487;1.54925;1.54925;524.472
2008-07-30;1.54402;1.65218;1.54402;1.65218;426.587
2008-08-05;1.61983;1.61983;1.51689;1.51689;2920.85
2008-08-06;1.59815;1.59815;1.54402;1.54402;1467.07
2008-08-07;1.6416;1.6416;1.6416;1.6416;372.206
2008-08-08;1.5711;1.5711;1.46276;1.5711;1309.97
2008-08-11;1.61983;1.61983;1.61983;1.61983;717.826
2008-08-13;1.59815;1.67396;1.59815;1.67396;5533.54
2008-08-14;1.76059;1.76059;1.44102;1.6252;2068.88
2008-08-18;1.6579;1.6579;1.6579;1.6579;1.20846
2008-08-19;1.46276;1.6252;1.46276;1.6252;861.633
2008-08-21;1.47883;1.56049;1.47883;1.56049;2547.43
2008-08-22;1.55487;1.55487;1.46276;1.48982;4503.93
2008-08-25;1.61983;1.61983;1.61983;1.61983;1.20846
2008-08-26;1.6252;1.6416;1.6252;1.6416;338.369
2008-08-28;1.5711;1.63075;1.4247;1.63075;2310.57
2008-09-01;1.59815;1.59815;1.45218;1.46276;9312.4
2008-09-02;1.46276;1.48982;1.43562;1.48982;3342.6
2008-09-04;1.48421;1.48421;1.48421;1.48421;658.611
2008-09-08;1.47883;1.47883;1.47883;1.47883;669.488
2008-09-09;1.47883;1.48421;1.47883;1.48421;448.339
2008-09-10;1.47883;1.48421;1.47883;1.48421;263.444
2008-09-16;1.46276;1.46276;1.11059;1.40311;6664.66
2008-09-17;1.3542;1.3542;1.3542;1.3542;1364.35
2008-09-18;1.24581;1.31094;1.24581;1.31094;1150.45
2008-09-19;1.30033;1.30033;1.30033;1.30033;368.58
2008-09-22;1.30033;1.30033;1.30033;1.30033;184.894
2008-09-24;1.28404;1.28404;1.27312;1.27312;1847.73
2008-09-25;1.2784;1.39756;1.2784;1.39756;209.063
2008-09-26;1.40311;1.48982;1.3542;1.45218;9694.28
2008-09-29;1.38697;1.45218;1.38697;1.40847;12067.7
2008-09-30;1.35976;1.35976;1.33815;1.3542;9788.54
2008-10-01;1.40311;1.43023;1.40311;1.43023;831.421
2008-10-02;1.38144;1.38144;1.38144;1.38144;200.604
2008-10-03;1.43023;1.43023;1.33815;1.40311;3328.1
2008-10-06;1.32182;1.3273;1.21909;1.24581;8617.54
2008-10-07;1.2515;1.2515;1.07798;1.19191;42759
2008-10-08;1.12672;1.19191;1.0837;1.0837;33774.1
2008-10-09;1.09949;1.09949;1.09949;1.09949;551.058
2008-10-10;1.0837;1.0837;0.975124;0.975124;23123.9
2008-10-13;1.0837;1.16479;1.0837;1.11059;7790.95
2008-10-14;1.06193;1.13765;1.02925;1.12672;26235.7
2008-10-15;1.09949;1.19191;1.09949;1.19191;16878.5
2008-10-16;1.09949;1.10504;1.05629;1.10504;9129.93
2008-10-17;1.06715;1.06715;1.05101;1.05101;14603
2008-10-20;1.02925;1.02925;1.02925;1.02925;1844.11
2008-10-21;1.0021;1.02393;1.0021;1.02393;5343.81
2008-10-22;0.975124;0.975124;0.921007;0.921007;2586.1
2008-10-23;0.872181;0.921007;0.866966;0.915785;29653.2
2008-10-24;0.855966;0.855966;0.845122;0.845122;7533.55
2008-10-27;0.807059;1.01857;0.807059;1.01857;20084.6
2008-10-28;1.05101;1.07268;1.0021;1.04017;8872.52
2008-10-29;1.05629;1.10504;1.05101;1.05101;2674.32
2008-10-30;1.05629;1.06715;1.05629;1.05629;8031.43
2008-10-31;1.0021;1.04555;1.0021;1.04555;4775.84
2008-11-03;1.04017;1.04017;1.02925;1.02925;8691.25
2008-11-04;1.0837;1.11604;1.0837;1.11604;780.666
2008-11-05;1.13219;1.22452;1.02925;1.21909;45998.9
2008-11-06;1.19731;1.31655;1.19731;1.31655;46773.5
2008-11-07;1.24086;1.27312;1.24086;1.27312;2661.03
2008-11-10;1.24086;1.24086;1.15395;1.19731;13052.5
2008-11-12;1.12672;1.12672;1.12672;1.12672;645.318
2008-11-13;1.09949;1.09949;1.07268;1.07268;2.41692
2008-11-14;1.17;1.17;1.12133;1.17;5942
2008-11-17;1.0837;1.0837;1.0837;1.0837;94.26
2008-11-18;1.02925;1.06193;1.02393;1.06193;11943.2
2008-11-19;1.00773;1.00773;1.00773;1.00773;458.007
2008-11-20;0.953344;0.991435;0.953344;0.991435;13550.4
2008-11-21;1.04017;1.04017;1.04017;1.04017;184.894
2008-11-24;1.04017;1.05101;1.04017;1.05101;2456.8
2008-11-25;1.05101;1.32182;1.05101;1.32182;78819.5
2008-11-26;1.26219;1.33815;1.19191;1.33815;14009.7
2008-11-27;1.34899;1.47361;1.34899;1.39228;17158.9
2008-11-28;1.40847;1.40847;1.32182;1.32182;7856.21
2008-12-01;1.20274;1.24581;1.20274;1.24581;6662.25
2008-12-02;1.21909;1.2784;1.16479;1.2784;8871.32
2008-12-03;1.27312;1.2784;1.27312;1.2784;38951.1
2008-12-04;1.30564;1.30564;1.30564;1.30564;22.9607
2008-12-05;1.2947;1.2947;1.22991;1.22991;331.118
2008-12-08;1.28404;1.28404;1.28404;1.28404;687.614
2008-12-10;1.2947;1.2947;1.24581;1.24581;6977.66
2008-12-12;1.19191;1.19191;1.15922;1.15922;3673.72
2008-12-15;1.19731;1.19731;1.19191;1.19191;7817.54
2008-12-16;1.21909;1.24581;1.19191;1.24581;932.932
2008-12-17;1.2515;1.2515;1.19731;1.2515;12132.9
