Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2011-05-04;6.11661;6.3334;5.97537;5.98656;452824.63375466
2011-05-05;5.99775;5.99775;5.68878;5.86177;82334.70916083
2011-05-06;5.93251;5.93251;5.80264;5.85678;142034.40281035
2011-05-09;5.87278;5.90541;5.84567;5.87278;38915.588240858
2011-05-10;5.87847;5.9159;5.69936;5.84567;18909.957263308
2011-05-11;5.72638;5.86177;5.72638;5.79713;41633.277336949
2011-05-12;5.73198;5.85127;5.72088;5.81314;12428.867148731
2011-05-13;5.80763;5.85127;5.74799;5.85127;75613.105304103
2011-05-16;5.75349;5.85127;5.75349;5.85127;41550.782285293
2011-05-17;5.84567;5.85127;5.73198;5.74799;61255.480609621
2011-05-18;5.74799;5.84567;5.70487;5.84567;43415.635213564
2011-05-19;5.84567;5.85127;5.82416;5.82975;8457.4856479027
2011-05-20;5.74799;5.82416;5.74799;5.79713;1079.4070843387
2011-05-23;5.75349;5.85127;5.7374;5.85127;31201.719959992
2011-05-24;5.77011;5.86177;5.68878;5.86177;340486.12573605
2011-05-25;5.79713;5.85127;5.79713;5.85127;7150.3457449091
2011-05-26;5.85127;5.87278;5.82416;5.87278;7310.6882396763
2011-05-27;5.86728;6.20354;5.86728;6.20354;529224.34680483
2011-05-30;6.18159;6.23039;6.12728;6.1759;24495.220831032
2011-05-31;6.13278;6.23039;6.12728;6.2247;29668.009140479
2011-06-01;6.21403;6.2247;6.16541;6.17031;20062.564182214
2011-06-02;6.16541;6.1759;6.12221;6.12221;25840.703504514
2011-06-03;6.0678;6.14905;6.0678;6.14905;23269.414077558
2011-06-06;6.1759;6.1759;6.0623;6.09466;8899.0084595805
2011-06-07;6.13856;6.1759;6.10043;6.12221;5347.0736298459
2011-06-08;6.09466;6.12221;6.08906;6.08906;13761.568898717
2011-06-09;6.11102;6.11102;5.95971;6.0246;11488.888320712
2011-06-10;5.96531;6.03537;5.96531;6.02977;429741.12401886
2011-06-13;6.0246;6.0623;5.95971;6.01341;5679.3776407403
2011-06-14;5.99775;6.02977;5.99225;6.0246;9227.8267640669
2011-06-15;5.97537;6.00791;5.97537;5.97537;16753.466898902
2011-06-16;5.95971;5.95971;5.79713;5.80264;34546.836209519
2011-06-17;5.87847;5.90541;5.68878;5.90541;13274.731903735
2011-06-20;5.90541;5.99225;5.79713;5.96531;67191.638622416
2011-06-21;5.97537;6.0623;5.97537;5.98656;70632.030847095
2011-06-22;6.00791;6.00791;5.87847;5.95971;21708.979508918
2011-06-24;5.82416;5.93251;5.82416;5.82416;1523.2537002886
2011-06-27;5.82416;5.82975;5.743;5.76451;13155.055983728
2011-06-28;5.70487;5.82416;5.70487;5.82416;2345.8804125725
2011-06-29;5.82416;5.90541;5.79713;5.87847;625.10334916495
2011-06-30;5.87847;5.93251;5.85127;5.93251;5122.826517599
2011-07-01;5.93251;5.93251;5.73198;5.8943;11204.222297393
2011-07-04;5.72088;5.78052;5.67784;5.71588;7974.134359329
2011-07-05;5.81314;5.81314;5.52585;5.55287;10067.882008391
2011-07-06;5.57999;5.61812;5.42301;5.4446;41075.564311671
2011-07-07;5.575;5.65633;5.42301;5.55287;2718.8509982267
2011-07-08;5.52585;5.57999;5.45011;5.57999;1407.0634866891
2011-07-11;5.60701;5.60701;5.60701;5.60701;407.82764973401
