Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2012-01-04;0.476985;0.681427;0.471782;0.560918;202064.74754388
2012-01-05;0.539878;0.539878;0.487541;0.518989;20761.820636916
2012-01-09;0.498024;0.524192;0.471782;0.524192;24482.691091486
2012-01-10;0.49282;0.524192;0.49282;0.513709;3459.6404190915
2012-01-11;0.518989;0.518989;0.498024;0.518989;5411.5724608326
2012-01-12;0.518989;0.524192;0.498024;0.524192;4471.4095412711
2012-01-13;0.518989;0.518989;0.518989;0.518989;1.3260407892263
2012-01-16;0.471782;0.518989;0.419369;0.518989;20589.435334317
2012-01-17;0.524192;0.524192;0.471782;0.524192;11674.463108349
2012-01-18;0.45089;0.49282;0.445612;0.49282;13973.817836867
2012-01-19;0.45089;0.49282;0.445612;0.49282;7721.5355156648
2012-01-20;0.49282;0.49282;0.49282;0.49282;37.129142098337
2012-01-23;0.49282;0.508581;0.482262;0.508581;11219.631117644
2012-01-24;0.508581;0.508581;0.498024;0.508581;13961.883469764
2012-01-25;0.518989;0.518989;0.471782;0.487541;11223.609240012
2012-01-26;0.487541;0.534749;0.487541;0.534749;27718.230617198
2012-01-27;0.529547;0.539878;0.524192;0.534749;9815.3539218532
2012-01-30;0.534749;0.539878;0.534749;0.539878;11691.701638608
2012-01-31;0.539878;0.539878;0.524192;0.524192;2519.47749953
2012-02-01;0.539878;0.539878;0.524192;0.524192;37.129142098337
2012-02-02;0.524192;0.524192;0.49282;0.498024;10165.428690209
2012-02-03;0.498024;0.498024;0.498024;0.498024;37.129142098337
2012-02-06;0.498024;0.498024;0.498024;0.498024;37.129142098337
2012-02-07;0.498024;0.498024;0.487541;0.498024;7051.8849171056
2012-02-08;0.498024;0.498024;0.471782;0.498024;2898.7251652488
2012-02-09;0.498024;0.524192;0.49282;0.524192;126809.28067372
2012-02-10;0.513709;0.560918;0.513709;0.524192;15985.421714124
2012-02-13;0.576679;0.576679;0.576679;0.576679;19.890611838395
