Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
1999-04-28;2.42292;2.42292;2.42292;2.42292;248106.50499024
1999-04-29;2.17788;2.17788;2.17788;2.17788;73560.647707673
1999-04-30;2.17788;2.17788;2.17788;2.17788;55345.546817659
1999-05-04;2.39565;2.39565;2.39565;2.39565;32966.494121253
1999-05-05;2.61357;2.61357;2.61357;2.61357;86860.284768576
1999-05-06;2.79863;2.79863;2.79863;2.79863;116809.47687516
1999-05-07;2.68962;2.68962;2.68962;2.68962;38242.083511996
1999-05-10;2.55911;2.55911;2.55911;2.55911;31698.552039666
1999-05-11;2.47739;2.47739;2.47739;2.47739;20147.024475862
1999-05-12;2.58629;2.58629;2.58629;2.58629;8254.1278900922
1999-05-13;2.53184;2.53184;2.53184;2.53184;8910.6067784877
1999-05-14;2.53184;2.53184;2.53184;2.53184;3542.4851253797
1999-05-17;2.42292;2.42292;2.42292;2.42292;8773.0588209191
1999-05-18;2.50457;2.50457;2.50457;2.50457;15645.454955436
1999-05-19;2.58629;2.58629;2.58629;2.58629;17606.138568777
1999-05-20;2.58629;2.58629;2.58629;2.58629;4657.874017663
1999-05-21;2.53184;2.53184;2.53184;2.53184;34364.481544541
1999-05-24;2.58629;2.58629;2.58629;2.58629;13168.341283223
1999-05-25;2.53184;2.53184;2.53184;2.53184;12570.632885789
1999-05-26;2.47739;2.47739;2.47739;2.47739;12656.912968264
1999-05-27;2.53184;2.53184;2.53184;2.53184;18756.539668442
1999-05-28;2.47739;2.47739;2.47739;2.47739;10386.121232405
1999-05-31;2.50457;2.50457;2.50457;2.50457;7821.4770417402
1999-06-01;2.53184;2.53184;2.53184;2.53184;6077.1188525751
1999-06-02;2.45034;2.45034;2.45034;2.45034;4624.1122462598
1999-06-07;2.47739;2.47739;2.47739;2.47739;12039.197595184
1999-06-08;2.42292;2.42292;2.42292;2.42292;8799.317976455
1999-06-09;2.42292;2.42292;2.42292;2.42292;8152.8425758827
1999-06-10;2.47739;2.47739;2.47739;2.47739;9276.9845200113
1999-06-11;2.50457;2.50457;2.50457;2.50457;4465.306877067
1999-06-14;2.42292;2.42292;2.42292;2.42292;9251.9758004534
1999-06-15;2.47739;2.47739;2.47739;2.47739;16653.30635362
1999-06-16;2.47739;2.47739;2.47739;2.47739;836.5416692125
1999-06-17;2.47739;2.47739;2.47739;2.47739;16135.625858771
1999-06-18;2.47739;2.47739;2.47739;2.47739;7173.75120519
1999-06-21;2.42292;2.42292;2.42292;2.42292;14296.234535286
1999-06-22;2.47739;2.47739;2.47739;2.47739;167235.80855578
1999-06-23;2.53184;2.53184;2.53184;2.53184;46146.089328278
1999-06-24;2.63532;2.63532;2.63532;2.63532;90721.631068319
1999-06-25;2.58629;2.58629;2.58629;2.58629;47476.55320876
1999-06-28;2.47739;2.47739;2.47739;2.47739;21916.391384585
1999-06-29;2.53184;2.53184;2.53184;2.53184;18025.034621372
1999-06-30;2.68962;2.68962;2.68962;2.68962;101935.54091809
1999-07-01;2.68962;2.68962;2.68962;2.68962;47980.478907851
1999-07-02;2.61357;2.61357;2.61357;2.61357;28601.222122417
1999-07-05;2.61357;2.61357;2.61357;2.61357;7096.2241745604
1999-07-06;2.61357;2.61357;2.61357;2.61357;13563.479052239
1999-07-07;2.53184;2.53184;2.53184;2.53184;6340.9608439112
1999-07-08;2.58629;2.58629;2.58629;2.58629;5835.7847088412
1999-07-09;2.58629;2.58629;2.58629;2.58629;13873.587174757
1999-07-12;2.58629;2.58629;2.58629;2.58629;21560.017130885
1999-07-13;2.55911;2.55911;2.55911;2.55911;9785.911963015
1999-07-14;2.53184;2.53184;2.53184;2.53184;4085.1743397866
1999-07-15;2.55911;2.55911;2.55911;2.55911;3528.7303296228
1999-07-16;2.55911;2.55911;2.55911;2.55911;8044.0546458057
1999-07-19;2.47739;2.47739;2.47739;2.47739;3932.6211504833
1999-07-20;2.53184;2.53184;2.53184;2.53184;2797.2252825536
1999-07-21;2.55911;2.55911;2.55911;2.55911;5849.539504598
1999-07-22;2.50457;2.50457;2.50457;2.50457;2417.0927452732
1999-07-23;2.45034;2.45034;2.45034;2.45034;3376.1771403195
1999-07-26;2.42292;2.42292;2.42292;2.42292;16588.28368277
1999-07-27;2.42292;2.42292;2.42292;2.42292;3448.7024270375
1999-07-28;2.45034;2.45034;2.45034;2.45034;12074.209802565
1999-07-29;2.50457;2.50457;2.50457;2.50457;5573.193153483
1999-07-30;2.47739;2.47739;2.47739;2.47739;7836.4822734749
1999-08-02;2.50457;2.50457;2.50457;2.50457;6981.184064594
1999-08-03;2.47739;2.47739;2.47739;2.47739;1723.1007775408
1999-08-04;2.42292;2.42292;2.42292;2.42292;9659.6179292475
1999-08-05;2.47739;2.47739;2.47739;2.47739;12813.217465501
