Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2004-05-26;20.9458;21.7086;20.8487;21.4213;537929.10076877
2004-05-27;21.6115;22.089;21.6115;21.8988;227533.55913724
2004-05-28;21.8988;21.9948;21.6115;21.8988;54626.587077962
2004-05-31;21.8988;21.9948;21.7086;21.8988;23125.729622043
2004-06-01;21.8988;21.8988;21.6115;21.8988;13779.543215648
2004-06-02;21.8038;21.8988;21.8038;21.8988;19640.21480821
2004-06-03;21.8988;21.8988;21.7086;21.7086;8054.1334200908
2004-06-04;21.8988;21.8988;21.7086;21.8988;37512.941507812
2004-06-07;21.8988;22.2812;21.8988;22.2812;54409.562552918
2004-06-08;22.2812;23.1302;22.2812;22.94;37153.589270997
2004-06-09;23.0331;23.798;22.8438;23.798;37578.553573522
2004-06-11;23.7027;25.7069;23.7027;25.0372;50964.424394908
2004-06-14;25.0372;25.0372;23.5116;24.4656;23874.716587541
2004-06-15;24.2754;24.3705;23.798;23.9871;7791.6851572478
2004-06-16;23.798;24.4656;23.798;24.1784;9571.2862626019
2004-06-17;24.1784;24.3705;23.3214;23.3214;28472.60826927
2004-06-18;23.6066;23.798;23.3214;23.3214;9745.915299032
2004-06-21;23.1302;24.0841;23.1302;23.7027;19644.252473792
2004-06-22;23.8941;23.9871;23.7027;23.7027;6960.9354637104
2004-06-23;24.0841;24.3705;23.8941;23.8941;20113.631097722
2004-06-24;24.2754;24.2754;23.8941;23.9871;7810.8640687633
2004-06-25;24.0841;24.3705;23.798;24.3705;9980.0999027995
2004-06-28;24.5617;26.1825;24.5617;25.9922;34317.129199502
2004-06-29;26.2786;26.3757;25.5158;25.7069;7819.9488163233
2004-06-30;26.0883;26.0883;25.5158;25.5158;10896.649989959
2004-07-01;25.5158;25.6099;25.0372;25.4187;2228.7914013737
2004-07-02;25.2294;25.4187;24.848;25.2294;12150.345153231
2004-07-05;25.4187;25.7069;25.3255;25.6099;4544.3926127646
2004-07-06;25.4187;25.7069;25.2294;25.6099;4385.9142386633
2004-07-07;25.6099;25.9922;25.3255;25.8972;7236.5061396956
2004-07-08;25.7069;27.1285;25.7069;26.9363;15638.88821625
2004-07-09;27.1285;28.0825;26.9363;28.0825;19430.256197936
2004-07-12;28.0825;29.1307;28.0825;28.1776;50429.433705266
2004-07-13;28.1776;28.5601;27.8914;28.463;24863.944655179
2004-07-14;28.0825;30.2768;28.0825;29.9897;61817.669479857
2004-07-15;29.9897;31.1269;29.4179;29.8944;45814.381944813
2004-07-16;30.2768;30.8406;28.9415;30.5542;51297.531805439
2004-07-19;30.9347;33.225;30.9347;31.9849;45466.133288349
2004-07-20;32.5565;32.5565;30.3729;31.7937;62196.200628187
2004-07-21;31.7937;31.8897;30.9347;31.3172;108372.963059
2004-07-22;31.4102;31.4102;31.0298;31.3172;25063.809101498
2004-07-23;31.3172;32.8438;31.0298;32.5565;25855.19155561
2004-07-26;32.7486;32.8438;31.3172;31.5082;31223.267947143
2004-07-27;31.7937;32.271;30.5542;31.223;19996.538795839
2004-07-28;32.081;32.081;30.0867;30.4672;19046.677967627
2004-07-29;30.0867;30.7455;29.513;29.8944;20131.800592843
2004-07-30;29.8944;30.4672;29.7994;30.4672;5537.6583459855
2004-08-02;30.5542;31.4102;30.5542;31.1269;14743.535873398
2004-08-03;31.1269;31.4102;31.0298;31.3172;16369.705686629
2004-08-04;31.223;31.6985;31.1269;31.6035;23955.469899185
2004-08-05;31.8897;31.8897;31.223;31.223;9800.4237843917
2004-08-06;30.9347;31.3172;29.9897;29.9897;13183.987542274
2004-08-09;29.9897;30.9347;28.3679;29.0366;14186.338023056
2004-08-10;29.0366;29.8944;28.7493;29.513;18723.664721051
2004-08-11;29.1307;29.513;29.1307;29.1307;22236.433777564
2004-08-12;29.0366;29.4179;29.0366;29.1307;3497.6278105796
2004-08-13;29.1307;29.3239;29.0366;29.3239;2597.2283857492
2004-08-16;29.6092;29.6092;29.4179;29.4179;2022.8704566816
2004-08-17;29.3239;29.8944;29.2268;29.513;4144.6637201269
2004-08-18;29.513;30.0867;29.513;30.0867;4178.9838775756
2004-08-19;30.3729;30.3729;29.7044;29.7044;3440.0910760332
2004-08-20;29.4179;29.7994;28.8453;29.2268;6538.9994103707
2004-08-23;29.2268;29.7994;29.1307;29.7044;19201.118676146
2004-08-24;29.9897;31.4102;29.9897;31.4102;22476.674879704
2004-08-25;31.4102;31.5082;30.7455;31.1269;14606.255243604
2004-08-26;31.4102;31.4102;30.5542;30.5542;10195.105595051
2004-08-27;31.4102;31.4102;30.9347;31.223;1132.5651958067
2004-08-30;31.223;31.223;30.3729;30.3729;1725.0926199944
2004-08-31;30.1818;30.4672;30.1818;30.2768;18040.289821264
2004-09-01;30.4672;30.9347;30.2768;30.9347;10291.000152629
2004-09-02;30.8406;31.4102;30.1818;31.223;20288.260134153
2004-09-03;31.4102;31.5082;30.9347;31.3172;4719.0216491947
2004-09-06;31.4102;31.4102;30.9347;31.1269;1853.2885022292
2004-09-07;30.5542;31.3172;30.5542;31.1269;5659.797729847
2004-09-08;31.0298;33.034;30.9347;32.6526;40086.953316463
2004-09-09;32.4623;34.2753;32.081;34.2753;47756.49908985
2004-09-10;35.1242;35.6969;34.5516;34.5516;54040.116152146
2004-09-13;35.2193;35.9831;34.837;35.6017;19113.299449733
2004-09-14;36.1754;36.841;35.4106;35.4106;28059.75696349
2004-09-15;35.4106;35.4106;34.5516;35.1242;8531.5873751857
2004-09-16;34.9331;35.1242;34.837;35.0292;4808.8597083986
2004-09-17;34.837;34.9331;34.2753;34.6467;9773.1695417118
2004-09-20;34.2753;34.9331;33.8928;34.7439;2661.8310350645
2004-09-21;34.837;34.837;34.4644;34.6467;1398.0417078363
2004-09-22;34.4644;35.1242;34.2753;34.4644;5123.7976238101
2004-09-23;34.2753;36.0772;34.2753;35.3144;23357.895393019
2004-09-24;35.4106;36.5568;35.2193;35.2193;19564.508578544
2004-09-27;35.4106;35.4106;34.9331;34.9331;4895.6695184158
2004-09-28;34.5516;34.9331;34.5516;34.9331;4386.9236550588
2004-09-29;34.6467;35.2193;34.6467;35.2193;9496.5894493312
2004-09-30;35.1242;35.2193;34.837;34.837;5018.8183186729
