Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2007-11-08;3.4399;3.73604;3.34002;3.73266;138596.32701039
2007-11-09;3.76355;3.99434;3.73266;3.84964;50820.887676322
2007-11-12;3.61538;3.92196;3.54659;3.71542;12189.354502033
2007-11-13;3.71872;3.71872;3.70142;3.70142;441.72348813947
2007-11-14;3.78775;3.78775;3.58101;3.68443;1367.8747866921
2007-11-15;3.64987;3.64987;2.99562;3.09895;27891.352131932
2007-11-16;2.99562;3.03008;2.92697;3.02319;23534.090994611
2007-11-19;3.03008;3.15058;3.01294;3.14377;23511.467297929
2007-11-20;3.15058;3.20925;3.068;3.09895;27317.485307303
2007-11-21;3.0818;3.161;2.92697;3.14377;11486.134596839
2007-11-22;3.15058;3.15058;2.84425;2.85452;39298.72274773
2007-11-23;2.99929;3.09895;2.93372;3.03008;32207.136492002
2007-11-26;2.93027;2.93027;2.82702;2.82702;3943.4883885167
2007-11-27;2.82356;2.91634;2.55149;2.91634;17161.854501896
2007-11-28;2.91993;3.3607;2.82356;3.3607;25039.404738645
2007-11-29;3.39164;3.54318;3.39164;3.50524;13295.716113377
2007-11-30;3.51213;3.74983;3.309;3.64291;19114.19573407
2007-12-03;3.64291;3.66718;3.64291;3.66718;4387.8764453765
2007-12-04;3.71872;3.71872;3.44327;3.6465;2905.2282937587
2007-12-05;3.6465;3.6465;3.6465;3.6465;1717.515639763
2007-12-06;3.62927;3.64987;3.44327;3.6465;14292.625118089
2007-12-07;3.32614;3.61218;3.32614;3.44679;36034.52132602
2007-12-10;3.50524;3.64987;3.50524;3.53283;15609.722274451
2007-12-11;3.48119;3.60859;3.48119;3.60859;9519.0879618226
2007-12-12;3.58101;3.58101;3.50524;3.58101;5422.125023547
2007-12-13;3.54659;3.54659;3.54659;3.54659;132.11610426176
2007-12-14;3.44679;3.56383;3.38138;3.56383;42189.318956181
2007-12-17;3.44327;3.44327;3.36414;3.37456;6823.3697628448
2007-12-18;3.37456;3.47782;3.27467;3.4399;89771.45686956
2007-12-19;3.37456;3.43646;3.27124;3.37795;161013.68719935
2007-12-20;3.28846;3.32976;3.13358;3.32285;193438.89098992
2007-12-21;3.20228;3.27124;3.10242;3.23331;312642.72984919
2007-12-27;3.42274;3.42274;3.27124;3.41577;14786.366350303
2007-12-28;3.22289;3.35366;3.22289;3.35366;23148.440757655
2008-01-02;3.4399;3.4399;3.27124;3.43308;875.44070139764
2008-01-03;3.47085;3.47437;3.35028;3.44327;4889.6511846992
2008-01-04;3.37456;3.44327;3.30562;3.44327;21466.955449644
2008-01-07;3.34002;3.4399;3.27467;3.37456;32514.022747918
2008-01-08;3.27124;3.36761;3.23684;3.36761;20105.76303262
2008-01-09;3.23684;3.25744;3.09895;3.25744;32957.07014127
2008-01-10;3.26771;3.36761;3.11627;3.21952;20107.124643995
2008-01-11;3.29184;3.29184;3.06455;3.09895;64665.228434234
2008-01-14;3.09895;3.09895;2.90967;2.9888;43355.696207334
2008-01-15;2.92697;3.26418;2.85797;3.03008;25753.412795498
2008-01-16;2.90967;2.90967;2.75471;2.87866;61159.393363241
2008-01-17;3.09544;3.09544;2.82356;3.0061;24169.335070423
2008-01-18;2.87866;2.99562;2.82356;2.9577;17718.334596667
2008-01-21;2.96122;3.09895;2.92697;3.09895;89551.190044922
2008-01-22;2.96122;3.25392;2.92697;3.25392;108666.01421501
2008-01-23;3.27124;3.37456;3.23684;3.37456;116452.33648968
2008-01-24;3.39853;3.41577;3.39853;3.41577;55761.337439219
2008-01-25;3.37456;3.4193;3.17135;3.4193;42719.090520148
2008-01-28;3.37097;3.37456;3.23684;3.37456;13559.973459341
2008-01-29;3.23684;3.35733;3.23684;3.35733;31690.66682377
2008-01-30;3.35733;3.4399;3.20565;3.4399;75209.232699346
2008-01-31;3.39164;3.52936;3.36761;3.37456;111467.79146612
2008-02-01;3.37456;3.37456;3.24012;3.3607;8727.7194310387
2008-02-04;3.26771;3.3607;3.14722;3.18505;54018.474880026
2008-02-05;3.068;3.18505;3.00251;3.16775;3560.4775828401
2008-02-06;3.06119;3.09544;3.06119;3.09544;2504.8831278929
2008-02-07;2.96122;2.96122;2.96122;2.96122;2256.6613743453
2008-02-08;3.18159;3.18159;3.08516;3.08516;2.6690201421064
2008-02-11;2.97172;3.06119;2.89244;3.06119;23506.125591768
2008-02-12;3.05766;3.06455;3.05766;3.06455;1190.3835070761
2008-02-13;3.08516;3.18159;2.94406;3.0507;13238.318956981
2008-02-14;3.09544;3.09544;3.03008;3.09206;2482.1965876092
2008-02-15;3.09895;3.09895;2.99562;3.09544;134.78590994889
2008-02-18;3.07498;3.07498;3.07498;3.07498;368.32530330737
2008-02-19;3.07827;3.07827;2.96805;3.06455;493.76951183471
2008-02-20;3.05766;3.06455;2.89926;3.02671;16427.841231774
2008-02-21;2.91304;2.9888;2.89596;2.9888;4701.4869666949
2008-02-22;2.99232;2.99232;2.99232;2.99232;28.02479004662
2008-02-25;2.92697;2.99562;2.86148;2.99562;3778.0107107962
2008-02-26;2.99562;2.99562;2.86148;2.99232;3053.3611373565
2008-02-27;2.82356;2.97832;2.82356;2.97172;3812.7003790417
2008-02-28;2.96805;2.96805;2.79255;2.96122;6129.4192889303
2008-02-29;2.92697;2.94406;2.92697;2.94406;7329.1455448214
2008-03-03;2.94744;2.94744;2.94744;2.94744;6.6725660661665
2008-03-04;2.82356;2.95449;2.82356;2.93372;468.41421325721
2008-03-05;2.79599;2.88891;2.75127;2.88891;29092.398103462
2008-03-06;2.95449;2.95449;2.75807;2.94061;4738.8579619545
2008-03-07;2.78896;2.90967;2.78896;2.90967;292112.77250379
2008-03-10;2.90967;2.90967;2.89244;2.89244;173.48604738858
2008-03-11;2.73049;2.85797;2.68923;2.82356;6288.2250709165
2008-03-12;2.70653;2.78896;2.703;2.78573;6110.7337913005
2008-03-13;2.76505;2.76505;2.65145;2.75471;14399.354501972
2008-03-14;2.72023;2.72023;2.72023;2.72023;7574.6964452886
2008-03-17;2.66847;2.75127;2.66847;2.72023;22290.311373792
2008-03-18;2.65145;2.74083;2.6307;2.74083;9337.5956395527
2008-03-19;2.66847;2.69964;2.66847;2.69964;1042.2559004452
2008-03-20;2.73403;2.73403;2.62724;2.69964;11827.79431247
2008-03-25;2.73049;2.7374;2.66847;2.7374;17002.964928441
2008-03-26;2.74775;2.78573;2.74437;2.78573;29751.62748733
2008-03-27;2.78573;2.78573;2.66847;2.77186;28687.999525275
2008-03-28;2.75471;2.75471;2.75127;2.75471;1524.0097155977
2008-03-31;2.75471;2.75471;2.75471;2.75471;2746.4225117725
2008-04-01;2.75471;2.75471;2.72706;2.75471;9968.8177248433
2008-04-02;2.7374;2.75471;2.7374;2.75471;16866.90853034
2008-04-03;2.75471;2.75471;2.70653;2.75471;2667.689952533
2008-04-04;2.75471;2.77186;2.75471;2.77186;7406.5479144875
2008-04-07;2.68923;2.75471;2.58244;2.75471;11907.815165548
2008-04-08;2.75471;2.75471;2.75471;2.75471;57.384063979459
2008-04-09;2.75471;2.75807;2.6617;2.75807;17431.348814685
2008-04-10;2.76145;2.76505;2.76145;2.76145;2950.6013743261
2008-04-11;2.75471;2.76505;2.74437;2.74437;5326.0476301847
2008-04-14;2.74775;2.74775;2.62388;2.68923;16439.781516134
2008-04-15;2.68923;2.72023;2.63759;2.70653;10752.121326717
2008-04-16;2.703;2.72023;2.66847;2.70653;54932.535069574
2008-04-17;2.68585;2.703;2.65482;2.69964;12950.07630296
2008-04-18;2.68585;2.72023;2.6307;2.72023;25422.436492189
2008-04-21;2.703;2.72023;2.6411;2.72023;16023.442653586
2008-04-22;2.72023;2.72023;2.64447;2.64447;14304.565402449
2008-04-23;2.64447;2.64447;2.48608;2.64447;22736.081989894
