Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2009-05-26;3.3511;3.3511;2.89278;2.89278;1055067.5239347
2009-05-27;2.97658;3.14409;2.95672;2.96176;217765.01627946
2009-05-28;3.09475;3.09475;2.8484;2.85826;32368.346291067
2009-05-29;2.84498;3.10424;2.81921;3.10424;69959.249767503
2009-06-01;3.22789;3.67137;3.22789;3.44963;162300.69175363
2009-06-02;3.59744;3.67137;3.3511;3.42496;119303.6469725
2009-06-03;3.53824;3.54831;3.20329;3.30182;406760.75702494
2009-06-04;3.30182;3.40044;3.25248;3.34613;34485.043786186
2009-06-05;3.42496;3.44963;3.36087;3.3954;24629.042634154
2009-06-08;3.42496;3.42496;3.0603;3.30182;21782.118753986
2009-06-09;3.25248;3.3511;3.25248;3.28708;60803.334324212
2009-06-10;3.25248;3.39058;3.25248;3.25248;19337.983911724
2009-06-12;3.30182;3.30182;3.15395;3.27716;11761.713913011
2009-06-15;3.24759;3.24759;3.08008;3.19343;41950.341294865
2009-06-16;3.08008;3.16868;3.08008;3.10468;68544.008011867
2009-06-17;3.09475;3.20329;2.95672;3.10468;25952.492330131
2009-06-18;2.99628;3.10957;2.95672;3.10957;18889.98385936
2009-06-19;3.18854;3.18854;3.03081;3.15395;5281.4685072404
2009-06-22;3.15395;3.15395;2.96176;2.96657;7392.6858793953
2009-06-23;3.05533;3.34132;3.05533;3.25248;89869.906529039
2009-06-24;3.3511;3.3511;3.15395;3.24759;17650.106038594
2009-06-25;3.25248;3.25248;3.07504;3.07504;7435.1568323719
2009-06-26;3.24759;3.27716;3.24759;3.25248;7289.9335738071
2009-06-29;3.17372;3.34613;3.17372;3.34613;33209.54516615
2009-06-30;3.32642;3.34613;3.20329;3.34613;60081.328123611
2009-07-01;3.20818;3.22789;3.20329;3.22789;69814.026508938
2009-07-02;3.25751;3.30182;3.17854;3.17854;28881.618054769
2009-07-03;3.15395;3.29204;3.11452;3.29204;13909.922115178
2009-07-06;3.28708;3.28708;3.28708;3.28708;1989.2846361902
2009-07-07;3.27716;3.27716;3.03081;3.14905;23842.644988718
2009-07-08;2.98146;3.05533;2.95672;3.05533;55499.945325113
2009-07-09;3.10468;3.10468;2.98146;3.04059;11609.640500741
2009-07-10;3.10468;3.10468;2.96176;2.96176;149042.90427125
2009-07-13;2.96176;3.03081;2.96176;3.03081;8210.5942318785
2009-07-14;3.03081;3.03081;2.96176;3.02089;38370.450968166
2009-07-15;3.02584;3.05533;2.98146;3.04059;224663.1210613
2009-07-16;3.00614;3.05051;2.99133;2.99628;271463.37117993
2009-07-17;3.00614;3.00614;3.00117;3.00117;36285.264180094
2009-07-20;2.98642;3.01103;2.95672;3.01103;18262.5097799
2009-07-21;3.02584;3.02584;2.99133;2.99133;110043.60919288
2009-07-22;3.00614;3.00614;2.98146;3.00614;2311.2418603669
2009-07-23;2.98146;3.01599;2.95672;2.95672;23268.602108163
2009-07-24;3.00614;3.00614;2.88293;2.94212;31879.245316466
2009-07-27;2.94694;3.03081;2.90746;3.01599;307395.1674288
2009-07-28;3.01599;3.02584;2.95672;3.00117;7325.5543730777
2009-07-29;2.9519;2.97168;2.8976;2.95672;13777.029133283
2009-07-30;2.95672;2.98146;2.91249;2.97168;74136.473497354
2009-07-31;2.98642;3.00117;2.97168;2.99628;113316.61263356
2009-08-03;3.00614;3.17854;2.95672;3.12942;183993.75850944
