Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2014-08-13;3.09138;3.70965;3.09138;3.70965;10946.584064666
2014-08-14;4.44814;5.33262;4.28498;5.33262;75894.763474727
2014-08-18;6.13981;6.13981;4.89467;4.89467;91130.312338347
2014-08-19;5.30686;5.30686;4.51684;5.23816;2367.489936539
2014-08-20;5.06642;5.06642;4.90326;4.98055;3464.4774034449
2014-08-21;4.96337;5.23816;4.96337;5.06642;1072.5323322933
2014-08-22;5.00631;5.92513;4.99772;5.16089;24868.542840526
2014-08-25;5.49578;5.49578;5.06642;5.31545;31732.283955116
2014-08-26;5.31545;5.31545;5.31545;5.31545;17.46795329468
2014-08-27;5.10936;5.48719;5.02349;5.48719;7199.1258178476
2014-08-28;5.47002;5.47002;5.06642;5.24675;477.45739005459
2014-08-29;5.24675;5.24675;4.98055;5.22959;433.20524170807
2014-09-01;5.06642;5.06642;4.37945;4.37945;1630.3423075035
2014-09-02;4.46532;4.46532;4.46532;4.46532;710.36343398366
2014-09-03;4.63706;4.64565;4.63706;4.64565;116.45302196454
2014-09-04;4.68;5.48719;4.68;5.48719;9199.7887351982
2014-09-05;5.58165;5.66752;5.32403;5.66752;16326.713679428
2014-09-08;5.49578;5.58165;5.38415;5.58165;477.45739005459
2014-09-09;5.32403;6.38885;5.32403;6.09688;2521.2079255322
2014-09-10;6.42318;7.64257;6.42318;7.64257;572.94886806551
2014-09-11;7.64257;7.64257;6.11406;6.69798;2217.2655382047
2014-09-12;6.78385;6.78385;5.45284;6.09688;4189.979730284
2014-09-15;5.83927;5.83927;4.72293;5.30686;853.60065100004
2014-09-16;5.32403;6.18275;5.32403;6.09688;2701.7101095772
2014-09-17;6.09688;6.09688;6.09688;6.09688;320.24581040247
2014-09-18;5.83927;5.83927;5.1523;5.16089;768.58994496593
2014-09-19;5.16946;5.19523;5.16946;5.19523;119.94661262347
2014-09-22;5.19523;5.23816;5.1523;5.1523;512.39329664396
2014-09-23;5.31545;5.31545;5.31545;5.31545;302.7778571078
2014-09-24;5.32403;5.96807;5.32403;5.96807;407.58557687588
2014-09-25;5.92513;5.92513;5.83927;5.83927;186.32483514326
2014-09-26;5.75339;5.75339;5.75339;5.75339;936.28229659487
2014-09-29;5.75339;5.75339;5.75339;5.75339;11.645302196454
2014-09-30;5.73621;5.73621;5.40991;5.40991;43.087618126878
2014-10-01;5.75339;5.75339;5.41849;5.41849;23.290604392907
2014-10-02;5.58165;6.6121;5.58165;6.6121;1793.3765382538
2014-10-03;6.69798;6.69798;6.69798;6.69798;11.645302196454
2014-10-06;6.56917;6.56917;6.56917;6.56917;5.8226510982267
2014-10-07;6.52624;6.52624;6.18275;6.18275;185.16030492362
2014-10-08;6.18275;6.18275;6.18275;6.18275;5.8226510982267
2014-10-09;6.18275;6.18275;5.53871;5.53871;372.64967028651
2014-10-13;5.40991;5.58165;5.33262;5.58165;209.61543953616
2014-10-14;5.66752;5.83927;5.66752;5.83927;46.581208785814
2014-10-15;5.83927;5.92513;5.83927;5.92513;258.52570876127
2014-10-17;5.92513;5.92513;5.92513;5.92513;2433.8681590588
2014-10-20;5.96807;5.96807;5.96807;5.96807;5.8226510982267
2014-10-21;5.75339;5.75339;5.2811;5.71046;174.6795329468
2014-10-23;5.23816;5.23816;5.23816;5.23816;34.935906589361
2014-10-24;5.1523;5.35838;5.07501;5.35838;395.94027467942
2014-10-27;5.06642;5.06642;5.03207;5.03207;320.24581040247
2014-10-30;5.06642;5.32403;5.06642;5.32403;384.29497248297
2014-10-31;5.32403;5.58165;5.32403;5.58165;163.03423075035
2014-11-03;5.75339;5.83927;5.75339;5.83927;58.226510982267
2014-11-05;6.00242;6.02819;5.8822;5.8822;378.47232138474
2014-11-06;6.09688;6.09688;6.09688;6.09688;1131.9233734953
2014-11-07;6.18275;7.41931;5.58165;6.26862;1257.692637217
2014-11-10;6.26862;7.38495;6.26862;6.86972;338.8782939168
2014-11-12;7.29908;9.01647;7.29908;9.01647;90930.013140567
2014-11-13;9.40297;11.2835;9.38576;11.1376;120130.60839817
2014-11-14;11.1547;12.2368;11.1547;11.1547;93266.060761176
2014-11-17;11.335;12.022;10.09;10.09;22293.766524891
2014-11-18;9.87526;11.5068;9.87526;10.3905;41106.752223261
2014-11-19;10.4764;10.9745;10.3047;10.3474;61684.001204395
2014-11-20;10.7339;10.8971;10.3905;10.3905;1024.7865932879
2014-11-21;10.3905;10.3905;10.3474;10.3474;123.4402032824
2014-11-24;10.648;11.1203;10.3905;10.3905;709.19890376402
2014-11-25;10.648;10.7769;10.3047;10.3047;38.429497248297
2014-11-26;10.648;10.7769;10.5965;10.6052;7193.3031667493
2014-11-27;10.7339;10.7769;10.3047;10.6052;2573.6117854162
2014-11-28;10.648;10.691;10.3047;10.5192;5112.2876642431
2014-12-01;10.5622;10.648;10.5278;10.5278;7103.6343398366
2014-12-02;10.6052;10.648;10.3047;10.3905;3307.2658237928
2014-12-03;10.3474;10.3474;10.0469;10.0469;34.935906589361
2014-12-04;9.87526;10.4764;9.87526;10.3047;73.365403837657
2014-12-05;10.3905;10.3905;10.3905;10.3905;5.8226510982267
2014-12-08;10.4764;10.6052;10.4333;10.6052;9009.9703093961
2014-12-09;10.6052;10.6052;10.6052;10.6052;3.4935906589361
2014-12-10;10.588;10.9057;10.588;10.6052;14471.617039533
2014-12-11;10.6052;10.7339;10.4764;10.648;93.162417571628
2014-12-12;10.648;10.648;10.3047;10.648;110.63037086631
