Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2015-12-10;15.9228;15.9228;15.2531;15.2684;2126.9230769414
2015-12-11;15.8721;16.3002;15.8649;16.3002;774.53146853813
2015-12-14;16.1744;16.1744;16.1744;16.1744;11.048951049046
2015-12-15;15.5209;15.8811;15.5209;15.8811;309.37062937329
2015-12-16;15.8811;15.8811;15.5209;15.8811;20.993006993188
2015-12-17;15.6802;15.8811;15.6802;15.8811;76.237762238418
2015-12-21;16.0486;16.0486;15.9228;15.9228;198.88111888283
2015-12-22;15.9228;16.0486;15.7553;16.0486;1217.5944056049
2015-12-28;15.6721;16.0396;15.6721;16.0396;82.867132867846
2015-12-30;16.0069;16.149;16.0069;16.0911;11932.86713297
2016-01-04;16.3409;16.3409;16.3409;16.3409;2.2097902098092
2016-01-15;15.6305;16.1581;15.5707;16.1581;272.90909091144
2016-01-20;15.6892;15.9228;15.6892;15.9228;50.825174825612
2016-01-21;15.6974;15.9228;15.6974;15.9228;1523.6503496635
2016-01-22;15.9228;15.9228;15.9228;15.9228;444.16783217165
2016-01-28;15.6458;15.9228;15.5462;15.9228;1212.0699300804
2016-01-29;15.8811;15.9228;15.8811;15.9228;1670.6013986158
2016-02-03;16.2595;16.2595;15.5879;15.9074;12322.895105001
2016-02-04;15.8811;15.9228;15.8811;15.9228;255.23076923297
2016-02-05;15.797;15.9228;15.5879;15.5879;2691.5244755476
2016-02-08;15.7381;15.9228;15.7381;15.9228;113.80419580518
2016-02-09;15.6305;15.8395;15.2531;15.6305;2539.0489510708
2016-02-10;15.6214;15.6214;15.6214;15.6214;5.5244755245231
2016-02-11;15.6123;15.8395;15.6123;15.8395;87.286713287464
2016-02-17;15.6051;15.8395;15.6051;15.8395;97.230769231606
2016-02-22;15.7553;15.7553;15.7553;15.7553;3.3146853147138
2016-02-25;15.7472;15.8305;15.7472;15.8305;2507.0069930286
2016-03-01;15.9228;16.0069;15.7553;15.9228;1899.314685331
2016-03-02;15.8395;15.9155;15.463;15.9155;1373.3846153964
2016-03-09;15.8223;15.8649;15.8223;15.8649;206.61538461716
2016-03-11;15.8486;15.9228;15.8486;15.9228;88.391608392369
2016-03-14;15.9155;15.9228;15.9155;15.9228;2507.0069930286
2016-03-15;15.9155;15.9155;15.9155;15.9155;85.076923077655
2016-03-16;15.8395;15.8395;15.8395;15.8395;134.79720279836
2016-03-17;15.8395;15.8395;15.8395;15.8395;175.67832167983
2016-03-18;15.8305;15.9228;15.8305;15.9228;954.62937063758
